,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27C,28H,29H,30C,31H,32H,33H,34C,35H,36H,37H,38C,39O,40O,41H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0962798239700866,1.0965787502806918,1.09816791375149,2.524013988392839,2.8037017014495054,3.488415108293865,2.7553203580115495,3.918607930090385,4.910286238086153,3.919717714343688,3.3196133237310845,4.998883723082914,5.488427392600102,6.196665645006225,5.983149930874079,6.859649927308136,6.2805005214305,7.704008849551782,7.3828670713686515,7.754357959612259,8.25257530102955,7.307846617049459,7.5896161623755125,7.020768841842044,8.257103298957492,8.314404725937028,4.750169465763123,4.158753928022669,5.718964919055736,5.814361814766543
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.763524726748899,1.7733201901254623,2.7477713361972875,3.124420746663177,3.7538714888611815,2.5232395742875116,4.690629182643454,5.646632671223981,4.483108234534118,3.829507571059551,5.336932072626311,5.8623085888415165,6.545247958366996,6.283916878217714,7.407352356639165,6.941461229467548,8.224557495140363,7.579812506854649,7.966194012273416,8.480188857393822,7.346806070803254,8.183197276655408,7.642999740853426,8.938416592304526,8.812447388401798,4.767928593788997,4.016435247862726,5.616259882141492,5.526057536055502
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7700377010740678,3.4968491499334045,3.8288903531527305,4.356596397528154,3.7615927246200234,3.5606200312386713,4.700680240471857,3.322559141044321,2.5473870216338637,4.464241302080299,5.117969799641208,5.474169477261458,5.135321504623203,6.1096760701172546,5.491862284743156,6.872424624834173,6.729581934986934,7.2174444742135915,7.518671871541366,6.685348478101163,6.996547079646555,6.556460471306986,7.63996948031782,7.750349214583249,4.3236155953826225,3.666502462991759,5.463315171393777,5.6204646493990875
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.80559416923941,2.638696291675488,3.821445999221219,3.136571417828908,4.605668106887477,5.577316577939697,4.776145586250267,4.17453106425523,5.968504653667022,6.440803490564821,7.111544400139844,6.861539868354155,7.644512266944808,6.9597912579163,8.4659804539244,8.36809097942151,8.755264493477807,9.20024791928041,8.336189056039752,8.368421854286941,7.787967643390841,8.94721511499832,9.162081204101616,5.821262058327412,5.218213098026235,6.810036451476592,6.911386439406961
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0981625470180767,1.0966535166877451,1.0967410648195095,4.447044532013431,4.899014974941865,4.935963950554812,4.812874472132438,5.772013827630194,5.800040654593831,7.254805400360402,7.395568529272522,7.862589394194108,7.416757448281904,8.873503084105696,8.264715782936431,8.30985653255999,9.266346650490778,8.239382058315,8.146601486810615,7.310943379309007,8.83193585916579,8.769747548573791,5.542258112055425,5.359400342292273,6.059661919463832,6.179910869095149
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7720441419857034,1.7718264074085932,5.086613397874183,5.57138584741759,5.67898363928109,5.490360873801144,6.66018271951293,6.722870532556188,8.092789167587634,8.17728307027843,8.598506933245872,8.047975551447468,9.591954500469464,9.191669449582596,9.27492706350423,10.161479460576114,9.200794855774804,8.903090218308755,8.066449743042583,9.508314764781417,9.599336519789913,6.512988840958539,6.258948244267256,7.111743023960655,7.234834797926384
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7736982318366228,4.486088371702259,4.657228681596579,5.1406585111736645,5.228248551624666,5.845416898203687,5.666580746051404,7.373545178801333,7.671020363123577,7.910298965090195,7.534803190581706,8.968588795747566,8.30406917155324,8.205674990190156,9.328020774944275,8.342558315572791,7.987311067550383,7.06356515262137,8.659585092767022,8.556832067111618,5.718998990177649,5.757498233576056,6.061006314289918,6.2583926391546205
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.140081032208452,5.6363189792677915,5.393421340384418,5.177247753174303,6.065487132515927,6.1532734731334955,7.552794158626434,7.639179955231467,8.342992725733543,7.9829139355679954,9.327161019796845,8.43869364338341,8.5053394784132,9.46714053018886,8.271451123678794,8.700448714272703,7.9087651266128765,9.47031093652832,9.24112311747491,5.5556830515510445,5.248313774795759,5.960604150287313,5.907253952261964
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2294992023946532,1.3681056085991368,2.0591238459789825,2.4828449741066416,2.5303770511141805,3.5632703271594304,3.932311827499771,3.6142117165092373,3.0810376767811833,4.645699473446829,4.883423692062409,4.991869646829514,5.6706833400415855,5.352623581649737,3.8956862417969615,3.203660121215713,4.476715276843914,4.729118656794159,3.4942382320229406,3.928699152540549,4.405952794319227,5.132193865850799
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.283850927804366,3.1694215053437893,2.8433880686364503,2.3910441420889748,3.8767834186130226,4.523061096903172,3.719080948561116,3.3813285831372863,4.797959636515309,4.990847629554522,4.839223784225566,5.775028252497505,5.582808927443969,3.492624046684211,2.558261354412273,4.026057429230785,4.253403275213126,3.9811201187359924,4.686483484477277,4.586531280085267,5.413799673320661
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0131933585950763,1.4577252518361508,2.0655095846840195,2.5068954915593755,2.699106553771979,3.0039678111324433,2.639548206191776,3.9564965600244224,3.864718624630874,4.190062113409309,4.669600978137661,4.203162713796233,3.719712823736974,3.3207422700526203,4.483605119215399,4.431989605857344,2.3971570442661565,2.7569918739320753,3.5269068224059588,4.210219514759432
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1029480989603364,2.9330545897656553,2.9539448094949345,2.760647652682429,3.6083643274178354,3.1525880588345485,4.4083675590742795,4.303863203113706,4.80950129602182,5.062199159803378,4.462866521875949,4.5662009055070225,4.28129600144917,5.295197469698766,5.270884070890257,2.524640001238903,2.4043767657539363,3.8193553542130867,4.314739489571846
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0919326449695983,1.561222057627537,2.143805839626376,2.5725088963363762,2.784655795325376,3.4945580858618395,2.57163606883817,2.8071844520224145,3.517246329932839,2.8875804280348976,3.1851876286015823,2.9271627225520653,4.175753174476073,3.5735467427808016,1.525150200819158,2.4228725339764323,2.3986663841505402,3.2276891873674747
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1906961329786667,3.058357148144302,2.831638187794894,3.158637605394341,3.8401426991872825,2.8572213376157825,2.6594041716511123,3.822598161503339,3.3094214800001835,2.872417413716902,2.343386221757291,3.8892720931868725,3.1535951759949437,2.1519816630320148,3.2409875355218336,2.4892543128087126,3.4351123071883904
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1004811016097336,1.5461136637232156,2.1632184952314804,2.141970765341154,1.5388341288857708,2.197320991019543,2.171765481360133,2.1981348715036586,2.616262735476273,2.934990046550608,3.543721445003516,2.8895169526485653,2.538089798839946,3.246953469562227,3.2622040097665566,4.0332866239426535
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1427983975492806,2.4301318811071204,2.408529906509472,2.146674164461592,3.074053611086553,2.533662882240831,2.450100960560099,3.5186486039307834,3.8964313045803527,4.3056684610607014,3.8688625973307524,2.7307454329624767,3.0218236114204564,3.689739395691716,4.27503507655661
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967891699342054,1.0990408715954363,2.55691504135842,2.9213021163504402,2.7132871231057227,3.5105585141250595,1.5353911134636546,2.1878386825075355,2.169388714550861,2.19616010915952,3.9155967179289584,4.62314502483321,4.620620575457948,5.4730539502650135
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7547723780524025,3.490413349533847,3.912181336265764,3.7077958936459514,4.324660219180783,2.159270252893712,2.5053298127442165,2.4945766620584986,3.0870332295539047,4.175792391790934,4.705038165137394,5.098255767919248,5.920372368159433
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.760023345711287,3.2792205331830755,2.4674895102319736,3.7011012802757093,2.164161958058831,3.083293322247441,2.466971254469426,2.5533512966367984,4.671265894647793,5.2796341408617105,5.347318812917146,6.137036951793533
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0955943594388216,1.0961145635666945,1.0947543463612104,3.151473971584475,3.61135944005687,4.110054592097061,2.8468186021950577,2.997602253030999,3.8260653685846155,3.128319678877064,3.81734081712476
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7716520668680145,1.764837098226431,2.955428984533,3.2708312077242576,3.953339309932929,2.384255109230036,3.2989319440119025,4.336899204643009,3.0753689020549304,3.8587655727335943
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7672140122009683,3.3458388563771675,4.074733211233179,4.107376731509191,2.9391989642799157,4.023761946965721,4.731603470231191,4.193586968720426,4.819097597960343
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2038834618595855,4.55199845514437,5.187900620836233,3.9006458113332747,2.7221158638226504,3.3838740157097678,2.691238440263351,3.1469153490073154
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0948235709684693,1.0964533856806224,1.0963394369129669,4.598390591463777,5.539900528296201,4.990279591847532,5.938646619381617
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7654467118831263,1.77999680858941,4.3584403337636255,5.3492073497349155,4.709918985596868,5.681819052130881
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.765060500116644,5.633156489551625,6.516477336843661,6.080357186399177,7.02813405477355
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.788555347516329,5.825220897777749,4.911631738204747,5.841616920206784
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2142159785744162,1.3487706366353391,1.8768878766651995
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253379733899759,2.2890272496796817
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9774864351785061
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
