 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,C27,H28,H29,C30,H31,H32,H33,C34,H35,H36,H37,C38,O39,O40,H41
N1,0.0,2.0428735209196467,1.973582562924225,3.0643218148739124,0.08653762111931873,0.204589672697254,0.019679242877261083,0.007636355508680914,0.033355233440905074,0.0008581264242282227,0.0035605893586575232,0.0003361731948238189,0.001062336651630691,0.00010617933683509939,0.005320294620862059,0.00011978677428037265,0.0001127015138234766,0.0011829862644062716,0.2356571249429616,0.053881860106737026,0.037308368783282614,0.0022570810030584365,0.006543638941143737,0.0004908724386544217,0.0016267037756721031,2.961060451667219e-05,0.0001725727443565167,0.00020319742169561117,8.353554188822443e-06,0.00044615297498380724,6.89671486819865e-06,0.00010828422915676317,7.942203001376491e-06,0.00010618585820117155,0.000156866558197577,1.4902956223528108e-06,3.3628729365631216e-06,0.000584225903072999,0.00011212953143763943,0.000128687585804782,1.4141913108778326e-05
H2,0.0,0.0,0.02710948304749894,0.10671630822044897,0.006976337176143543,0.03238189347972287,0.0011047578235723332,0.0006945827144848593,0.004787040391293185,8.399875159836867e-05,0.00025895687853683125,6.55910282554295e-05,2.8930136151794628e-05,6.842579879373645e-06,0.0012021468822284165,4.024702501603805e-05,2.9689164159796277e-05,0.0002676419316185452,0.00829815329870609,0.002048190474529643,0.0006783379288941571,3.88024382584895e-05,0.00017518232879132345,9.672272562211148e-06,6.604421702205432e-05,7.735464540026271e-07,0.00015678502649130177,0.0002247816284566273,1.9182357696045926e-05,3.150239243132624e-05,4.1713140586097097e-07,1.099511517610452e-06,2.5164428674173678e-06,1.4193548330432293e-05,2.5419595961473362e-06,7.461254214469193e-08,5.688802983350172e-06,2.6240623409945485e-05,2.0747513975738485e-06,7.978147765319576e-06,2.605557127832725e-06
H3,0.0,0.0,0.0,0.10514251581762402,0.03565657674904399,0.009683442413531917,0.00022886277701417157,0.005422835936082837,0.0007369960272126663,5.226178831452266e-05,0.0009749615888234864,0.00011838414619558257,0.0005060265002703179,8.000444469802304e-06,8.388627514488434e-05,1.9314790463242915e-05,1.2590588618133225e-05,1.0726386740156357e-05,0.018828623049247595,0.04352692374726186,0.0033867368766550277,0.0006416147352539259,0.0004834173968116806,7.675771191117953e-05,3.618181332976089e-05,9.01906098005334e-06,9.031704962580989e-06,1.0794597381513782e-05,1.1459818922698872e-06,4.843912862040334e-06,9.604657371653502e-07,1.1887247735042905e-06,1.9320849165005427e-07,4.068606727181123e-05,1.9554923400999513e-05,1.994784591285992e-06,7.021738723800297e-07,4.545293296409625e-05,2.770530800044746e-05,4.715497391782897e-06,1.0191465973363734e-06
C4,0.0,0.0,0.0,0.0,2.058571408422917,2.811541342675421,0.09400525008418437,0.08658484232649943,0.14920796171730083,0.007624856202003816,0.019737975746981093,0.0019927165673734315,0.008256901122387195,0.0005217575027050003,0.03209977436047261,0.000775174087692232,0.0009623683583881437,0.004531691826884066,2.713616304446317,0.27587127037658377,0.2357300766591745,0.01702166798873339,0.035784831704843006,0.005203391820179704,0.003743960820897674,0.00013789312116507801,0.00040310050901920524,0.00021295412554112048,1.0543414797448136e-05,0.0012213426370256686,2.0512553912777065e-05,0.00022727959712387502,2.7218413329865854e-05,0.0009504720584253834,0.001981944296003846,9.536255297204477e-06,1.1680742191044757e-05,0.003305137037919015,0.0005850162242773682,0.0009288085505952948,0.00019139864397366146
H5,0.0,0.0,0.0,0.0,0.0,0.07898635533672849,0.004017748322161729,0.034740317083497896,0.005913303552842697,5.583210619053425e-05,0.010634302195984602,0.0007287752891160793,0.01228524138884457,2.286755429037335e-05,0.0010065014709690345,2.8015223537236622e-05,0.00019906081691645205,8.348120460666131e-05,0.0939305680313538,0.021725025188534253,0.012475668109252158,0.01044264201164391,0.0019861386291839533,0.00031725982744634784,3.921549400254243e-05,1.0119373281991528e-05,2.226298629237622e-05,1.3559795411843822e-05,7.492461635560943e-07,1.381980858894405e-05,1.2934119628660312e-06,2.0574756451896548e-06,5.272181358151329e-08,0.00014517625058574346,0.00014436420354413393,3.3439848310390374e-06,2.718347962948897e-06,0.00014703505307878117,0.00016226968040677914,4.566633461999814e-05,1.4793826283332479e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.062084433350438,2.0809623205533967,2.8074777632079955,0.08244384588830456,0.1615757781594851,0.03036937132312767,0.005791726164284805,0.009677915574699325,0.1827940199105326,0.009943670538618665,0.010144844360995497,0.03044501846723824,0.18540759741539836,0.038866990461871156,0.030110867535755634,0.0009652176106275112,0.003815187243912277,0.00021905988198833715,0.0006968688426917807,2.387165286921178e-05,0.00017313030062025836,0.00014792994828427553,1.4640365808560318e-06,6.82652999796779e-05,1.7077338922977248e-06,7.75899899729815e-06,2.176376399098956e-06,0.00011518105470705031,0.00012756326517826544,3.8046941897018627e-06,3.5779017781845113e-06,0.0012862022693991837,0.0002593713820717991,0.00028922848592977113,9.763415504393524e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023215347962889377,0.08315413170701258,0.03588585137649525,0.010372409922013492,0.0005624160702590864,0.0001315068467191427,0.005037011185168527,0.007831970468018645,0.003988828216071827,0.00016792957958133847,0.0003463567865360506,0.030235724911059858,0.005716333587824307,0.003501840727080374,9.098841797516855e-05,0.0007828196409425114,8.878223176966848e-05,6.131020330890635e-05,5.225882183879094e-06,9.212786739931644e-06,2.3863083433717236e-06,7.444621008545482e-08,1.6732677392994333e-05,1.341024660206358e-07,1.2062596901341038e-06,6.120863869085724e-07,3.305318189261719e-06,4.588900968771625e-06,3.1295623537097583e-07,3.4659204617426553e-07,0.0002588921383810394,9.025288461217418e-05,4.5490770129608116e-05,9.766910352704272e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08534840115616782,0.0031372522254189406,0.02978848236659326,0.0016393076129739281,0.000492414792369944,0.0004733500445208705,0.014482005743216675,0.00024549275609864196,0.0060900085948587535,0.001061763810682237,0.012853360079353449,0.010809500398779592,0.001953720912573953,0.0003147833061774019,0.00016689980060613507,2.7989293641672575e-05,3.258869185818192e-05,1.7824271301147832e-06,3.937463969316823e-06,3.0111083355599533e-06,9.704983772174103e-08,6.443833707070468e-06,1.5542655451561416e-07,5.869442374351053e-07,1.9922416250039987e-07,3.30744469722033e-05,1.9842186764984504e-05,1.3445342301743324e-06,1.7447466325037908e-06,2.042599719898064e-05,8.113109269292096e-06,2.73747274914804e-06,6.916689228031458e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.017138626939534,2.8580253026194202,0.0872058361009227,0.08286645154509098,0.08049490846538165,2.890851441284398,0.08313777553212942,0.08421321328139286,0.08477319904670311,0.0173405086309108,0.003936996980051954,0.00987922316987308,0.0011518314678977681,0.0006975255465829777,2.4457585811821225e-05,0.0003134932696857995,7.958132089758152e-06,0.00010123684237897668,7.166599807839624e-05,5.5116851009895385e-06,4.525120765883073e-05,9.515027585837998e-07,8.230058272884477e-06,4.621701048979077e-06,1.5208771401653554e-05,1.4621194699415696e-05,4.102333617250764e-07,1.6831720865972954e-06,0.0013091318452775058,0.0012251447071752325,0.00011218574934325487,2.2653782099202324e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08187411323021232,0.004170218784875335,0.0047327437171060804,0.035003004878202626,0.0828635999809022,0.034624223959429656,0.004600852581005066,0.004482074323356899,0.011192750563925102,0.0002920216044672852,0.00962341477483708,0.0006151252688670894,0.0005716078936266467,4.166786710291248e-05,0.0003492625318843867,3.967364633039594e-06,9.346851429126168e-05,4.812211966176427e-05,3.40298583312304e-06,3.6389575138962016e-05,1.0940591281816126e-06,2.1937114100811783e-06,1.1872380726751786e-05,6.369590455301832e-06,1.690791557873439e-06,9.799261710963236e-07,1.4925908640162078e-06,0.0027648582381025744,0.002705006548265332,0.00024277633617186822,7.597612154075506e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.110187755409554,2.1648170905377575,2.104623186005756,0.17551399208147117,0.009004234230632013,0.03151375246652677,0.01009885435933422,0.0025183571141358385,0.0010920542474797956,0.0031509841821301954,0.005935981098979082,0.0004019865199837297,5.944018497094916e-05,8.008347893524725e-05,7.96559896520943e-06,1.3139362155419054e-05,6.885868144790308e-06,6.814263253662745e-07,1.686556728354438e-05,1.3084527364926046e-06,4.2176877241839605e-06,7.592314272830691e-07,4.338831489779371e-06,3.689880162416337e-06,1.1736156380059981e-07,1.6755563070347534e-07,0.0004105279757483926,0.0008927551699405359,0.00010805706880204213,6.1346334816470005e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024042258885852652,0.023053141021601053,0.010989783606093262,0.00017099261987363334,0.0007837330261737385,0.00475813736566999,0.00015569801001213968,0.0001466144654787005,9.778714284269796e-05,0.0003401539242786633,1.1615551527954793e-05,1.6594830403171557e-06,1.0676858863689631e-06,5.123455097955087e-07,7.968290967053093e-07,2.951264594930336e-07,9.514515841857474e-08,3.1610152095851163e-07,3.304691431615936e-08,5.150370863127307e-08,2.314532032698935e-08,1.679913474217365e-06,2.0137178782242415e-06,2.0070297868102216e-08,4.528936670133987e-08,2.4942476728018192e-05,9.335756338557655e-05,7.254411161561336e-06,2.888179109206135e-07
