,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24O,25N,26H,27H,28C,29O,30O,31H
1N,0.0,1.0210050256541905,1.4647608186331218,2.094009770805649,2.424921119227524,2.9263861665438635,3.341510754658811,2.4458405401805767,3.0822159341075093,3.292156473501712,1.470418952379444,2.1116641604200117,2.095885610106969,2.444161827210253,2.825479580888608,3.556172731382622,3.824134073494947,4.81279235647108,5.1086869821772884,5.219965325248415,4.480626732694477,6.038175392244766,6.0337558614404925,7.196613339918867,5.61878547010064,4.682549191429929,6.366076827381095,5.940235855925457,6.016542787304345,7.118045763658273,7.817787307421373
2H,0.0,0.0,2.0111555175286977,2.90252742628166,2.7474895516334734,2.8636645768820337,3.787473602367344,2.829764814025646,3.134935954514454,3.839940973501028,2.0571750011386385,2.305545081504073,2.926641483968235,2.4621584701084895,2.3585244351493277,3.7427107821496883,4.247583375304821,4.799498642909014,4.932435673615185,5.082427960665392,4.355839551585492,6.003507103531475,5.649917253362865,6.8096438062868465,5.05431729623385,4.089074298613378,5.696667539749597,6.095053816793568,6.363824199030982,7.159583137048357,7.944100894439358
3C,0.0,0.0,0.0,1.0995630674092887,1.5614164690659904,2.178873168193345,2.2216193872743886,2.452953538643147,3.2498715760348342,3.1698718707471842,2.326340032876024,3.263396657007021,2.7850904184042378,1.5232494864871984,2.402785998044897,2.4476866829290915,2.6080388861715336,3.821580367821564,4.107290212233474,4.605930523408473,4.115596617287151,5.399885690945099,5.559411922611788,6.752399930871323,5.2341095457898845,4.32978375547508,6.084622655440091,4.781423923967877,4.776446787347443,6.001394360932306,6.640597375533327
4H,0.0,0.0,0.0,0.0,2.1904176665815633,3.041160645654163,2.4117834095493635,2.9498274465894037,3.932219100004054,3.3446742014400668,2.7362177701013954,3.7759349611191113,2.758587974869982,2.16435689347328,3.2767090697459818,2.5340395900113597,2.263198341220759,3.9862023822243158,4.4903223504356795,4.804543856517631,4.322021576784571,5.418624387102876,5.981026243309611,7.1190573930199585,5.881803840218505,5.06811005470074,6.801211952234262,4.658796239710484,4.3935851982864795,5.96783046778339,6.48166210087962
5C,0.0,0.0,0.0,0.0,0.0,1.0951848011587002,1.095279221040678,1.5519820504350055,2.1922186632995353,2.2094069149572073,2.4595369767899573,3.338099018017989,3.0701522755286783,2.558805761381023,3.136037195424357,3.446912607486895,3.5699010453932747,4.695181412605415,4.687216258556166,5.735466907298595,5.41880020737898,6.5867367211969,6.523519758047193,7.739932743120713,5.987026489148678,5.037224906692662,6.743393289655241,5.542353549876768,5.504027774861586,6.690173540332799,7.291810319864676
6H,0.0,0.0,0.0,0.0,0.0,0.0,1.769931110228636,2.1923521437279025,2.330698166160086,2.9854514529891056,3.1318176169239376,3.7917378539007007,3.947354749734104,2.5872345416337064,2.7675315624384234,3.5720470392342154,3.93968709312575,4.57967917722527,4.325390139165993,5.618455511162353,5.4066334769163396,6.561653241178936,6.170485317389263,7.383264344806161,5.452570521906544,4.496221719652283,6.110579185830212,5.54841243843985,5.7165308308770975,6.553971593848256,7.229302367616324
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2234160721388214,2.9015240061568797,2.39664752208271,3.2906123412982917,4.243175708902779,3.645813537420292,3.092776026856917,3.859040699870341,3.60522981563713,3.490490167842087,4.824364741811411,4.835229604280724,6.0619841603034805,5.881678762146291,6.817695099483086,6.951427020085667,8.140062224361248,6.525434878240998,5.6451228281375725,7.324464560432558,5.388140973550193,5.17301284508086,6.542346795241138,7.0244944404310345
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0950936015100925,1.0953553025642546,1.5584540308031773,2.2326489250013353,2.191841949208031,3.7549505566837125,4.173427278053496,4.781726645163145,4.861759014080854,6.089727354936246,6.129206095715156,6.958599073244833,6.469028018572229,7.816152847144936,7.720019963489072,8.938814560915718,7.116453009051987,6.119307440509742,7.806895754976937,6.996218783682463,6.905917831086498,8.17763898431102,8.784193629893178
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7614751297218936,2.206748022158353,2.412033611894886,3.015191431191296,4.322547499411523,4.461909882530864,5.462164916028462,5.681467777177007,6.655264991090708,6.538252415276647,7.4943500067804765,7.030198114869165,8.427602528713974,8.073008295335702,9.290054501503608,7.303936943631468,6.290470917748646,7.882520938564584,7.657440040066979,7.684202640970617,8.758396047987517,9.416598831417417
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2076862995964768,2.864778266124184,2.355104728302008,4.566435587590667,5.140635277714571,5.421945651556494,5.318326176758453,6.780294255699479,6.873407599375089,7.744332071357119,7.281012219800784,8.534015723678271,8.61024716981689,9.825090771182765,8.078804311436212,7.098723323465441,8.805393413414443,7.517168462215826,7.265663833211959,8.737595505666588,9.256025256807169
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094359453671686,1.0978826858198718,3.6608417861501183,4.056902362785113,4.740234150668052,4.8482786542784515,6.077424297095429,6.305002796342968,6.636797915034281,5.9362582598770866,7.446684727773973,7.448757270497505,8.628873699230976,6.951418862836856,5.975583140622487,7.655373758818767,7.095949483533666,7.034246017342083,8.31514132960084,8.960897441735906
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7637739658573068,4.420393656073373,4.568773339273207,5.600503260919165,5.812547624945728,6.858936796630445,7.028821399231305,7.273661040363975,6.5064460914740785,8.122383588138891,7.944872473329001,9.102253959077384,7.347011648176934,6.366898884154665,7.9518868127373645,7.9853311834153855,8.009608613658935,9.160715135628108,9.857196856440558
