 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,O24,N25,H26,H27,C28,O29,O30,H31
N1,0.0,1.8795067256687452,2.670931675040159,0.09827529055170015,0.22716286439106642,0.004097524226103655,0.023273182630441314,0.2194929491142858,0.004761394703975519,0.0175040593425817,2.911022548516176,0.08681649721233753,0.10324984490070421,0.18060803753346738,0.049839998082299775,0.02749294206756943,0.0024802284426849175,0.004600909936232106,0.0003257926539900202,0.0008747073914242981,0.0001403087330326125,8.23821284676729e-05,0.000104602855060143,8.781725824213993e-05,0.00020411943825876522,0.0003082404224231672,1.7787116082135235e-05,0.0005502512997225539,8.446523771372949e-05,0.00017184719292331896,3.891250122023404e-05
H2,0.0,0.0,0.10716055460673113,0.034661346002735405,0.0068892051732657444,0.0012047208237766505,0.00041591034259469417,0.004664755351423855,0.0001724416798600803,0.00020867231540488973,0.09648318021915048,0.010174460606295899,0.028850696736609116,0.02852009212386275,0.06062983378834208,0.004504300049843035,0.0007612904379288299,0.0003987630280388732,2.3866764301549992e-05,4.498061734914405e-05,9.290058545108337e-06,4.689514983668985e-06,1.674305146159849e-05,6.751049485331784e-06,0.00016563237515265783,5.585438008814947e-05,2.5327889904502854e-05,7.853422293002676e-05,4.65074661135656e-05,8.345269603915462e-06,2.4076031626130145e-06
C3,0.0,0.0,0.0,2.0320537923293487,2.6413902512564214,0.079033078435363,0.07990644255783708,0.19729982414742017,0.013242735225297286,0.006798672282552598,0.27392795704306183,0.027504891341714188,0.008484324169665491,2.5215132996037517,0.27010718718354454,0.24238649826434022,0.017296531007791494,0.03620611988810829,0.002093276954540646,0.0035819010746617197,0.0006518675867772661,0.00042400188485247625,0.0005306237005155978,0.00025759442750065975,0.003110266766041467,0.007407626476683804,0.0001696788297187446,0.00410330358630967,0.00040977406266461125,0.0011870814030562615,0.00025735523071268585
H4,0.0,0.0,0.0,0.0,0.07348268468925179,0.025608455103545147,0.008591965949104718,0.004338893096099472,0.0003180134161460124,0.00018992241154425216,0.008393975553131039,0.00023747954646369251,0.0025682933444193257,0.094521337981883,0.019863873261597553,0.013328262839936711,0.011492251168171874,0.002053255327161274,0.0002927543752619943,0.0001354594570615042,4.8025682943375614e-05,2.127262550333242e-06,4.713860165805883e-05,2.450165085932099e-05,0.0003326260181244489,0.00030914710609253326,2.5282424434447393e-05,8.756862102110574e-05,0.00013809118645169427,3.6843998608704354e-05,1.3826439814179636e-05
C5,0.0,0.0,0.0,0.0,0.0,1.9871412004908062,1.9342306362357313,2.841157455689713,0.08188693074439635,0.07755432566519072,0.19072903224164053,0.01755990384976669,0.005927473156722485,0.18394007724292954,0.039325512878353425,0.02971617628467428,0.0007033095485613483,0.0035366699801158696,0.0005207558616722174,0.0010315820467176606,0.00034079446116086487,5.945548575669868e-05,5.521482623549456e-05,4.169024789651976e-05,0.00012056813534346011,0.00020580952799253982,9.734609132228123e-06,0.0004331371981741994,4.944304644872999e-05,0.00016751173377801964,5.3469805400330195e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.02658670148392095,0.07784697244464445,0.01462688324873529,0.013796562405264723,0.0066291559013431645,0.00012405336755483276,0.00032730521804569257,0.022002081921335792,0.013102078184832888,0.0024734289293688594,0.0002764046063381542,0.0001657371756436099,1.806182224628472e-05,3.974777649795591e-05,1.9059430313994596e-05,3.6472325490866098e-06,6.618498799459971e-06,9.686446720058584e-06,7.253466716516943e-05,6.466865049392645e-05,6.069186425206041e-06,4.722775911925048e-05,7.896226530967887e-06,1.039735769070571e-05,2.3127135642120322e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07337293696237257,0.007033197722232654,0.01159083526751803,0.014561724771959383,0.00019627486335793698,5.2188095869043494e-05,0.003154115346612807,0.0008889775536388145,0.000389725493225912,2.149055376565734e-05,3.910340108070898e-05,1.7223147328104815e-05,2.8779013071078552e-05,5.305815562905991e-06,1.6015095407606594e-06,3.489155393276988e-06,2.576482104554856e-06,1.9116298657362307e-06,2.205586964176831e-07,2.407432257989228e-07,8.137014608999849e-06,1.5887408083559151e-06,2.2458784988410585e-06,7.988156331961704e-07
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8586848023639932,1.88664083988872,2.6584548481597827,0.07264309024132065,0.07802187300296315,0.027557518120446822,0.005995224896750528,0.005888297432441486,8.683247878671363e-05,0.000938972752399958,5.826026902422399e-05,0.00016565938655810353,4.0297327004612526e-05,5.4461616268985935e-06,7.812392722045258e-06,9.9500706616934e-06,3.288906118313617e-05,6.646673285182203e-05,1.2187650878514589e-06,0.00014989909793491907,8.759900253230146e-06,5.4197126056892975e-05,1.6119292871819013e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02578933511211723,0.07519239110897846,0.010703380628226178,0.01852790805357274,0.0013332961056289339,0.000524291547416178,0.00043818673189255364,2.490617485140234e-06,7.209886554848666e-05,6.666184140469156e-06,1.6074954011902065e-05,2.3321469129200523e-06,1.635841127001214e-07,8.346384463564505e-07,1.161690599493781e-06,5.6224602329457696e-06,5.5789819726204115e-06,3.119335867385331e-07,1.2884538232782461e-05,8.888499988257692e-07,4.4235175625795264e-06,1.5659575094417733e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0799768177459006,0.0044378187216360665,0.011777120601396573,0.0017378179816862627,0.0006767351294083568,0.0002215603497188745,6.911109291074524e-06,2.8221754907686858e-05,1.789605035495967e-06,1.0273414167816242e-05,5.52957184218883e-06,1.3881682685568109e-06,5.6290454275576e-07,1.3406017107531198e-07,7.270949926585502e-07,3.037166715902373e-07,5.893970733694687e-08,6.0730595099478535e-06,2.6118928031504396e-07,1.911310828162094e-06,7.927487815084788e-07
