 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,H20,C21,H22,H23,H24,C25,H26,H27,H28,C29,O30,O31,H32
N1,0.0,1.9988464727833861,1.9905973947546396,3.054536752759365,0.08861101456430132,0.19611178705075943,0.030751101872990683,0.01355501467771536,0.007634804111848914,0.2275144668681493,0.04859119660189737,0.035845585493562745,0.0027073658037850556,0.006955731551730862,0.0004812881693893045,0.0012792248936083495,2.9268645675650795e-05,0.0002998728708687448,9.065999219752541e-05,4.087144435482859e-05,1.6228479358768033e-05,2.5482087790962282e-06,7.915890114507107e-07,6.503638340982221e-06,8.33747145008723e-05,1.9766608212457015e-06,4.7762446497845445e-06,0.0001010752934651471,0.000593969942541156,0.00012943221341124578,0.00017592134476893811,4.1603093660858015e-05
H2,0.0,0.0,0.02707536620651707,0.10885094121540484,0.0073281864471252955,0.03416068135824324,0.002841642646899123,0.0007303529187516755,0.0008174611070870252,0.00758126006748272,0.003862799640356851,0.0005457194398706955,3.166080193706122e-05,0.0001931326715337578,8.159801619944673e-06,1.717334399575776e-05,1.6841834504788267e-06,7.237893819400654e-06,2.369452488082402e-05,3.7092053152276705e-05,3.864481435522649e-06,3.1886260298819025e-08,2.1021018192790564e-07,1.7458833032613086e-06,2.736668756608829e-06,1.3894905070976904e-07,1.3218859513663972e-06,1.887569861747096e-06,2.7488161635003117e-05,5.926527323341091e-06,6.8350100359548804e-06,1.7993031709018226e-06
H3,0.0,0.0,0.0,0.10663351308988211,0.03692119783490866,0.00900492604729708,0.0002669527969376695,0.00016298993809549245,0.004587095446098255,0.018932878366969774,0.04890524953242181,0.003328473208171978,0.0007381018711398735,0.00046557812806580223,6.412379837317239e-05,3.9466209937222274e-05,7.266832454444483e-06,3.823229518529203e-06,1.0378066915062156e-05,5.228697664172444e-06,1.944210507476285e-06,9.872664530341524e-08,4.274839544571307e-07,6.853396392614286e-07,6.938029551650793e-05,3.6877717159988777e-06,2.3320155142503296e-06,3.9109646655210994e-05,4.753863018114313e-05,3.104477695581309e-05,6.217187886070619e-06,8.026482360978804e-07
C4,0.0,0.0,0.0,0.0,2.111141987031745,2.813611699981351,0.08949980004549718,0.09159856644572861,0.08300688961518543,2.656989688724903,0.274708140556847,0.22798271000436662,0.01566033425449731,0.03569374052678312,0.005046597333442593,0.003888520968217124,0.00014237010376949577,0.0010676678347893986,0.00039006389639706374,0.00027375254734263166,7.030248489939273e-05,9.797894601648593e-06,7.7747095954539e-06,2.935384619218162e-05,0.001109924743860305,9.684708323964841e-06,2.1669431435888953e-05,0.002190868142547764,0.003052654373905367,0.00045753505118441284,0.0009600165042769754,0.00020601059269620414
H5,0.0,0.0,0.0,0.0,0.0,0.08121919510513675,0.004152068553394672,0.005184880229056166,0.03518923448317013,0.09561126102644901,0.024807295471507396,0.012031635762960846,0.006648167277965689,0.001843030882406671,0.000332438121508849,7.81572671826325e-05,1.550951985751503e-05,3.41477208753993e-06,4.091548976203896e-05,3.2400304189161844e-05,7.172054828030738e-06,6.565390879842425e-07,1.279721221880692e-06,3.1011733234720396e-06,0.00016219633173852888,3.2113961190294305e-06,4.030261343990205e-06,0.0001648525990021188,0.00016019497527719473,6.97725998630716e-05,5.576159369014011e-05,1.8005452720348814e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0155779208199562,2.0661112103228376,2.173365333904182,0.19602888906868046,0.039100607217515695,0.031077865231168747,0.0031009818255890442,0.003340286741129711,0.0002057272567747015,0.0009017464083447002,2.4407375637025552e-05,7.171174060394137e-05,0.00016936857026786378,0.00017182853041530777,2.2949501347749313e-05,5.08791525488661e-06,9.111555321350551e-07,1.116166783377004e-05,7.425313789487242e-05,1.9153523538317785e-06,3.4877478243267035e-06,9.789581770025535e-05,0.0010045637741986913,0.0006027384502090422,0.0002902236520569701,7.87564003408292e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0255172606770373,0.023826502702517294,0.007959700874934361,0.0015849466725227357,0.005462615025748407,0.002474753283204345,0.00043133674726614224,2.7419144585927313e-06,0.00026420867328913467,2.5171835336124104e-06,1.7518221331558337e-05,2.8805677233956217e-05,7.955163632056284e-06,4.730496957039421e-06,1.1639149988251773e-06,3.003609250207262e-08,2.9489946289373847e-06,4.114848422220874e-06,5.317579354624513e-08,6.166173009969356e-07,3.756204610683156e-06,0.0005165063910077539,0.0016360258844474451,0.0001995344203939986,1.1590564409136306e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024616701317933032,0.031206245856580495,0.006071625017466498,0.004500119910011202,0.00038530260612357203,0.0006967389746654895,7.282086180837588e-05,8.15388606543177e-05,2.598857420377243e-06,7.597060469599626e-07,2.5735645200475332e-05,1.5424425514387607e-05,3.0562766966113486e-06,8.379992511020617e-07,8.569428300297943e-08,2.387830924321932e-06,5.349922883812752e-06,1.4131671988160122e-07,1.457964511342169e-07,1.8477697248053815e-05,0.00020228277716638488,1.1818094338478247e-05,6.385640479644739e-05,2.0336353080185887e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010878628951656255,0.004279583378728025,0.0010258591058984745,3.491970125146793e-05,0.00010977721319394007,8.077354651137014e-06,2.5137423991239416e-05,1.332271317489031e-06,6.365047607648222e-06,3.7556064869104233e-06,1.9771608972263266e-06,8.712546715194947e-07,5.8330599683742435e-08,1.2101734947478349e-07,5.325895142682668e-07,1.7919050649073398e-05,4.610903063806404e-07,6.941862253917463e-07,1.5860750674612234e-05,5.029457390781644e-06,8.078639114228459e-06,8.511558886592496e-07,1.7609669322737886e-07
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.825367677392101,3.558201694994731,0.1384291302563554,0.267706603150129,0.02640312820770996,0.032195308117212995,0.0008094228733233066,0.003883201011686266,0.004923542472732467,0.00581731757536974,0.0007600263233273064,9.573165595000432e-05,3.489209362550483e-05,0.00032395405879337424,0.003792004273299371,0.00012124323158713146,0.00018396771275397406,0.005901718379779597,0.029901779507400944,0.005745441111218663,0.0057659578295671116,0.0013455568755094127
