,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18H,19C,20H,21C,22H,23H,24H,25C,26H,27H,28H,29C,30O,31O,32H
1N,0.0,1.020402109684484,1.0218330763589782,1.4610737854245868,2.081130721351426,2.4527849374305553,3.4151320047570053,2.670440585090449,2.7272926960648705,2.4986269028741512,2.820866108900286,3.6800191512393394,3.948184986423641,4.954210052805413,4.959588266988639,5.83159907507956,6.118641792757488,6.803458824960975,5.592811771124576,4.709436506464755,6.855262060726386,7.011019722843483,7.029929860929579,7.7499804326971296,5.785625009127512,6.028807053605107,6.75337423239862,5.069724627268693,5.932847532650738,6.00308118629995,7.052660205051733,7.697895142830809
2H,0.0,0.0,1.6155448181621248,2.036511429615217,2.3236728767588364,3.338763064247855,4.193601519623888,3.578600773355183,3.682471298313157,2.741861750523756,2.993494847013125,3.8108646147316376,4.146313457459326,5.040214186984774,5.091636958984857,5.6613711568807465,5.923509264638574,6.669087669183114,5.187173070579359,4.215520477877771,6.319482898289946,6.3511050755264575,6.488970532348504,7.275611475490936,5.419667172143588,5.51632941633155,6.457475913298658,4.834132202721803,6.185154744077929,6.344247235104571,7.298990912171973,8.009940143077953
3H,0.0,0.0,0.0,2.0139708764236466,2.9061418346844436,2.7375384336858692,3.722900197181437,3.1149106616297786,2.5952792866200425,2.571899277324986,2.447553478584443,3.912939990919785,4.371436645890658,4.99818824575057,4.7784130042192094,5.949288967407159,6.40566088499288,6.832003750433722,5.664552635153458,4.891869781528219,7.012144247771399,7.142666363015071,7.33516593207714,7.83433701025574,5.586549754783847,5.809448440484494,6.501947640106917,4.742921108410842,6.0209970433705475,6.235965605966698,7.010783362629365,7.697578537497241
4C,0.0,0.0,0.0,0.0,1.0983641941073048,1.5388315367865286,2.1946316926725644,2.165223682087293,2.1748765472187395,1.5434365855203043,2.422242855603479,2.4644045182478895,2.571849691922176,3.8324230879630568,4.021918428866698,4.854955063440302,5.050307555367597,5.818766842480904,4.962210215519536,4.18352704838939,6.276695148014282,6.649850785272126,6.3586724696617365,7.104317543989562,5.3768129893803005,5.8606422201492485,6.253650140276812,4.707563102051422,4.623228560090889,4.579662451523503,5.816967147738819,6.390519025348609
5H,0.0,0.0,0.0,0.0,0.0,2.158657543861771,2.5149699778321377,2.4914781085378523,3.070866579751815,2.1657327616681075,3.237886517788871,2.5758019666548564,2.3533128272717834,4.030003267895699,4.4798718074777195,4.8411548611209,4.799945689070011,5.874483075591449,4.977274090411433,4.116339178881542,6.1206664349757185,6.510063656712234,6.017617347985795,7.009803961024931,5.67744804394715,6.144923919242891,6.58039202353353,5.189930028215371,4.7469847886541015,4.540746991334894,6.038983111361409,6.559840780746928
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0961554288730104,1.093806955026351,1.0966508775206345,2.508394696950569,3.254607686600409,3.212835279578629,3.098471173233651,4.415328200160443,4.541795241522546,5.712233737140303,5.899581705316917,6.555431554787107,6.117465017866677,5.484774469183549,7.49507581037735,7.981549248147186,7.565031703125595,8.22296643349147,6.465781145317193,7.074340754347892,7.211207428531498,5.694730510660527,4.773292323262187,4.501873815894636,5.909009443254452,6.306179970784316
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7844022553553973,1.7742300347031008,2.758847027438697,3.6518986464658387,2.9941489125122995,2.6501887742781607,4.05991300262121,4.329962492173207,5.413069827941758,5.504159775309774,6.184251953280005,6.083015451984945,5.572272137344495,7.4261677973825515,8.045108413327071,7.422230412557289,8.074179043874874,6.561501436846748,7.298758020182286,7.203444536275087,5.862717105164234,4.091291579034223,3.62799778840552,5.236763293993846,5.508438230313141
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7757902356351793,3.462443425486773,4.206336492056584,4.159492254039986,3.911007599986378,5.437073427034634,5.618812383467996,6.669300800407757,6.763951588680159,7.554997033420082,7.021810572476021,6.299320646838761,8.339791247222808,8.77803322149864,8.337404113045997,9.126278708536685,7.4274800585676815,7.9697535648621995,8.222779461221045,6.676619065797835,5.752452862189886,5.349713506551427,6.9222207069619985,7.262660866548751
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.752676084319032,3.099442659372918,3.651198429937674,3.769457236557899,4.638712934849676,4.508654585169476,6.032600607969368,6.393786865604088,6.778560117991416,6.401602436593853,5.860660226377984,7.865205639614419,8.327723934158989,8.073374716892737,8.526637397783915,6.497957141802174,7.101418757546647,7.1795733149979135,5.600833170978142,5.0126359107344065,4.90649039389229,5.981828742003813,6.405067416022833
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2284080058774787,1.3689874624828189,2.0534504049327627,2.474233123178167,2.523693521122972,3.538652645510203,3.96685161456282,4.429181165134299,3.6838898963970435,3.1114823738546407,5.125263770848785,5.582177944438706,5.37111777424909,5.839106340770127,3.9711381774754506,4.5916252345074335,4.772806229899327,3.2733095472132003,3.525681996884829,3.8433432680364006,4.590757845550204,5.299406068917998
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2849521785535702,3.162931494791293,2.8367003713703927,2.398482682501371,3.8107107693145443,4.507552532808697,4.54539272115041,3.6919811974724515,3.267821531866889,5.194107248631566,5.5313149010873435,5.6734838405718095,5.824666307710271,3.4826906650284783,4.016007604880587,4.255683633256138,2.5615294879421238,4.033574893534642,4.613861264828655,4.830212198105339,5.636621256697049
12N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0138533268175456,1.4545103835992934,2.066250899640347,2.5103852266845466,2.7554272271391063,3.4260756959073024,3.109575306627941,2.737685945939146,4.45269948973854,5.129167732242934,4.545208694317248,5.084944340312627,3.795490138769756,4.6028255137480345,4.454512257909324,3.37739741274306,2.409469516747498,2.714002587918641,3.602545593371952,4.276112826210472
