,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27O,28N,29H,30H,31C,32O,33O,34H
1N,0.0,1.0199126369476297,1.02166008007974,1.4624982451814774,2.0859436906706805,2.4447962894697,2.5233466961683377,2.739817190332554,3.8120938816061227,4.338438397212038,5.026643795982115,5.461400402452466,5.621460974734551,6.459379391372948,6.005133058172119,6.990037695049867,2.489965654298788,2.7910283133190985,3.667993132087473,3.9336037889246183,4.911543806744852,5.058074338898144,5.436561355512825,4.793204692744484,6.326859647159373,6.135763135471181,7.325585845827081,5.583447638348052,4.622251352070181,6.294450437192734,6.107162577432214,7.097898518524829,6.228384685498382,7.1435575204192645
2H,0.0,0.0,1.616840958455126,2.036835476136743,2.305671498153294,3.32764340402006,3.420789788992382,3.7035334574894954,4.5641445835173045,4.852093023515792,5.853022176810566,6.375833897484805,6.166394270839272,6.899190973520752,6.7158392127351165,7.718239522785467,2.76201474998087,3.0097017493428853,3.814513754924026,4.1215720466514165,4.990211716867328,5.268321846135687,5.230013309958666,4.426022714020993,6.0702675254528895,5.933804586204915,7.067010282406669,5.478981968104469,4.59665245454611,6.188698427767193,6.24031538747379,7.299447564932926,6.2882903937138055,7.235693664342034
3H,0.0,0.0,0.0,2.0185136603705494,2.9050060393089834,2.7759601387839568,3.0078407543924683,2.6601259918272677,4.19490743616698,4.893879079565092,5.279205672208297,5.569623099621,6.1230409716949135,7.0130023022231684,6.363351138033911,7.313161147976389,2.5397319293459737,2.3787089949434583,3.870110132619297,4.342632600542677,4.9164818261924585,4.857448913819331,5.414671411006029,4.856398058740311,6.401008129912343,5.871218108296979,7.062507550036988,5.118003835236999,4.122838482741802,5.717959651502969,6.223366792267719,7.115722295454972,6.556797771016964,7.478090287641
4C,0.0,0.0,0.0,0.0,1.0948739653340398,1.5468847660246243,2.122580024728452,2.1718249294487846,2.5771057290439767,2.9542551226705265,3.8807229318825893,4.49712381167717,4.236968803114895,5.058630802164899,4.710862106761502,5.708707050037855,1.5435665682204724,2.4201991026898653,2.465101864708581,2.567315859944774,3.838070296802104,4.08000014394703,4.651977243080693,4.186212892366317,5.464518860108877,5.573536830101691,6.772726658478647,5.219307606216223,4.305502991933492,6.063115639001773,4.849170154100349,5.8429286514279175,4.910262487908624,5.78764114620588
5H,0.0,0.0,0.0,0.0,0.0,2.1502006984870454,2.48699453777685,3.057136667413879,2.745218267378345,2.6411868007723327,4.119767669183479,4.907388201789715,3.95449739442018,4.623786562847667,4.693297494742672,5.701492728080519,2.16294091293152,3.2346989073072328,2.5835384141853566,2.3403215910760617,4.035294846772998,4.532076331190893,4.758184548201033,4.205392423505022,5.40321525827835,5.897127872376137,7.038659905662239,5.772905101962595,4.952003172022121,6.682987997303163,4.854391976666673,5.945718307871245,4.613155280540393,5.4662887268251765
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0974719877858627,1.0983345716572603,1.505936958807419,2.5316445321990395,2.5932522357887127,3.058304122336672,3.6011173397527436,4.60381388378144,3.674907032590747,4.623237943166513,2.549165951577195,3.2998298384615645,3.263318639409975,3.158521563816088,4.534105259677234,4.571169113586817,5.679587870908662,5.431251877922123,6.471358695306179,6.555506708020135,7.759506352930966,6.118725003103932,5.187115974613665,6.914453965357801,5.282180196547562,6.096292875563152,5.390104707442591,6.128335711146566
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7569449600370413,2.1493552047622675,3.0971430585037973,3.06054816339034,3.4023417173423818,4.1130410078571025,5.092063687096213,4.141720018467421,5.047906952252732,3.455531251505925,4.159406590741729,4.222568739626069,4.026627331945203,5.5619131552439365,5.647254129997043,6.627120404111479,6.269033609907229,7.4045879518988835,7.52458996183529,8.734539213282913,7.06218229652509,6.102621134865539,7.836824738405121,6.299706692195847,7.146252581014749,6.284859632048187,7.007648247731422
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.145185906628943,3.364500996751826,2.810334928145849,2.928679398392532,4.273184080231705,5.318342110756361,4.0739566818201975,4.924726182496444,2.7534684961235474,3.1149965066890917,3.6416874626119404,3.7771820895135653,4.696705242258394,4.475073854473185,5.8639626738394695,5.712186796572516,6.750978579001837,6.510341166160009,7.718243327378587,5.880266082564696,4.9220336479656295,6.5680871215123275,5.540092625556389,6.214688629624601,5.894883360560861,6.625447125722355
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3854218485240777,1.3751249013935456,2.2479292683722294,2.1604964780271145,3.213807632911545,2.1980791474757515,3.178367241589806,3.156625115687583,4.103201989630414,3.2624144009604477,2.8159961295013747,4.397497178667521,4.515972457579757,5.760341062507085,5.710921672308358,6.377682760195429,6.78920277561819,7.923515366822606,6.569798537602212,5.759613946646301,7.42686139133032,4.70537206908249,5.413677205729781,4.671069258226528,5.23806350044038
10N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2542126733602466,3.3170842141506425,1.3178089905102248,2.1395471255023515,2.2125821024127,3.1812741970550293,3.3596167560761567,4.510584948204812,2.9697128692248147,2.1558782330999464,4.08438161519016,4.505768255271774,5.369050980629179,5.318858033620845,5.7823607027723165,6.616860387204591,7.669749490963081,6.675942709483759,5.985038786704653,7.617660105361735,4.107816390784541,4.924179382529929,3.7172431846042677,4.225341240420644
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0798358463085695,2.2095091188470257,3.2444398576044455,1.3816195208388975,2.139190462435341,4.295887131351541,5.091996836306985,4.305469973638529,3.8742767664842304,5.188009156456045,5.138007803453445,6.677011224559774,6.79265316234567,7.252307995596404,7.614831153284786,8.703359132704973,7.366711579127691,6.602317110473818,8.164399850511174,5.2455429674710725,5.696951175310694,5.3017805243545295,5.680680369013136
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2362657965368724,4.223600456748316,2.1579066341706703,2.5521111574094446,4.910698371988448,5.517897828218421,5.092452645376626,4.79935011686732,5.892709828241184,5.668668545840051,7.393595253859418,7.5422670618686025,8.038223625219327,8.184130823923786,9.279044434657399,7.7931975780609095,7.005053136815797,8.506229685581369,6.017784079921342,6.349245723918763,6.226717801587861,6.59042365658139
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081643036809177,1.361245654112562,2.123350178609979,4.487884344190579,5.574472126759376,3.9045194492128767,3.0691810802851447,4.724233292553697,5.090170863221117,6.099496045375155,6.225491402924968,6.374115643925552,7.338016609590763,8.305212754543579,7.486292516078569,6.881021628207385,8.411458067736943,4.3390964782188854,4.914312943769596,3.8800889088302264,4.091380070685233
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1486543426674367,2.5492723806299287,5.2101434549883585,6.3283938320394375,4.412446080538193,3.4952969416133417,5.073924243464667,5.568453541069296,6.34774722645013,6.517879477733856,6.4400118932373775,7.6648903214957365,8.532626729887,7.987888868498473,7.4804157659981785,8.934603619662594,4.412190145392526,4.931398523275692,3.701603867009263,3.6960188371391225
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0100008043630104,4.987972353814037,5.912996688957921,4.625800259765778,3.984235755279658,5.362782885108332,5.467637028191719,6.860049797447556,7.067042595089965,7.243071036869809,7.928989038575961,8.923776976253716,7.902471557210664,7.252315056711561,8.751247019949496,5.034906929176635,5.398559662852298,4.868868711062453,5.036180489092344
