 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,O27,H28,C29,H30,H31,H32,C33,O34,O35,H36
N1,0.0,1.7720242313245258,1.986868197584533,2.955026730168922,0.08594737693416787,0.1828017216895481,0.00984950429979703,0.04302300649931717,0.0008483494761046817,0.048650632839270735,0.031871421476124595,0.003563161519847924,0.0006349190335783739,0.0009387459902752138,0.0043380549856536915,0.00029294800861623393,0.00020754571014647283,0.0010314602431940045,0.22843944862555285,0.054524005583673416,0.034140964867558854,0.0025334384777263574,0.005937599233282229,0.0006079959347894404,0.0014522532594295617,0.0002405248820678274,0.00013925839987005695,9.64670499122855e-05,0.00023844336508668795,2.8423426373769267e-05,0.0002086383772343936,2.039819426269407e-05,0.0004851519522876824,0.0001062564122867593,0.00014961923358487034,3.455014149267299e-05
H2,0.0,0.0,0.027355838484628192,0.1053733289925457,0.007572960549796948,0.0311572343372567,0.0010347453747918678,0.0017342516241790618,6.032874146066902e-05,0.000372020560105657,0.004059347927959034,0.0010149360718749723,9.402425063442799e-05,4.437261454115493e-05,0.00014020989061525047,2.0028484311040984e-05,9.423482381754056e-06,8.328146990854712e-05,0.007521496035927444,0.001568991755869109,0.0007382302512130012,5.254057474579632e-05,0.00018228429227862275,2.9469775023605038e-05,7.338206743001674e-05,3.0981822375153456e-05,1.3017502504819589e-05,6.662322114880936e-06,0.00011646807031506778,7.90709507159093e-06,0.00020804562648479852,1.459100104606037e-05,1.6937623191326523e-05,2.746623223304212e-06,5.4733361770642475e-06,1.6320396833968687e-06
H3,0.0,0.0,0.0,0.10472707146029303,0.0352325198423169,0.008087691203310654,0.005490540019151391,0.0007592331102653782,9.029742334409896e-05,0.00036451696919348464,0.0006539080088554527,7.660836766154588e-05,2.5881923293891163e-05,0.00042124258674425263,9.389901384415644e-05,1.5293414201700273e-07,1.4322378213416087e-05,4.595770093618334e-05,0.021762140322481582,0.04681811381293477,0.0036035564974298273,0.0007410053250114235,0.0005237786685116097,8.007762702133547e-05,3.66175144357328e-05,1.6581320279041023e-06,1.5372485217435283e-05,1.320241106239628e-05,2.8398955415176452e-05,6.757044186622707e-06,1.1132093790333641e-05,6.125170659787571e-06,7.091656627666865e-05,3.769460774361022e-05,7.885298270227104e-06,2.05894280602692e-06
C4,0.0,0.0,0.0,0.0,2.0062471837005242,2.5687403107332445,0.0810713459038983,0.1706864046112,0.0062320790263090675,0.017140780047790294,0.16255299976585447,0.029996672024036553,0.006529249998517006,0.009377016053139453,0.03203658096258344,0.0033798864597820444,0.0008187582202259236,0.0006078628373906714,2.4783456021966384,0.27651820853210196,0.2313799094310825,0.017276338762002075,0.03658249507743383,0.0051161016766282374,0.0035044700955331465,0.0007844367985777589,0.00042595752727331293,0.00022658308269274396,0.0011269598684580384,0.0003815630215151522,0.0004144229324227755,0.00013664151354375598,0.0035095536615171175,0.0004823891717773837,0.0010506405789905832,0.00023010259720546156
H5,0.0,0.0,0.0,0.0,0.0,0.07588178519077027,0.03505880427261099,0.011800646940047566,0.004300226757796732,0.00045089552491650586,0.005895672461050716,0.00017978601424584184,4.492917723286638e-05,0.0032958974964316656,0.0012300591290066443,2.0789277017208008e-05,0.00038105353117101615,5.010291089035945e-05,0.09433182331008116,0.02199582915460596,0.013389072445088024,0.010628502558791553,0.002121347064452994,0.0003489046528639683,7.197345636766883e-05,2.3726900257425854e-05,1.5459610227863685e-05,1.051592857392869e-05,7.708056430710819e-05,2.835400599665583e-05,2.246259989235888e-05,1.897082889534829e-05,0.000110536594041033,0.00013502432852074975,3.848217195512316e-05,1.1122280923814287e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9929153976084135,2.579106948417229,0.08244488690731377,0.08862794743659719,2.8229637254771216,0.08837994538410276,0.08569890001949254,0.08279875407117299,0.1651960499687276,0.028844117237866396,0.00948721110612527,0.006099855157397194,0.17952588115297824,0.03515950957074353,0.02853521703976518,0.0011333703748254154,0.004155971367295702,0.0003358545921734457,0.0006639032269856737,4.9231240845326596e-05,0.00011536887402628648,8.104766851635414e-05,0.00026314825967604927,1.5070752226620243e-05,0.0002466600287647225,1.4188763941769267e-05,0.0008987660986126411,0.00020053503575546971,0.0002467318397657292,8.085304536609161e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07829145308735352,0.034840015846292705,0.0026597698841868134,0.08437278963161587,0.0038971335334738733,0.004960674112887364,0.03480771570744401,0.012107121565176682,0.0007319880810268131,0.005540050768186422,0.00011609336096340961,0.008079113653904901,0.007358032627663547,0.0015566395098915997,0.0006377323762534193,0.000153966821738738,3.22381785979875e-05,2.0322219033364064e-05,2.834143898455821e-06,4.639682585017013e-06,8.226291769330984e-06,1.226210625149271e-05,3.1305087146993316e-06,2.947249184703793e-06,5.310789310319919e-06,1.7979324897110516e-05,2.7487033298578822e-05,3.787258483045619e-06,1.715194757334615e-07
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.999292385235638,2.0982388272561083,0.16346375874944613,0.008126037681173148,0.031392915493539286,0.008489037641441932,2.7427360153136635,0.09147766634769039,0.08026893800246371,0.08058842887442297,0.029041275686783857,0.00732978784270874,0.004248347551612033,0.0001593102919106304,0.0008916732574392461,0.00012662762285398088,6.762000934706913e-05,1.1833092040891557e-05,2.0248656218774252e-05,6.086236952751456e-06,2.3134386780157556e-05,3.649405028616215e-06,1.273371252574762e-05,2.2609508134596723e-06,0.00023520115875563796,3.0477980879892175e-05,6.0153276885466234e-05,1.5380560905997598e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024165527561107014,0.012632293311824583,0.00023592100083025258,0.0008400504426844257,0.005282625658737272,0.07978405034425551,0.004076183758063845,0.034603121550316196,0.004927694698194873,0.0007508496481491989,0.00048019158615586477,5.2130481891676794e-05,9.529373088845716e-06,1.0112716316346138e-05,3.600063986031188e-06,7.808914805895739e-07,9.275384083018423e-08,3.894751487987236e-07,7.708045357546212e-08,2.6149852454526723e-06,8.097327348632888e-07,6.249367459076893e-07,8.127701545124211e-07,3.4566750208853136e-06,3.81687009354259e-06,9.748398855924378e-07,6.56608998284014e-08
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02881673592447065,0.0010569362599439636,0.0020010806001913295,0.0003459073485951869,0.08537282685818881,0.005228653542498574,0.004645904433149273,0.03282026886315048,0.0031490515381664697,0.00041382972461412315,0.0003869890132890408,1.4632850228402106e-05,0.00010274884857319755,3.115202815484608e-06,6.585763612454443e-06,1.995147518529805e-06,4.803029122202318e-07,9.800947942117944e-08,1.7824414244582698e-06,1.7523771655980624e-07,7.24054026512988e-07,6.779528494149645e-08,1.5493284107659377e-05,3.4704924731787656e-06,4.028530460553625e-06,1.2830922189177585e-06
