,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27O,28H,29C,30H,31H,32H,33C,34O,35O,36H
1N,0.0,1.0198466282788696,1.0215782287351987,1.4681782811077901,2.0864600758880445,2.4754112083198683,2.634110899427164,2.9622035481347404,3.4934088187912287,2.4630761024153927,3.84302734944113,4.648881793188688,4.1586256619852335,4.203194424262616,4.256357844644242,4.869172035507392,4.299140719968898,4.988885512474702,2.470159218278767,2.868898009021233,3.569055301461812,3.8570139856308585,4.85568747342241,4.970961118039011,5.5315421909627185,6.549598336900685,5.883482596403577,5.160431678335541,5.1495097502898215,5.28590971569719,4.225734494425137,6.0025415072432,5.92704757454424,5.975669719828456,7.110628041602736,7.780753081773375
2H,0.0,0.0,1.6265700954196267,2.0497430328503,2.3193103945416826,3.3613773764509656,3.6089570084442912,3.816692062401535,4.165400260928635,3.2547189776378764,4.5998378066966294,5.494778399771238,4.840293456266626,4.80671967651341,5.187745615492203,5.726900162927129,5.2885450033931125,5.919420802199696,2.737238103939535,3.172532020068226,3.5985525354084067,3.9105467999558363,4.856710286352686,5.110960802613318,5.260322039640246,6.321475787341845,5.463279271752169,4.6707132595785525,4.760961146413003,5.046084690391352,3.7371921680135354,5.488165380447649,6.0002712951837545,6.091295910434654,7.1795009880082,7.875203199162917
3H,0.0,0.0,0.0,2.020935606526106,2.909418161083687,2.774691688529286,2.520031240622082,3.4832460684447715,4.209303895024742,3.0385897333973477,4.113119150686947,4.851790605978788,4.246794315112193,4.680594230970695,4.553823908507444,5.255925684478074,4.355694641022718,5.270037646437513,2.5291970580044953,2.4558490933652024,3.8120198709869024,4.312166408225071,4.903739966021415,4.80828422035432,5.553597291978893,6.504956517455121,6.12532759908265,5.505440352971892,4.99244512270626,4.927290550159719,4.131313010249706,5.859914348398443,6.105937957581324,6.326650386537312,7.177711420539345,7.920503700246537
4C,0.0,0.0,0.0,0.0,1.0993154541759995,1.5552907925166704,2.139088133867025,2.5398963603272025,2.8677778226290305,2.6129188079871386,2.5642267242470713,3.5181894894935497,2.8519593707608286,2.823545689994242,3.920050274202556,4.699087988490065,4.171723210176149,4.367648643305994,1.5381948784875392,2.4146227345979754,2.47564703767222,2.5989738630388093,3.8341139138797793,4.023760264755557,4.800747864085079,5.772227914618251,5.149939174570334,4.509406287966613,4.813203098229269,4.99484425805092,4.074542927638634,5.780614437362536,4.6857220333887915,4.62096968099534,5.916391726144108,6.505505775084539
5H,0.0,0.0,0.0,0.0,0.0,2.1696157174521193,3.0442308684988943,2.72573048228374,2.616804861593264,2.8190039659439634,2.8636944188132483,3.8390466566929278,3.2974960296760147,2.6885564142241,4.226388010511,4.857385219811206,4.716532255217095,4.625320355835277,2.170642714862805,3.278400177566606,2.53660621824267,2.2768453225266776,3.989632799702181,4.4446134625323275,4.873416465967478,5.878634459741845,4.9169036147128224,4.178293634145599,5.07420561941898,5.465987842625637,4.319768614827464,5.96328119982285,4.626911475345419,4.340283197971452,5.943628274185191,6.4313602677606125
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1009749246576586,1.5426996070084793,2.1649546744496346,2.1497928578148597,1.5375544020479888,2.182319592431975,2.1987729844080968,2.1905203896858008,2.584425371876918,3.527465703625373,2.8463300683832853,2.8908380806627614,2.5419646484532956,3.1379356750947625,3.45212251607613,3.4286933565299726,4.625142167815316,4.604029939828712,5.870529207416374,6.719980092208983,6.338040572261711,5.803808180411871,6.024669637924068,6.036768421621488,5.421133661578321,7.060932390577545,5.204341569317067,5.00823026681268,6.3639423658319805,6.845261715442902
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1592485482668247,3.061472176464921,2.5474907645966116,2.1510615864018527,2.5256452707927246,2.4813951299178107,3.0774945504592806,2.737385264696945,3.749209322813524,2.5529214205581043,3.100923906764998,2.780542118365537,2.92376760167093,3.928758541950161,4.145805746032246,4.928825652615557,4.670648822114724,6.14776409676546,6.942268376715474,6.817443637718021,6.348663468552122,6.12018804445726,5.942995967094617,5.551971130363535,7.170039887836556,5.662477987546,5.658379249108936,6.700942246414216,7.261278076264368
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1012330571833546,1.0947608175337136,2.553190287107125,2.7694116186127875,3.5148864193778064,2.8585135584473766,1.5338596887378877,2.177578673811096,2.183317512165549,2.2001179927420327,3.9027599456993816,4.556729982957429,4.726796792740894,4.508874760143965,6.0146015386878,6.101844501038989,7.196627700804592,8.101245504548938,7.482820991402256,6.834949522494323,7.329814503844225,7.427788278126951,6.611027381814478,8.316112583258338,6.493399210350768,6.104637021953141,7.712164805710295,8.109567763727844
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.761743235390676,2.7269877885689975,2.991315718677242,3.769750975179732,2.588086147050081,2.1656794698459088,2.50698394303543,3.085503151780317,2.538802264894014,4.231939882663184,5.103255989883481,4.770865522071728,4.327479162927218,6.094661102474029,6.353415479682957,7.260552739960665,8.171187453356444,7.355010576904821,6.677050683748679,7.5582713457442,7.793616176588906,6.849884513371303,8.510427152231557,6.383976460048419,5.811264744722287,7.650979941528888,7.948291926608495
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4722425516972226,3.8050087233956775,4.322579243471291,3.7722261372114536,2.159713088684991,2.4855862185260755,2.526548634666311,3.0896737648603625,4.093424119467973,4.670464415423557,5.035545022764818,4.916616281202368,6.393566819820575,6.504073412720985,7.4099677064138865,8.381453455726307,7.660390606345042,6.932132778134415,7.347263727690577,7.46929104939865,6.511856859255587,8.272084582293616,7.05684204669598,6.748831503628067,8.302843237428373,8.775274948895083
