,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34O,35N,36H,37H,38C,39O,40O,41H
1N,0.0,1.0215970896678237,1.0202282920778705,1.4603702346255452,2.0716014907383093,2.45001242966482,2.499300793494148,2.7743557692268945,3.8159573562722233,4.475272651469631,4.363102103750807,5.041808123267254,5.806066270660971,6.510922383372509,6.1018977696687635,5.623430475039125,5.2104103889292475,7.413911252304534,8.256251113518983,7.000652110852166,7.623550693270247,7.782139027537953,8.852472990874867,2.4981869341029284,2.758301441584372,3.7341270034626333,4.021341113456802,4.95956791508637,4.879076758767859,6.039577442719734,6.931671207836754,5.836085909248082,6.572036350183865,6.2679533712245155,7.708633273021746,7.938894001114127,8.154308353808055,5.795680901483366,7.00857490534658,5.316429341217756,6.174748377467548
2H,0.0,0.0,1.603775708574631,2.0234921393367094,2.915320580086308,2.654114260286209,2.7694898253150386,2.5523098855371615,4.116241415018084,5.01337415539922,5.084184478719971,5.142756328784552,6.265528301464821,7.0415893890705785,6.347801250995682,5.4701213884487965,4.884101082812057,7.576054420270573,8.495720633808538,6.831832582941628,7.326721714121257,7.763472766001978,8.804454077571371,2.691237252189869,2.6792181155849564,3.983444921086034,4.389258939354738,5.087610935626025,4.9414542017866845,6.347329611053043,7.162297673793834,6.281422804818145,6.941933153332395,6.771276162900517,7.976390246934973,8.09251669072764,8.435645678222883,5.696273406163833,6.91190046206018,5.016474305766116,5.7938159273658325
3H,0.0,0.0,0.0,2.024661324200055,2.3847447601025245,3.3357733317477347,3.4784931944538706,3.659636244878558,4.586907920515549,5.093401822049101,4.843687311586921,5.834850854068338,6.427398555001041,7.0350197240177765,6.81631350050807,6.457357348139034,6.069369176531504,8.132976703661427,8.931966916067642,7.811910284344501,8.442073726426173,8.550969484945231,9.615390648464173,2.6014970436118894,2.5473978769986974,3.882840312206963,4.322812641663611,4.9471405189886895,4.674711450706946,5.958132532299375,6.785590039527937,5.625615745132141,6.680889118544145,6.449291868464762,7.872013752966898,8.076648045392437,8.4166694072635,5.934495953881658,7.128482566484448,5.5942171384772275,6.49205030477649
4C,0.0,0.0,0.0,0.0,1.099381503757726,1.551784723006925,2.1307782460297657,2.165673324481104,2.591596242920426,3.17634046312504,3.165917926787971,3.8529856580527304,4.4654949928172325,5.141030711299886,4.792294183870045,4.622109046659259,4.43679688414271,6.111842591886069,6.91046819432595,5.952870156734636,6.690185056290967,6.583656601658505,7.6557023738708185,1.552522177072589,2.4308679526866315,2.4778137936969964,2.595663481792257,3.8470256993938503,4.029320933021328,4.837093416785984,5.801244341157172,4.7220901006224,5.197698273084087,4.855640282585537,6.322585736992322,6.614291877157873,6.722825693137949,4.714667179431801,5.896135608729031,4.388767454739362,5.2841692747898
5H,0.0,0.0,0.0,0.0,0.0,2.1625689583764123,2.531598424923346,3.058524215274512,2.7552836760251815,2.83518443329395,2.471227811587362,4.150675319567938,4.1793235743677295,4.710451572643578,4.81599718141104,5.1674955684962365,5.168649049676612,6.189699363395368,6.8582628359051725,6.44277289486985,7.287632431646318,6.87373691292161,7.946901422710843,2.1500680444888984,3.1006575789614965,2.718358097883029,2.6015310636754867,4.088111962439994,4.338655561004372,4.753393467130233,5.782392911706392,4.44534154358461,5.000375836794319,4.461489928781656,6.233330292267282,6.669541172054352,6.604513130544552,5.175790848221125,6.289249071577528,5.093432985624783,6.016230054819768
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0976000104171209,1.0983699712170558,1.5069319359703657,2.5869878418234724,3.0105823743985987,2.636329037046343,3.7324274609391033,4.609116003974539,3.7742341241109054,3.3213279648748535,3.1411834986003666,5.052612225270691,5.944751320543823,4.691724262116798,5.424924527406413,5.402778285598721,6.481775354952184,2.5939740189253286,3.5462873150748253,3.0790098614072168,2.8476529213145305,4.450276655064519,4.8943490034816195,5.4583979835957,6.4360646236197265,5.57284381331328,5.4636009404266925,5.035621430820661,6.397770013710604,6.708384528140923,6.593425020438721,4.928867524680228,6.04622452435692,4.37644457560585,5.1116252133027675
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7555899060568514,2.160688709276218,3.039125328016121,3.305143966180638,3.259422444692541,4.207845524368869,5.097156910311311,4.3377934298940515,3.898050268706692,3.6507551141709342,5.612827800236861,6.479681698915899,5.250164594068544,5.9471357276297505,5.970610711617715,7.0391848798975385,3.4879661256130645,4.337994808535958,4.105046787002056,3.8341369725675154,5.506117581253332,5.899089868772325,6.464569703601279,7.467800732346778,6.4885864765223555,6.427247099452642,5.877464987417767,7.3891859474176576,7.752974024094913,7.528959891974257,6.024685974375634,7.142646332334122,5.4318134763394745,6.13507647272246
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1349074238959367,3.4328277386190416,4.0150034404492745,2.737001336736689,4.376325453767983,5.296082841883106,4.0840360037510814,2.931877310593347,2.437301366444629,5.191640014821782,6.184130096228768,4.308815060277431,4.8669867945003675,5.258641220560765,6.294695141449623,2.7718618776036523,3.4779956531418326,3.3237717929462165,3.2958586222699946,4.51452025041184,4.894113916883791,5.7276934789092495,6.604174352681414,5.995233021518482,5.826088648979462,5.594210645768705,6.618113784298183,6.776656099005681,6.835875604889239,4.693677000296921,5.807742215098678,3.874343544090927,4.49972972273841
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3756718890198432,2.229585514950142,1.4462071425784984,2.267829843843614,3.1945374257012884,2.3102119127331324,2.624488877489751,2.963604062913899,3.6508885559175255,4.479322949261706,3.821920361555818,4.748067545615884,4.218363292880583,5.303571430976431,3.234967381241749,4.382587548727165,3.053694593373556,2.3810377514220353,4.318351858599807,5.056676070061818,5.028197577910762,6.03096734290492,5.25419332303156,4.630512997063173,4.058875440822757,5.445597319933063,5.882894656458389,5.46139012383019,4.696214739304838,5.643096217071844,4.369505728904227,5.021949014938972
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081801014907013,2.2537647926749953,1.3842623063369228,2.1037232960142123,2.2477073069812774,3.6464202210582295,4.211890535915797,3.621272366777004,4.161634397248859,4.5930903540030945,5.62697194829538,4.582905319238297,5.611271395103972,3.7854713374721545,5.0107947959703605,3.336389982338432,2.417842868370163,4.5293908363010695,5.347717203773623,4.821243314967788,5.874923023041913,4.890044907274691,4.181524368036925,3.305860572681891,5.087457706831254,5.7321167352321805,5.02303339479741,5.150588185926985,5.9803228213984845,5.160526730410868,5.852168703121946
