 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,O34,N35,H36,H37,C38,O39,O40,H41
N1,0.0,1.7051942908575652,1.8768055302023572,2.6911000396176776,0.09507362237814965,0.19038765211546926,0.02573093357439249,0.006200859206258347,0.03082246947299147,0.005750896475189601,0.0007308697553126686,0.004668885403725731,0.0010609039069035126,5.048998989931608e-05,0.001292703508414969,0.00042349499579970307,0.00013905914401657338,0.00028677589905178047,5.531933382207921e-05,0.00010011644371801798,4.662502527730261e-06,0.00014872307802121787,1.8948322451084465e-06,0.2281328101117101,0.048316616222280624,0.03435342159173244,0.0020072301759381794,0.007594503641823985,0.0004469763143777339,0.0012500025606650006,0.0002485005289666331,4.559669499470953e-05,6.435893522793723e-05,5.739179405243877e-05,2.30879843500717e-05,5.86329841234523e-07,1.5017561351138298e-06,0.0005727193444686057,0.00023024245237052848,9.526218565087535e-05,8.440826162359194e-06
H2,0.0,0.0,0.02673445198965152,0.10675982412526352,0.038225455180710854,0.012909460831170172,0.0006638252498614161,0.004971393780653921,0.0009403711748767751,0.0011685409898988253,0.00029636309627978363,0.00010418625058195019,0.00013920917424115054,1.8262797796708696e-05,3.776695776036565e-05,5.140985387697139e-05,1.842083633940561e-05,7.192896452790087e-06,1.1402841597618618e-06,9.777942240662973e-06,3.191478539221748e-07,6.957911600657951e-06,1.4217593207188628e-06,0.010225883308699779,0.017703362029020786,0.0015389018327750525,0.00020661306622438147,0.0003144003732662437,2.8665994060483868e-05,5.5464217988188125e-05,6.822905959102954e-06,2.6284913956509115e-06,1.4338753008047433e-05,6.372184315983631e-06,3.6633805061692115e-06,1.0928251104047604e-07,4.945924820809466e-07,2.2631563358355145e-05,8.425553044477674e-06,3.515124032626993e-06,4.7289806515138366e-08
H3,0.0,0.0,0.0,0.10834647539439024,0.005007188246562322,0.03463524461300216,0.0016956397140723833,0.000349403316720176,0.004807014417597122,0.0004418911631930422,3.074656693824451e-05,0.0010559025577892012,0.00010061629109048287,2.0575767321284744e-05,0.0002414003281471233,5.730435809858658e-05,2.527641844318751e-05,5.939717825875768e-05,1.682975526939856e-05,1.3105909239308211e-05,5.157932441157698e-07,7.2534321573503036e-06,2.5397188929687786e-07,0.014808097542613363,0.027864240433080223,0.002422924042856489,4.718559889194118e-05,0.00034732858417840795,2.504204728692727e-05,2.8383252816066573e-05,2.4658051691606175e-06,1.1987606149954644e-06,1.276239027125925e-05,5.754497365728639e-06,1.2429930883461893e-06,1.0395652272343625e-07,2.3495159173769764e-07,5.647725455382169e-05,1.614452108444908e-05,2.260471588355628e-05,2.8635469107030076e-06
C4,0.0,0.0,0.0,0.0,1.7281646867574598,2.6778643406518863,0.0912226268834253,0.08192356826386926,0.1745282461991607,0.03923957870023109,0.003981191500280756,0.023651876024112284,0.008300850942385057,0.0001829793597654117,0.005286575799700405,0.0025100943665722075,0.0007344328716372139,0.0010160396420905438,0.00014591244440076423,0.0009195099810683782,2.2580026994178937e-05,0.0007224321962083502,1.541925324621829e-05,2.6647235911982,0.2812437553459999,0.2138107150680151,0.011878512339087655,0.034811936686424155,0.006287897826429023,0.0037102250175784224,0.0011201737015005264,8.637785550358323e-05,0.0003565378122064311,0.00030402387129294106,4.980699714433878e-05,3.6160404879304053e-06,2.3569395678491034e-06,0.0036974280054400954,0.0012841582073780666,0.0007341427796636601,2.8273717695870282e-05
H5,0.0,0.0,0.0,0.0,0.0,0.0806257355206994,0.0037678279624822064,0.0327508376795711,0.009765364134717291,0.008625106715761888,0.006459231979355717,0.0007467077974530056,0.0007993603132527838,9.379187284253021e-05,0.0005558066349076185,0.0005305639769315196,0.00024938548148334405,7.442697015647148e-05,2.1733892252573384e-06,8.048189157439101e-05,2.5971897723575665e-06,6.368112892030098e-05,5.4940233482625445e-06,0.1010454619723209,0.02754731935622301,0.010790323928893675,0.0013958824262183533,0.0013037638590822631,3.8337456963022376e-05,0.00022397526806772206,2.0943681727336738e-05,1.1257236573358753e-05,1.5110444553600999e-05,1.3508755033919684e-05,4.3194085237452384e-06,6.05298720035563e-08,7.61460408060799e-08,0.0005636201354828341,0.00014220857112345886,0.00012739866113598008,2.1413054727137393e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0781678084090403,1.6660754263456727,2.599294207154113,0.23939814556255354,0.00521948023985952,0.19277306277985107,0.04608959615049257,0.002539295949053,0.031662790479160347,0.017032611585073562,0.004903561461709227,0.004788157791725742,0.0010268980419940732,0.004026647697682545,0.00015313373551317788,0.0019499112166567883,9.118632788962522e-05,0.1629068442813189,0.03717082890143596,0.02381262421332518,0.0038965506266225303,0.002647373439511075,0.0006255867998112841,0.0004932141672543966,7.083125853635241e-05,1.3016867548065747e-05,8.988820292951671e-05,0.00020541487209789488,1.853284164242408e-05,1.920638006414066e-06,1.512042202111985e-06,0.0007770122328896734,0.00020785096500795797,0.0002886694290561015,1.7610806062551276e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023769535676362086,0.0975896182811502,0.03533618263548166,0.00018129667170674324,0.016241602118435283,0.009164350756723727,0.00016794085693394578,0.0026252502000729816,0.0009165702914033513,0.000191160527362344,0.00035620847536710354,1.3358138867713976e-05,0.001050257670170196,2.308900146408277e-06,0.00033154600944274026,7.534948593956869e-07,0.028972815574942468,0.004089307313179469,0.004949420342595157,0.0013394725773403504,0.0006005899176009244,0.0001988810823121412,6.57434151776215e-05,1.2905493467219031e-06,2.9807656380942404e-06,2.0713110219006126e-05,7.632642835908587e-05,3.2369723078629065e-06,6.860365031613469e-07,4.841830323343288e-07,0.000307438514244307,9.24680096912045e-05,2.1722938240875678e-05,4.419697625213104e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10524334237761912,0.023780695923808715,0.0003907588340295032,0.013505893877745034,0.0031804955154741688,0.0009117566774250463,0.0014097431693216311,0.007016569658498284,0.008361345579978252,0.0003241551340544824,7.687867336247933e-05,0.0009861445516484713,6.86912292695574e-05,0.0005793881320910188,5.593769712675112e-05,0.010946086078863715,0.0018281569509959184,0.0011558304415588694,2.9065713696985185e-05,0.00019441168008449417,3.0112319721053993e-05,2.679784654180395e-05,4.733612959384459e-06,4.4417447209177396e-07,4.52072203471765e-06,5.998352432312615e-06,1.441610151475814e-06,4.361014700471344e-07,2.3190083942026263e-07,7.437630700102282e-05,3.039113102887292e-05,0.0003802052230961195,1.377073562713882e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.998270217792059,0.11700322707475985,3.2338106165632925,0.48272390384687824,0.028696561225888373,0.3447586262547234,0.22603900877857983,0.0082715783785976,0.03961867088996754,0.003844604631265236,0.06952412078069282,0.002928653145183091,0.025740890539916045,0.0003573674932439985,0.01086671822704044,0.0038154109309569417,0.037002924197250486,0.0686473315630789,0.004070679638877472,0.0009001294093398116,0.0004741088364766388,7.596163907797049e-05,1.543484783161908e-05,0.0009541193070037313,0.003218468642580047,0.00029632302351047246,2.3595439273882413e-05,8.508866359835388e-06,0.0003431346671705082,0.00013343019978130644,0.0001581888625939859,1.4943745065165714e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0319553186165704,0.40210537785279715,3.1242123991650574,0.11269897448109623,0.4555407227391043,0.1110627131192519,0.0009126037046867097,0.07486223767356037,0.0007303461922159027,0.031071325872546088,0.0009680482517564482,0.07750585412671501,0.000905076424079887,0.005296522821726074,0.003148130691748602,0.026848622285297136,0.06495092340350361,0.0034552918059084226,0.0006980447682262136,0.0002619232248770864,2.3647407404681076e-05,3.3446306839213236e-05,0.002308253275502048,0.01224953293706127,0.0008125390593779064,5.5200553186196544e-05,5.222452746678208e-05,0.00023130120060649295,9.732358813059616e-05,6.507171910827281e-05,1.064568615438688e-05
