 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,C15,H16,H17,H18,C19,H20,H21,H22,C23,O24,O25,H26
N1,0.0,1.9388576859443543,1.939705095047366,3.190924248603248,0.09402669547917442,0.09945767891524593,0.2313019047429072,0.04352302216562786,0.03499058465614889,0.0029504509177163962,0.007419177407352567,0.0004498600354453375,0.00094020408562423,0.0002252275401255499,0.00011938727776446278,1.570781579474101e-05,2.1206834985632028e-05,3.6509009107454915e-05,7.540361356962733e-05,7.751580051174045e-07,4.733906401765964e-06,1.8275867278205737e-05,0.0008795513246752928,0.00010351715757184188,0.00027473378103147483,7.527669320839259e-05
H2,0.0,0.0,0.0266011062343261,0.10724128077991946,0.0070628988153857986,0.03588470676899225,0.008324621169543245,0.0069520202389397046,0.0009089648249216431,0.0002665458198882753,0.0002605077756301366,1.1688151102751121e-05,2.1621737737342883e-05,5.292132206458078e-06,1.374747190330261e-05,1.3174420323558422e-06,4.980937864385027e-07,2.068984388570172e-05,4.44232130469846e-06,7.524560818872317e-08,1.0752359766996733e-06,9.54729333368931e-07,5.2971631266829355e-05,9.081944040589818e-06,1.2483124366080567e-05,3.325235441220542e-06
H3,0.0,0.0,0.0,0.10917734085528008,0.03634315616886652,0.004549470040182468,0.015531772784512565,0.035715107285144154,0.0028576459690577982,0.0006060094039892494,0.0003802881579129114,4.1596928102238806e-05,4.047300514020691e-05,5.420400246869406e-06,3.424504856164301e-05,1.0766393781169725e-05,1.199593821388234e-05,6.011628630231414e-06,9.276905033828164e-06,3.328427866655659e-07,9.387224577661613e-07,6.951070421479244e-07,3.90815294767366e-05,2.713412621424549e-05,5.018510185417213e-06,3.7900968097304144e-07
C4,0.0,0.0,0.0,0.0,2.084533927850466,2.076630294914912,2.760240269227461,0.28073722144712476,0.22271034383522528,0.015438093831822375,0.03658074316471702,0.005333980334555566,0.00383527727416616,0.0009441309688484889,0.0010455660977396614,0.00011327218825440966,0.0004538530308904054,0.00035170841015830234,0.0004082818028947194,7.238292227818022e-06,4.687768616196131e-05,7.7599503416792e-05,0.0035365901255230148,0.00039538771856967303,0.0010498693176825419,0.00021296577695939511
H5,0.0,0.0,0.0,0.0,0.0,0.0259508899094949,0.09853082230777721,0.029581690938251803,0.010967406237110566,0.004102253892843466,0.0016914779740555552,0.0003110009524920354,0.00015388170020513847,2.8500735245184927e-06,0.00013419948663151438,2.4302448611512872e-05,3.6595909220782374e-05,5.2307851996502563e-05,2.693162036171426e-05,1.2115881735663692e-06,1.7118194535203912e-06,1.6243406755878098e-05,0.00016108270187853435,4.230105018532271e-05,5.24931524102934e-05,1.6755645084520765e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.10764650803405362,0.0292813880312337,0.014460465860160143,0.0017408544490908895,0.001494290504865381,4.8853922007374706e-05,0.0006015983613563147,3.355914840375007e-05,0.0001643871881004122,1.4489629553970929e-06,2.891310411312631e-06,0.00014879036730430784,5.066650119012195e-05,2.5731875041845598e-06,5.606985759243344e-06,1.0217434923021074e-05,0.00040229538541081133,5.973288654370634e-05,9.956486304485423e-05,3.176795652981568e-05
C7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.272715222964774,3.5830926991236747,0.13519205975222726,0.2757671889150679,0.0283278782873968,0.03052957077587387,0.0030675118900562737,0.008570859159498623,0.0005771698193466346,0.0012401860349116056,0.006685408893955858,0.0036469123746620535,0.00013278905312064104,0.00015365396934918785,0.0012630293840756313,0.029768552008207994,0.006080919979680882,0.005777083654541909,0.001272975961807199
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5315589866673991,0.026357637591081562,0.06662726573597241,0.04646935546130804,0.01032730410929203,0.0010489103548733114,0.01080704072355499,0.0017204514212558752,0.006951326501294819,0.0019405362950601912,0.002693795725894392,9.32950857811532e-05,0.00021649760452080447,0.0014109594424243088,0.010605269570377732,0.004177224362331304,0.0015672502735244592,0.00034871539070113755
N9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6136655453190736,2.893209450893954,0.09667769336818433,0.17277450556785087,0.025225641565349788,0.017936869048812074,0.0013757818119224385,0.0005875538908635125,0.006821221965474855,0.02288801955376943,0.00040995487688766374,0.0016019456896394502,0.01410923443574652,0.19718148942136102,0.05460119071307899,0.028714432964165676,0.005372555881766883
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09592214789993081,0.02379867301617966,0.005453954013044937,0.00028168549813778476,0.0004738744628727254,4.3070841548420447e-05,0.0001171052747048762,6.57933451970738e-05,0.002068673397655374,3.8311703713933554e-05,0.00020471037061531305,0.0016605154746367479,0.03085434195776282,0.07128564063374587,0.004948442009799825,0.0001737609793357464
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8437126663200003,2.599512471800333,0.09756813875252268,0.1668197159402052,0.030341520046468506,0.01003878550649051,0.006880786485631507,0.1552173426621008,0.0072712099877791925,0.03197362440758833,0.008212141746426038,2.690333578049083,0.2742361278668105,0.2216143117714246,0.05362243875860484
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08189315512826079,0.004200631234003271,0.012076554305154197,0.000939270738114395,0.004936433732114054,0.00020446757358683065,0.025742701225281217,0.0007239784141443995,0.0011581331565519992,0.0007173498097046149,0.11385406424167188,0.028946121820472737,0.01069918593419672,0.0007364410001327037
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0857607317757267,2.799639173354436,0.09025206126489493,0.08846823056409892,0.08596772478194903,2.7785688174218253,0.08566408866436404,0.08971637445311642,0.08315838115573704,0.18804927076462563,0.04327499327378817,0.030953488969724677,0.002043161009082084
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08303471928565154,0.005136612346762881,0.004038293882466126,0.034361312828422585,0.08087064504475439,0.004552981399588818,0.004341801491835717,0.034819406662144115,0.010346252528530497,0.0017016085501058154,0.01531712676171082,0.000316397829298376
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.941262606294693,1.997761003111294,2.1345675078909077,0.1740511095556434,0.03191687066394855,0.01005816037630991,0.00886135379304398,0.03116793495748263,0.007270440151136606,0.004990919040052527,0.0004941720347809708
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024845008970234783,0.02309993066240512,0.00890075956285008,0.0005643524991358895,0.004247361053723031,0.00015644217847721187,0.0049520139562924115,0.0017566275685061417,0.00039320968480338614,8.961624798708989e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024286851292494527,0.030855094763131974,0.002854038716543661,0.0008373200883122767,0.00045775800831404645,0.0008526489566509365,0.00033964332386537954,0.00013273283867643038,4.430632513097166e-06
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00976475576461655,0.0005868674866056356,0.00018623390130501072,0.004315459618864592,0.0008234135600244663,0.00014484859437080555,0.0004710863926056241,0.00015807393584932328
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.061160163569286,1.9601275373625335,2.1617842226137363,0.02617033841679381,0.008095348941019778,0.0037999262980270704,0.00030607903166535166
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0243781077436096,0.024071706526203274,0.014171706671022744,0.004713153656860869,0.0005775511585994764,7.994374410214e-05
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023371294240852825,0.0023529766026633148,0.0002746118869005887,0.0003605412144440656,1.5106133496312069e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000959339217368349,0.00014040871183595982,0.0003649181163536408,3.7469449031046764e-05
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.976147100619924,3.597114120407425,0.1722561289933925
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5133442138675128,0.0659938963390263
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7461970376139284
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
