,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15C,16H,17H,18H,19C,20H,21H,22H,23C,24O,25O,26H
1N,0.0,1.019864122427991,1.0203647674005007,1.4544154835100338,2.093537397291363,2.088342617500495,2.5201388283345003,2.8207928154480477,3.729196805096893,3.994482051270726,4.984265761560681,4.961229186481051,5.881042536809369,6.811193162024999,5.5607044154752465,6.505297966493036,5.502777027909956,4.775778513692415,6.422046349584358,6.980841534508139,7.232874611315125,5.7663882191337015,5.960345701956474,6.023904758594049,7.085644098290703,7.726844801000365
2H,0.0,0.0,1.6112101149610054,2.0262650570441343,2.365144671464554,2.930496298608592,2.7560318128635433,2.896246743290163,3.934250978461759,4.311018354963841,5.131875535359142,5.126961575835159,5.778628978749856,6.741953522217798,5.222503235386697,6.0682294582406335,5.190592992261838,4.3365566178807615,6.292519309512695,6.983014558476997,6.984756318642609,5.603832808660813,6.283948285469947,6.4568644651887155,7.3863843374801235,8.10118165132624
3H,0.0,0.0,0.0,2.0152354950782847,2.9235705010257274,2.4333364312562615,2.6220328287751102,2.5285961426541768,3.9574996680062178,4.378643390670952,5.024011621012812,4.779797622755993,6.0081486757893865,6.8363142086649455,5.646532924973635,6.626571479773751,5.3923728538569815,4.991703873562947,6.767160785667131,7.327953568917104,7.58782106985927,6.247935292753831,6.015569882002885,6.202590924846714,7.016956339846798,7.686201800100946
4C,0.0,0.0,0.0,0.0,1.097512485874574,1.1000976526275013,1.5396298146076761,2.4214792475609594,2.457204551849463,2.5684755270906923,3.823227022074876,4.007192097366133,4.828037323220441,5.770455086792798,4.82953234609896,5.825482572939149,4.937085427331982,4.136127767500999,5.2548102707965265,5.689518771779942,6.160564739119075,4.616210808500944,4.651070601264527,4.615535839822979,5.857192079626539,6.440377570263114
5H,0.0,0.0,0.0,0.0,0.0,1.7565493033762916,2.1728538723282913,3.2085120379546237,2.6316996836262128,2.4688839609130535,4.081569975368082,4.5170168695454445,4.87106277335377,5.897297895174987,4.915687128715138,5.812703201870022,5.247924858184059,4.110373584004715,4.976083384473604,5.40137018726924,5.83385798812792,4.162855402415325,4.8517324550796035,4.674663691143775,6.1434369790380305,6.682456248647993
6H,0.0,0.0,0.0,0.0,0.0,0.0,2.1456473587440046,3.02691927582938,2.8083566001680524,2.6761296682793914,4.093069538960751,4.262576368933354,5.324501626843151,6.18230115180121,5.572268495836985,6.608720124369062,5.650782154699254,5.00619641990613,5.73690192951948,5.986243046184746,6.729871376553441,5.163580873298602,4.5927871547039505,4.363055213643179,5.792460625202151,6.245208362434938
7C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2261480169631402,1.3704228714430955,2.05690194650296,2.4682244804029327,2.523947664158848,3.48799089506537,4.357156710674045,3.498936626917164,4.560667239713684,3.507735692121785,3.0213398529732594,4.225896092634317,4.73416286593331,5.125321612618303,3.8404522267152443,3.5601638497739465,3.8823979179420887,4.636484434183282,5.352422239225802
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2841227918828486,3.162407861337126,2.8239800908655024,2.4105031946293964,3.69325351566982,4.404690448460981,3.3608130116957753,4.406921574583276,2.999534947411272,3.0241467928111794,4.757369600340269,5.375850974691759,5.538680832589363,4.549486303039002,4.082162234236923,4.667745853180776,4.899144344065973,5.7177320111574
9N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0141461627588457,1.4545716188908817,2.0682842512518866,2.5289314214673473,3.418865399703005,3.06973758731036,4.0868680815963625,3.379570929047959,2.808500155531746,3.0633770450896662,3.422103394207365,4.068241864696744,2.771892056925434,2.4075439982830606,2.708645048103129,3.605682143407278,4.2770155284828695
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0965807424577223,2.887361427239114,3.10565455236495,3.9725467754055237,3.8652557333274,4.796417321502404,4.315434597717046,3.5570860949496095,3.2065270775870354,3.320107986864861,4.264844218867419,2.76423035373173,2.4594328555159466,2.2802477563626447,3.7954673068248908,4.272295335488698
