,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15C,16H,17H,18H,19C,20H,21H,22H,23C,24O,25O,26H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0956474822765032,1.561014732754109,2.1375593717951094,2.5458486342625815,3.5004491282891914,2.76544858428693,2.8420592571963557,2.5692634464820743,2.839616469704191,3.5198523876449315,2.838720274887291,1.5226586650565137,2.431840058270976,2.3834515190697636,3.215881387817183
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.164724302984434,2.445995475195789,2.7160987486105266,3.7076941068318647,2.4799856544652705,3.125117533766273,3.4937825739645447,3.8299706403108433,4.319557360889529,3.819651026677984,2.142218688762675,3.1608864875147495,2.5887386180276555,3.495009268164556
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0981624165763406,1.5346688931319472,2.1712674350204852,2.1897754707045016,2.1825673829961914,1.5358328405505717,2.2007084678008515,2.1743947602478055,2.1809463896948618,2.5371517473357095,3.4482844388731495,2.9836001523011477,3.829639473464951
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1495320486055567,2.4819227711264733,2.5103995320855557,3.0711836987741554,2.1535450586694944,2.5051252500492835,2.5080664453511585,3.0726429257532795,2.690860430203527,3.751892615457035,2.5985185648816747,3.4427222704149103
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0965013262257384,1.0948521695815179,1.0955665762647084,2.5347804289600777,3.502819495973812,2.755562537057534,2.8124012299534606,3.8899511164231835,4.795542409014516,4.334500278721815,5.2488053588792605
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7777440240374969,1.772296724057984,2.7760335414356794,3.7741856173164368,2.5443605818097987,3.165923483892719,4.693529876338678,5.59758963258358,4.983851379188065,5.8614792599177274
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7668375291822356,3.496850086585792,4.359037997938318,3.770867814893735,3.8155459862750316,4.155035277498219,5.176306153453465,4.445067038101773,5.412993167755382
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7945215163780857,3.8214546326208017,3.1004159044137714,2.627054614313813,4.266118061054169,4.979421984218579,4.979725287319006,5.858248869274929
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967431609951033,1.095813506088607,1.0965957990690813,3.045743487731244,3.522507468832189,3.658235582685899,4.25114233983208
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7694414485650054,1.7738981905415554,2.7233525499649245,2.983591950490327,3.25136907268862,3.622650978518463
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7697141694610115,4.030986856782205,4.555942229155889,4.431543503671933,5.011214947130971
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4532179332166746,3.6841438857517774,4.357106333034709,4.923961371678166
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2139361262322619,1.349526143481692,1.8769790580692163
24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253042057267346,2.2880638546417074
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767391106401887
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
