,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31O,32H,33C,34O,35O,36H
1N,0.0,1.0191835326631198,1.0203861459174037,1.4654595943014925,2.078462538556842,2.4381585679554094,2.554348225406487,2.688412579312388,3.8487002024267745,4.055827001860621,4.555471333487778,4.671759941685576,5.059242121718076,4.319161214507819,5.98862188137512,6.000376422750372,6.685992357088278,6.8574811392255395,7.790336274122177,7.065701478169574,6.53494208704885,2.4684433483310864,2.981658952434326,3.4601565791172897,3.6796094178634813,4.65886901859172,4.60282971757102,5.504519609076764,6.456886291338883,5.153469763690724,5.8932718649304965,6.550723918648173,5.723141239965013,5.837228927231646,6.834569011788853,7.538057455969617
2H,0.0,0.0,1.6349363794291167,2.060494826889461,2.346502783519392,3.3398490244868633,3.472339520469731,3.653576941415758,4.63012710028922,4.664036340992245,5.407658983522184,5.401432771737416,5.887218279680837,4.927862325656679,6.628014172181953,6.5223746658123405,7.401260844695033,7.421298223718601,8.328000411176781,7.696447840633195,6.983259528495983,2.7227835157369222,3.314202994037139,3.406212640362015,3.551544300255609,4.491901158446203,4.408143572072533,5.095587711701006,6.04090943411266,4.568901202498957,5.553119345078418,6.10531864312985,5.752849711384295,6.054028657254535,6.778799866198981,7.569738548546433
3H,0.0,0.0,0.0,2.0387470550483853,2.923943363643661,2.714228618408793,2.966664946564798,2.5363133178147916,4.174815218122666,4.591894406253816,4.870217695223491,4.7543514372075,4.957710344289314,4.321922976269865,6.177056353760069,6.344471775594313,6.879951485852639,6.905021503027113,7.887604540613117,6.973276969587543,6.577679053067513,2.596778446991957,2.656048863571609,3.782656691990699,4.234266699680449,4.79339265652754,4.523379417411617,5.788644117998636,6.641292201297483,5.465172829932985,6.364806702570164,7.073002367764367,5.787292747699938,5.934308837876134,6.8123207666845085,7.4963595642095955
4C,0.0,0.0,0.0,0.0,1.0987440562116195,1.5420089886033128,2.1219480382490152,2.158669169758089,2.6056904674647003,2.703112674388091,3.487693787810384,3.3922041710591593,3.979234995035943,3.062802908424712,4.599247443498829,4.545670792642799,5.342937170772545,5.508972566140707,6.40485430974934,5.820716187064366,5.20584543355691,1.5389842785980263,2.4241518153993726,2.4777372517597533,2.643699801265531,3.832559249613106,4.042133619982382,4.809579065138004,5.7946629489407435,4.72807646006084,4.988258261583658,5.7452727427674075,4.671063521983992,4.596179656780651,5.900495874245101,6.513921187062657
5H,0.0,0.0,0.0,0.0,0.0,2.158256592404632,2.4614156120021162,3.058192422848827,2.816990550909937,2.4817207796173135,3.6424200440476793,3.8090951502170163,4.577345171045111,3.58813929061988,4.7519876805131265,4.454881175182344,5.470890022997175,5.772139984416484,6.565160834992839,6.248499829777276,5.4641918561761464,2.1726413995352036,3.297119105407951,2.533785096952195,2.2573902491574507,3.9712588699824605,4.411822072277972,4.667103223450437,5.729074960692955,4.560223512735413,4.575259606818272,5.236191498944071,4.8569564834767025,4.7750885630411,6.114447565399063,6.7403818962845445
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.094123581864281,1.0979025122493111,1.541735210157621,2.1689708530491596,2.166985365910659,2.5781374852970074,2.922794009123226,2.7164997330309912,3.9131235189037774,4.114106504357741,4.419207570012663,5.0179059900298455,5.917429384909404,5.20064593595781,5.0065390775095295,2.557903974603496,3.049650039300447,3.5959500295697233,3.7790847920121617,4.8759914027888795,5.099361454143099,6.028989933732377,6.965321523771812,6.1133037505347,6.090711273667156,6.910202479248983,5.336763003706923,4.928910935571706,6.606515214716143,7.045249462370046
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7598030260774262,2.170183030257527,2.644958564919214,2.350077720810131,3.476957303641594,3.7300693754417837,3.7730711527899814,4.7021601998383264,4.851147263953519,5.041363225542756,5.93737500083195,6.787281244661641,6.126646551730294,6.006834080015914,3.4637094317373953,4.009330551352723,4.449318783984392,4.4820833567775855,5.803197706564899,6.034040406887923,6.840281463853144,7.8276362227457525,6.8181214799494505,6.831426796346962,7.582294643434747,6.3618673115187585,5.963859887131381,7.643525450950054,8.104727764828679
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1788582060197914,3.061683826322592,2.6639056581490776,2.683409166471635,2.641407439576537,2.7296188083948603,4.1800699610241026,4.618823019527984,4.661716771507823,5.083252382481506,6.048837334050107,5.05105090468719,5.093393760032372,2.7783930776788903,2.8005941790450066,4.025203034467063,4.440785921731854,5.126397885615546,5.143942849588994,6.42596093258604,7.272707841017002,6.519201484800623,6.681645371491449,7.545982823070185,5.507624925423284,5.122801314478857,6.688111813522011,7.09312284108781
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.100126256186062,1.0966405045875967,1.5416214145346911,2.1710234483974826,2.1716913400634397,2.543403571345828,2.736112379661526,2.953726104876024,3.8608025669995003,4.650683887376449,4.176717777400414,4.043478526480534,3.1670002105860218,3.7130722256475486,3.8171624119056977,3.866983820893382,4.9890974779188815,5.4428742193249775,6.137410507781254,7.027516935576606,6.462550284536277,5.937313915685481,6.7850692765617895,5.059683514594609,4.341982846868324,6.358079303993244,6.6221400155985455
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.754215149929367,2.1725852736111264,3.0666703833522377,2.6217764968227577,2.6638141901716947,2.3956106211592005,3.145145526120403,4.023804351670481,4.682779292271625,4.577273679270927,4.104142389215504,3.26766658657693,4.0956250953585664,3.5474986078867787,3.3241658594739576,4.765772580584578,5.407120813661624,5.703335362781552,6.639772068536574,6.042768561030882,5.283671653290023,6.064676321852346,4.888107759773304,4.198944014106294,6.21260346399788,6.506907013112861
