 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,O31,H32,C33,O34,O35,H36
N1,0.0,1.9636998158883965,1.9218323910592252,3.084059686310243,0.0934500499201667,0.20730777310565318,0.020317982876355556,0.007359425276652343,0.035364001196183006,0.0016262412942815718,0.0024654875631017203,0.0029443190968677924,7.274907258469909e-05,0.0006637922289999265,0.0008545647721108218,2.7952288709442996e-05,3.561087777426142e-05,0.00022985432834024544,2.484315668271897e-05,1.0089348556729938e-05,4.516312561375635e-06,0.25971220277904994,0.05742870786700913,0.03918337456170777,0.0017402449117117635,0.006104858400200322,0.0003596323047209138,0.0015326768345729075,0.00034639786900625413,3.988707221913579e-05,0.00012024696497117682,7.21243473855715e-06,0.0009961861476762979,0.0001640991018716509,8.806009703277162e-05,1.3318511746684969e-05
H2,0.0,0.0,0.02752797483818714,0.10671500869902173,0.006586310288628328,0.032726386753346715,0.0010375291549198362,0.0006562935298033423,0.004770655636494592,7.136441800503768e-05,0.0007755157312667738,0.00033184200237668104,6.019712265326049e-06,0.00014286435726940105,0.00017038476882491604,2.9139114066101257e-06,1.2452001770357768e-05,4.6277858908205793e-05,3.6097691624714656e-06,4.942031850418971e-07,7.418509309076171e-07,0.00800794891450951,0.000824942153683117,0.0017683774785778317,3.2880925313616416e-05,0.00019205015843004603,1.0794451551054962e-05,3.2561876962544645e-05,4.790306812552103e-06,1.2228280705794958e-05,7.594020446588523e-06,8.142339653627317e-07,9.207204904682076e-05,1.5215106165422654e-05,1.1881697083215847e-05,4.8566861876597756e-06
H3,0.0,0.0,0.0,0.10772119759769438,0.035932291307374076,0.00917535104567424,0.00023477187380160913,0.004786288030414365,0.0008529622160029504,0.0006366594838573825,0.00014149641912730715,0.00013820861929514372,1.3682881252918833e-05,2.496449663946798e-05,2.3604995170400933e-05,9.480102922232447e-06,3.813943250774443e-06,2.123414593602213e-06,1.5850802337347147e-07,1.0455406118659027e-06,1.299139242849634e-07,0.015826806800269266,0.02512254324815888,0.002651448988221561,0.0005754457181006423,0.0002759049700301608,3.199791032360011e-05,3.994320752898073e-05,3.691149556006579e-06,1.6945445020510874e-06,1.3437626713130868e-05,2.786759071726763e-06,2.6507604812708863e-05,1.9277402197204196e-05,6.083918013266576e-06,6.578378861643586e-07
C4,0.0,0.0,0.0,0.0,2.0556517581929463,2.7499382980775944,0.10259313054282293,0.08222527982698868,0.1590258631863754,0.0175579208693033,0.022957967878247665,0.010325607778400692,0.0004413733634320849,0.0018853817474535628,0.0016797992883163526,8.408241277124695e-05,0.00018477533985583605,0.000338377891515404,2.5329277683394658e-05,2.1615470226943323e-05,1.4005433544905799e-05,2.7168758888628806,0.27149863696504867,0.2307271539376468,0.016900659702728582,0.03529822805765112,0.004594198320105214,0.003682478487766372,0.0011553788278206856,9.706367592876575e-05,0.0005531990041744567,5.6076691431816705e-05,0.0038892556568532466,0.00042359925824637934,0.0009469553428267247,0.00021116668720666532
H5,0.0,0.0,0.0,0.0,0.0,0.07824083102370716,0.004703529707424048,0.034023956942585976,0.009344486240392635,0.0065370578686221315,0.0003190728594739678,0.0005823599541859847,0.0002242404770624873,6.014190109748796e-05,5.685343193628789e-05,1.735699689975334e-05,1.0257130605983988e-05,6.554878481668247e-06,1.6149895021300154e-07,5.266520097357841e-06,1.0194177746392086e-06,0.0957069229842038,0.020644264971531046,0.012636016138923178,0.012192927146464028,0.0018984824193628569,0.00024750036077603177,9.166942395033573e-05,1.0488046523260408e-05,6.831244624860844e-06,0.0001631782351080302,3.3642529584376746e-06,0.00016033526817205157,1.1136040258596935e-05,5.00702633244865e-05,1.3468272707983786e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.066284684258624,2.0803622184222,2.8045956260482545,0.08199854258794725,0.08825623463817012,0.172778317676622,0.005028141161070088,0.011364126756831072,0.03476894665593258,0.0012255868748487497,0.0005147621491460308,0.00656231594328352,0.0008761328767744603,0.00021598079715656748,8.728077471353846e-05,0.17565203369598625,0.03411666077558022,0.02958651363819864,0.0014550254079721547,0.004607670536898006,0.000435280964528717,0.0003831352742182659,6.723640625794225e-05,3.813811447728188e-05,5.9018053855844355e-05,9.090761088792476e-06,0.0012164621021125976,0.00022717098431139504,0.00029456962012591736,0.00010108945754905285
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0248760026320356,0.09526491297154982,0.0011345682363519405,0.010191817254384006,0.02485719127996655,0.00015993155782356716,0.0013102144291932127,0.0037163836185246657,0.00010802685452571126,5.509384897295355e-05,0.001195298753102314,0.00020408517655501335,3.8026015835024296e-05,2.6846771347344145e-05,0.030368572117332793,0.004447579423475512,0.0034178821916094337,5.7575919610419746e-05,0.000811165217979859,6.984936476372994e-05,8.699004062062698e-05,2.8823139211375803e-05,3.901748755641421e-06,6.684711284732359e-06,6.499825295769313e-07,0.00011526534013883705,3.167939561787847e-05,3.045641567667179e-05,8.762375116377896e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08115114663012457,0.030633755927164552,0.001107402028707405,0.016663111372846817,0.0028454186995010566,0.000709050641797937,0.001611771920710492,0.0005160528673138209,4.94375602735353e-05,0.0002120588256735445,6.506162423636219e-05,4.145221860007986e-05,9.578008750787959e-06,0.010544530373221006,0.01194195226033079,0.001666809010803516,0.0007651791496590121,0.00019368291699883855,2.376941857162862e-05,4.260553828694391e-05,5.758849315418146e-06,7.307522713606573e-07,1.2927876625989931e-05,3.126328948166446e-06,1.2094534926010425e-05,5.311423738940668e-06,2.000420207370901e-06,4.572506211442118e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1379109829227927,1.983332511120096,2.729464478141657,0.08021325341118613,0.08043989602417378,0.19007375910781943,0.014283916095220062,0.003685193341950388,0.03736779038920493,0.003876034319156285,0.001779751354532677,0.0009242161426754603,0.00970646691677704,0.0035497570043292737,0.0026245681639678886,0.00035131282193057167,0.0003390722511995292,8.620433598038879e-05,3.7455613912815156e-05,6.261789274097929e-06,2.1204250507667055e-06,7.004377390984473e-06,7.583612718908839e-07,0.0003864002290080437,0.001048297470244236,9.680046333296333e-05,1.3977298932155158e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023459349739147983,0.08057653889155825,0.030999936529781058,0.0023141947524232265,0.016396912659112806,0.00823615729806626,0.00011335372162935009,0.001262955459668036,3.640069929655709e-05,0.0007298763469547609,3.425822407909784e-05,0.0009600356085894823,0.00033380510262559504,0.001501409258461317,0.0004308202120635318,0.00011969581398152407,4.129755063431162e-05,1.670567554334923e-05,3.4997036886252886e-06,1.032206019324633e-06,5.4148661536856935e-06,1.437787922053957e-07,6.329988368469763e-05,3.6717900848248775e-05,1.3920701227077004e-05,4.859590560624127e-06
