 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,C27,H28,C29,H30,C31,H32,C33,H34,C35,H36,C37,O38,O39,H40
N1,0.0,1.9575810930330932,2.0081648495302904,3.011464387470555,0.09297182415554761,0.18918245979778744,0.03322426674057832,0.00337120278967995,0.028788109490782893,0.0028910889630181513,0.006478479975195309,5.227482694103447e-05,0.0007655567838353583,1.9855400326229677e-05,0.0019224859364058294,0.00014761553496789315,0.2322135988670867,0.04985177700000459,0.035064364463191625,0.0020693765524858465,0.007537107176993074,0.00048345472935529266,0.001216244331620514,3.542971918735205e-05,0.0002621229429303762,7.982499953546052e-05,1.861208410565418e-05,1.202422944990289e-06,3.474906624212348e-05,4.684993475168042e-06,5.823166987772854e-06,6.356112458583141e-08,6.1971651812153805e-06,1.460412981657555e-07,1.1593615246038858e-05,1.2547224814696278e-08,0.0006372905024627507,8.863962121155589e-05,0.00018394198306100062,5.105300090324505e-05
H2,0.0,0.0,0.026425787095014197,0.11124791632644615,0.006861877711411557,0.03385196624929043,0.002128135142866805,0.0001693337710590992,0.004173255640956608,0.0003470798669114039,0.0012951754498400359,9.767205747523988e-06,0.00012348595347255742,5.578268161388067e-06,0.00030275566130910647,4.419439067904207e-05,0.010140294165573605,0.015135978966726249,0.00149291601472612,2.4994608136319485e-05,0.0002718511473147611,1.767559729670687e-05,1.2377584668876729e-05,5.700685561160768e-06,3.3676659749737325e-07,3.394260107758562e-06,1.006609877451936e-06,2.662892062410549e-08,3.2838118948497197e-06,1.0222033075546477e-06,1.1445056689041166e-06,2.568550039327988e-09,2.3732368584772345e-06,1.7755890313608802e-08,3.779529066383347e-07,1.8092589648688318e-09,4.798845418740871e-05,4.746581352188528e-06,9.264917871010248e-06,1.7685981268389384e-06
H3,0.0,0.0,0.0,0.10512157031721847,0.03738686145726011,0.00798897647192931,0.0007308404351777931,0.0022298890764405055,0.0009928192903334576,0.0003620311704910506,0.00014387302874596664,5.8427341806943645e-06,0.00012450810831188264,1.2101400760577974e-05,4.41983826809933e-05,7.080841772477697e-06,0.01547775448618638,0.031412648816280364,0.0024669691770281554,0.0002413026086824921,0.00043422480736110547,4.4986649392786404e-05,7.686027587372468e-05,8.251430326788878e-06,1.0130445315503778e-05,6.176282769998487e-06,1.8117480026225152e-06,1.1778654318561621e-07,4.280700783287905e-06,2.1588653953408254e-06,7.754866968578966e-07,2.020265466029514e-08,1.155964932331166e-06,2.4779470919611413e-08,6.857504606383458e-07,3.453284325161121e-09,2.0818278137268997e-05,1.2679578782925915e-05,2.9523965699995713e-06,5.407585776939783e-07
C4,0.0,0.0,0.0,0.0,2.0439182944228502,2.696107151601604,0.09165591183633315,0.07725049884014012,0.17354396739952738,0.024463352035744873,0.0448675397768247,0.00024049876234566447,0.006687835201716896,0.0001170778378014603,0.011025093714722128,0.0003663614979452223,2.707927704834034,0.27697571622918954,0.21269411522973145,0.011617636422567523,0.034101391039397716,0.006485332018906442,0.0037433635795912357,0.0001749043017080787,0.0011468880922220759,0.00027883128956587844,4.735760546992207e-05,3.574647968518363e-06,0.00016030077902706719,2.2598792679850987e-05,2.5138970174976016e-05,1.4519892777009602e-07,3.777054311429606e-05,8.589129876224177e-07,2.1478116047510265e-05,1.6900044785828072e-07,0.003288162718826232,0.00047173755021359676,0.0008787996904739137,0.00019271872323189942
H5,0.0,0.0,0.0,0.0,0.0,0.0802351265664244,0.0023064854211123365,0.030018818171974937,0.01614103415807011,0.012598382939740693,0.001979518354957799,5.8760105315691646e-05,0.001230306703760231,6.0408953051149794e-05,0.00119293129310305,4.4964470519381905e-05,0.10013689501004097,0.027879541366616523,0.010048814666835382,0.0013222171976887687,0.0013678929124261163,7.124545636938429e-05,0.00022512902475591012,1.421084585429e-05,1.1995832398081774e-05,9.895359882572397e-05,1.5579225353556936e-05,9.971701353528317e-07,0.0003200883329177451,7.868323713933201e-05,4.481273188960966e-05,1.2939716320659045e-07,9.447849312715917e-05,4.107555442445232e-07,1.0453181662706257e-05,2.150715914250867e-07,0.0005025483204619263,4.952178532835472e-05,8.306724537709975e-05,2.3990739782320247e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9924792040165673,1.923825805966426,2.8308575050833036,0.1954233380676374,0.24664030129299394,0.004121540572068483,0.04796712819002524,0.0023548216613575867,0.04568583300130455,0.002476092440519939,0.17557551585103034,0.03900307166762536,0.024918209512804892,0.005259906978301698,0.0026686855519190422,0.000493282358419167,0.0006434510762274304,1.0055596524116694e-05,6.325948853924679e-05,6.978620709252592e-05,5.7413797555361246e-06,5.447659692237039e-07,4.7453481725287516e-05,1.1025010952403491e-05,8.211209073780146e-06,2.643986740658022e-08,1.2097242573894107e-05,2.2336652705234883e-07,2.6625739773106227e-06,3.987975327746085e-08,0.0009032585750265998,0.0004493144386747555,0.00019282822293054114,5.035547715781519e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02552639784610622,0.10952192458026677,0.014968799187741189,0.03906297936955205,0.00015993306110706484,0.004003922868047738,9.581911225020612e-05,0.006977846682139521,0.0004454554615553885,0.02679747351891071,0.0037232725714817505,0.004648735223502287,0.0010028555048930965,0.0004967216327815827,0.0001466284822575492,9.78033851575244e-05,1.4088003139622884e-06,5.65649026063042e-07,1.0018551288681898e-05,1.22331216434457e-06,1.0650266513145823e-07,8.524904848927761e-06,9.688122524220688e-07,1.7303255301914788e-06,4.288057908752307e-09,2.9999854675999416e-06,5.722145846043247e-08,3.101797876325918e-07,1.414250938580608e-09,0.00024247821525369417,3.747813649646048e-05,5.777188157818358e-05,1.6039339507001316e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1063452204728641,0.02318166333261029,0.011058035242062836,0.00158214848797944,0.0036800146480684415,0.0008945879418009728,0.0014706261901509254,0.00012985610735771758,0.015098441750196478,0.0023852088570384122,0.0016306326522699255,9.255237657068704e-05,0.000173979412473102,4.6332806046045505e-05,5.508398252906943e-05,2.317535558571393e-06,3.575671032818306e-06,8.257781604514847e-06,7.779180304368083e-07,1.0963251639850569e-07,9.133493329982478e-06,5.68061026129385e-06,1.4977358792078732e-06,1.5267882735869875e-08,2.2661503591425713e-06,5.11723898810601e-08,3.4755225231108966e-07,7.0962526965701045e-09,0.00016980200767702236,0.0004584454171502328,5.7551824690804665e-05,6.176416784908767e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.557621199191718,4.064715498307959,0.11833096459137393,0.5471743577904764,0.0370153332278651,0.49600465707510866,0.029400041851855407,0.009994084848515744,0.003249864695052493,0.022485237423149063,0.06336050458664233,0.0026233123484580845,0.0006663170484253467,0.00015638061126965752,3.915226000850147e-05,2.425036099662492e-05,2.317404440679849e-05,1.1301040538508333e-05,2.1640958589586035e-06,2.410858359855328e-05,1.2166049062622974e-05,6.523126818647196e-06,2.9581550342605567e-07,5.971565795653833e-06,9.84620582844542e-08,2.47766791966475e-06,1.8057018547068537e-07,0.0007454149327040804,0.003029019307949382,0.000277629280521996,3.3728982480996095e-05
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41516430847835406,0.025219344881480255,4.350654418875857,0.11307138220690627,0.5408247859041386,0.03079079321622713,0.002287722529798447,0.001099772567567145,0.0026034834463672524,0.0031802847617332652,0.000503928742043025,0.00011775697494642579,3.5232232211246384e-05,2.797158950351708e-05,3.3341312032364456e-06,5.947902245492798e-06,1.8150812122336157e-06,4.0649553056937293e-07,2.08215195561523e-05,6.376769306815078e-05,1.3307876809143249e-06,4.6203204595585134e-08,3.2016616931529462e-06,2.221130888102607e-07,5.740244131136052e-07,4.0484006369467807e-08,0.00013476285764926765,0.000407456825905525,3.754722906947061e-05,1.1010125439914198e-05
