,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27C,28H,29C,30H,31C,32H,33C,34H,35C,36H,37C,38O,39O,40H
1N,0.0,1.0202620382307133,1.0216588369554807,1.461362313177765,2.077967695160793,2.46432731253059,2.458438276835388,2.895263518233144,3.7821349725496067,4.330055384990105,4.953229524039572,5.355236059518219,5.57584825033563,6.4232101997320505,5.932239203541309,6.904432932873856,2.491277559428487,2.7514962818463866,3.733923956535419,4.014753870842669,4.949447767163299,4.869182483098639,6.053867304174605,6.35280051788062,6.9652489808304,6.001498919006477,6.575305696439368,7.001114559036741,5.841558453529026,5.722283175227525,6.965731384734594,7.640276552913117,6.277472432107406,6.4890000180160765,6.828580314389563,7.415248787553505,5.761556042556078,5.816807373382756,6.821312731763522,7.408895739554428
2H,0.0,0.0,1.6036441280945615,2.0252845630650995,2.338600497853899,3.3477085594925153,3.4246016011694422,3.7982992220669343,4.539023598378765,4.970713317701161,5.68798677281263,6.0925554092868275,6.192430981588966,6.9773855067782815,6.603785428454315,7.563786722555269,2.6679597988046995,2.6828559053500354,3.923841637330276,4.3596359360277654,5.0243255283471155,4.7993940080224835,6.000123433061982,6.412019388335197,6.898365002426787,5.7148308106456716,6.122335474749725,6.585195258384147,5.530526616444524,5.571646548628065,6.345406921931092,6.948568508615468,5.776375155265858,5.9974064769671,6.182331507038064,6.680345821118299,6.037339004862208,6.281081916122368,7.004050524730334,7.688466170155634
3H,0.0,0.0,0.0,2.0225773748768727,2.913595615116019,2.7399798361345953,2.792355454869691,2.770444187451555,4.194338500616694,4.97815875903833,5.216024277425456,5.430111502164045,6.175116821583729,7.099229241846097,6.347247725421806,7.282109042803644,2.6061753450191603,2.527012737661615,3.9310779313230433,4.329171194204314,4.976996256822136,4.768897234474415,6.252557824386452,6.641575002077635,7.062688497531396,6.33910120892631,6.816761127411048,7.091821302125339,6.388826655106887,6.339917945853016,7.300867754455075,7.899336011299052,6.903401046715865,7.2329068535025005,7.343479528842572,7.968303906615791,5.618348521759282,5.671682223054365,6.575904744031586,7.105810812635102
4C,0.0,0.0,0.0,0.0,1.097192643668085,1.5565399556752975,2.1271755991034236,2.189385558912456,2.583397376538472,3.2434140994467504,3.668059306796711,4.106369075078965,4.375806101779467,5.2754124447289295,4.623104228664022,5.568938027382281,1.5472145777315383,2.426423493346443,2.478750892645528,2.5889209105069404,3.83961681312746,4.02726710754449,4.879220380363847,5.036002174906714,5.840489462909076,4.996312530025002,5.804011799672579,6.268329293175598,4.828189800143067,4.557462281117466,6.378534634066476,7.189239193057761,5.504734461143038,5.758523986965711,6.246681411353533,6.978851734982898,4.636407830946281,4.628847673389411,5.818246340699084,6.398314875711245
5H,0.0,0.0,0.0,0.0,0.0,2.1545316910973917,2.578840907458387,3.0515350718284973,2.6531952763417124,2.8392779076320958,3.8099052207737945,4.455160466245255,3.9641188420781286,4.717773790856154,4.469933427140906,5.422634863389793,2.16057181426935,3.1313485388453395,2.7150785694054114,2.645209231047985,4.117960864569474,4.4195818227361405,4.8405182094831,4.880823341553852,5.8877671420822715,4.741198503861001,5.636791314207527,6.2713594837210636,4.277559417737167,3.9086016506627432,6.072099875032929,6.953243177329721,4.834974158348754,4.927635335130822,5.717626573678814,6.3943358150496135,5.094465342271878,5.129942139156375,6.306068966873436,6.942404604361056
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0953015354439928,1.0975334269019492,1.5020555968157907,2.5132591447732886,2.601867737670509,3.07107935529855,3.582986969884538,4.585133020846008,3.673584476200501,4.624167096507526,2.5730455399824357,3.5068424291268667,3.073494960077956,2.768044270696456,4.392801990733979,4.8070067516827235,5.503915849120197,5.434379247560146,6.415966684226647,5.95365674597465,6.9267571529746235,7.324958856744358,5.811946013971943,5.320689312162276,7.660132487557966,8.520696501141552,6.668057397515439,6.873673936608035,7.546943539687141,8.337768400058657,4.73199008796605,4.320276126213943,6.006065128791159,6.377017800214558
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7669434800259047,2.1228726275676544,2.7239350022377775,3.3269203366208266,3.8905116985820833,3.9055401721816523,4.802314233676431,4.228260702178969,5.1982606592569915,3.4465826138839453,4.249485477635881,4.1102790490530685,3.8116583455990347,5.4556268035996585,5.805665780424733,6.548383661408587,6.470451706679036,7.483275898911375,6.893370133118138,7.833118319551858,8.273705900023193,6.63621619715492,6.127404631071461,8.459282003371687,9.301565804411151,7.363624358152196,7.456308874306999,8.24772273596662,8.95554585545613,5.81297189255546,5.366906730683072,7.070982615380487,7.420812389862338
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1409996126843223,3.39861226629219,2.7568110796526386,2.8326399879224002,4.2796100685861225,5.336657628214134,4.0459384577002355,4.886193918952534,2.6953549166031325,3.3991441172593655,3.2030644647246937,3.0385577898023706,4.294121371127978,4.634670706634318,5.596767578537946,5.6062398680100545,6.38253327632595,6.2420162847479315,7.141669539358606,7.382554416723746,6.333714947173598,5.921927329502316,7.997739004343935,8.80138669016429,7.285050439880879,7.617841050877575,8.065065873475872,8.909212556973987,4.340271891829075,3.834967028669447,5.530424400618814,5.792680631136197
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3857597053024435,1.378404577916451,2.2487815435882847,2.152661222098337,3.207754693695119,2.1965444942722354,3.1769992823906286,3.3249960212420357,4.46585544546825,3.201058672949657,2.448384856967599,4.455914717433065,5.164042404857466,5.271456210247932,4.905584003123185,6.197768206481703,5.841927977091398,7.022872159958802,7.493758598070557,5.5669717955671745,4.842580696944769,7.822187771923296,8.784709162073309,6.544704701967821,6.666484905768418,7.614558951226686,8.452496550563692,4.675419611495477,4.08664915429854,6.02287367796903,6.327766375613636
10N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2631511622360208,3.3240236327240185,1.3138189339663742,2.136748689376839,2.2190330447957374,3.187284929765579,4.201194733114047,5.388459277741605,4.032883486126412,3.213673546276579,5.328316580601602,6.076048861527824,5.851693910936559,5.355579512502146,6.8503711088454375,6.195371146810073,7.436310765697982,8.065750411935598,5.610659370014881,4.749390740012606,8.073487276101766,9.085656433923182,6.428419556651715,6.325467696438758,7.63034738765272,8.37460444755084,5.7413489782797384,5.228903948524852,7.091771982495657,7.45148797035794
