 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,C19,H20,H21,H22,C23,H24,H25,H26,C27,O28,O29,H30
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02418908367176642,0.0232599115443497,0.008104036834576167,0.0006157149901038217,0.003481880079562405,0.00015282297688545832,0.0028139480578033282,0.0004629119984882468,0.0003154020450061301,1.850531653224685e-05
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02372962723410099,0.03158845116531328,0.002689737472849618,0.0006022705676906881,0.0004789875155515322,0.0011402803229429992,0.000719917959456251,0.0002519593200136505,1.237668394926672e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009806304629683016,0.000533693599477969,0.0001929068824846336,0.004475274138060703,0.011317961985339187,0.0026055477857241938,0.0010650836454610957,0.00015939741896264792
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1233802972756086,2.044116992426998,1.9632098034403678,0.01184649277355293,0.0033168680415241805,0.020844492825731017,0.0012024859664019338
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024259543179700138,0.024108495906850713,0.0005284078868039721,0.00013436473776951008,0.0005018672648260392,2.7439558285102805e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024117675918823744,0.0019313239436273832,0.0009248742339686977,0.0016769671746079684,0.0003237160181484011
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041710735289994805,0.001368146008734361,0.02555614898917158,0.0009104796610697186
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9414447448434995,3.588652382046502,0.17801530771487084
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5114125333666459,0.06841027779057407
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7620218672696781
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
