 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,C19,H20,H21,H22,C23,H24,H25,H26,C27,O28,O29,H30
N1,0.0,1.6250414059638094,1.8226714524270196,2.7643773620609475,0.08312734389138499,0.21243734482595972,0.029810263809294857,0.010462272858661747,0.052485373010987504,0.032191993079836,0.20437087983943253,0.06611966419255641,0.031601975778132924,0.002649407257662051,0.007169052854689897,0.0003611935666708588,0.0005243619256357357,0.000158529777735672,4.4208623049116214e-05,1.980886176311536e-06,1.0701854651573584e-05,6.4916023350125585e-06,0.00015445459963328578,2.921812708223115e-06,3.427140285550134e-05,3.919025314158553e-06,0.001106071471127873,0.0001698298207706908,0.0003368190347278477,9.9424998223685e-05
H2,0.0,0.0,0.029509682789254477,0.10813432819104074,0.013868690046328958,0.021405638427836493,0.0009687593149760865,0.0002644297600029599,0.003959315207538339,0.000542791214508398,0.006975192378467221,0.0012770786805031964,0.0009692279390560721,3.3933234082850205e-05,0.00025580898919386197,2.730807051953832e-05,3.217168654501279e-05,6.573116948516144e-07,3.7851325970228444e-06,2.771123086553473e-08,1.0029272776712617e-06,5.428548541797085e-07,5.7729706589570995e-06,2.0260887034773134e-07,9.213453409095962e-07,4.2483611961685597e-07,2.5899319058275694e-05,3.7482915377085035e-06,7.293062027180497e-06,1.8465966096226083e-06
H3,0.0,0.0,0.0,0.10332235857410277,0.02195277430751852,0.008171193413054278,0.0004309137912894556,0.00013304854105089525,0.0050285861505589,0.0017144169426781541,0.041338716734320546,0.10336776558941452,0.006811868053047232,0.0003649030070758119,0.0006971471259679118,4.180195269776199e-05,0.00010834533460413187,4.2108468908841346e-05,1.3438547346145135e-05,8.586485082950901e-07,8.838479881312367e-07,8.257974470904372e-06,2.0683352507044894e-05,1.3661464697278802e-06,2.3657643712926557e-06,3.0934910004720706e-06,0.00012565419381793674,6.534783616152229e-05,2.089806596716759e-05,5.036568717864398e-06
C4,0.0,0.0,0.0,0.0,2.0364099595420564,2.719626510340794,0.08308583192969698,0.09193748757136411,0.18220837575911536,0.008067188861939023,2.5393560935632973,0.27792531146982885,0.2151117423746852,0.010911340304558759,0.035085646669407916,0.0034670144559154625,0.003188776499345347,0.0010298956669925197,0.000274698873283713,2.3803074850281547e-05,5.3248077531709015e-05,1.2856624123092075e-05,0.0007826460871657726,2.1480632569126357e-05,0.00010867050590146476,1.4676963800530629e-05,0.004169654336344697,0.0004726721279492141,0.0011967625496552142,0.00024716633462706916
H5,0.0,0.0,0.0,0.0,0.0,0.08898958017438308,0.003682263654727347,0.005814694248295504,0.04449510895463449,0.0006414624694544013,0.10015792470433627,0.02677798036346546,0.01039167625031423,0.002012129117943573,0.0013715407146184244,0.00033943808897540784,0.0003057617001149815,9.234577561967328e-05,4.268399697648917e-05,3.205151982710319e-06,2.695476390379703e-05,3.359824509718834e-07,2.3394256389308588e-05,9.339950405529152e-06,6.648823949184646e-07,4.611409168742142e-06,9.834638728967171e-05,2.8048333739039144e-05,3.8283854993381716e-05,1.26279030627785e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7845890282252186,1.9100480363311894,2.830752421991211,0.05268656042473663,0.1630748353206617,0.03977906176272772,0.03178355087993756,0.01072195625012784,0.0032482697800971794,0.0002818915856417359,0.0013472115745091912,0.00016023594097491767,8.734386861507237e-05,1.2436286406458663e-05,2.8763087726257908e-05,3.899339211965724e-06,0.0002340689664377671,6.353560879190923e-06,4.210839040053038e-05,3.131141917300795e-06,0.0004890262998370198,0.0003360387443846688,0.00014186884642852782,2.7590341580285838e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025950281697009858,0.08246116328748332,0.025574475678835196,0.006468922664034871,0.0014986254772189067,0.009579096029645795,0.010686808409085646,0.0008125015595901175,6.312369824623687e-06,0.0004514731897413693,1.4083371836282055e-05,1.7613406681937782e-05,3.1867535890128806e-06,1.7654931292687692e-05,6.354983257406133e-07,0.00010479399143514811,1.823538066325625e-06,2.1006961050673567e-05,5.664505235980499e-07,0.0001741339029943667,0.0004036565534285552,5.375783137129275e-05,4.37134313702181e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0951363743972119,0.004060626134523293,0.027399879015090667,0.004316229683989148,0.004331412664339118,0.0008099508935861532,0.0005036946795256014,7.359359104408547e-05,0.0001850773299509889,9.028594118554167e-06,1.6102147496588337e-05,3.481452643949723e-06,2.068085971584921e-06,2.1494051500869915e-06,2.0354034074965277e-05,6.86602775745726e-07,4.318775732814473e-06,5.004933705254899e-07,0.00013365408673604584,9.638519842480875e-06,3.5270358581196426e-05,8.860131359700318e-06
S9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.886338974349251,0.0350116965743026,0.00997840864853522,0.005180798978175,0.0006770012255897795,0.0006791843597632047,0.0002528085747286468,0.0002086649500619986,9.038981361308984e-05,3.122197389292952e-05,3.0714544411170053e-06,2.72135581679267e-05,1.5383837309590476e-06,3.70348554445607e-05,1.242945468660217e-06,3.894786613667378e-06,4.471540826722631e-06,5.78070737122377e-05,3.332056014328927e-05,1.3540314452525903e-05,1.9278675509326604e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008993793380394077,4.041036736657233e-05,0.0007435225601601925,0.0004496645639964214,6.69185134827277e-05,1.8012033020209373e-05,6.336333926659776e-06,1.1936098907039394e-06,2.0454947688985925e-06,3.59512908332249e-08,2.037616470218495e-06,1.2764790136010618e-07,4.450788009258133e-07,1.4597767084012503e-07,3.388145541904919e-08,1.4302297346446835e-08,5.213760330136097e-06,6.569702600378591e-06,2.196501779572202e-06,7.583369803221274e-07
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.677346158828902,3.31333084208136,0.1345027433552023,0.2660016286667971,0.02461244554875508,0.03348907714134275,0.008625476376665109,0.0037121679598688395,0.0001420517168402302,0.0014412629480657912,0.00034106976983827586,0.004109316046784939,0.0001726861061570606,0.0006145170265723365,0.00038724074745832837,0.028565749768507953,0.007364925559085328,0.005423268250760366,0.0012004619285868046
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5334951207516682,0.025679906043119316,0.06534777040224897,0.0304074535979596,0.020721308398875232,0.01953810458396421,0.0029564945300658285,0.00010554400281392873,0.0012928656981552322,0.0004943558621144373,0.002276422011168372,9.656520994849593e-05,0.00034662401514040653,0.00020318351061132667,0.008369619901218595,0.0042576536327640704,0.001224632156716629,0.0003047400640965314
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8162808965904393,2.832095989122578,0.09964956575411976,0.17932757083091663,0.010638997804220174,0.02074149312730854,0.0013076986177695815,0.014283029722212515,0.0005655280740084478,0.03010384179943912,0.001238751794254478,0.0033356468075564916,0.00040865809598678027,0.2028097641735643,0.06363702212136137,0.02786040467481335,0.005532376901287495
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09512376554377844,0.01824849844796339,0.007522423252679045,0.0003288399865088998,0.0012964635216964338,0.0001250374633743334,0.001305863040216959,2.597976764318055e-05,0.0015484140459466333,0.00021802263299242064,0.00045647971467932535,3.7160853086692924e-05,0.036125607925445724,0.08684449656841109,0.005717863779599708,0.00018015866126042113
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.075569009710793,2.65860040604541,0.09986209543914182,0.15320602894452517,0.032254507678516564,0.008547072681655443,0.007071144407945207,0.16203660073332832,0.0104679087357602,0.03041791099299873,0.005417506239818959,2.7431555871639066,0.27781682851476674,0.2123695900169324,0.05385605379277725
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07991598448427062,0.004491750332335176,0.02593111554579286,0.0012414528879849396,0.0013081002321904123,0.00034409625602593863,0.012594147003128886,0.00647058317425131,0.0008564226913148065,0.00018825179840087358,0.11528832820281498,0.02887585769330714,0.010733037745145446,0.0007955489201403321
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9113627591742304,2.8752732659292737,0.09116602079022407,0.086910172828907,0.08557050145596268,2.707134440565032,0.08722334115261288,0.09233642423353339,0.08442313284984371,0.1815970663437878,0.043388089324600074,0.020099802748027237,0.0016220223570841963
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08420680738250264,0.005325679174136955,0.004032533748450806,0.03507260178037064,0.08732228454164515,0.004129569799592225,0.0057917313799276116,0.033883599631206573,0.02715911150519812,0.004384507763490864,0.002670648041038004,0.0008931188861318606
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.032615342327446,1.8974177795888942,1.9430543278623893,0.1692969873749759,0.031118723109153867,0.008172302947982546,0.009463980551506879,0.02891161831452957,0.00809436296066711,0.003777670712159245,0.00030751876844348214
