 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,H16,C17,O18,O19,H20
N1,0.0,1.8935517728753504,1.7813538620695382,2.7112165035936715,0.08993077784992276,0.09902821028202946,0.23244038374847562,0.04436492896881607,0.0363127180700083,0.002760200481830455,0.007624953732150497,0.0003147885859673405,0.0007029606619451401,8.65375462503204e-05,1.9055516319532728e-05,0.00018655759114460935,0.0011941964791843396,9.73019232744371e-05,0.0003576474253606521,0.00011502158823195607
H2,0.0,0.0,0.026614536443908765,0.102989841873522,0.007241636641479365,0.035814554567583645,0.008068609664314774,0.006495957132572672,0.0008830198088645158,0.00017623485495854574,0.00023131152814770406,1.544644238049564e-05,2.480348365718754e-05,4.3890849132921517e-07,9.993982916789435e-07,2.334978224771689e-06,3.503240373026184e-05,7.030044916755962e-06,8.892060705978366e-06,2.753805307786905e-06
H3,0.0,0.0,0.0,0.10444491120787236,0.036232979229556816,0.004447394999238075,0.01669139281353116,0.039075474585563263,0.0029517184676752795,0.0006517014072189298,0.0003522970673218717,3.226976219727895e-05,6.175787431961233e-05,2.751478396745277e-05,2.6498011029829627e-06,3.3764668863067726e-06,5.3173802802897185e-05,2.713053161607082e-05,8.578034549566738e-06,1.5173794718492672e-06
C4,0.0,0.0,0.0,0.0,1.9088687261342718,1.8966134986561887,2.7686113610602674,0.2893249286177474,0.22723455845121995,0.014039602507063598,0.03618959032518557,0.003054971080902358,0.003904164685925249,0.0011346980917141813,9.842504412072017e-05,0.0008892123368806626,0.004250757501826491,0.00043739732001331355,0.0011902425895816415,0.00024429499441158686
H5,0.0,0.0,0.0,0.0,0.0,0.02593252320308559,0.10119555400610558,0.028989926722134518,0.010918922295754752,0.004503800460062601,0.001428403427849556,0.00036231336304504147,0.0002443430000920177,9.50371505663572e-05,2.116451812184117e-05,2.1595852544908922e-05,6.654384740167885e-05,4.416213047631068e-05,3.1241528638759064e-05,9.396243195736176e-06
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.10690871545074887,0.028912195039742628,0.014822174601731186,0.001048700007633352,0.0013759791803713561,0.00017327372876763114,0.0007700294045208667,9.462981144325866e-05,1.8205044991725927e-05,0.00010303673987843709,0.0001941034158718935,1.7919669939137073e-05,5.617286969294977e-05,1.648143962729165e-05
C7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.043965106341297,3.37646965018018,0.13504687457239473,0.26197863174025326,0.02325212272524424,0.03200040072538257,0.006111160297705753,0.000753362371457289,0.003530429667530477,0.028254411127427242,0.0065419459892316345,0.005461561312261831,0.0012060097051888041
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5419845945142108,0.02612798005128758,0.0659681357835645,0.028881093070209585,0.02139431383897286,0.01901143747395262,0.0006125228335658317,0.0012268909231596403,0.008107657745520747,0.0039694175209255,0.0011535071811834413,0.00025459697167007356
N9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9289513408274033,2.8796282480825304,0.10063844301668834,0.18420723609546186,0.0067541123664012215,0.008459432835489444,0.02866774719976961,0.18805024214343286,0.05771028670872992,0.026129775567069247,0.005137663351713728
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09334852614562728,0.017564157676442482,0.009713383283028731,0.00017375902088634376,0.000762008192837671,0.0004953918470933516,0.03520696617886965,0.08127846861139587,0.005535855857661143,0.00017915576755056506
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8549367767151446,2.4991052853628664,0.09873357690531703,0.08324609289918139,0.0935099154570167,2.470471353054287,0.27933707666391105,0.21541391407417268,0.05393356201991717
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08111335560538202,0.006500948574539089,0.032409180247964686,0.004181831653966572,0.11353197782004854,0.03160804922873417,0.010796035166260487,0.0005819375785527381
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7244971959923507,1.9593245960433248,2.15445854610259,0.19903471306064813,0.04515643973001893,0.03038553154431159,0.0020551121726214427
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025239355847535228,0.026555668116353237,0.028287648930402032,0.00531571691951116,0.004473870206031405,0.00025510623160585055
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02496203599627589,0.009598255527553778,0.001484653098881017,0.0006930037991539351,0.0001520020801331068
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007633290999328413,0.0011617912965918853,0.010817477858805158,0.00025657198578876717
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22313115788063,3.5784237676758606,0.16684395818851538
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5104483145586796,0.0649920652143493
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.536890941340049
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
