,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15H,16H,17C,18O,19O,20H
1N,0.0,1.0199460985271032,1.020533647999417,1.4548796297251476,2.0940504460751517,2.08827518993839,2.518052239938289,2.820675062576033,3.724911611491665,4.0208350368928,4.973986286514264,5.079563076722473,5.565232690887568,5.069848844126462,5.807750644309574,6.562482651140152,6.093905437160236,6.196057751769793,7.25282265141907,7.944305123205695
2H,0.0,0.0,1.611080183007014,2.026306979088842,2.3609803447662356,2.929850779241207,2.758554903114746,2.9104872796785823,3.9299125996262765,4.306285066655993,5.100280341878158,5.292065260912039,5.406978164452994,4.7892687791480455,5.565850132045318,6.417386036476697,6.322572346006257,6.498881160230964,7.454109640439032,8.189368038950077
3H,0.0,0.0,0.0,2.0138378601214044,2.922085017646595,2.4367310640513256,2.6107696439428394,2.5113888237591753,3.9429050494481053,4.413886479711477,5.010886295526056,4.896365174595867,5.631515369068005,5.056535786549293,6.053195596185436,6.539417899175026,6.219411705759821,6.469491079412834,7.268443583171862,8.01526475431231
4C,0.0,0.0,0.0,0.0,1.0975863640761783,1.0999269435416366,1.5398434857571943,2.423687441626267,2.4576112950561315,2.6040168870165634,3.8287295034567648,4.080657842423935,4.631133285647761,4.389232083622226,4.825503683250053,5.6447531136442395,4.775645212246731,4.774573956569585,6.000685639871623,6.622381513642664
5H,0.0,0.0,0.0,0.0,0.0,1.7566773007717678,2.1750638371410718,3.2162326517857522,2.637497274181916,2.469349738582577,4.076347415646743,4.583982113268093,4.747958850227139,4.614626019452917,4.6893482931447865,5.8154661694781815,4.8513471658957705,4.659976449747128,6.153581429071802,6.69187702410226
6H,0.0,0.0,0.0,0.0,0.0,0.0,2.146391384511503,3.0228781738857524,2.8142390313753407,2.760182489687048,4.133591864012813,4.273502050203318,5.212659290393198,5.113357523635431,5.470085177142435,6.158011628707001,4.845507605494844,4.708112310976824,6.063313838247209,6.593894799967227
7C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2282475795287797,1.3633329270951644,2.076076112269821,2.4611863273625216,2.6345310314691184,3.235772328767966,2.989207659898365,3.646214984355532,4.191545122997845,3.666612183086605,4.005348801763306,4.76062711287801,5.503305847179257
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2744548690740976,3.178461555619607,2.8011997900702927,2.5943964285087535,3.2863264929653697,2.725144999740162,3.942211207137859,4.089551375492048,4.221551426237814,4.8284898057311825,5.075088977377077,5.932998611728052
9N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0135894651415887,1.452848197083935,2.0843027398050507,2.493625576508981,2.726518393572811,2.7719578042352424,3.4327245379389186,2.3988874354163356,2.688188003276507,3.6027180062483706,4.27133623038733
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1054519818812647,2.8575077385778145,3.1651757706091495,3.5738529510783192,3.171765966018016,4.070804595287775,2.42851987752921,2.2259124348576793,3.765718259345892,4.232982048233086
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097320717864324,1.5422735642118641,2.152584382643249,2.1848239773039277,2.1834846580545624,1.520845171103835,2.429546603492647,2.379368390816569,3.212503418019279
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.151835119485083,2.4643829407591165,3.070303598854436,2.4827289112782283,2.1377333905448483,3.1393381293787956,2.602790346124254,3.5003429163268525
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092690770877506,1.095499116895794,1.094083568147415,2.528459042972467,3.462812137585503,2.9506249674337743,3.809798288486343
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7808811312994677,1.7810228243724133,3.4593979945572375,4.363193376599433,3.929297257779163,4.833928496636832
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7831251419136709,2.7911276530543168,3.434098556135931,3.3421228611498557,4.024937058103349
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.788575177406439,3.8701069435057542,2.675375216810556,3.5369559792307923
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.213910042917482,1.348136319654749,1.8761116704012066
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253575552631488,2.2902119102374416
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765461022232949
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
