,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20O,21H,22C,23O,24O,25H
1N,0.0,1.0198367760010096,1.0190333279964152,1.471882083394375,2.0733899344209625,2.4758008555561415,3.4229899773115013,2.781668038742041,3.1893511076572545,2.691931621675469,2.500720434999456,3.2427820472684905,3.2072543404344978,3.2596945913804625,4.5227600728352,4.755013914289553,5.66694385247087,6.605808205392054,5.761605641164156,5.828302906588399,6.072180899935342,4.948373053022803,5.867202014303378,4.628357675548117,5.252031380352294
2H,0.0,0.0,1.6277579325820113,2.0514108935137947,2.9124684673591403,2.8578237707932788,3.773305881892705,3.3694842454000637,2.9973122412514996,2.4523392299776927,2.6311176562407543,3.5019258667675017,2.905794875066544,2.835813889610777,4.1360394281338095,4.535630695190659,5.298256046235902,6.205937726367777,5.572695403602254,5.33003057517824,5.436379995207491,4.303802487162654,5.114820319089452,3.994106616981857,4.510242547591784
3H,0.0,0.0,0.0,2.0436445472800386,2.269303009352797,3.338591748587794,4.188053117005962,3.5877381506183874,4.195252250176906,3.6773570411342975,2.7381732705310413,3.1071341128117376,3.6329820716248573,3.9194119036392205,4.776560135313451,4.811092310046704,6.074840908475339,6.922766456347075,6.193177691734842,6.417025256127666,6.616342323477,5.119621029570189,6.133075908503176,4.557008664442382,5.1701390390359325
4C,0.0,0.0,0.0,0.0,1.0953048174050586,1.540565051820036,2.1822305884629905,2.1531197341032398,2.8885777464288385,3.030851500478873,1.5433148534772336,2.4067316143372715,2.4840263899863646,2.6388911215307442,3.853532011669479,4.017884062026391,4.796075589312195,5.779826915178807,4.6617946815570885,5.085460772285288,5.535971550573347,4.70966136368568,5.678332233263246,4.687346088067228,5.4879447379278625
5H,0.0,0.0,0.0,0.0,0.0,2.122214704958748,2.5423012784874675,2.3375399642945967,3.7910023149167156,3.8962971462933975,2.0919866472149327,2.450136976483024,3.3119613879058587,3.620833235065456,4.545000273190122,4.478877407380339,5.475098713773717,6.408000142671362,5.190136551184434,5.927502620124909,6.445350161926874,5.51197813455676,6.559006511752573,5.398306502166778,6.242666104517272
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0947280564567299,1.0927479364521904,1.8476888495841348,2.392569207831804,2.6284469653138376,3.6512234424230403,3.042605378175261,2.7159918385097224,4.4475247270530405,4.8484931776817195,4.970889222087985,6.051087152108393,4.706246018722721,4.923886746061434,5.495067219116884,5.393365381210421,6.155553212698336,5.674336746178728,6.428969267272586
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7689975326311527,2.3819316968498283,3.298556476683035,2.7869741007719306,3.6955084638060742,3.096260740976756,2.824226366947865,4.3278747025732045,4.685587486563181,4.569122189224065,5.634996290467999,4.095588198289441,4.583082222877498,5.306238751813227,5.496206933579751,6.228614204890271,5.9639091279730545,6.78085361877909
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.412828133950424,2.5994286820944486,3.514570833662384,4.399278063391465,4.099175849118281,3.788082283345658,5.51375540933131,5.85173567864813,6.050312017493358,7.128653681342747,5.731148337918606,5.983300594354207,6.55772098795901,6.434674623362903,7.208917283769763,6.620364527160175,7.355579821278293
9S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3504458417065228,3.61314712769033,4.823342143143842,3.331405590947903,2.502836528183863,4.6183855365071675,5.364924907375598,4.947213713097835,6.025640533756931,4.953641085925611,4.399790373942845,4.79309083183321,5.209285328427391,5.648700921196544,5.662331865501946,6.219558716163179
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.028865481186045,5.1816567219603025,3.9521956484388885,3.259109104708683,5.294150581173275,5.981849143994242,5.904502220676249,6.950592480407834,6.02916514960698,5.4203069449654,5.653658897814328,5.640586337562406,6.12186799660349,5.812283275085352,6.267065632861849
