 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,O20,H21,C22,O23,O24,H25
N1,0.0,1.934746257343304,1.6463395353260595,2.9487542455829994,0.08886802353789125,0.19296854819723946,0.028724859266511693,0.006833451994712414,0.04873985339776733,0.019283751924026316,0.23041179515173418,0.05319347389523391,0.031944666286719756,0.0006773518377127807,0.004418934507643635,0.0005696484501587218,0.0007800741726261273,0.0001108486828819144,6.297340835770271e-05,0.00010813267739431115,6.271124290413432e-06,0.0018785047789161846,0.0005864947236503895,0.0003275015803583456,4.370289402333416e-05
H2,0.0,0.0,0.027343101352809818,0.0981767499411561,0.033202535763257046,0.006461652309095789,3.748135857351009e-05,9.283783285241043e-05,0.021814368608388923,0.0037768678457390514,0.014338564545109067,0.0012436513833958829,0.012784203187366616,0.0007133615162027152,0.001024798219488976,8.833698874299856e-05,0.0005302707223879821,0.00011174185384965618,7.877238848763568e-06,6.670423361843092e-05,5.086778516183443e-07,0.00039091483394471105,0.0001028334477594095,0.0003742797952217547,1.805218806349984e-05
H3,0.0,0.0,0.0,0.10580085226182989,0.009113716867248156,0.0320793659480455,0.001469545527799987,0.00020257434666670626,0.003571084963723159,0.0005447677057719424,0.00739276066652117,0.005556654553101836,0.000572297379465625,1.5496590173080804e-05,6.0481487797137135e-05,4.796096107373415e-06,7.196651982233071e-06,7.655374274495585e-07,7.154278920395996e-07,2.0458952912916217e-06,5.8596983931735735e-08,6.705629526426726e-06,2.041016049392219e-06,1.4620196695402932e-05,2.2313585712474548e-07
C4,0.0,0.0,0.0,0.0,2.0630032223675183,2.464653427724945,0.0871266410986773,0.09900398853850101,0.17401250612101554,0.005700330700874279,2.514045773130284,0.29535791162449987,0.2044847723540418,0.008956107054136853,0.03627491889955656,0.007173566888767691,0.0034319217720048534,0.0011280332773602186,0.00013372972119296556,0.00041065646215550367,4.3553685990183055e-05,0.00396640187137412,0.0017225823035173782,0.0006323393677315214,2.6574322700700925e-05
H5,0.0,0.0,0.0,0.0,0.0,0.09828738934266912,0.0022930126938494055,0.008132662735073515,0.040482171023753066,7.075868161932064e-05,0.10982339462268031,0.02321596711977225,0.020837001003833344,0.001075984705583899,0.0029990426099426593,0.0001279907651536849,0.0007259134484675078,0.00015984317670225678,1.624827015112018e-05,5.529756958921883e-05,1.8029365875804615e-06,0.00020627427961117384,8.792005699975736e-05,1.6898912643004138e-05,5.775367143634469e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0541216774122963,1.7154699681252084,2.8676945963495752,0.05015110895096009,0.1547345445470477,0.03792724125423816,0.020064945257589367,0.007368504690142275,0.002657215385365841,0.0006346465430357995,0.00046462576950970225,6.32163338576408e-05,4.6135777586497895e-05,0.00026210720966636514,1.3827225441853663e-05,0.0005794535790811794,0.00015890033135526616,0.00010681229327463848,1.2155410428982272e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026870247064157304,0.08890382788021,0.02514060015889852,0.00875044277754311,0.0013056938122961714,0.0026709407092154747,0.00022471075015406683,0.00020533452644588834,2.5433806711161466e-05,0.00010547256679127592,5.086696105660593e-06,4.436449415523569e-05,3.7304288324047086e-05,4.2708232106392074e-07,9.409836481810707e-05,1.739875975304006e-05,2.9294911029209558e-05,1.8936724990314957e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08774791053546604,0.005411215381780021,0.025950444871759792,0.003815213041675203,0.0036379087881367456,0.0011877719888828686,0.00041067841184982967,0.00016138946792532138,0.00016938884746808824,1.8774836324064736e-05,2.1666262794983737e-06,4.4043745385802247e-05,9.24262362422823e-06,0.00010414974829808799,2.3919296625929398e-05,1.4610518303648234e-05,2.4258067166105235e-06
S9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11190022310741,0.01270486726635077,0.004486115088404866,0.05614037756058843,0.14038899531834648,0.006101675638697929,0.0014177682556852922,0.000584620041845299,0.00011248811089026312,2.194749464801138e-05,0.002291730856578321,7.059169947187804e-05,0.0003934352292564586,0.0001857556527093615,9.639681932435001e-05,3.9097418818023755e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007705666250736876,0.0005992773965288745,0.0013674995639263443,0.00115450243132309,0.0001579937389768471,2.8275717281811552e-05,7.243303688708735e-05,3.35837004181716e-05,2.786270143051439e-06,0.00037865115537827343,4.752014767683832e-06,1.7195783968526612e-05,5.821200073974353e-06,4.040755731793411e-06,3.361209213181837e-07
