 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,O20,H21,C22,O23,O24,H25
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7485192050059375,3.614563439729395,0.13422798248728862,0.2673443861306479,0.02973383790730888,0.03360054310122365,0.004319796205584314,0.0010091585452516316,0.0046545422239589185,0.00018093230339766286,0.03541462160962433,0.008679652146621225,0.0061174172531347215,0.0005353123296741868
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5565596824421246,0.024154598531068383,0.07517515862256402,0.06109080088027541,0.011229785406848075,0.0016666966305104447,0.00017385029871530566,0.003150241006402821,0.00026582380983319887,0.015099393212741175,0.004926674725216684,0.002567928761110491,0.000369747496078654
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7490737978737974,2.679669521079391,0.09923160896373173,0.1847010495881402,0.027303551591146613,0.009130157150624818,0.03187021326962809,0.000534782938366507,0.22215262853939516,0.04368413065474655,0.027843080908617604,0.0022144915882675864
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09493444525064487,0.0285014464439175,0.01053170331796982,0.002108963858702406,0.00038880008010333533,0.03665902383931163,0.0002733699845463011,0.005872228589121065,0.0006177897432592117,0.0002849375853001268,3.070252899806114e-05
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9150374842768854,2.816465821824531,0.0984773913963839,0.09752729401257554,0.21867091937687808,0.010339569412306737,2.6446050123813722,0.2650871397688641,0.21156814345878655,0.05492109377325072
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09285299393301194,0.002992179136659834,0.0038482241596036193,0.025388457717513635,0.0005065462106244034,0.10662278421516325,0.02709445202180316,0.010214805887008849,0.000779820999868619
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8312848425679247,1.9715396315918166,3.033009477872736,0.1131167909650802,0.18037457718295813,0.03735457270360404,0.027166692400052636,0.004553257592786242
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026997566128107664,0.10834625842782619,0.010068250226452413,0.009089112135664879,0.004911759034447405,0.0010540358125485927,5.358398812460585e-05
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0982912692630784,0.03203742413734134,0.02755023429315906,0.0038790976937268518,0.003940960040479613,0.0015699379091715926
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7262428866449762,0.02378296612628275,0.0487962481809477,0.004250590307182389,0.0013405938008524965
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02664154746137215,0.12699493972854026,0.005869960287824383,0.0002603097667488452
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.184285203782267,3.563671894626193,0.17223447967981875
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5168702909777917,0.06737999266164096
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6819391319674786
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
