 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,H30,H31,C32,H33,H34,N35,H36,H37,H38,C39,O40,O41,H42
N1,0.0,1.9817960835308404,1.9306203053576714,3.1095891095732955,0.08993167624370413,0.21501285655436717,0.017395254643412184,0.009165328535575834,0.03561488274628763,0.002610674915056954,0.0008525596264064017,0.0031281538401810582,0.0006149572349814225,0.0010678792140968452,0.00020791963879274178,2.1406199648965618e-05,0.24474291909332224,0.04809959437604945,0.03815025475508042,0.001886855231159168,0.006682063185401266,0.0005240478615239352,0.0008937546371229899,0.0002696033256185393,2.136475989733544e-05,0.00010745473029417918,3.5562829260316065e-06,3.341680524004964e-05,9.828114920160114e-06,3.8145505480979836e-06,9.042288618976713e-07,5.884198377742456e-06,9.735443163849666e-07,5.192924215080552e-07,2.1972100028688768e-05,2.685937638524649e-06,2.4953409761940826e-05,1.3089588356551829e-05,0.0012465763623937531,0.00024247849472015803,0.0001256404871324418,8.736927616492807e-06
H2,0.0,0.0,0.02799789211930026,0.10949559964457134,0.00707201533922297,0.03304058361696227,0.0007132759165275893,0.000915905157414576,0.004806647741248615,0.0007467477300615588,6.826445852725627e-05,0.0003071104841623207,0.00017723863395635586,8.397089787792744e-05,2.461047319934906e-06,8.84191539318735e-07,0.006809804394007246,0.0011259957608024118,0.0006354308531282271,3.7923484896840165e-05,0.00012621031940074356,1.416581883817436e-05,8.219213922022739e-06,3.3730282540389567e-06,1.1691758976528632e-06,2.2673639242798416e-06,1.0792694293826344e-07,6.634388991511031e-07,3.429788538733547e-07,2.9074339624735046e-07,1.6059115592881312e-08,2.3477603705579497e-07,4.657869201452058e-09,9.59102886000096e-09,4.6372658046855975e-07,2.4202297943531903e-07,4.5330778242202996e-07,2.112740176141159e-07,4.437715487659588e-05,2.7680891417469766e-05,6.564215282223174e-06,7.928187728545311e-07
H3,0.0,0.0,0.0,0.10774887342040684,0.03564286718695242,0.009273747489733086,0.00017122453715434638,0.0053126030573453775,0.0005657479352222383,6.401629550101262e-05,3.4778472788099535e-05,0.0009113612903297597,0.00013954377392522144,0.0002867083100731582,3.3979711576259675e-05,9.430572440738416e-06,0.016203555652322454,0.02959099119285491,0.0028677886732194624,0.0006871679690412247,0.0003120793824817891,1.667207659439285e-05,5.086996427217105e-05,5.434082937405549e-06,5.084995405413295e-06,5.528789524422706e-06,2.160526442196442e-07,3.257390916999725e-06,2.5029043217994484e-06,2.932499548524703e-06,1.4992598185159522e-07,3.0558234664912476e-07,2.551496169900247e-08,6.082212755664784e-08,1.4971284937326246e-06,7.087440012654156e-08,8.246268710099258e-07,3.7617398063183316e-07,0.0001533456132546407,0.00011457180640650488,2.910173698544849e-05,1.9209827446520222e-06
C4,0.0,0.0,0.0,0.0,2.0702299221831275,2.7681721929987493,0.09070522252854873,0.08531482840667115,0.15153061810506396,0.026452300771928394,0.0061679333168247474,0.017555758987047004,0.002612418439997516,0.008609881959983634,0.0008308537261303428,0.0001759511685096582,2.739543338778316,0.2690841557838653,0.22668995638118428,0.01803896877556066,0.034990681542083235,0.0020467932562513447,0.003989178030280843,0.0013886483716836207,0.00011928889350820704,0.00038861503198403535,1.0582854271357078e-05,0.00013684395519875103,3.946443997585036e-05,6.106284269846718e-05,5.08103684426775e-06,8.705931179825432e-06,6.004654473645843e-07,7.515564763860283e-07,3.8634338635171184e-05,2.7697108582191987e-06,2.284951523290335e-05,3.236916130755496e-05,0.008535310116712519,0.0017794721767783739,0.0014717050662327175,7.812854559496873e-05
H5,0.0,0.0,0.0,0.0,0.0,0.0811606101095087,0.005006996165395128,0.034682400518893486,0.005632088558386927,0.0004042698993045324,4.07459816818001e-05,0.007899845560614294,0.0008297108214921911,0.011065415745724838,0.00014477739394380684,4.997176938426051e-05,0.09402627492523208,0.020708933252710948,0.011961976762179694,0.012670946146623452,0.0016907717287051316,8.665825503184621e-05,0.00013484499057025978,1.0065338370779386e-05,5.812409774819116e-06,2.2588902550912948e-05,5.593414362792259e-07,4.159994548835755e-06,2.7725783606769028e-06,2.5930968006182553e-06,1.0575637947596306e-06,4.5455303165908845e-07,6.334070956626192e-08,2.878429006258898e-08,2.608224127009784e-06,3.655223055343271e-07,3.3421738763195208e-06,4.510297382243067e-07,0.00042404679579677307,6.0339085500737966e-05,0.00010185455647915287,2.825235510961477e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.144358909948195,2.0728442742352677,2.807257321230813,0.09310258632991542,0.08655730329161115,0.1719061230406419,0.04003275985975831,0.03040722603482264,0.017848914400469207,0.002084455637978877,0.18450417013631784,0.03783647274626971,0.028946890620983184,0.0014002689476414476,0.0038924078527219352,0.0006408848843104664,0.000624709173527499,0.00010127465436060579,2.962978277898376e-05,0.00017115326713096346,5.227914666616762e-06,0.00013212537157447635,1.9796817804271227e-05,4.020394474002487e-06,3.829764358087573e-06,9.023897313520379e-05,8.191799073298256e-06,5.077590019664235e-06,0.00039544403596518396,2.5249078007383297e-05,0.0004591049608946296,0.00026990326956111144,0.0010539592049860491,0.0006108719541633167,0.00018084526690037572,2.0036587503935444e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025040612077066537,0.08677451443706907,0.005199005688501401,0.03315244090527858,0.005982567732288002,0.0006160809000405054,0.006210951288319055,0.014764375976813904,0.00037727035721246693,0.030152019622359694,0.005351636424128503,0.003007775179574401,5.7933455882563933e-05,0.000663908351655973,4.445993592727682e-05,0.00012916716294220087,3.7738205614701315e-05,3.918843956896012e-06,9.700554326919075e-06,2.835211658780423e-07,3.580775904898914e-06,4.405653958317046e-06,1.3697771963361305e-06,2.2003940181036796e-07,3.435502887283448e-05,3.33893121040596e-06,1.3450542297732682e-06,0.00016315348304041244,1.068698618111874e-05,0.00022912199855262827,0.00013027094011652807,0.00015206930043309974,0.0002053585316035278,1.460554583998519e-05,3.4107398727556415e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10202557483862962,0.00483980994084976,0.005484759133567607,0.028263681494171022,0.0037594118083968953,0.004115733602090055,0.0008523398796438375,0.00017970667433697685,0.010538691213637819,0.010158990360551567,0.0016319530904495005,0.0006394342654445495,0.00016776966521958592,5.371911925067252e-06,3.532051558208238e-05,7.471323106189587e-06,2.520358428181879e-06,8.88217010563963e-06,1.1497786902570084e-06,4.716200267207427e-06,2.1378516499304112e-06,7.569360214176868e-07,5.391073747418318e-07,1.1450305312132869e-05,2.448632032914233e-06,1.2366504833494218e-06,4.946248126325159e-05,3.2792965480865632e-06,1.465022797497717e-05,1.5437005082219457e-05,5.187885661728231e-05,2.7792592453668163e-05,1.4288254856609228e-05,1.8572687257023546e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0080265883889075,2.115954415240847,2.8064824512818607,0.27621341502865326,0.22856505191977172,0.0098580192476182,0.04273079788760337,0.021363687117796515,0.005402792896686076,0.008362132131488564,0.00021436489707671313,0.0007798751974209539,0.00033556687956981524,7.551591377019662e-05,7.955186029806605e-06,9.684484022720596e-06,0.0001286572554603238,2.3134186410977975e-06,0.00023852944405500232,6.062828521598285e-05,4.694547380390546e-06,1.992414048235247e-05,0.0007598327460477394,0.00010405941089497439,4.875737462706198e-05,0.003475071629454027,0.00017946586452632918,0.0036223147483785967,0.0014499083954893077,0.0011833615328331881,0.003674714279180591,0.0005086208785578389,2.8697021724477523e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027168283880230293,0.11879869317488834,0.030290624185021042,0.018519353632721725,0.00037627960042119213,4.921876807584269e-05,0.001720733885604231,0.0003086015904627537,0.00098809225408103,5.309732725722327e-06,0.00010547673361149812,4.708516276141772e-05,9.522511338233564e-06,5.369832012380726e-06,3.205565120012466e-07,4.808382637355724e-05,1.3500029250046452e-07,9.871774826963886e-05,2.9551706041131e-06,1.3997942027721422e-07,5.742573849776278e-07,3.7784142784547115e-06,1.233285829016495e-07,1.1064028364593526e-06,3.458378584919597e-05,4.184344083668634e-06,5.447002095815279e-05,6.260590548845535e-05,4.584742336999348e-05,7.541020993084846e-05,6.698920564929267e-06,1.8854532128909085e-06
