,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29C,30H,31H,32C,33H,34H,35N,36H,37H,38H,39C,40O,41O,42H
1N,0.0,1.0189202039040364,1.0206178685162122,1.4596242792194183,2.0768380761178267,2.432429230485127,2.594887602195563,2.647543407535472,3.8463149876168887,4.5931620724660025,4.193438769249864,4.516762930781445,5.420518064586789,4.592306446613889,4.229174428141513,5.387181138298439,2.4940423735414976,2.9498094336500795,3.581875101267368,3.7389917140754916,4.786294770028486,4.811045485493812,5.967938047255801,6.849996359127829,5.892794139520413,6.498010999874154,7.123713197700228,5.787578037132865,7.563821290388374,7.536574344911846,8.538900374490751,7.843851301103505,8.767996246129085,8.108649030223466,6.846380144018752,7.440351457415511,6.189506553664848,6.349035131473225,5.395019858963259,5.691493150416872,6.100252814127673,6.66362128426623
2H,0.0,0.0,1.6332688680293133,2.055062453559119,2.3357894320969006,3.3343078488117324,3.504768772199401,3.61969573128839,4.63327636779634,5.473334172592049,4.905035308297494,5.11233989125446,5.896836367776054,5.139295499390881,4.851703240881582,5.818701377361745,2.777827645213964,3.281998556380926,3.63146969894112,3.6878943502788504,4.730089993624574,4.583641983725525,5.82104362133857,6.672559624466267,5.579061303601177,6.506899413791329,7.039413654550965,5.896472703952196,7.699068822789353,7.693289923118916,8.605702558716636,8.147329226951411,9.108274153471205,8.393182180040439,7.300061649451716,7.989599541615836,6.659107322693224,6.793200929527615,5.560792593173152,6.047105050220536,6.177703633922804,6.84910475713473
3H,0.0,0.0,0.0,2.0332246760948633,2.9202389486300033,2.715430684247163,3.0234028237656627,2.502599054397182,4.140672062039149,4.790207534583174,4.332872732194479,5.075934321627413,5.961725713299113,5.317665523505651,4.950402987925448,6.182572907439586,2.6085734902141287,2.606244397864784,3.8815791637164256,4.272075090398898,4.898542070150478,4.825048731803218,6.243871399919799,7.026138628824008,6.277277384632602,6.883307626614246,7.610790326863841,6.24512999401842,7.825635366540975,7.657011147889838,8.824731234531205,8.129187648808301,8.982466612010745,8.513199667058784,7.06810270697616,7.609842723057922,6.52601452632078,6.45290067770742,5.280609566119821,5.588263284317575,5.821723630379496,6.298937531484392
4C,0.0,0.0,0.0,0.0,1.098573265426625,1.5433299750362266,2.143848864420088,2.1500722601345177,2.6075114712221694,3.530558916206398,2.8877320385629037,3.1895468614389744,4.003024136700913,3.5168007708362548,3.4113125862437688,4.333361631088812,1.5389906322778566,2.4230525044237554,2.480271742935247,2.615501105711165,3.8395097463238828,4.16494320803203,4.927544529691679,5.877511567219282,4.991448512293177,5.236767915163802,5.90421491676897,4.44557699917604,6.241202225341248,6.281986504685254,7.240205806140729,6.423015849887885,7.355994381407339,6.667684885873679,5.419170364465477,6.031183689965336,4.73473943339394,4.98739396009201,4.413309863807288,4.550659341901863,5.349348598221351,5.8978279649520315
5H,0.0,0.0,0.0,0.0,0.0,2.16752211245308,2.4800877820161515,3.056736318401607,2.8778986002021765,3.8554925348801334,3.2910022849703324,2.8960407807113717,3.632388458923836,2.968981044373448,2.9768283131013793,3.6148949058626583,2.1722750298929765,3.291164104184057,2.544581139054898,2.2361753095050747,3.9872004421830813,4.385571328323505,4.771063668292594,5.806768320317164,4.671138731436212,4.934459738246409,5.428794833490717,4.082054765424593,6.0970132974104505,6.320502997600488,7.028294959503901,6.279650752896071,7.288779786032595,6.3587171598001575,5.430122151673508,6.112402005481095,4.6254916428368915,5.167623684631465,4.825879320165592,4.984123951317234,5.860611967406818,6.492459360981544
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0963257944072065,1.0962440825567792,1.5403602626490205,2.160904167149631,2.171155216052653,2.607003787768574,3.6643584293939657,2.99704676889526,2.7429538157167213,3.983589989149425,2.5171370740980668,3.068243741970274,3.454776712150634,3.6553477194806474,4.742799720770066,5.258805743602334,5.816015181578118,6.75058746925046,6.080413172648558,5.825765923575364,6.568073230558709,4.913725592802598,6.56032231302717,6.593394213351,7.620415296636122,6.395332618553233,7.230123650437138,6.628012973814767,5.143677396823926,5.516566457992976,4.427765908167947,4.805965728293404,4.917205001293746,4.6696969682737315,5.928611874412326,6.266944698373926
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.752947228858189,2.199580588280911,2.504569089413167,3.0923989263166067,2.936266918674044,4.141561333626366,2.837185277867401,2.2304683461436445,3.796113158603291,3.452355529453874,4.043246889068384,4.35422960247453,4.384670428029077,5.71620136820593,6.1953212613877895,6.715463860700387,7.695232488039165,6.875818114435887,6.665192722766845,7.3118423233133685,5.6940955800029265,7.465649649662971,7.583225792029837,8.50406815401197,7.2247124831109,8.078038700059961,7.33905971479034,5.98330481715791,6.302164360265961,5.172220204476691,5.760900565203634,5.993173727064372,5.748966081487498,7.004181108935131,7.357330262969162
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.142339496128127,2.45062609579203,2.452114019202283,3.5087974703048306,4.4849192250563785,4.018243332327276,3.715826433893165,5.021032353428444,2.7485338462252313,2.8351489727703965,3.908294587803844,4.3399104054238835,5.010436639954581,5.427118994303055,6.261255537562743,7.094551428891565,6.620099735503957,6.40188765275468,7.245662494016068,5.581290686315379,6.998087648928345,6.8671219648994,8.082987804890836,6.8519585872434545,7.590823543217608,7.223203143195324,5.51991986694388,5.801216750291698,4.965086931646231,5.034745660304468,4.924991933611877,4.652860184524139,5.771952764302955,5.990443010631207
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0989827542483372,1.093934319180004,1.52365089381073,2.432868141020334,2.452163120061494,2.633658050742896,3.38151341979604,3.0401916797119997,3.6458133996177273,3.500021401943674,3.648213130362586,4.645672530245687,5.427676643372014,5.474911490871767,6.393332099443229,5.9146254741711415,5.119275934977223,5.877959418797639,4.146763989570117,5.613864714669059,5.733077954550588,6.672178998624726,5.173575255988302,5.953262884192895,5.361523686573012,3.841196478163844,4.104043374344512,3.087146564397734,3.6909736933342385,4.625668974882249,4.059677927858592,5.800749236868927,6.039815992862814
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7598767448256234,2.1263884198519825,2.996575851572434,2.8430203925558186,2.871356714135869,3.7423584037116018,4.027031654122297,4.4548168855314625,4.563221653145587,4.741123867706128,5.632508231246773,6.423047443518356,6.460220148605589,7.3353516262545275,6.960942235179261,6.005969134470943,6.76908654651169,5.03998764369798,6.316929147213764,6.411103448806411,7.366266713704845,5.664336735395026,6.316261341179068,5.8348525664189,4.235571613103007,4.235010739199994,3.556581485647357,4.176120993203036,5.423996331056124,4.695555294216329,6.550298867443713,6.6575118870389165
