,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33O,34H,35C,36O,37O,38H
1N,0.0,1.0205242734383737,1.0217768128206686,1.4617741464428942,2.0753749526423704,2.4604320651247447,2.439179158322656,2.894742434840827,3.778675829641823,4.944447446358815,5.303934268264564,4.449809336706857,5.998879979558937,6.933562541760867,5.785732830588754,4.460047984684324,3.722137150793571,6.869144747646174,7.866989936650299,5.767256151979664,6.135164696683177,6.837715800043368,7.829707904069658,2.493178934732398,2.749253620266172,3.743145094907247,4.052405689556856,4.9387538635969905,4.910098829437036,5.653292797032118,6.608143711520052,5.184661471635794,6.172342724879978,5.524739263407608,6.05341515795366,6.190538331451367,7.17892591597502,7.880824318359877
2H,0.0,0.0,1.6065696376666294,2.0228122348350612,2.427234900219173,3.337371005634506,3.4412665475726327,3.722272164831926,4.564706201370616,5.68224712859806,6.010676665918323,5.173146484743646,6.707989239049588,7.616519283869481,6.478040784593883,5.107892941558031,4.3489909684390415,7.511368186192679,8.502368958862368,6.3402539245105665,6.633236177803782,7.428884202424785,8.383504443884059,2.5461618172379237,2.4136096838064334,3.8784233515280597,4.395178506042298,4.904227932262244,4.801828322654778,5.394911358750338,6.309884004724023,4.753440470983113,5.998952328417505,5.408430891832541,6.190619499414638,6.5073191176783265,7.216988099561772,8.00283119840521
3H,0.0,0.0,0.0,2.028843763489055,2.919588053779759,2.6183698793124583,2.569579554868095,2.6614005623392645,4.092853062020541,5.12019374212566,5.299085072841116,4.9946201797705125,6.309950076726951,7.205932506775997,6.27801381726798,5.178516933876818,4.495885389081973,7.458435587945694,8.420801010303098,6.532570616966585,6.9602113463064255,7.544621854427092,8.56925604414131,2.747964945394239,2.817244404912284,4.000584130718575,4.337753973998762,5.066417989461266,4.851031058642251,5.961290354805834,6.830944627538146,5.541070812723468,6.643570066820152,6.092161121517496,6.111109008443687,6.264735920246617,7.171360032803442,7.856814699947466
4C,0.0,0.0,0.0,0.0,1.099083806170025,1.5557881609703106,2.127194561770003,2.1842737520437954,2.588295098441955,3.6722685433181614,4.078695027031156,3.3558695855226817,4.694130790781308,5.596298814354539,4.572624414540037,3.6760851712386566,3.251275882671276,5.719978800603945,6.658823674116703,5.000643285438401,5.569991811188208,5.873121117333105,6.903320184039886,1.5488394046586207,2.425746646696426,2.4916663347635826,2.6406900599468193,3.84927808027737,4.06967913376564,4.643629940768241,5.652364641805902,4.393612878001355,5.001932332196358,4.318174028002532,4.8294885200214965,4.859083671896967,6.0463925800296625,6.687042784925884
5H,0.0,0.0,0.0,0.0,0.0,2.16173688124871,2.6013338796224703,3.053122483822099,2.6639442690823327,3.8305415203150033,4.456307091748441,2.9455860565108574,4.574441285978831,5.495706817335462,4.176636750790572,2.9890929011733522,2.572034532074509,5.14402983820304,6.119140869539747,4.201500364193164,4.702430382893809,5.129065417319099,6.105980831923308,2.1384077617487987,3.040955787491163,2.780801988072838,2.8146892557898884,4.166307631291917,4.600199663678435,4.673236150733997,5.747633494124096,4.397735957379662,4.752093622142292,3.9313244456837846,5.1428531444804495,5.128184034917677,6.385581747978225,7.013338471886992
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0976292947819046,1.098504129858958,1.5029871553211382,2.5828271547705146,3.0028290342410138,2.631266652011203,3.7209167783764263,4.6394197324936854,3.769711382276667,3.3161768729860417,3.135281685017176,5.048649276063429,5.941664088720358,4.686738026676724,5.420108313305383,5.3972011224608645,6.476222590306687,2.6015396567274007,3.6046662118888735,3.0399908441172396,2.711296373403515,4.3964598826403885,4.664943481541322,5.4879459795450565,6.446614462900471,5.498990783762974,5.739284818017576,5.070389319611309,4.943353718341755,4.624523893384416,6.229486406670828,6.684383911563597
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7590757483184414,2.1354864573502246,3.3098565182910615,3.8079928268334826,2.886337766756092,4.303563963464496,5.2593017582814,4.143307379270852,3.22958225977761,2.8319232567887846,5.3010593865332325,6.254698842974791,4.587811496918983,5.190534714516464,5.458255536665592,6.502811274465774,3.4647806992963734,4.323425430968703,4.089002880590719,3.789179199777737,5.4567541834298625,5.665636372777941,6.500428363123948,7.477635508005746,6.41913568973822,6.737009289967204,6.015628636803116,6.038342456022619,5.693052462478506,7.317751380235905,7.766167474426866
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1447587912338038,2.726142085895595,2.7336014951574272,3.5017380810369017,4.0531569268344985,4.84675247269296,4.429628225465023,4.3530743207415785,4.217466526083756,5.78686534328386,6.581821111772702,5.7002330042258125,6.475855938467898,6.2992467942494965,7.385154232725638,2.7285857438067547,3.566345973163324,3.108886983296212,2.8603420194420583,4.247113626239393,4.325215419030889,5.545049473772793,6.39195430117851,5.629721344610585,5.98898937758401,5.4643717900610795,4.666815733451684,4.371491934143821,5.866129991084814,6.2886784667787285
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3759421292618867,2.227078498996393,1.4466826462783011,2.2597613356149164,3.223063806153163,2.310283033203846,2.625465438120877,2.9638742920706678,3.6514513562004254,4.480556836878005,3.8222155497135337,4.7483294931198285,4.217702667760943,5.302769257102406,3.362643389912082,4.549842641369692,3.207454986566814,2.447560537146688,4.5211458905030115,5.079862899106695,5.536043701176915,6.492695937025607,5.769995464824335,5.449589619014351,4.7363139652938315,4.720982224469023,4.103668470943599,6.059891710430631,6.354585149890731
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081019904522979,2.2578249405822546,1.3815021963297094,2.124880991331341,2.253253471273473,3.6507119962815087,4.214394394479875,3.626617436396075,4.16801669793728,4.597278231335748,5.630783746048357,4.586918048766408,5.615101777446218,4.0031724357785965,5.17379218117496,3.4189281850085025,2.4689795674244905,4.430195817405176,5.052399422585491,5.553294511563959,6.376201604914605,6.03206035833164,5.40286274906923,4.8457318828346505,4.174600727098273,3.2837307679832404,5.447872169461639,5.550418033663322
