 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,O33,H34,C35,O36,O37,H38
N1,0.0,1.988366852074952,1.960709195736806,3.0708416131406198,0.09966954761621294,0.18404025729222756,0.03262418979965043,0.004192472869566477,0.02803986017744707,0.0067383191433622175,6.93230058351757e-05,0.0029394612642076323,0.001986788129245118,0.00015625404483743388,0.0006077243420648248,0.001136400887746164,0.0007837264699659396,0.0001367739339206836,1.454751816676314e-05,0.00025777917895973557,8.860296557000602e-06,0.00011760672982326359,2.393596214345095e-06,0.22649603852833816,0.0514231609900199,0.03462275767523321,0.0018186059986587955,0.007479205606283068,0.0004457935727991691,0.0005348751981349709,0.0001134429358657929,0.00010471474640061373,7.016105100034198e-05,1.8358273404572856e-05,0.0012472310897276018,9.042936976839944e-05,0.00038981098848171747,0.00012400220996533484
H2,0.0,0.0,0.02706074595573771,0.10787334926062775,0.003840958774667058,0.034686090371713996,0.0022390752743959297,0.00013078499730956317,0.00441712944485273,0.0013399347782041549,1.698612613765249e-05,0.0002649315835426824,0.0003255198452756236,5.764763698001829e-05,6.065647779274208e-05,3.8508140316473316e-05,2.3561295325214004e-05,1.1909697151146759e-05,1.7476834084373394e-06,2.256732728278532e-05,5.980173376496367e-07,1.0980562588858156e-05,1.2036964003314665e-07,0.019052623377762257,0.04531378582988943,0.00323286775284104,6.313550097081233e-05,0.000496884098834971,3.829241070274492e-05,3.46470881780192e-05,2.7820791004273815e-06,7.747024131088409e-06,1.1373498277289507e-05,8.644752753195206e-06,7.546642349909316e-05,3.113047302272243e-05,1.389943938079341e-05,4.3287515061329884e-06
H3,0.0,0.0,0.0,0.10559580739444052,0.03745334962915137,0.014773390190043645,0.0020532935370891625,0.003201007346417706,0.001410389683917157,0.00023785547416521613,1.193629071982727e-05,0.0004899721125244394,5.3421071629422556e-05,6.104384269622898e-06,0.00013159039848609222,0.00019465131989615525,2.144758161182203e-05,4.000805121573414e-05,4.0252557009790024e-06,6.284352764585055e-05,8.097704884413304e-08,3.5181817569118756e-05,6.818497415572722e-07,0.007917369885156567,0.009256552240411664,0.0011087452991063174,0.00013855932390383074,0.00020496402416658732,2.597952997485109e-05,4.757293490131875e-05,4.335311288405919e-06,7.228343933851633e-06,1.0522095783893626e-05,5.112360935477511e-06,6.623395310434432e-06,3.1967010347688785e-06,2.901364026364206e-06,3.58911591336053e-07
C4,0.0,0.0,0.0,0.0,1.9763627545657734,2.686050730513618,0.09351420302354829,0.0752942615691854,0.1717239783529782,0.04555339452897467,0.0003168712570034149,0.019542149531009773,0.012306126750142171,0.0004624792441103587,0.0036898128969952704,0.006337024552751563,0.002815183882259209,0.000879256574465137,3.4519105823749285e-05,0.0021964473908835103,1.2596064944858654e-05,0.001047481365115982,3.1402489249598986e-05,2.542109217797366,0.27912607570584597,0.21224933093489237,0.009577692185991027,0.03484205286328321,0.004420396114436009,0.002934474650757496,0.0007341032739602849,0.0007707314262128673,0.0003031730420578471,0.0001348087569492673,0.004282828819895529,0.0004424229903188942,0.0012036350634487547,0.0002549191880559798
H5,0.0,0.0,0.0,0.0,0.0,0.07551789989313795,0.0018998799619369677,0.029237919220151065,0.014381826204666881,0.0016397926504014837,0.00014206067588462545,0.006380818133925992,0.0006005052805055922,3.1376469158850284e-05,0.00035193046815718,0.008927517592284051,0.0035615331056069177,0.0005958546283955091,4.0360369490954895e-06,0.0006055571328276166,2.6227771352527185e-06,0.000651929309152699,2.162722003640205e-05,0.10780919295285285,0.029441263574849663,0.011173822385365906,0.00038721486728632293,0.0011586007017465594,0.000284350709661485,0.00047954125847482487,4.821002923449669e-05,8.032588486805992e-05,4.9397557615460386e-05,3.13407662051457e-05,0.00010720428724964037,1.0478345518039056e-05,2.5883783604463417e-05,5.507340492538759e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.6505455385940309,2.02326415625127,2.6665108446503045,0.25625335444333724,0.0062176782213916315,0.18546931989853987,0.04769474192086909,0.0024848777834386437,0.03399498180202126,0.014305392111360268,0.0021456743360241948,0.005135138059848929,0.0010798224870338657,0.003675101149074156,0.00013963442189868225,0.0024990482017351046,5.250059853212363e-05,0.1704879431683392,0.03801506250561619,0.023689890920463502,0.006735087695524999,0.0024635783694409996,0.00026332810789941874,0.0009711128830111326,0.00013700303318231466,6.948975058329587e-05,0.00010205892376979886,8.377571709072829e-05,0.0003770133501803108,0.0003688309527881961,0.00010315203038259446,1.7525261386874824e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0247196546840176,0.1056002847831441,0.04065999548325361,0.00012353661122110893,0.011552023903775632,0.00839685100735632,0.0002905754799689131,0.002143751315997422,0.002826903105992651,0.0013750254876279122,0.0006013616053150983,3.0671342156507464e-05,0.0010230470518641788,2.40113883038795e-05,0.0007848640414616082,1.1090581411021816e-05,0.02658906424699614,0.0038485220496674577,0.004011797983848653,0.001164356858941673,0.00038203174928619354,3.974949152896201e-05,0.00015437844359666997,1.6253538356103547e-05,1.3042361954873627e-06,2.2247879531756e-05,1.555850379553192e-05,9.915751003464202e-05,0.00017313092903614713,2.496024325771007e-05,5.816913438039251e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10475322463405212,0.014204962744214233,0.0029677085517396673,0.023641279464685194,0.0011191018045215717,0.00010622359992362718,0.003104614993804544,0.0014269152766084314,3.6474424112586945e-05,0.0007114661450344784,0.00012163533396569726,0.0003005008530597708,1.794914682817783e-05,0.00015625790002049555,4.068564523729279e-06,0.014194645824485264,0.0019749553339418746,0.0026901106783705497,0.0002696928683700861,0.00018292707378364526,3.513833156865154e-05,9.726280032373857e-05,1.0785101971499955e-05,6.535969726551016e-06,1.054312386772338e-05,1.723630016581268e-05,2.709699345926353e-05,2.2230903394593327e-05,7.630825098692284e-06,2.2240756607505574e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0412333024431915,0.11724137096865128,3.1967429080687575,0.48868930064106725,0.025648404267119673,0.33849897548680963,0.23057355352285758,0.007906598197916503,0.0398297268533441,0.0036996262571071803,0.07022586912370496,0.0029322443584396396,0.025560812499625635,0.00035535419878773844,0.009958828617394805,0.0030642399279398463,0.024542601907741712,0.06632925929649025,0.0031250001758783286,0.0003723102877130069,0.00041730300165798706,8.803306672389155e-05,4.537882711819208e-06,5.3515661300962414e-05,2.26884087024537e-05,0.0012869901751524915,0.004828552801367417,0.0004681958454657159,4.567153402301738e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.098416930326642,0.39405695687844744,3.1005660677608975,0.11151686995535293,0.4502063227892656,0.10791272707915447,0.0007470794764685706,0.07351312340178548,0.0006685801185966067,0.031326139227354804,0.0009463846743653637,0.07408283739520632,0.0009008405221933025,0.004405074957657268,0.0018533119903164502,0.0241417393484665,0.06667584155352224,0.0027670442238088844,0.00030504759939598003,0.00046732355749334875,7.133073713028182e-05,8.025107472997561e-06,4.544986731316869e-05,2.6162191881673458e-05,0.003091956192903339,0.017961998437920165,0.0010921000989239787,6.46209313841517e-05
