 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,H30,H31,C32,H33,H34,N35,H36,H37,H38,C39,O40,O41,H42
N1,0.0,2.0018489792849885,1.8936902216089346,2.9552838057128956,0.09010518223841857,0.20921541002801491,0.02096241955165279,0.0067697769813035436,0.033677048715433394,0.00085188315666751,0.0009230613152417799,0.00747755990344353,0.0004460999287152906,1.003424798351471e-05,0.0001469926923793885,8.473672665076926e-05,0.2415956318768849,0.04928933225809512,0.036746617554006905,0.002414446857769259,0.006501493636450667,0.0006029872390042046,0.0009658400191241284,0.00021264765405715202,0.00011259762215287683,9.198971544185919e-05,6.186858959289498e-05,5.266773603129771e-06,1.8693663694308027e-05,5.765310078675867e-06,8.126877008018951e-07,4.3463444271973906e-06,6.927351302588036e-07,1.751103947400523e-07,5.805354714866207e-07,2.5439246331693255e-07,2.3082857181222494e-08,6.568108512627902e-08,0.0009797578739385304,8.018054600655855e-05,0.00030534358258405003,8.837337351796926e-05
H2,0.0,0.0,0.027095643480719245,0.10731306045019617,0.0062434420902373056,0.032980028915870485,0.0012454028417034912,0.0004987021623381604,0.004812590367310521,7.299068733246372e-05,2.6809382430270645e-05,0.00195335594859114,6.616632344003115e-05,2.040514950785166e-06,4.322453845051477e-05,1.3879555354590067e-05,0.008829046049364297,0.002367372870990758,0.000639068713703006,3.694754700434011e-05,0.00018105759427855528,3.0113968980005623e-05,2.5425334222894946e-05,7.414452632525936e-06,1.8496260607570036e-06,1.3900109184117326e-05,2.9232903208109562e-05,9.117357133714421e-07,3.3016479098479934e-06,4.692693795771419e-07,1.382712380149087e-07,2.765605549015504e-07,4.267456388262758e-08,1.563374429913722e-08,1.3905350049192577e-07,6.133416441400641e-09,2.541425514479556e-09,1.7601517132703748e-08,1.7922116762547624e-05,2.913506900736884e-06,7.395491042339053e-06,1.8025717398728602e-06
H3,0.0,0.0,0.0,0.10668454468180721,0.0367922679814503,0.010250329576835804,0.0002718441944942196,0.004920331309473447,0.00101026656274128,3.802419188669859e-05,0.0004950960364487056,0.00022504364180375713,1.261520759776591e-05,2.054228101844302e-06,6.129982050628868e-06,4.405034517152018e-07,0.015756742430009463,0.03638707985980716,0.0027751401407142273,0.0007953192356457972,0.0003508256327006132,2.5733935056004853e-05,6.893854615241946e-05,2.400104265776193e-06,2.949003546470763e-05,9.455023602944479e-06,5.548061553728445e-06,3.5839793588454683e-06,8.637131690969468e-07,4.731275682345881e-08,2.1229112756593338e-07,2.1817806294954778e-07,2.7179595685211666e-08,4.7493453170233124e-08,3.532533365824264e-08,1.0090770885540223e-08,4.852311663583464e-09,3.073148624466171e-09,5.5098065473435653e-05,3.0458445346104313e-05,6.697516431897199e-06,2.472049261514897e-06
C4,0.0,0.0,0.0,0.0,1.976279359295119,2.7727359801302494,0.0932421638900196,0.08566008810303738,0.1608909960933111,0.006213252032981398,0.008317849533825639,0.04593000694317827,0.0021200537617362403,4.5775140915527146e-05,0.0010834958985290744,0.00033452814059131697,2.5408719310876293,0.2732130645780579,0.2245909344068538,0.015883628265646266,0.03446438601320373,0.0027406169782573375,0.003908160363256086,0.0006937677561322797,0.0021951381769282907,0.00036251303041329175,0.00016836608153236732,3.357840683970714e-05,6.207788114240276e-05,1.4519549513147822e-05,3.161641722648767e-06,1.2843749920915526e-05,1.1904551699970511e-06,5.160796631153985e-07,2.7734563096126763e-06,5.405128984392604e-07,9.406644940757047e-08,3.782427901999341e-07,0.004312791964559498,0.00043596524091402133,0.0012024529368191428,0.00023650217857262845
H5,0.0,0.0,0.0,0.0,0.0,0.0791603318451699,0.003906376038359527,0.0344105520630531,0.009527333799847382,0.00012885860812006378,0.004934760810336725,0.0018847826532295553,5.3682399713483875e-05,1.9367661673763692e-05,2.6961091930122194e-06,2.991065724433639e-06,0.09467533396506855,0.02242994854850766,0.01199276062744925,0.010079511946023967,0.0017610780033721074,0.0002514230947245899,0.0002717230691857697,2.8123932553247855e-05,0.00012500904711609806,2.3474948520729733e-05,1.077300291529859e-05,4.044166367567215e-06,2.586661342673935e-06,1.1398283028540845e-07,2.8697103804375956e-08,6.480675042164208e-07,1.39711597180181e-07,6.593340717842011e-08,1.0082367718489138e-07,1.7440002553215095e-08,1.8615596175663995e-08,6.061546375946136e-09,6.71100834419569e-05,0.00013864758280512923,2.808643895546581e-05,9.022528446145373e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.980662921584378,2.0186021634646636,2.7661862663505357,0.08437621282168672,0.08279565986939508,0.19910986335878872,0.015703099835922968,0.0008826566117354773,0.00571162252063373,0.001608019429262031,0.18454714351002496,0.0380198844768304,0.028266559846624947,0.0011566710795237745,0.0036461450082609925,0.0004949440883252887,0.0008342502866697799,4.563788739320174e-05,0.00016933396603124873,0.0001148846824157862,8.915126097419623e-05,6.262204139240168e-06,1.659345533241985e-05,3.185368567582003e-06,4.991884856586637e-07,7.133498159214713e-06,3.039964467932421e-07,6.644855421455986e-08,1.5747499737123194e-06,6.245587957920407e-08,2.3386248604317927e-08,1.9295102804406383e-07,0.0005098721071901124,7.91979725505293e-05,0.00018279090119520391,4.746052921245081e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024672338129565485,0.08495099606880108,0.033910954433340246,0.004723864832785196,0.010227430575681207,0.007056472733459329,3.076490338793647e-05,0.00859469150816805,0.0007003561686440563,0.029613320926033193,0.005757778233735911,0.003366258765755248,7.193628199320123e-05,0.0008255766872982129,8.203462743594514e-05,5.888094150319212e-05,1.973968925206293e-06,2.588413531734446e-06,1.0314871344618837e-05,1.6458588403267527e-07,8.70516349005257e-07,2.02514305081003e-06,2.1061295440993888e-07,3.647750435042951e-08,6.457593754172208e-07,1.1894637275133846e-08,1.4828041017267424e-09,2.2015411993425715e-07,9.307514536871508e-09,6.04914096591358e-09,4.121732510853349e-08,0.00014956225794104938,7.080545740167921e-06,4.4197362618292324e-05,1.0486164962131284e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0824257429406472,0.005125946059827413,0.033384733910287734,0.016367093576968195,0.0006363660972483753,0.00027027243079236207,0.0001127251187045264,5.426675101438683e-05,0.012398945658882887,0.008812525227990586,0.0017985246725256143,0.000548217841779941,0.00014137193065089093,3.163757347324214e-05,5.0903246952560544e-05,1.5040583860592704e-06,1.6384257441437455e-05,7.643433496684615e-06,1.8474129703793807e-06,1.8994923027815247e-06,1.2980649943816758e-06,7.125909218252957e-08,9.060296624063824e-08,1.5107154915927623e-07,2.240470964309793e-08,1.6805350444570877e-08,2.4705075873932003e-08,1.0350067025655107e-08,2.609323201951952e-09,5.999834851166952e-09,3.4992448643800245e-05,6.506032813047291e-06,5.3430246098606915e-06,6.297531127685829e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.988584684848864,2.022547871803287,2.831885349108941,0.11497541336537433,0.009634205534959195,0.006403331106107357,0.02769350239424262,0.016875986187376374,0.003858669549239732,0.011001933333425834,0.0033497339898396206,0.0010154878338756168,0.00041443239959759737,0.0003484412348265242,4.133817330842504e-05,1.7567041925126148e-05,8.483431938315078e-05,5.2467573696368675e-05,3.2198046642228917e-06,1.5389470313195708e-05,2.8725711769261864e-06,4.852117378995047e-07,2.012310733545686e-06,2.904776308376711e-07,4.034386247298016e-08,6.159760607554743e-07,1.456337299643451e-07,1.5503876515943205e-08,1.0277131112790272e-07,0.00010818679336874193,0.0001373746269191789,2.576100012305349e-05,2.766797038922242e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023916823171054258,0.0916535938414188,0.025300310784150737,0.0003914200312078453,0.00025634671940855114,0.0012179091965212052,0.007681961314694119,0.00018626698418511278,0.008882522558845807,0.001158592679631143,0.0006581547679653799,0.00024916724959012093,0.0001649128242846576,9.943826048131044e-06,8.35825907219423e-06,8.114268076608866e-05,2.3204405230625724e-05,2.1774445881916904e-06,1.5456491858856225e-05,1.9779655191509704e-06,3.3827360046423394e-07,1.373029447915286e-06,2.2904360141851043e-07,1.7174580424494934e-08,5.490082853887301e-07,9.550490553955626e-08,5.449199980134267e-09,9.139248535738886e-08,0.0001294814165213598,0.0001643054089972562,5.250266068479448e-05,1.1788758611519512e-06
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09076919768573721,0.010864052975407379,0.004807606479835469,0.0006261012005728261,0.0004633696184066505,0.00081492551854212,0.00028281140061547916,0.0005696640099084327,0.0013309882094378889,9.981461080932341e-05,2.4545664301101056e-05,3.3598063748474516e-05,5.461891160241095e-06,4.987405568535053e-07,1.7789126978140501e-06,1.6767141313156486e-06,9.632635356027208e-09,4.6263640141042117e-07,8.457841560449708e-08,9.628215114076966e-09,1.6015508341737927e-07,5.036099315347542e-09,3.373934465145112e-09,2.863992687451855e-08,1.7882193503737653e-09,3.8262015777945635e-10,4.3772412361420265e-09,1.3635384428667408e-05,3.641812765931007e-05,3.807127664900989e-06,5.733265275864596e-07
