,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21H,22H,23C,24O,25N,26H,27H,28C,29O,30O,31H
1N,0.0,1.0165585973430775,1.0190253513680083,1.460781091139645,2.08072417412604,2.469433048996166,3.377997097867013,2.5801364458780567,3.1445275953601937,2.9098247257803864,2.5829613349537457,3.6968992371959,2.856948050687471,2.3705384275630474,4.236054244943647,4.783540374709276,4.675680998605264,5.75109578916929,4.353366391714172,4.794427322208248,5.523963743379549,5.437488034378322,3.7370125484712777,3.264671987177695,3.954628147973792,4.482277156193225,3.653455636184291,5.118507441940418,5.112598305898955,6.31619019337196,6.923528383143481
2H,0.0,0.0,1.664185869073858,2.078241129351513,2.446627581079577,3.380645724926655,4.189920344586599,3.558543361701542,4.0334331586058365,3.7776646806593996,2.825820143579644,3.953261069312447,2.8393671125788145,2.285766101255447,4.260325370639399,4.839569829970204,4.959916763617654,6.019804417422039,4.836878444135845,5.054129827952864,5.6171598484065255,5.83941000886536,3.99612271231799,3.7909494218826882,3.888533509507754,4.246297826968289,3.5147898336852372,4.881882568636273,4.738030675330508,6.073899543332127,6.582351336072423
3H,0.0,0.0,0.0,2.078902001166949,2.9514163369502993,2.6535988132387796,3.6963946327378423,2.7554879569491955,2.8655806704251923,2.337296553093527,2.9256741200380008,4.091308867407282,2.8747789556377987,2.178132610270676,4.0729526576331665,4.7845065744129,4.225927802687972,5.320328463343428,3.9453240793634676,4.07599411144401,4.829398297572188,4.643053220116429,2.8741365051292402,2.2988920369362784,3.1782872903014288,3.8589987415860163,2.887395033671963,4.922970673425836,4.828074691640781,6.192074904316918,6.7717010838661755
4C,0.0,0.0,0.0,0.0,1.0972311024161179,1.5501417064256537,2.1577899895921355,2.158056664071354,2.493318353878992,2.730456665986188,1.5435701072161392,2.416575302246996,2.4804049235178685,2.5424861033994723,3.76318139689959,4.0053555348669665,4.2652878573499695,5.24093623400796,3.748439392937441,4.833353802138974,5.655425400602364,5.435713738619241,4.178025068512635,3.7560473904841585,4.694536490305993,5.104441984918869,4.668777428957351,4.932712632006918,5.270141993666359,5.949462217766468,6.701289217280944
5H,0.0,0.0,0.0,0.0,0.0,2.1458306455702574,2.3559427322519126,2.5313652493098306,3.3740381317833,3.7363545978059842,2.1322707286641296,2.6410311768233745,3.2402160657893284,3.407339391249513,4.531250895158329,4.600049402897558,5.212413941277095,6.13277346322085,4.694323486531941,5.884441504552871,6.668136795200298,6.511161368512661,5.244824797920896,4.829031469638193,5.660098246480653,6.008611573573658,5.56039559046885,5.638095786891686,6.003692204596258,6.553919929680559,7.299184121339123
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0922161089865283,1.1001906337576426,1.4186838952240683,1.9901130306412038,2.4709479948503508,2.9580004197970093,3.4364486390277356,3.525990907380681,4.389013384929532,4.562002592876043,4.388843328874624,5.278876479553552,3.554130063896691,4.9429925519409235,5.937212270674613,5.245865466349275,4.400561090604194,3.6711632695672036,5.263337996694115,5.837067296172297,5.309119074274315,5.763235258063618,6.205941942501023,6.7315202467514945,7.560943438390347
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7844643583498647,2.009245122485546,2.8471040493687387,2.7374216954472184,2.752654463918313,3.9346427763320286,4.257761994509914,4.741462079076921,4.6616603046748,4.79995990091928,5.549294713321424,3.886393820436031,5.605435640278747,6.596056844185049,5.874186872058924,5.283547748693997,4.635685079638486,6.192426747615793,6.684726703254239,6.31256985189343,6.189007106000686,6.794644693641069,6.995539188236042,7.884775778277821
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09481944004894,2.3830776925232575,3.426283067082145,3.992107911841308,4.308163808329816,4.205120854686559,5.358215811516189,5.617063551214057,5.2981411726510705,6.225120572292607,4.477876305833292,5.634546232346779,6.637307642720142,5.8654759063680055,4.8693621319490035,3.94279093334287,5.661873235032969,6.351717779468727,5.535086791170056,6.663650029802453,6.97733208272422,7.707492481007237,8.49817166090587
9O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9760870190827744,2.812393671019844,3.2939714319695805,3.365699964010336,3.42905108660484,3.932056352925785,4.214179497279576,3.4613540771113436,4.287791220317649,2.5188879904007315,3.911903130079889,4.977965109962358,4.017104747107719,3.5873040221636154,2.854366006752408,4.70708617344627,5.318973630976984,4.947748657999656,5.337564117799223,5.810581766664818,6.293263045770356,7.1264113056269
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1373661864361964,3.877853877604912,3.343314781679091,3.1336653525877565,3.939825433730268,4.458743284764583,3.35473417727819,4.274867604976946,2.5989174411723455,3.4124647947609876,4.471132426537863,3.5037274043063684,2.8269865280949413,1.9332718633469599,3.9478530224467825,4.668902324160926,4.138420231231098,5.191774857163275,5.4784328858408315,6.272178073607073,7.0237872055252675
