 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,O30,N31,H32,H33,C34,O35,O36,H37
N1,0.0,1.929017345440616,1.934690952610606,3.021829656101319,0.08770019000206752,0.199783824842695,0.017943306456656316,0.007196806771494257,0.03367774128463921,0.000896465637683086,0.0009666417639500047,0.007281215812564017,0.00044397518957710325,7.886058761130688e-05,0.0001748511176213885,1.0992162845946396e-05,0.24508105370079936,0.050954895266595024,0.03975026455918451,0.002555878683605628,0.006264905785408087,0.0004872804822000365,0.0016973164270490115,4.0256084438361484e-05,0.00032588933805799414,0.00018560015751817316,0.00018440944269770831,1.3155374997464442e-05,3.6538143029174464e-05,2.1853174868829983e-05,0.00019737050004516032,0.0003337094206571356,1.2911003484883388e-05,0.0005348594930291994,9.165250250321721e-05,0.0001539432840953897,2.8394142398857625e-05
H2,0.0,0.0,0.02725317561251739,0.1056383191316751,0.006623893460379948,0.03240067195190388,0.001016739570647296,0.0006428130938436194,0.004688262955675926,9.157128996872821e-05,2.169949889263556e-05,0.0019418022032224869,6.552022901740173e-05,1.0356778287645696e-05,3.9064767872742934e-05,1.4106534833580042e-06,0.008406978742819371,0.0014804197225176674,0.000999202264227339,4.755848220350245e-05,0.00019697449497457775,2.6402710913142613e-05,7.692147013260708e-05,2.934112669494837e-06,2.354361547785011e-05,8.898876625351715e-05,0.00019579069387121173,1.1221600897171058e-05,1.2494459572853778e-05,2.0829574251979288e-05,3.4344099156813357e-06,9.10714632995635e-06,3.112595174936672e-07,2.2106808889810203e-05,1.9185913742170158e-06,7.259415528149127e-06,2.629021172539936e-06
H3,0.0,0.0,0.0,0.10479878854814062,0.036362360743042776,0.009478202070409725,0.00020978358088274973,0.005105726048771242,0.0009506717567047129,4.772170889211225e-05,0.00047406398101768055,0.00022518103514213017,5.175903120546721e-05,1.1189675680478572e-05,2.115962086457479e-05,2.090230878160071e-06,0.016555510149351527,0.03686689555168854,0.002871239483281718,0.000853668953157527,0.00036354724655662807,4.797752354224194e-05,2.1473077467248913e-05,2.699264535666046e-06,9.243739367281734e-07,1.8642105063748637e-05,1.1417181549955302e-05,1.6384087431209338e-06,1.0552615126169229e-05,5.13001704394167e-06,7.296707782900036e-05,2.5540240287114102e-05,5.406280874087344e-06,4.9973427592386876e-05,2.6183883231611915e-05,5.962464433517667e-06,1.648911292617683e-06
C4,0.0,0.0,0.0,0.0,1.970920461409275,2.6655641648359607,0.09672378509883006,0.08449366600808128,0.1584921161957446,0.005696715965657795,0.008791786933487256,0.04509662511973672,0.0024472269926203716,0.00036667023960679224,0.0011733067100976324,4.7869830867020013e-05,2.6679035376330607,0.27012817675330913,0.24045813482318515,0.019914669691836084,0.03653420176184924,0.003170578848751715,0.003525631794980999,0.00017133882148034907,0.0008692191037538155,0.0006755588253825051,0.0006707189968837568,3.2156866576871224e-05,0.0003820263035149707,0.00012975444950481807,0.0027991622312816267,0.006727534596994045,8.857073697088325e-05,0.0035385988274336533,0.0004215160336483309,0.0010661432054811237,0.00023336379919713934
H5,0.0,0.0,0.0,0.0,0.0,0.07869988258101612,0.004263521475949439,0.03427520557415642,0.008586801933631483,7.995631616863896e-05,0.004298382522473165,0.0010334064461261505,0.0006303829972276187,0.00011644274119015918,0.0002675354107859462,7.992964867531427e-06,0.09428688727356938,0.02095091745611022,0.013185035321655603,0.013346725738555776,0.0019057498523904481,0.00032237312913374616,6.954276052506536e-05,1.6074488077499893e-05,2.0887037230687966e-05,5.4676156799216e-05,2.046349774342815e-05,3.971064148844405e-06,3.861850343378492e-05,2.1040217919487958e-05,0.0003868449303108257,0.00037465695706595525,2.125585669321417e-05,9.036582812593785e-05,0.00013439435314488435,3.1172084653197096e-05,9.641858246256518e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0576039103645116,1.9994621310062104,2.825558397312729,0.0834796998253815,0.08283057757241408,0.19597528450187918,0.015620282652452147,0.00156799315864653,0.005769178936964492,0.0008755786807987942,0.19136523734567598,0.037216359587419784,0.032275313429207905,0.0012964904363149676,0.004236560196877376,0.0002588377115148033,0.0007397237655765998,4.381007821807614e-05,5.700481066006624e-05,0.00023843838171896947,0.0003381984470256505,9.839131151601066e-06,3.518090955834108e-05,1.4851282571601288e-05,0.00014438872079616805,0.00022040155782554471,9.765609589873492e-06,0.000960078597671471,0.00010571200152158233,0.00028039980849264845,9.788771134677798e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024369921122490812,0.0850879468399014,0.03410423817690256,0.004796214858200587,0.017141358559726316,0.0006697119012503139,6.593433674928484e-05,9.706560969346967e-05,0.0002744536909409234,0.030338110943538776,0.005347871595024478,0.003469346690085584,0.00010703664409184022,0.0008425392188182723,5.55590294031294e-05,5.472991202193356e-05,7.541645478337244e-06,1.6443549559319592e-05,1.7318148742617723e-05,8.034967229120227e-06,6.941934784787662e-07,2.9505496519366403e-06,1.9762371549214564e-06,7.70928556548256e-06,3.7117560873323185e-05,1.465818431078958e-07,0.00017969120096616997,1.694611223301834e-05,4.7986146214373804e-05,1.3185797749892814e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08185900833328397,0.004992773001038842,0.03322592931070378,0.009359182031984159,0.006776908026102313,0.0006213928132992041,0.00833055495733026,2.7512129676887653e-05,0.012105587549984032,0.012258204577926701,0.0020071687375440295,0.0006645763710078079,0.00016069451898381715,2.6066744582831092e-05,2.2908624802475686e-05,1.672737609981212e-06,6.758377263604842e-06,2.4748049270550965e-05,7.926900750243604e-06,5.002880899329654e-06,6.109028571898989e-06,2.7908025291845107e-06,5.095418616352099e-05,2.8890389599300903e-05,3.937431188871798e-06,2.8759487417095997e-05,1.0400620149786377e-05,4.297493324312285e-06,5.781359730949731e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06362394447404,2.003043582839908,2.709152841565365,0.11517322216213474,0.027608962703902007,0.006269078092502101,0.009712472649938686,0.01964304221570415,0.004613886022380803,0.008950370046928849,0.0013941123006997458,0.0006436271704372276,8.005195457716496e-05,0.0003014685756637936,1.4521169974468506e-05,3.225442096010944e-05,5.796019095946625e-05,6.286304954450372e-05,2.794083527102309e-06,8.05809122264578e-06,8.119602850603647e-06,1.4239788838923961e-05,2.1920970883382296e-05,6.18098468629924e-07,0.00036186754358094597,0.0004248180377289523,5.7800217861198044e-05,9.517065539754732e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024325613561465342,0.09007617736086782,0.010669039867119756,0.0004543505864922359,0.0006289528723615323,0.004807191607926864,0.010872995564365606,0.0005863906085973314,0.005856365405673358,0.00040936671973912375,0.00034303671611835007,4.8400117116598196e-05,0.00017051152003877412,1.9056863020505688e-05,1.0345617105889104e-05,5.097659232489171e-05,3.658216608104503e-05,3.6358223505228437e-06,3.446433785914138e-06,4.9096549027405345e-06,1.271986123541069e-06,6.507945715661378e-07,2.2669018662213603e-08,0.0005109847387292366,0.0007062368275635444,0.00010949797965609243,1.60960459916204e-06
