 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,O30,N31,H32,H33,C34,O35,O36,H37
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09055020389506807,0.025682979189609934,0.0012931297126630437,0.00024679149624762253,0.0004185419828783843,0.0008782220024008414,0.0003404399404526304,0.00041599469138775547,0.0006868662805692427,6.298037783980526e-05,3.868271170714976e-06,2.14137103440315e-05,1.0380126578279913e-06,2.0280193870902963e-06,2.0813970813549076e-06,2.479911646036115e-06,3.0015494112412e-07,4.3064474986032053e-07,1.6874486430396018e-07,1.235837888802216e-06,1.0843104929492142e-06,6.769329696787452e-08,3.948370855666461e-05,0.00014312401915017592,1.409733556811954e-05,1.2741566031149176e-06
S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8481793120341092,0.0899999445169436,0.09763118616614996,0.0955400973955034,0.005487346667255186,0.0009130503582269953,0.0019217882240531031,0.0006423541477167394,0.0002138309226906443,2.7359490648914964e-05,6.0245612583484376e-05,4.945043949877714e-06,1.729533844352371e-05,1.8488815243092316e-05,3.588910395035949e-05,5.42587528351568e-07,2.5208002271404073e-06,1.9738139039396363e-06,4.1660269596427435e-06,7.1592698445144265e-06,2.025088255974694e-07,0.00012010373994413015,6.299638357904619e-05,1.2403619495678087e-05,4.292352443813208e-06
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0074211734521765,2.0065256077182054,2.132331085141237,0.0002976284708020305,9.4503580842481e-05,0.00010430051862327094,6.697913263464805e-05,1.7569707534692558e-05,2.6182154141407565e-06,3.239859734216477e-06,2.6562241106642404e-07,5.516504530955757e-07,9.332110179061104e-07,1.4410153732491437e-06,6.7464841824183e-08,1.626310314473134e-07,9.109378283633784e-08,2.82427862943746e-07,3.2862762167074067e-07,1.3202480331209188e-08,5.192011114041328e-06,3.0294652871298844e-06,8.453303280975266e-07,2.753082446460553e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02529470435246628,0.025557797735582977,2.6364420005364764e-05,5.588514261578581e-06,1.3284910702848762e-05,1.0155979462966869e-05,1.526494162185088e-06,2.607182618685755e-07,7.159266783851592e-07,3.5017489130595436e-08,2.3760230405400762e-07,5.7296906330606134e-08,3.547474447529453e-08,4.8853492362610496e-09,1.8880586427627577e-08,5.095076915928587e-09,2.967813361731686e-08,1.8175493998739967e-08,1.8551467029226387e-09,4.589401665366921e-07,8.634943968743869e-07,5.1808217271798185e-08,8.852985011742476e-09
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02427936501773642,6.995383436714242e-05,1.5160324313034934e-05,5.122704633486741e-05,5.755533946549818e-06,5.263156726220686e-06,9.817175508075593e-07,1.0703229877950804e-06,6.352369630313603e-08,4.144896714741719e-08,1.5494845895247522e-07,1.7375088345872314e-07,1.1398256116734728e-08,2.472250382190566e-08,1.1884879413948113e-08,3.2315232045831976e-08,1.3521445074715643e-08,1.258277926297069e-10,1.4318669787627414e-06,1.0435808328601581e-07,4.345326267696237e-07,1.6737665164967552e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.081816263749708e-05,2.520044643850028e-05,6.671930054458208e-05,1.1240138494850171e-05,6.8888921964660454e-06,3.6491967219109966e-06,2.456243396675717e-06,1.738052590738448e-07,5.241403959743707e-07,5.925588710820051e-07,1.0859521610839806e-06,9.37686239765867e-09,9.079149765334193e-08,4.695150856992569e-08,9.107435050559332e-08,5.423061355536163e-08,5.501140210029121e-09,3.687831322096713e-06,2.843011313258259e-06,4.120033012533497e-07,1.324281291292806e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.917209993089502,3.5396085373020005,0.1391056870180778,0.259699397803799,0.021578909762729248,0.031946640701519285,0.0009130541416626503,0.004009689719723708,0.008549779422172832,0.01154981356541085,0.0005963553196470794,0.0015773588435587793,0.00086600401036796,0.008814220226357056,0.01966112458511826,0.00044739400585169786,0.029927550761649213,0.006797211895096883,0.005748351800561352,0.0013643909899440088
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384822644143032,0.025632385164122362,0.05467653665322489,0.026752445423777083,0.010644747369686333,0.0008483024833424446,0.0015839188885121702,0.01009282067823708,0.010470385968698315,0.0012634417637436002,0.0064202272251719095,0.0020616251395917107,0.059958857229386334,0.18673129749018236,0.0016248938191675277,0.008880760415369393,0.0037849527678097405,0.0013991364557248143,0.000364318820786802
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9079151064131223,2.82760014176697,0.09553701965351935,0.179052157321173,0.011181780492677929,0.025771421783857718,0.013844998611753506,0.003481127098877934,0.001112694743941045,0.00178769807787163,0.000888452972218956,0.0017747425862455896,0.0010852775596073005,8.090464599097569e-05,0.19473685906019098,0.05982207072234995,0.027680552799011715,0.005427210617305445
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09630292571600108,0.023211866086637167,0.005791886826853387,0.0014195805395711414,0.00011266331142811836,0.0003981612912625776,3.212070023783653e-05,3.3633454188164436e-05,0.0002557259919765409,6.884170070442508e-05,0.00021047006037944183,6.516643888088147e-05,3.5148076205082646e-06,0.03457386904753168,0.0838365527024203,0.005557193885273093,0.00017163261981845146
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9430183962688967,2.550007482246611,0.08716300898142992,0.09369299457799429,0.16011524856865278,0.00959218328609146,0.027693407304210993,0.013082096458341436,0.003358538587466306,0.011365056824978431,0.0023932637789509936,0.0002524836460738866,2.5883450446352074,0.280254029306339,0.21897833959151813,0.05353596244368375
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07912983513170091,0.03226102265150055,0.0025480030386915153,0.01027748773491921,0.0002393605558448364,0.0010616827215399471,0.006793073028051877,0.0006443377037410603,0.020730031354213252,0.0031615911101592342,0.00010138163214823415,0.10809982975034371,0.027582030455240325,0.010791634220156943,0.0008271783799373988
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9444350357086724,2.1307171666093723,2.675965267306508,0.08223077099128528,0.09979108963020877,0.18298592635706853,0.04321797064193547,0.030510406045322624,0.0005760930802587438,0.002309715738148088,0.2004561291639471,0.04249000921695796,0.03033194365399544,0.0019267015283218614
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025406260092024624,0.08612436015467528,0.0024954223303133016,0.007410246721978764,0.027070164773099537,0.004946985770077461,0.0034074068751799302,0.00013728160726245164,0.00097735964363177,0.008042589512060605,0.0015302038532336582,0.0008167250225036282,0.00013262695055127338
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08334749842170419,0.033138653777851745,0.0030916021184210773,0.016049335157740874,0.012889509484760309,0.002381938612902812,8.98042183770098e-05,4.63704683768551e-05,0.013584324963512806,0.002375799027039882,0.013238838659757057,0.00022517366156526997
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1453953575257327,1.9335635263244602,2.665971635021528,0.29597459204757237,0.23021691251011484,0.014315200916934168,0.04535751778165098,0.031859740791388175,0.008171020388528544,0.004958789777328887,0.0004809719123328726
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026332653589088206,0.08830639783562488,0.024604557057989918,0.010654228291253842,0.005686951171014032,0.0013697822583085273,0.0010747606728402914,0.0002113242321806208,0.00036002250703992544,0.0001349512116743945
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10228887474908888,0.01940566937463628,0.024001513451240353,0.0010434581798706155,0.0011345016864163782,0.003932186417622496,0.0013374291965062568,0.00035373313887265834,5.3076543112595687e-05
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.006822700935965,3.675555716259541,0.13581685236096075,0.14758565658332334,0.0019255598127400075,0.0007777116245702431,0.00027180293893919183,2.9700620153505497e-05
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769596668669359,0.02734575883626844,0.029110862722783515,0.000745117405410084,0.00021686536731341244,0.00013394622549489643,1.8659540209409187e-05
N31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7454297440286046,1.7869069095287768,0.001478576463540604,0.0006389949768042386,0.0001488721577434654,1.0497990945990132e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04114763651390896,0.00018809377452977394,0.00015722959754316257,5.8485349514691976e-05,5.40808132720727e-06
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77364791889212e-05,3.7946774702479757e-06,5.480137698410381e-06,1.4461674684440595e-06
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.254441356722884,3.546888031391698,0.16987978174008533
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5124193338078696,0.06257732176144626
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6012472387272396
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
