,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29C,30O,31N,32H,33H,34C,35O,36O,37H
1N,0.0,1.0201294078098593,1.0209913455915252,1.465224958406624,2.0814558758161987,2.4465421373522513,2.588656201536455,2.693330291409605,3.8355298575681886,4.218994001235896,4.131149638890749,5.2742552109792555,5.640078531846207,6.640792802219521,5.082502729495936,5.862401206120249,2.486017516529048,2.901546286734114,3.5504328787909474,3.7800186839392036,4.86938876911576,5.06616664933825,5.495405956949499,5.5301937598068935,6.557469873936063,5.232879558483748,4.226560446908077,5.911934991223014,6.025800101148685,7.244815996114024,5.535592437637065,4.593846612684081,6.322009778074954,5.921545507836796,5.958675086852259,7.101241511961555,7.768794371440251
2H,0.0,0.0,1.6279084827108776,2.0496648102438626,2.344108936726327,3.3426691295482986,3.5158153297653043,3.6456809662957936,4.603612639668277,4.884641736192417,4.766031682732473,6.164486805110277,6.574187824038757,7.598582130518223,6.048984752176747,6.7157998618090256,2.7287474729765373,3.185310980654657,3.5552238900034845,3.773734739303899,4.815241848205268,5.148232402046314,5.164516975803666,5.072331672624991,6.253914496259357,4.8067255145500845,3.7675972270155595,5.334303562802865,5.766728576193468,6.957419623191757,5.465833894296365,4.621161444943989,6.33863285237043,5.933657022768037,5.995180908974462,7.122511763259293,7.810631470268391
3H,0.0,0.0,0.0,2.0257778575130785,2.916571650221771,2.708789135982303,2.986356127618562,2.5265829131762976,4.147426436979067,4.409408570140898,4.666844207413301,5.457253949232209,5.485451701353752,6.4708520637100975,4.790901259456099,5.66353121044012,2.5909245937609695,2.5374829424907195,3.846067511247843,4.299730487238114,4.994988008584973,4.985986610580475,5.599821675141835,5.809585027359298,6.620019563116677,5.128414426382715,4.107326488019998,5.850511848170993,5.691637580418286,6.914221959709512,5.01870742529902,4.061790866801675,5.720272118869666,6.18539544683443,6.397433559660504,7.254045606061468,7.996472044648235
4C,0.0,0.0,0.0,0.0,1.09850154156669,1.5437566544428354,2.14246789601017,2.149452151473271,2.5807534967099763,2.858645396702044,2.8336106520918065,4.24578814572576,4.776339595594358,5.827790117895504,4.465908296039831,4.874720937097957,1.5395751679116259,2.4089586974825417,2.4635341596023825,2.5815669254043505,3.854618627914188,4.095667874499007,4.787594159651074,4.8602799862462245,5.7917340169982925,4.9021981882922905,4.080006421039413,5.723258101826929,5.6915169579081395,6.876187949335841,5.264195714324017,4.3190405609388405,6.034649536760734,4.695556137736811,4.647712609376847,5.901474534923468,6.496228278875755
5H,0.0,0.0,0.0,0.0,0.0,2.1662342949940507,2.4968914761987735,3.0560318526241708,2.795535905913067,3.1587551626501553,2.602959812979172,4.505239100619867,5.3844407224504085,6.402802604749718,5.228398666251922,5.501992830812096,2.172595585519698,3.284565159523906,2.526330863380675,2.2167512083583314,3.9810062550078062,4.47597277425212,4.849254082088219,4.691081231167177,5.8530970452452715,5.189969260702249,4.440324079935769,5.912244588365936,6.187228512327235,7.324201323295936,5.967893996137721,5.093955033269607,6.799257832242536,4.580193841897084,4.282631033011166,5.882775689227825,6.36491626769378
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0944697796518181,1.0972197707453333,1.5324663777496723,2.189313440038356,2.1740826907661943,2.837958620192351,3.3875292484103103,4.388169680668218,3.1007929504834384,3.703292900200956,2.524908256120812,3.0699645040958603,3.4557259884703413,3.520860302526361,4.685321412698329,4.697072917923541,5.889342244026431,6.092723175548997,6.789645558345911,6.090235537341569,5.344764724779752,7.013633985481164,6.636529581100809,7.796799403323445,5.993633953495528,5.006397699286464,6.590309982033626,5.29578620238265,5.177914429894952,6.398030277386172,6.906322939464011
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7655050066868623,2.166300487719846,3.08824798824826,2.5208497059063957,3.0061500483291796,3.7972067816089288,4.651645788577264,3.4489433580672895,4.362263154696596,3.4544077115094525,4.018377904992907,4.360476454636386,4.287847709243384,5.674836271668939,5.7599352161805,6.812921928618308,6.912423101818957,7.754422457628694,6.977746248728943,6.158312970680509,7.840559422009976,7.6027530686224,8.784730140509472,6.961808146376948,5.959977925769807,7.573875071467857,6.242085986879704,5.996635298874945,7.393770523527937,7.854783991779489
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.169630586044691,2.5399529550858806,3.080977467185727,3.0630534356228694,2.980245672633937,3.981876204700766,2.410396742014356,3.2768078744919347,2.7196993153407334,2.79260246754617,3.86682251059356,4.181839626431814,4.921380391903035,4.697708172340073,6.105129962344158,6.474287979679188,6.965653691522474,6.112295044870021,5.359089006057089,7.079321977425599,6.427371271730622,7.584245000186846,5.588867905549941,4.586846069879978,6.068526822243765,5.689620292414587,5.776069038214589,6.6606492096566186,7.25228455808599
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968394592408288,1.0968708735664088,1.8363560389104077,2.824765975838714,3.7820456206319424,3.0686647999762786,2.99158569725013,3.0848455807849238,3.7511829399816743,3.5290825126990675,3.393780967425647,4.535639146752723,4.55434522059809,5.953728004657166,6.171465979569349,6.703915409959389,6.492297436531126,5.957951500895007,7.46639799321929,6.9887523882974465,8.045723653950365,6.438887688418328,5.538758742374648,6.965052240249279,4.713441566049202,4.433879789801434,5.728689357306591,6.068634790046169
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7627561594561896,2.4176643933393813,2.916938267526447,3.9166137196837116,3.267032815112832,2.6651874015622035,2.7715315394235374,3.33155413822454,3.013151962345028,3.0323873777193473,3.7421853380942363,3.647007691337559,5.242086025239529,5.586117009130328,5.886848483180744,5.865356789396402,5.477751505509631,6.88261114925782,6.2390908374008,7.225158424290902,5.721832035600073,4.901376826595283,6.19603168667321,3.8595481673097978,3.751321643648846,4.759471939639997,5.132526754978804
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3616331952884875,3.755564867591912,4.606395271981676,4.094613949370697,3.9318997150733734,3.479126331310728,4.394288701992891,3.613054279857141,3.1673347185690774,4.681269903565906,4.933487819636251,6.040929349106807,6.077276502184428,6.79365910635359,6.747711739567008,6.244605152270976,7.647845634230825,7.43101450027457,8.464815612200699,7.055550527324755,6.191039377025058,7.664507615356457,4.635070913164013,4.08583533878121,5.742539185868181,5.958903369565757
12S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8282593361591253,2.382850452138469,2.4577482936354706,2.4463022392422693,4.801373939793213,5.233577402181547,5.305398878441849,5.1813624547019,6.157601511244759,6.010732386750497,7.64245814703065,7.931896967901916,8.304319341748267,8.174108572428532,7.662393306256557,9.188404454179004,8.493253445500226,9.507812048918131,7.793123559204036,6.9036851175907525,8.158097598363051,6.1753114980752795,5.865218559209026,7.0039880562189145,7.228032735539443
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093612190256105,1.093692068669944,1.095005243563311,4.978618663273802,4.969661561791559,5.686942071379362,5.879175645682628,6.309614476356354,5.850371375562752,7.772711313927512,8.289548205980529,8.357904111688713,8.091623810728017,7.617309087441802,9.162506359690441,8.087131676428251,9.050991351781805,7.169263555216831,6.328625831953386,7.332091084183187,6.5414552210316925,6.560234221996619,7.160634761866702,7.5181706819178284
