 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,H23,C24,O25,O26,H27
N1,0.0,1.766911166128739,2.901252023288989,0.09935629146269598,0.1926120131288372,0.015360678298701469,0.004134886941199012,0.22869391205337009,0.004684993166184537,0.028766798613186317,2.9316709692459644,0.08663164465181161,0.10263448693813237,0.1928556248115463,0.06476297218431788,0.02715679256127601,0.002943121550512795,0.005887441124751341,0.0003879474804310279,0.0006630602559110493,9.913233159553059e-05,1.2953255373426842e-05,0.00015713508995962577,0.0008553625424011224,0.00011757926415885411,0.0002583637320806298,6.739897004481854e-05
H2,0.0,0.0,0.10157361635483475,0.017295893048413946,0.010887529775331473,0.00020705100982509883,0.0001442837199150393,0.006291711001274902,0.0008889458830798613,0.0001710773403067467,0.09811667602556173,0.011005975936630108,0.024735751651255633,0.04784630670304657,0.10439363757518105,0.007857970389905433,0.0006321432865468157,0.0007280747555781231,6.08883116057779e-05,9.475392129698612e-05,2.1059423291225343e-05,1.4082136641224707e-06,1.7813580962755537e-05,0.00014507701197619127,6.347533164818842e-05,2.19463712662904e-05,5.6309972766843686e-06
C3,0.0,0.0,0.0,1.8665854919728566,2.4247886151271763,0.07203696032031259,0.08385960821060157,0.19558047711985016,0.0037139152453080637,0.02747892161957921,0.24694487281601643,0.026870572996196884,0.005294016961080894,2.6935877772124344,0.279139541738829,0.23225860380091817,0.015438493536341413,0.03553696650309754,0.00301733005353233,0.0035677688124713947,0.0010581020355786563,9.551232003168764e-05,0.0008229850668406424,0.004291379296108122,0.00046037079236031786,0.0012087906017003297,0.00024166950532922282
H4,0.0,0.0,0.0,0.0,0.07446401673409953,0.0043961370209966155,0.012441880416756979,0.01616338887907065,0.0004704324319195763,0.00015422893851657626,0.01128720446817666,0.00019638622010687,0.0008996356745036849,0.10147629095042765,0.027161299668061023,0.012500574957128974,0.007304679398410174,0.0016961881955852576,0.0003744388595963155,0.0002073127410575637,8.250478484628232e-05,2.2091832685866564e-05,1.6636893305443934e-05,6.750773761399209e-05,7.842446343153675e-05,3.4767779801270216e-05,1.0326832038609624e-05
C5,0.0,0.0,0.0,0.0,0.0,2.1588575080419137,1.8839447197119656,2.683983853244562,0.08251233700172311,0.0788049251283689,0.21773179514283977,0.02794214578436227,0.007210622880076567,0.18569577666277526,0.03945451339798363,0.03073553688699096,0.0016927562774440297,0.0030151407490967563,0.00037787206469253043,0.0013813127492697252,0.0001482939306198805,3.179542889930609e-05,0.00020091648280184948,0.00036189010978687763,5.653037707945008e-05,0.00012796296134187646,2.8031623436008957e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.025787890199789443,0.07538151885414868,0.008966460410362309,0.0012313070934693027,0.027311505648419443,0.0013145195101167406,0.0004747688237838332,0.020169910290469995,0.0029972843837544616,0.006812348160508908,0.0010295007887104468,0.00039012494338153125,4.9505632480961737e-05,0.0002743387931030128,9.999215023981378e-06,3.524516146269363e-06,4.5365500333183206e-05,5.196472699142696e-05,3.4347001262369226e-05,1.1248917200945563e-05,2.3676369622638305e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08079515042206897,0.030003761256735872,0.008520268007627285,0.005765636135376173,0.0002339040057401931,0.0016157352039074535,0.01729038486911816,0.004615260225902751,0.0012155018129318407,9.311047666571426e-05,0.00026339802354335973,1.744657890334622e-05,2.5826527477512684e-05,7.402333026540475e-07,8.566443876478758e-07,8.117326391055002e-07,5.5960403704702344e-05,4.445140238340528e-06,1.8544494753913732e-05,4.157005309313178e-06
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6883297943681304,2.026991707499472,2.7890603002596337,0.07599005803770753,0.08212382370964377,0.013201589793945229,0.004006864054302589,0.004514669445873143,0.00030785626971618907,0.0005692546932568321,5.638786796335893e-05,0.0002027668810963973,1.169322809180251e-05,5.0931579425039786e-06,3.446064928480652e-05,6.816325954783764e-05,7.416563423512379e-06,2.4281655385954837e-05,7.176428821975556e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025216167948811874,0.08175782006948018,0.007962696115615842,0.03118295024272677,0.0014576835496651341,0.0028979597205136542,0.00037516118153746447,8.280795049664391e-06,2.1581771180612108e-05,3.821202420928316e-06,1.361882429384842e-05,3.864869302150353e-06,4.3717382625096946e-07,7.349852158000658e-07,4.2293640301060975e-06,1.5117991779556306e-06,8.463046917706052e-07,1.134259839385976e-07
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078438668205014,0.0012108351155286634,0.006393789414435913,0.0022297434446449937,0.000544221407397627,0.0007139772119097998,4.530463606045032e-05,8.504742604498183e-05,1.3726426610016773e-05,4.056618944292545e-05,6.27969161559605e-07,8.097825510144929e-07,5.251133972317135e-06,1.2805643501812014e-05,1.4451018125472004e-06,3.914958252249079e-06,9.092541013444588e-07
