,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23H,24C,25O,26O,27H
1N,0.0,1.0206827979150415,1.4700984331645839,2.1255812425296288,2.446361410842088,3.3255592224329877,3.0282331573001304,2.403538891444232,2.8060656556503907,3.370021861150488,1.4732542974367746,2.116022789571112,2.1130188530987737,2.459073407974708,2.7503794570051943,3.6661451147435486,3.9801529452475957,4.904333078374066,5.040775574276092,5.4311260178131615,4.91221324601905,5.654285176483184,6.43531408681153,6.050561329564896,6.172450700456972,7.205465269325051,7.908723178875114
2H,0.0,0.0,2.0094134550728557,2.814221369570778,3.0239197176739014,3.693486010966664,3.816041090740601,2.8151188323363807,2.823024887793107,3.8530292438084732,2.047594968685598,2.2711121196830795,2.9218414792374503,2.331697769348777,2.145101244479334,3.6620903984108755,4.215179370292457,4.681638411656026,4.673540637265712,5.072657921748506,4.406647308044833,5.436570445737902,6.00429272768799,5.988439067571055,6.308891557097881,7.02454479619217,7.811931442502148
3C,0.0,0.0,0.0,1.0996744170805215,1.5707630184607573,2.2348189660640405,2.193916490524237,2.441315298400041,2.8773816163730035,3.402412511807083,2.3754974698309055,3.2886146511847842,2.881908041337674,1.5350609853597565,2.4268604577590867,2.4484116331083046,2.592959862616642,3.822113413206175,4.085466863211295,4.6116384136813595,4.36717853857719,4.799061698780366,5.628320959831355,4.771528508948709,4.771955140396753,5.996760723143856,6.620176123166632
4H,0.0,0.0,0.0,0.0,2.1984172136787095,2.8317720999234237,2.3302131641400554,3.297432874812785,3.900915195156866,4.11383613642003,3.079013209693049,4.051283602461328,3.2495216001321454,2.150264543879999,3.2160164102731232,2.576315481058657,2.3792880585941973,4.015163947828234,4.537931718974338,4.690724797593647,4.573547746778163,4.624851037112245,5.757475825189221,4.773949158644819,4.574362500538135,6.078828242034678,6.612163370951206
5C,0.0,0.0,0.0,0.0,0.0,1.095149848280597,1.0966104521815268,1.5371054024791866,2.1761939324466537,2.206966411873815,2.384747039024056,3.3676572342528646,2.7882165810840203,2.5651999107231718,3.3489653143507985,3.228052177902367,3.1675659150769087,4.499759409761112,4.568854667207168,5.630613297005105,5.532404416899827,5.9206108107652105,6.550209516528598,5.163865072474245,5.006856512726652,6.35274064524082,6.8629655911093765
6H,0.0,0.0,0.0,0.0,0.0,0.0,1.7660683481072867,2.2138890276718244,2.4472047629795264,2.7415257988327033,3.3531314509083687,4.232827212263638,3.8532357458407716,2.6208129037655303,3.3825681995744885,2.9622714683820646,2.8960108557018085,4.022808420789947,3.982916829635208,5.3473058376849,5.40012487561489,5.73390518278283,6.158781730990247,4.504055684589895,4.361321861223263,5.61084061874343,6.073710374865739
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1769822495411897,3.0626415227794697,2.436319135784011,2.827418993276616,3.88591129441693,2.8007504659172593,3.403466770736418,4.330934583815585,3.8442173739409564,3.506055132050276,5.183775810497877,5.400217922105941,6.3137537226528275,6.304480220259615,6.452336619484455,7.26571686440066,5.644491607666624,5.257702732548748,6.895644128462965,7.2935493256655795
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0972120791969446,1.0959499326133604,1.5377251151352669,2.22001598625697,2.1756024791473982,3.37951786855171,3.6978009439785513,4.388417470424403,4.5525529188637694,5.543569714158854,5.392031778063277,6.572729891999813,6.2683024463949515,6.990012463721455,7.453889025278034,6.3992203380013395,6.400640444890954,7.489492748838455,8.080473144610355
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7764370320077851,2.1721588963939595,2.4662613123132244,3.0666496644639136,3.334376405517214,3.3253367155286475,4.399182468064013,4.76326233415269,5.335362284348254,4.977283373035169,6.357464837118174,5.99803529104773,6.931935775865287,7.138132545991681,6.2811046770355015,6.466281190339779,7.236034837669633,7.889998506286525
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2194513865860777,2.74085019030196,2.463386742896746,4.411466003526903,4.767193924083803,5.312331951307849,5.359569771722952,6.463041898177722,6.291083696884656,7.578670470898942,7.32730966018603,7.98357948248772,8.4433300888436,7.183581946588398,7.079971469665395,8.265361045606339,8.785738774331707
