 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,H7,H7,H8,H8,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,H10,H10,H11,H11,S12,S12,S12,S12,S12,S12,S12,S12,S12,S12,S12,S12,S12,S12,S12,S12,S12,S12,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,H14,H14,H15,H15,H16,H16,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,O18,O18,O18,O18,O18,O18,O18,O18,O18,O18,O18,O18,O18,O18,N19,N19,N19,N19,N19,N19,N19,N19,N19,N19,N19,N19,N19,N19,H20,H20,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,H22,H22,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,H24,H24,H25,H25,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,H28,H28,C29,C29,C29,C29,C29,C29,C29,C29,C29,C29,C29,C29,C29,C29,N30,N30,N30,N30,N30,N30,N30,N30,N30,N30,N30,N30,N30,N30,H31,H31,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C33,C33,C33,C33,C33,C33,C33,C33,C33,C33,C33,C33,C33,C33,H34,H34,C35,C35,C35,C35,C35,C35,C35,C35,C35,C35,C35,C35,C35,C35,H36,H36,C37,C37,C37,C37,C37,C37,C37,C37,C37,C37,C37,C37,C37,C37,H38,H38,C39,C39,C39,C39,C39,C39,C39,C39,C39,C39,C39,C39,C39,C39,H40,H40,C41,C41,C41,C41,C41,C41,C41,C41,C41,C41,C41,C41,C41,C41,O42,O42,O42,O42,O42,O42,O42,O42,O42,O42,O42,O42,O42,O42,O43,O43,O43,O43,O43,O43,O43,O43,O43,O43,O43,O43,O43,O43,H44,H44
1N1S,N1,0.0,0.023498645267414187,0.00013221407978170063,0.001240754246733422,0.0007206111462072506,5.3113299864904207e-05,3.909752107911224e-05,0.0025534005000067417,0.0015548525770205934,6.733806811543008e-06,1.7565173212427676e-05,1.6157845919573255e-07,4.518585073040593e-06,0.00015394963447287746,0.007869865093584671,0.0013267991075741614,0.00792865067774473,0.001365287252065972,0.0011664594523006777,0.002060941890554835,0.004023802204336624,0.0015600219233378176,0.004063757150485792,0.0006201326827357523,0.00022783942171633598,0.00018280795391678595,0.0004366639712722886,1.26662587021098e-05,0.0002185086237069811,0.0004294392901155186,1.8953450219905132e-05,0.0003838231697851635,0.00018849996669145774,1.6945761251108138e-05,4.2126524508800944e-05,0.00020731727923739562,0.00020917042508261652,6.567413723979065e-05,2.22816948602933e-06,1.2675097256220624e-06,0.00027407378195309917,4.134200706329416e-05,4.5556117860279244e-05,5.7515816119901864e-05,4.7691905992547357e-05,3.346689079275489e-05,2.4546836551037066e-06,6.3978104682393955e-06,9.356226651346944e-05,5.289501043925782e-05,5.211828983187061e-05,3.0732820088807955e-07,1.513736025590684e-05,6.652976375143282e-05,7.552660831522395e-05,1.659976956047693e-05,5.033455169578538e-05,1.9778926136249098e-05,6.660302058980605e-06,5.023249416424846e-07,1.2999696825444218e-05,1.250846836609032e-06,2.694616564213881e-06,3.8447092076676626e-07,3.334910326918683e-07,7.435502294428353e-08,1.0968300134805986e-07,2.0266131695034773e-07,1.798264056329657e-06,1.8277725155613211e-07,8.416089053442377e-08,1.291758592869563e-07,9.157156876549166e-06,1.1265902603863065e-06,8.762580078203186e-09,1.541684270911503e-06,2.3844330947486725e-05,2.7514293245989307e-06,2.783805697070818e-08,1.72794725639136e-06,1.7222486599077769e-06,1.931266362387163e-07,6.970141219753145e-08,1.4549604995528487e-06,7.301774843371245e-07,6.350243647312848e-07,5.924882146846056e-07,2.2235208119170125e-10,1.958378972877206e-09,3.01917564282661e-08,6.086674453342766e-08,1.0296674624044044e-10,1.1119403175996467e-08,1.3380714314337183e-09,1.874509969468363e-08,8.302712939389778e-08,1.1597315929812169e-07,8.794348840823751e-08,1.1493287178920841e-07,1.534898138866314e-07,3.69303777697505e-08,3.861418018669127e-09,1.3339540583245935e-09,5.716509732245356e-08,3.234187337941563e-07,6.459430990091164e-09,1.6246800060848443e-07,4.066255365753335e-07,6.739174956971183e-07,2.9602647328985654e-06,5.904018328894978e-06,6.337579948390015e-06,5.505964266738772e-06,4.1261309679851976e-05,2.4330728424226677e-06,0.00010765253434519284,9.897229924782369e-05,6.768009818025611e-06,1.1630498453596427e-05,9.931012990849197e-07,1.9992391647738472e-07,1.5502973181924506e-05,1.8113498621991075e-06,2.414414245421881e-06,3.439906686164562e-07,6.42511944808355e-05,2.1718623293809358e-05,4.341278647679303e-07,2.0108341185487433e-06,7.243353156383137e-06,1.9707822991765767e-05,2.553144361899795e-07,1.0697415592231252e-08,7.581014621338422e-07,1.0097780221707264e-06,2.3501438961570642e-08,1.2242288387198652e-07,4.4790649920134484e-06,9.186217704959532e-06,2.374038994501504e-06,1.8316134768880943e-06,1.2087974257113387e-06,7.663649968847608e-06,3.709004948726502e-06,2.6435630173793356e-07,4.769963452000425e-10,8.083077235321312e-09,3.0016763859219697e-07,8.426716975873383e-07,6.479691991578829e-07,1.38445854869218e-06,1.5989986851261406e-06,1.2794065501475771e-08,2.673996690738534e-07,3.1353956275737005e-07,1.4950496818322279e-07,4.878469130886742e-07,7.134569901534604e-07,1.7000796548316544e-08,9.193337442425786e-07,1.4433303245908746e-06,1.9616831797852896e-08,5.190844112878956e-08,5.206751252373465e-09,4.311732371142796e-08,2.1829137386575326e-08,1.6764660792922825e-07,5.685489224971363e-07,2.541697685654043e-10,5.556137772089187e-10,4.0956238400724487e-10,8.44554426393529e-10,2.4125262454433027e-08,3.7666231245125914e-08,2.314618052778883e-09,2.1178330200655182e-09,5.245714596036066e-08,1.3314749303106055e-10,1.2324641862626606e-09,2.1888081208620846e-09,3.0747171475553614e-10,3.721625480013202e-09,2.3780977187470853e-13,9.272519418956904e-10,5.986473539110193e-10,2.8631749859897582e-08,1.71895830902713e-11,3.1602997996316162e-09,4.5251380420552323e-10,8.528341144398155e-09,1.3124343833936791e-09,3.085416588888279e-09,9.36998700851177e-10,5.51999557174554e-10,4.199091141465772e-08,2.6221722015939974e-10,6.55512311098505e-11,5.635186761665523e-10,6.561807486260562e-10,1.767197499447093e-10,4.658868568707675e-10,2.194992632098547e-09,4.4048542591212936e-11,6.737166380332837e-11,4.636853123685114e-10,3.3018032752352156e-13,7.720866168625662e-10,4.573892820047831e-09,5.555310211846631e-09,1.399780846789156e-10,1.208921851514333e-12,1.8573631521690004e-10,1.4721612817680807e-10,2.968360834909589e-10,2.401832288612127e-09,1.295463736283864e-09,4.6860931801617767e-11,3.11010106557319e-10,2.652369435196533e-10,3.139961624043508e-10,4.517761720279623e-10,4.867176661704775e-10,9.66706270588702e-10,2.8193003487331225e-12,6.409806019291864e-11,4.5245862612119936e-11,3.9982822608308766e-11,9.572159731519037e-11,2.6094404415033523e-11,1.414611761063611e-10,3.430770945112016e-11,3.235189893757706e-11,1.2432277429752503e-11,2.2852031378306492e-10,5.720157680855209e-11,5.069278330438465e-13,3.3308911184803947e-12,1.9374990500864442e-10,4.1199088585130994e-10,2.7774171851291385e-12,2.2425505896706e-11,9.370484943538315e-11,5.663072788486545e-11,1.3830621370392038e-10,4.3651304793002055e-11,2.5974333794920312e-11,1.5579232348628125e-11,4.9531045931416884e-11,2.9256597144922125e-12,1.0428080621238678e-10,1.3694867462277216e-10,2.7510216327186754e-12,1.092503865152139e-11,1.1588396908734921e-10,1.1404477362475518e-10,8.428924225256651e-12,2.73582823062668e-11,5.064310082403267e-12,1.2492867851321421e-11,4.067440828592339e-12,1.4751358468068076e-10,1.840017027632257e-11,3.362865541589599e-12,5.995950402848393e-10,6.218288106651926e-10,5.860290031023396e-11,5.876543696103909e-11,4.693179178616447e-11,7.716329797347043e-10,5.011685511036035e-11,9.149994650847759e-11,1.9720780564114193e-11,6.377201544616184e-11,3.8325329021482446e-11,4.2038261760524165e-10,1.2990808428980927e-10,1.0323408794477018e-12,7.704059612478886e-12,7.083000852503574e-12,3.0542235407438056e-12,5.404832137401172e-11,1.858513343222512e-13,1.818567518796499e-11,4.992939395265239e-11,8.644418514336394e-12,1.1932455024066257e-11,5.95967719618784e-13,4.445332990599127e-12,1.3260226250366713e-12,7.2467865042114e-12,2.965960810286106e-11,1.5671242081793935e-11,4.4846210078830495e-11,8.337774914934926e-12,8.346257018843062e-11,1.784612457811363e-10,1.1595169269185135e-12,3.802802517327564e-11,1.0635936575909e-12,4.414024701304697e-12,1.4943601911454607e-13,1.676547789486449e-11,1.4660217484419036e-12,2.0057566718634234e-13,3.613526144974344e-12,8.892414582462038e-12,3.112843316444014e-12,5.329070518200751e-15,4.8760995241536875e-12,5.355715870791755e-13,5.087041898832467e-13,1.314155451126453e-10,1.758815315611173e-12,7.365219545363288e-13,7.627232179174825e-13,3.762656852757118e-11,7.52065076881081e-13,3.3659186549073183e-13,7.537526158785113e-12,1.075931010952047e-11,3.015004912398922e-12,3.590461261637756e-13,6.434852650727407e-12,3.1008529077780622e-12,6.0626650921769e-10,6.28059069196496e-08,4.896111738261766e-09,9.14531714801825e-08,2.3308772689745183e-09,9.005402124007134e-08,6.125991969252453e-08,2.0167261827186422e-07,2.826563454405573e-07,2.8400243823334392e-09,6.128429985707839e-10,1.8132013168692396e-08,4.2539974320909835e-09,4.780651852165363e-08,7.903372400974717e-12,5.410951020579091e-09,7.19595463216649e-08,1.6353723486517424e-08,2.493356121568979e-07,6.475983971299115e-09,1.4203233700271767e-08,2.5266011505209462e-11,2.8618867498053646e-08,2.6785048623523267e-09,1.1433996249810008e-09,4.2379470210907044e-09,5.598031205256149e-10,1.780986966237741e-08,5.672237679554826e-11,1.0021761198686363e-11,2.1643799641424266e-08,3.623145783393511e-09,4.567878075789622e-08,6.043168188085701e-10,3.4287259698118078e-09,2.792579500976444e-10,3.9650375871502774e-08,1.574232841305978e-09,1.055914078396114e-09,1.3587690694816246e-10,5.508898476280777e-10,9.484427132555595e-11,2.849580571506749e-10,5.738224340134934e-10
2N1S,N1,0.0,0.0,0.00555141075922938,0.023425334939430886,0.013027716707536108,0.2634446243131716,0.004678579821874251,0.04142794894701707,0.025066207361620574,0.00020429998155302442,0.0012742343874010409,0.00012873143019076494,0.00027110860480750176,0.0038141643821125726,0.10521230521405522,0.15767162082270536,0.10405430765421331,0.1568458569967488,0.0033564260432978887,0.005290715816313796,0.04096740685428202,0.013175855296813754,0.04175313406102399,0.04056487757349281,0.09222709945495922,0.04866494086808393,0.11477863272229971,0.0004531270112302366,0.012207212749996366,0.023253768755112647,0.0013831295586392844,0.020295741923833432,0.005785623014845864,7.318164328573573e-05,0.0002448846376827962,0.0031794942109146795,0.0067354379582047486,0.0021641355905437365,0.0007373590103076921,9.581276172010433e-05,0.0021219729650887587,0.00010065033105544074,2.4773813366518738e-05,0.0006142709524850076,0.000683418282509507,0.0009410299584959869,9.259579512033156e-07,0.00027225913940576163,0.001994335700503669,9.663253774494507e-05,0.001051443707065225,0.0002862639014979962,8.472517508573141e-05,0.0013377544675083897,0.002689804711756949,0.0005401305939347623,0.00130855265668961,0.0005916665361156426,0.0008685781209023524,1.7388830539477595e-05,0.0002323248158413449,3.6115566877104044e-06,4.465478788429067e-05,5.5880318836631915e-05,2.0941285256981246e-05,6.208260183715453e-07,2.095116043010492e-05,1.0947333477950849e-05,1.5617093924724657e-05,1.6618639220311593e-06,4.744672255085902e-08,1.7168739336881345e-06,4.6323512795654054e-05,6.087495289408551e-06,3.697667549928951e-08,4.771887784027484e-06,0.0006491957736409759,8.021020717752236e-05,3.11038736988678e-08,3.935285967493485e-05,0.00012557821382630507,1.2969608930379906e-05,3.125536246262328e-06,4.441459217452426e-05,2.1411190169740024e-05,5.014552569071462e-05,3.547496209677092e-05,4.4006467869728283e-07,5.3592541071623145e-08,2.129776133230621e-08,5.5552217119725356e-06,9.665630877897513e-07,6.798256353413024e-07,4.5849428254030045e-07,3.401825292570493e-07,3.586679370393142e-06,3.477965730969146e-06,3.7356688986633912e-06,9.918437584355289e-06,1.0564627723752551e-05,2.579948872538651e-06,3.571173801120153e-08,2.2602999472098873e-09,6.804320582531886e-07,1.6670117927830574e-05,2.220295357346913e-06,1.022176876208647e-05,1.6619178550225655e-05,4.1272107801804125e-05,1.6100871781610238e-05,0.0007747355088492114,0.00036122589431331065,0.00031246495030101684,0.00017028854307588048,0.0009671800093382643,0.0005680609182596719,0.00021800295644691658,4.361940291186528e-07,4.844913875134971e-05,4.373322840978133e-06,3.689849790555755e-05,1.7109686520910827e-06,8.417981941732933e-06,4.700903279086788e-06,7.70822619449163e-05,0.0018482118193916541,0.0009326738825974346,4.21799223553343e-05,0.00018459756805944139,0.0019246673180299823,0.001496757195185161,0.00010412403375181789,4.332572944409918e-06,2.7648078892106298e-05,9.592584482387423e-05,1.176220189025301e-05,2.9746509055961212e-06,1.9725082067267863e-05,0.0002801302988570953,0.00012091060519336949,7.318979264914205e-05,3.949356498988976e-05,0.0003091480513317535,9.788412051126016e-06,0.000103512985406784,2.2208141823742977e-05,9.393562972359604e-06,1.5376938044209254e-05,8.986196088889287e-05,2.1938675891508552e-06,5.1438699123718123e-05,1.9118881642299357e-06,1.993563691682354e-06,6.543430758565449e-06,1.9930955265756722e-05,2.206576155483475e-05,4.30742376207327e-05,3.2800594786941417e-06,5.125833160146698e-06,1.2335183519063264e-06,4.392865678770619e-06,8.554141512018276e-06,1.0671765164893543e-06,1.991478728813334e-06,6.598541192559537e-06,1.1561466551235355e-05,1.5671401115469052e-05,2.3916664478207394e-05,2.6005432030018483e-08,1.0586019261182855e-07,4.779731499482409e-08,7.228890259725063e-07,6.646417255229409e-06,1.1619802093854048e-06,1.0854650511760155e-09,1.094497275921924e-06,5.288992635410494e-06,8.738074486203118e-09,4.301849898524779e-08,5.281835970816218e-07,1.5480401782674846e-07,9.575588921784117e-08,8.170678356123062e-09,1.3022711220500582e-07,7.714668210923037e-07,4.975940992579808e-09,1.0886514134611502e-08,1.8472936114122263e-07,1.938053362238179e-08,9.217133545291745e-08,2.936276879417221e-07,4.3972157470761886e-08,3.761566613746936e-09,8.753345070999785e-08,2.4320148206413705e-07,1.701101171036612e-08,9.361762920434558e-09,3.276071791624702e-08,3.521845945986257e-07,3.2020649465280826e-08,2.6891879834067822e-09,2.9677977408937295e-08,2.1863160171164964e-09,4.9970108051411444e-08,2.165815389254533e-07,1.6205993436102517e-08,8.943907836567178e-10,1.5447520285150063e-07,5.881547884278859e-07,9.532305389470253e-09,2.4117707830839663e-10,8.637863091465192e-09,3.741144816160613e-08,3.557585870339608e-08,3.1649967091595954e-08,3.294026962308294e-08,6.217248937900877e-14,3.3269378363343094e-09,1.8638691035022248e-08,3.4382043878622426e-08,8.90914253481867e-08,1.1754495155003042e-09,6.868969393281077e-09,1.8191402606504425e-08,6.201858537835392e-08,8.949916141531844e-09,4.368816419741961e-11,2.632277285030682e-08,1.3076701943504077e-09,1.250802084129532e-08,2.1109780590222726e-12,9.468554829084042e-10,1.6674941427652357e-09,3.655583036277221e-08,1.1328876414751221e-07,2.848596913906931e-10,1.8759980235927287e-09,1.5289315591360264e-08,7.11007284159848e-08,7.392397805006112e-11,3.436724682615022e-09,7.322935591247415e-10,1.0753200330171353e-08,2.3767943169161754e-10,2.7613467068476893e-12,4.030642486441138e-11,6.84550194307576e-11,2.1729396060266026e-09,1.606568211798276e-10,2.270466126219617e-08,1.216468259457315e-08,1.5261489849649479e-09,9.531486711011894e-12,3.1883797824150406e-09,3.502146572742504e-09,4.0089198627413225e-10,6.500622262706202e-10,1.0034986619444908e-08,1.0285874596505096e-08,1.003717331471421e-09,1.1465211002814613e-09,9.048704008307595e-09,2.2822974621306003e-09,5.073450992654216e-08,1.0738262723464231e-08,1.096158719349205e-10,9.739764550431573e-12,1.0161941954578424e-08,1.6872956365432401e-09,5.00108132683863e-09,8.388819416893512e-09,3.758104938356155e-11,8.512889282386027e-09,1.325644261029879e-09,4.466912928435818e-08,5.637885713838386e-10,7.0674577301588215e-12,3.5958125366164495e-10,5.946434455950111e-10,1.1386447340555605e-10,2.1331381105937908e-11,9.940936962493652e-12,2.0944268541711608e-10,6.442162359121539e-10,1.199040866595169e-14,2.722260195042736e-10,1.4656535984869379e-09,1.7446630806716712e-09,8.481939595128551e-10,5.57410562151972e-10,8.797411688021839e-10,5.956235504811502e-10,1.6487766707484752e-10,1.7584618206001323e-09,3.785061153394054e-09,2.7787532275169724e-09,5.387313706251007e-09,2.0442358916739067e-10,1.5816192799888995e-10,8.49222026033658e-10,1.3122223307959757e-09,1.3005998500403848e-09,1.339117705612125e-10,6.180256306720366e-11,1.6154413362556852e-09,3.8509773148120985e-10,2.438262924897572e-10,7.351896869067787e-12,4.146394338988557e-11,2.749969141291331e-10,5.537525993304371e-11,3.306626084054187e-10,8.677312202109988e-09,5.147704484897986e-11,4.503952766299335e-12,1.2780221325670027e-10,5.315959672458348e-09,1.1880274541908875e-11,3.114699609341187e-10,1.3108980567722028e-10,2.640461183034404e-10,1.2450929176566206e-11,7.784235478425217e-10,3.587699026752489e-10,2.2301020963233498e-07,1.472246347944406e-06,1.0507050154373587e-06,3.040412166033235e-06,2.7533531010703882e-14,4.716807424642866e-07,2.471607442267043e-06,1.2144295080673828e-07,3.5746582045526054e-06,1.0575155093839328e-06,1.527990478589203e-07,1.742536429816255e-06,6.64067460132145e-07,1.158898041087042e-06,1.1192042848051642e-08,1.4227969469260415e-08,1.948520049310787e-06,1.1025697101985088e-06,1.4664368668260153e-05,4.515123830373113e-09,5.595440599748258e-08,1.740060135535515e-06,7.057821805211972e-06,1.0723320542638248e-07,2.463460990753674e-09,8.960423869552869e-08,6.909289784751138e-08,4.058543128238057e-07,1.5796583152649646e-08,2.8708049937264946e-07,2.255264761608089e-07,3.696931614172172e-07,5.450900366632538e-07,2.6794047425227063e-07,2.41993491911785e-09,4.148450560848005e-08,1.0133998085137819e-07,1.4130571646120416e-07,5.30018771094376e-08,4.317056490066307e-09,4.007024045904473e-09,3.909760115661243e-08,2.501808538113437e-09,3.8859861994922085e-09
3N1P+1,N1,0.0,0.0,0.0,0.017161229209896156,0.008059632561157493,0.002769556038127785,0.27521160275518586,0.022309497869342998,0.012250365532227026,0.008558043202785859,0.0037085492776463003,0.03603719722151277,0.00030858023925062206,0.015020013779717845,0.04968322576826267,0.026665349100544855,0.2716426130686802,0.17208576063291137,0.006519780315093593,0.043650296534830435,0.07958180590945352,0.04123533517680045,0.0952123349546663,0.021537506533635842,0.0069017316688202435,0.024776795877540447,0.06055048951797515,0.018129035612235667,0.002028871214830863,0.007559371442530827,0.0010787798655527148,0.021703285802528782,0.0023451831168164183,0.00010615637341571116,0.00027434879728316375,0.007830379081447791,0.007880551204230368,0.0032254535869857826,0.0001676572991087255,0.0005654985284180292,0.0038828007567017764,0.00022734773463950475,0.0011793343003767554,0.0045651827989665605,0.0034886001313592097,0.0024465211520363628,0.0003044195220018864,0.00016009608751166304,0.003801411593203241,2.0178421394678736e-05,0.0008386096945072197,9.30012002413605e-05,9.452431254231008e-05,0.0029648020053030244,0.0026557653718324303,0.0005198846167933091,0.0017030643208761909,0.00043658565295956464,2.2385084026410595e-06,4.033799864799903e-05,0.0006336591904898548,0.000520184740690377,0.0004503723243953761,4.886242573221011e-05,5.955255140110971e-05,9.233513203144028e-06,1.612732067668432e-05,8.057762705959703e-07,0.0002063143941293255,3.624395023216209e-06,4.884557274209556e-07,4.455192576635625e-06,7.881015284016968e-05,8.910713263032832e-06,3.975050639759559e-06,0.00011369215870127292,0.0011929354707569395,0.00012825946765948615,6.41886546528525e-05,1.039085208187629e-05,0.00023829751668724697,2.455119534650052e-05,1.4254347948661206e-05,0.00017952610395766122,6.942939343379528e-05,6.455366330992973e-05,6.612837152442097e-05,3.4991031094833147e-07,4.2708281355885447e-10,1.782914268222413e-06,1.36822182206231e-06,1.0403203187792087e-07,2.8285156981056048e-06,1.230433444021628e-08,5.540425558336892e-07,3.7791006843868047e-06,6.16599673186613e-06,1.3776414893085231e-05,1.4593730061518428e-05,1.1886626541057765e-05,3.694713268886929e-06,2.454723913469792e-06,3.019990666430772e-07,3.116717923745682e-07,1.9139438831139444e-05,1.261660543594445e-06,6.4938309671802585e-06,2.4155935840930454e-05,2.1784154480286588e-07,0.0008061138065267315,0.00016936913731813164,0.0008455334550663274,1.971807219725008e-06,0.00013860246729446857,0.0005154057371590248,9.89967533149283e-05,4.144162448760369e-07,0.0006288818964492737,0.000567129428814539,9.149874720137952e-05,0.0001652896256167935,0.0002472960931501067,4.6577197139185955e-06,0.00013229412341875246,0.00026401579385026963,2.218073213766658e-05,0.00025892681504968706,0.00010540821645355081,2.0537975298218214e-06,4.391822600258166e-06,9.042768178701976e-08,2.935930896841299e-06,7.518040425447126e-05,1.0924848214299843e-05,5.804397369857384e-06,6.295760244290349e-05,1.2406789879237934e-05,0.00021745414379603645,0.00030701866457727434,0.00010395704550525409,0.0002565487690184831,0.00013513152848565468,6.528720260323695e-05,6.939772334568772e-07,8.794485321406142e-05,5.9218496994972725e-08,2.9915398252366998e-05,7.4839374013535576e-06,1.1557170285891871e-05,2.3471959827991995e-05,8.972077282454194e-06,0.00012986899711497912,4.024830890791975e-07,3.9969575928999745e-06,8.172421066543478e-06,4.9830700521003024e-05,1.3960153250724971e-05,1.2711562700218337e-06,8.845296193271679e-07,2.3171228047402792e-08,5.726666976180184e-07,1.541345803124372e-05,7.934383897456598e-06,1.7436236816603667e-06,1.964101348228553e-06,1.884021685549797e-06,2.4078936003313345e-05,1.3586481893312907e-05,8.93280716063316e-09,7.978305394118479e-08,1.2723122555513555e-08,1.354453676771783e-06,9.919160959270812e-08,1.8110600885634653e-07,4.101958417379592e-08,1.5460666848987614e-06,7.743279009098103e-07,1.9582308530274872e-07,1.818301382794374e-07,3.723982515690949e-07,3.955903360441937e-08,2.705850039586011e-07,1.7824864961824005e-07,4.127424633182386e-07,9.62876661070311e-07,1.240933134027955e-09,7.832973158983236e-09,5.6311152185628544e-08,1.4602146158892992e-09,1.8550025160379846e-07,1.3690194395898914e-06,5.628151278358473e-09,3.245352298009152e-08,8.122781114394684e-09,3.3831482726398576e-07,3.732528375266497e-08,1.1861678084201799e-08,6.632867233236084e-08,2.096260514061754e-07,9.787552990303539e-09,1.2003731342247193e-11,6.141708297491277e-08,6.889999681902736e-11,5.384661534435509e-07,1.5657296965621015e-06,6.362420501559996e-08,1.7899268733856388e-09,2.988241698531624e-08,1.3315948077519124e-07,2.079988514758213e-08,5.041804085337276e-09,7.203015961465553e-11,1.3509715568460479e-09,7.702284476884813e-08,7.902256404790364e-08,5.709241213125438e-08,4.895861493992015e-11,1.7886356840079998e-08,1.1890675111203564e-08,2.763447515263806e-08,1.1629553231529144e-07,2.20034479525566e-09,2.6731603597340836e-09,2.9320013084088714e-10,5.801092495261173e-09,1.045902697782708e-09,1.3404755971890836e-08,9.769173470175474e-08,1.036409891241874e-08,3.180935959079534e-09,2.719802161266216e-11,2.2734223392717468e-09,4.791704810713782e-09,6.911827998834497e-08,9.576688730916771e-08,3.976574625141893e-09,4.757932270393894e-09,2.3056977660473876e-08,2.8459271828040755e-08,2.0357182606289825e-10,3.5599718728462904e-08,6.934233387489996e-08,1.3123312436746914e-07,3.2102131397593325e-08,5.192646312934812e-11,7.863274475994331e-10,7.264189250122399e-12,1.945088090593572e-09,7.311244942798112e-09,4.3525957504897406e-08,1.2066781307495944e-07,2.201754334407724e-10,4.709566070459914e-12,1.8344893160104903e-08,6.600313096072341e-08,7.475999819206436e-10,5.589744889178405e-09,5.917657919241037e-09,1.386030445971187e-08,1.0303700115343872e-08,1.509197877780366e-09,4.1580478171709956e-08,1.7194343726600891e-09,2.3612673150097407e-08,1.7254864204119258e-07,1.2085180411958163e-08,3.251181990293617e-08,8.51188897144084e-10,2.440148971771805e-09,3.3211375871644577e-09,7.644016530861109e-10,3.3226077000847454e-08,8.232786230522038e-09,2.0068635642189747e-10,6.525159834680494e-08,1.9738149470427402e-07,8.815170815523743e-14,5.777600620149315e-12,3.071054521797123e-11,9.398462896825777e-09,2.2017050849143516e-08,2.1875123934478324e-10,1.627333823250865e-10,3.984577112703391e-09,5.883241449566867e-09,1.5656143048659033e-09,6.86558321305597e-09,1.7441205812929184e-08,6.763827276046186e-10,9.230616271338477e-12,9.036327242029074e-12,3.23621573983246e-10,2.0897950037124247e-10,7.822933412171551e-09,1.4706665663055674e-08,3.580029517280536e-08,2.2578324099242764e-08,4.005307197019192e-10,3.383942015489083e-10,6.8816619069878016e-09,4.424945387881962e-08,2.5088588984090165e-09,7.127121115502177e-11,3.085161681681825e-09,7.025909631863669e-09,1.2175205288400548e-08,4.995865943158151e-10,5.680345083192151e-11,5.612066367177704e-11,1.2957550588055256e-09,1.677533667532316e-09,3.9340712909563536e-08,5.5275955368472296e-08,3.694511363505626e-11,3.128466374846539e-10,2.377828689503758e-08,5.17658200749338e-08,1.484712353061468e-10,8.727085720749983e-10,2.583374847375808e-09,6.940112262654452e-09,1.3449905633677872e-09,1.1699752278104825e-09,6.506426508678942e-10,1.6930737478659807e-08,2.481994161307455e-07,1.9307565324311327e-08,1.6412474224125617e-07,4.946749894152447e-07,2.6014309923994006e-06,8.071099788509173e-09,3.664766787814244e-07,2.593728916089333e-06,4.534248383425421e-07,1.1938283872581223e-07,1.6229110728627205e-06,4.399884900863071e-09,6.909082810313549e-07,3.0680018525686137e-09,1.1077543904391973e-07,5.8552933435152e-07,7.598381301932022e-07,4.6143416687627337e-07,5.801667590787929e-09,5.302303498488925e-07,2.6757944349142804e-07,2.39071062058116e-07,2.2049312597971493e-08,2.755951467037221e-09,3.30263663084196e-08,2.43770523322695e-07,2.1492194912653417e-08,2.187128700370522e-09,3.816754112762055e-08,3.6679838366637796e-07,3.351013244667911e-09,3.1655385468454256e-07,8.402722517786287e-09,7.959989556383107e-09,1.4242874835090902e-07,1.1783032416445849e-07,1.3663518982909295e-08,2.1582334386316404e-07,1.736365329296774e-07,3.15267656425533e-09,5.263724123238944e-09,1.6382805556602875e-07,6.390383777699071e-09
