 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,C27,H28,C29,N30,H31,C32,C33,H34,C35,H36,C37,H38,C39,H40,C41,O42,O43,H44
N1,0.0,1.9561663985562572,1.949287452344255,3.087510250629217,0.08822889897212993,0.20012985307669495,0.01975601369017843,0.006465787340100282,0.03343046091611353,0.0008981994430270479,0.0008548580913533277,0.007294881925144228,0.00039884330138818813,6.422209524736822e-06,7.867605649547471e-05,0.00014690913560189145,0.23010986523636692,0.04899687549217879,0.036317035351327506,0.002075074897929685,0.0067168222851309856,0.0004328983207096959,0.0010064746402545788,3.773809687601659e-05,0.00020994446205302442,7.834934924952353e-05,2.9681334946476956e-05,2.18324318479457e-06,5.7403797777966226e-06,6.297142439229408e-06,6.247817285753854e-08,3.3065389273972956e-06,7.922353481099043e-06,7.781841301790493e-06,7.168562733000927e-07,1.7705738986073527e-08,1.8489036505281442e-06,1.8333524143265834e-08,1.7224414162880786e-06,6.589509160548346e-08,0.0011195895535227596,0.00021393611657032768,9.034480757254271e-05,7.509545792760974e-06
H2,0.0,0.0,0.027066846855113624,0.1083385436563521,0.036751557596136575,0.009341652422721114,0.00023644383795140556,0.00476578807902972,0.0010391532194826691,5.153868564988784e-05,0.0004190955150733533,0.00022258977611089303,4.2997188059334945e-05,1.4360056281859102e-06,1.1654219281398426e-05,1.667550796802253e-05,0.01796637673738799,0.04340618774203442,0.0032608111352711022,0.0007821588426561998,0.00037922804888546047,1.468677139460084e-05,6.043007878708817e-05,3.077225536829431e-06,6.227827328952884e-06,2.4355737613279693e-05,1.2879654533004548e-05,1.492459789087519e-07,4.482141218287161e-06,3.768129084980032e-06,7.474955321384869e-09,1.4389605779152603e-06,8.766910479796053e-07,7.347665409440651e-08,3.448886637391624e-07,2.968915335799238e-09,7.424894041818675e-07,8.488953984198133e-10,6.644529992883008e-07,1.2694640894039821e-09,0.00012529415424333834,8.351238157355834e-05,1.3746210132503656e-05,6.370233416319593e-07
H3,0.0,0.0,0.0,0.1074016035495392,0.006662956321205726,0.032497678372686356,0.0011219941396216626,0.0005580111759244666,0.004676115556326743,8.059441971064452e-05,1.8530683242090618e-05,0.0019182020335463124,6.084917515003507e-05,5.997477632302406e-07,1.3851023237698712e-05,3.481869331678489e-05,0.008279712334199663,0.002302773002904601,0.0005790858875504012,4.3812820776034656e-05,0.00015819485275214706,7.110388281050817e-06,9.962492704351789e-06,7.020489947162645e-07,4.414962326837468e-06,1.5685843778312503e-06,6.985799962944128e-07,2.3147752825636303e-08,3.082930256637084e-07,2.656493569563878e-07,1.0633490532541146e-08,6.008795450096471e-08,1.3185760783240852e-07,8.454794930834453e-08,1.2001481919377e-08,1.1568286328866861e-09,3.965814143747082e-08,1.0588541154987752e-09,6.698843590946524e-09,9.56292378617718e-10,4.539825938465469e-05,4.0529772122765984e-05,6.552322115438436e-06,1.3662812390347057e-06
C4,0.0,0.0,0.0,0.0,2.010726765365922,2.6786719057378785,0.09208621924734994,0.08291041370752184,0.15772081749314432,0.007127190458058319,0.006858942887235875,0.045061198395030075,0.0020547303484373808,4.7710362976793874e-05,0.00038490083178244205,0.0009615140293108837,2.645650793079489,0.2802949712456746,0.22583396507390235,0.0164751599883024,0.03580237293629937,0.002130601724853909,0.003834404054830598,0.00011653019582147373,0.0013419199481277122,0.00044744602857771376,0.00012837988882630214,3.2080683851631875e-06,2.6352017269665184e-05,2.817429519999526e-05,6.731979717011782e-07,1.408622404858173e-05,1.9203766019215696e-05,1.6825697016553676e-05,2.386106536994559e-06,1.083958423020448e-07,5.29145560537736e-06,4.1536374784101326e-08,5.6275720363985204e-06,1.1608860517320352e-07,0.006232575461308537,0.0015896925879996665,0.0009229900521763729,6.854885188345428e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07603255897828609,0.0037763866466937746,0.03451425711860345,0.00943276735816545,0.00014038978775765543,0.003961866396183122,0.001267221545730668,0.0005689268315134388,8.667180514621009e-06,0.00011296589047615768,0.00021795441205374466,0.0920500196275913,0.02246246983418332,0.011180018363542432,0.011223679199120484,0.0015885014734415837,8.578921074975376e-05,9.795773763165982e-05,5.8598362584483255e-06,8.606337603023206e-06,4.0662358884002714e-05,2.0258559693786538e-05,1.4501695002611115e-06,4.595208013213892e-06,3.5729525662553385e-06,3.5205468384980065e-07,1.5825623258525212e-06,1.5373804604923436e-06,1.5554790588900858e-07,3.0390623284581864e-07,6.660577200889861e-09,5.968612397655448e-07,1.0048405441054342e-08,1.1150807157633835e-06,3.3676901267654102e-09,0.00039851718799477354,3.160475199781576e-05,8.301755048845116e-05,2.5131220459106984e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.011387857468416,2.0307998709949997,2.8556503001324347,0.08196500922450689,0.0844638523789808,0.19691350452209508,0.014162021480337197,0.0008374029445070708,0.001627399416427644,0.004724200605301099,0.19152159962596724,0.0406317414891704,0.028726680257935427,0.00127859386001683,0.0034227790337446884,0.0006312357186545325,0.0004509951881253721,3.0722427651563855e-05,9.965816452528475e-05,7.5459152847554e-05,3.8136704279129185e-05,1.8684230452814532e-06,1.0186079650378876e-05,1.2518717960804948e-05,1.801728852779405e-07,3.462217672112189e-06,6.952399368737039e-06,5.019335968525773e-06,1.2576839471811763e-06,3.5166128231622906e-08,3.6970273546432786e-06,2.3420367423199195e-08,1.3231307425948247e-06,5.006121184258916e-08,0.0012281683019171596,0.0009739920662522814,0.00019985832817612237,3.053316640821979e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024400218431685383,0.08239138728397333,0.0324232579419359,0.006251168941636465,0.013091991319356122,0.0006002181935158557,0.00024202085839486465,6.467225598605353e-05,0.00015932973263943495,0.02945833549763721,0.006252237570781305,0.0032065116438112495,0.00010172852107070973,0.0006133797357184001,4.3220182756709136e-05,9.329889905662636e-05,9.638831576452844e-06,3.918085772403046e-05,7.976210899318659e-06,3.972173338695484e-06,2.65603694593608e-08,7.496292389053139e-07,1.3816586305059886e-06,1.8997333706138875e-08,3.8523554279912275e-07,3.146976252921263e-07,8.600395928759497e-08,1.0718389875652434e-07,2.601121096290626e-09,2.166977501882883e-07,1.7960539722139401e-09,1.357948586910851e-07,1.7935972707050496e-09,0.00022437340557512897,0.0002245232339768144,3.430797360848281e-05,4.650659699789728e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08235222670624509,0.003910546982291319,0.03269933142991999,0.011679198369279775,0.006123372677693695,2.2240150907126832e-05,0.0006328018760548559,0.006868829755199757,0.013990703080403177,0.010880467333055921,0.0020054683757221303,0.0005557240478326619,0.00015753088260050951,1.2720806735755374e-05,3.361370053145407e-05,1.7122210835829321e-06,8.040732028202768e-06,1.4382808856572282e-05,1.968810338093263e-06,4.57856798474765e-07,3.734407505451287e-07,2.2856612269528398e-07,5.3181645753852536e-09,3.9178644328785595e-07,4.6588773128242167e-07,1.691803084291621e-07,4.2067452965532937e-08,1.131476023985556e-09,5.1531050093700514e-08,3.2291147533669573e-10,2.48729349783261e-07,8.52788284433359e-10,4.479102319865369e-05,7.754295758644059e-05,7.717206216395489e-06,1.5475870607239983e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02173232991252,2.048704854005907,2.7461898968210727,0.1150350497301943,0.011905938308688024,0.026499354230830052,0.004978384396590707,0.01749099605733284,0.0035932305878758897,0.014675264444155983,0.001786594952679521,0.0012860571738841642,0.0006276602651561491,0.00010191965084814514,6.195331676839277e-05,4.131858874933947e-06,4.4124894097968825e-05,1.6541579045084576e-05,5.77722716521567e-06,6.3392919969762485e-06,3.857621041089554e-06,1.3666229892184134e-07,2.179215498859799e-06,7.516092985493383e-06,5.475021504164346e-06,8.078300553493456e-07,7.85557261462344e-08,2.0954312151821863e-06,1.3140734500538542e-08,9.56410009564368e-07,5.285321946768562e-08,0.002192272029977793,0.010755167725576671,0.0009913331601602987,0.00013324780461343444
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025874274723295176,0.08806685239473633,0.012712488405125733,0.0057444923829002015,0.000667476062346184,0.0005665167084798473,0.010127998055229348,0.0005566793285697313,0.01639594766059138,0.0010090629884378366,0.0016153165226857613,0.0009174820870736511,0.00011842595420175073,0.00021459439850390893,2.0728118705903853e-06,5.45893431480593e-05,6.1609200832091204e-06,2.2778000128287346e-06,7.588344351772136e-06,1.2584514612612452e-06,1.0879201828295493e-07,1.99012167212409e-06,7.685840334614724e-06,4.5739302163561035e-06,6.794937886800412e-07,1.6892583842853526e-07,1.9357358103100353e-06,7.618730979430666e-09,3.1329734384577534e-07,5.879234299399627e-08,0.0055006860343616015,0.0342681722543533,0.0022787411620138753,0.0001159580993117526
