,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27C,28H,29C,30N,31H,32C,33C,34H,35C,36H,37C,38H,39C,40H,41C,42O,43O,44H
1N,0.0,1.0218029832996567,1.0206907973794965,1.465539346197187,2.0852226182987765,2.451556327877557,2.5782316108269994,2.7177245373121868,3.8369049299463236,4.1982293318870845,4.14541052118778,5.28463547314366,5.666016133034571,5.781205863341286,6.702109620338974,5.1741686637311926,2.488559004888277,2.8787325700952886,3.622495191949925,3.8526325762119398,4.859726756558938,4.966859289692272,6.058188776589508,6.321856823199532,6.938282080644936,6.17343118197917,6.45064180667183,6.634928138861493,6.53427730837801,6.93659613358868,7.448967549598914,7.000412571162302,6.898739233019061,6.877051772035393,7.749221299051419,8.313225258925508,7.6380849125239,8.147479977373164,8.030066072139638,8.783000694738314,5.4249222209443015,5.514555981178859,6.333381180341839,6.853342081491747
2H,0.0,0.0,1.6209441448135895,2.017181453513738,2.912840753918022,2.7101526637643416,2.9661271366133946,2.5485676545237386,4.154430886508819,4.4169921959253795,4.686425049395395,5.441651371364526,5.498271333771931,5.602204182565021,6.511744337992508,4.853586054398147,2.5717062283251537,2.4972656871359553,3.8806882884123244,4.340265717090751,4.928972905513318,4.938441116784579,6.288157262605153,6.592719916048426,7.066794042367794,6.587526770227564,7.036311130341405,7.260058680799191,6.934386298720529,7.5983481178222405,8.19349404923747,7.5595012965940045,7.143768260748017,6.972620977745082,8.308247717015332,8.955377382220448,7.912143179267292,8.315929855256572,8.454809507501379,9.204498718180384,5.280006888564972,5.379871991433987,6.043929544809449,6.488122452656709
3H,0.0,0.0,0.0,2.0435109640314515,2.344400424205703,3.344288010604974,3.5138409314836037,3.659889928322371,4.598607940922228,4.838649354143137,4.79161357386845,6.1726525116314015,6.560902069522926,6.57591374278906,7.619228731165887,6.1015039203206936,2.725639696537398,3.119416013782486,3.675285929296929,3.8564962563198595,4.835102417934923,4.770666663600404,5.973185872972518,6.385389341423964,6.82452347255964,5.9005204398820315,6.209580154271262,6.538488586900275,6.046421075192163,6.523520031785414,7.039736627173813,6.442744760376748,6.31848119473549,6.371535821947388,7.053412170543749,7.602958722931952,6.920041801354284,7.397746301002641,7.261383816536673,7.950234521920962,5.628724693346302,5.91770902401495,6.449384998199943,7.080096992212966
4C,0.0,0.0,0.0,0.0,1.0995767658318418,1.5467743904437083,2.148046045431284,2.149914545894907,2.5826563634372475,2.815234158047682,2.882436952507516,4.248552125916565,4.73306403036895,4.712375865976825,5.806018697035649,4.481426560738531,1.5376947278504154,2.417263423213616,2.4746109105058394,2.6303211523430785,3.831256670695224,4.215748526212057,4.91350297342092,5.021410045481544,5.857302341719061,5.14377007421129,5.364080706462461,5.419863598883101,5.77074305542569,6.055117299433216,6.594577018823343,6.298259248053605,6.335732239557582,6.31177534120255,7.255600973279187,7.855933451287221,7.266866831223579,7.896629168298516,7.679455456773877,8.55337316886525,4.367122686580012,4.333598564521876,5.460559940878985,5.967962988321254
5H,0.0,0.0,0.0,0.0,0.0,2.1694873546708013,2.523543130083831,3.05682860351607,2.7784479613210045,3.0574712709080507,2.6412130878639193,4.53445545703648,5.343189275610015,5.3068543788705815,6.388853398561353,5.260866215600371,2.1766052904739714,3.282690302913043,2.5675236337809704,2.2882232948972057,4.011294603558527,4.464869713619542,4.795816991665558,4.861559601356748,5.8278896530921935,4.747267337198964,4.718204691066428,4.72451625909165,5.37299182001456,5.2980242713869945,5.7270028948418625,5.681513195261531,6.119135956486187,6.277217107687483,6.634336052414513,7.128967385958402,6.991905960127387,7.730261336959831,7.219262855521081,8.087609477174299,4.801794970905395,4.803131039489497,5.968860176846468,6.553258516399334
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0948639742757296,1.0973252301710283,1.5331231890049222,2.187300633806776,2.1727674989745434,2.83810144952989,3.4227705975024034,3.657816470770452,4.443662402860782,3.19532610267386,2.510694770777922,3.1228911334432876,3.3661203193818134,3.5251233153821397,4.598415676330655,5.187264375765033,5.630208512001302,5.468619868851753,6.5522860255253965,6.09767978882803,6.22797277452399,6.046697277504306,6.954529706420227,7.092184507278422,7.578356007267161,7.513999438950503,7.602904364960357,7.502370464097128,8.58037409345962,9.163096164360397,8.638863504630732,9.285067692990774,9.079444985934085,9.994445729538148,4.692662337385447,4.2517120643620085,5.854250932694906,6.138246524357513
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.764856717158768,2.1704457243348143,3.0877298776065283,2.4852529277299724,3.065176950602264,3.946007514231001,4.41386399083151,4.84450109915207,3.6678377877188333,3.4433340627566813,4.047047993984402,4.311494166878683,4.333032654248098,5.618168138732604,6.1724434523396505,6.59598739092496,6.418608407210383,7.558100961138896,6.926057641412109,6.9163937990849345,6.688082005449097,7.731250498555645,7.670782212278271,8.050967648724825,8.15025742348058,8.417561380291943,8.395099190152576,9.151029479207025,9.641881792239449,9.372353784746995,10.034395181348403,9.705277965241638,10.57403672926755,5.7843766828631225,5.328482860148116,6.942677746428344,7.223219477091887
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168767048363233,2.5709034298385864,3.0772557965300305,3.0051076176771234,2.992695053411497,3.2645086465564,4.005800800301911,2.46629056849796,2.6771333075090933,2.8349991568137325,3.733905439005461,4.148039454453094,4.755760190726603,5.253613419561953,5.964569143840377,5.851195552460173,6.772352431303523,6.622585414371415,6.9366419124615195,6.8171828396301155,7.450724303698924,7.855816553573296,8.424758269002897,8.16122838029198,7.946643511880065,7.702840074006209,9.218753882599806,9.88036563138367,9.009657027237214,9.559448883863112,9.589511936972961,10.50170023946897,4.570856672691276,4.088640588850756,5.5848749740465005,5.750055577789601
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094787754956687,1.0973931980654408,1.8375002437955168,2.8091528410834607,2.9042024112002682,3.7664863698618363,3.102641474339439,3.0911230696145986,3.853108506542331,3.3838264341069038,3.3562351496912566,4.461132308559247,5.307549984683622,5.1703806517869495,4.7254917154515,6.0953205411473945,5.742191808030817,5.726040111988001,5.318752863441288,6.8459359482770505,6.762479425235272,7.207287121447549,7.3926303868967995,7.676563306984593,7.596302512435778,8.604279796539029,9.170423755266555,8.82966153601758,9.569669111218941,9.242193453311968,10.229274067784045,4.409145771776039,3.710357457709082,5.693397163144494,5.897006600937095
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7694826954386806,2.4059914910890075,2.8361091828793996,2.5064657871454745,3.8194368184085157,3.2387571370601185,2.7416317701863124,3.4515312530412,2.7454023977298303,2.847303978456043,3.585420421035425,4.512399092746721,4.252685534553491,3.769662566879448,5.1132827073596205,5.010552791914826,5.147339307180016,4.783806056977601,6.186967429695382,6.304534581910514,6.853353052285792,6.875661160303614,6.98382967695322,6.824955428164374,8.145858956233381,8.795401561827358,8.215753070645889,8.939038743916658,8.728308572455935,9.753244612563792,3.406376726444177,2.6709515320257604,4.709504329781422,4.9102782688658815
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.370915818394296,3.7390361414340223,3.835725187622549,4.58792592745774,4.132903622796443,3.582237996546721,4.556172240869449,3.626256770939162,3.2803597630484957,4.794799200082378,5.675330581678358,5.249797889754433,4.747370108209677,6.254484487778169,5.576494027402539,5.303564443368665,4.781293319859877,6.690761249171714,6.25569584999343,6.570233463500503,7.03962266606701,7.671405554067891,7.741202615560695,8.24221442690698,8.700560205397494,8.769050061457394,9.594534635574039,9.020606218543682,9.994255743050738,5.001599163190293,4.396681874901569,6.337273138585211,6.631029195482911
12S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8307953499190681,2.440339548700089,2.3894486426324555,2.4575390445946077,4.7418458821804785,5.249109486470811,5.084121280783609,5.116572026145688,5.960693118979433,6.847628093981317,6.608137042397245,5.992147602632129,7.426415774972762,7.33995793947557,7.285775085748161,6.730718197088704,8.53928415544805,8.394483386192984,8.787648283248295,9.110153512970063,9.37470742536414,9.221189356731017,10.363876090726965,10.916138168727102,10.579097369831906,11.305187565873476,11.025366048736691,12.029051638871886,5.539996674287798,4.5534107436588265,6.723077202500182,6.67839135309896
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0943136594139349,1.0937461586355188,1.0940160141383477,4.777527996448354,4.8664175498634155,5.241687093491028,5.598958745343287,5.7937562625690555,6.583035282163412,6.640404058683242,6.108836958423097,7.263155711614377,7.66439552383553,7.918100823496249,7.503943388607822,8.83082823419129,9.122058687311378,9.675422497648844,9.64655220419472,9.45530878517356,9.093635322335938,10.908116557435704,11.600674196285283,10.720144638629009,11.318170213135279,11.381741608197288,12.398933531734155,4.956448911165427,3.8797204487566908,5.8988606543737125,5.636266802669254
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7844510786322005,1.7875507158273019,4.424985700410549,4.476372232159991,4.692668807028793,5.118611100190034,5.021119231320595,5.837281049378263,5.804842125714342,5.261617665587601,6.337943499401024,6.9440011640656305,7.29984100774275,6.926624913188543,8.134935226692647,8.561616583313233,9.178827460078693,9.037179109974117,8.724412832010547,8.30867091972896,10.32494746066892,11.069518364445413,10.031819808739396,10.614574577138619,10.75692249877606,11.793924555234392,4.041581247529941,2.9039083738837252,4.945830618397136,4.645360730001356
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7776543262065985,5.866067092559285,5.913668053587876,6.288922133007218,6.624141901822517,6.764062491182552,7.569617786705884,7.531144090171011,6.9246174470997115,8.096070491312215,8.600785416914594,8.823259939807276,8.342438480799068,9.81168492277063,10.05868142759123,10.587945351422693,10.629780779679061,10.449361824330078,10.064115053822974,11.915726464983981,12.601547213707715,11.736568192970065,12.333126252996522,12.408003320401649,13.435933046298935,5.820921587795122,4.685675728942109,6.676991354835055,6.295562306191798
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.570635891062471,4.464048053544024,5.294845817420201,5.76860127228344,5.896993080342161,6.544928686386987,6.952061168869931,6.575767918870313,7.571150892324978,7.9557517615022615,8.308130999822627,8.00879930589297,9.003549466332503,9.447882010462298,10.039394750611908,9.855689614281772,9.51035173231674,9.107246391433149,11.049345976113726,11.767083903159756,10.723359538843917,11.251603075821741,11.429323285881777,12.410280689085885,5.086042821485945,4.156481166240162,5.933779989101846,5.691275097417588
