 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,O30,N31,H32,H33,C34,O35,O36,H37
N1,0.0,1.8455025980262534,1.8666310938298885,2.98958438931844,0.08721751441993786,0.20771078051729416,0.024922726905744597,0.005744738123580895,0.03252916343890416,0.004707221685026533,0.005918288251994669,7.242781590943714e-05,0.0008699853539457236,2.061331713321124e-05,0.0018451067412506433,0.0002953424905134394,0.22455480867671784,0.05715043404457951,0.033384340484395494,0.0020938764264237797,0.006932190950310335,0.0005542086364326293,0.0009579143083118941,0.00021825002435060803,4.923083727415012e-05,5.47339376126138e-05,1.7493894879150318e-05,1.7126483708995721e-06,1.518898195829177e-05,1.5653844039162368e-05,1.7677261429926983e-06,4.505042330293918e-07,3.9799094408987656e-07,0.0008379423950862774,0.00011547935373950463,0.00024351573672729,5.556171690268563e-05
H2,0.0,0.0,0.027053487107274066,0.10845145754777652,0.00891343083677798,0.031336014523588585,0.0011581285631407923,0.0005772256712193169,0.004485602957799872,0.000311548874814771,0.001162474881233444,1.5107914669965083e-05,7.016901924705721e-05,5.221399474342192e-06,0.0002758961742664878,5.056140114212404e-05,0.0066338874257781955,0.0032804192747446503,0.0004269248285208027,2.673071612546707e-05,0.00015815005712183083,9.49427569074679e-06,1.278410881921932e-05,1.594528178161525e-06,1.498692753010289e-06,2.715390567842313e-06,8.9855145435358e-07,1.182050521908451e-07,1.1560533524912486e-06,4.2128544797126466e-07,2.5319674923363067e-07,1.4600207931536602e-08,6.078685865773537e-08,2.0873590953707222e-05,3.4386204897929318e-06,5.655177671259892e-06,1.6438994796530437e-06
H3,0.0,0.0,0.0,0.10613206523551466,0.03401144868613937,0.006683151197689918,0.00021759387656472562,0.0030755434174318808,0.0005876567986440318,0.0009336119206145854,0.000184557174663591,1.0571971795769741e-05,0.00015627051944577808,1.35891465111726e-05,6.0488572428574194e-05,1.9161934505351752e-05,0.02440009332864934,0.0664795489163651,0.004180437710803009,0.0003083230201099685,0.0006097463234872036,8.173014177526028e-05,4.735539422651147e-05,7.3825264617077835e-06,1.6653803876831574e-05,9.263073376675202e-06,5.040986459370345e-07,1.992113234372539e-06,1.925270789127076e-06,1.0105263600346248e-06,3.618564758944842e-07,1.4869909747972088e-08,1.293112963374199e-07,6.85048945654465e-05,4.3038313717103094e-05,8.547533432490262e-06,1.2834635858549603e-06
C4,0.0,0.0,0.0,0.0,2.025952949063792,2.6254096755955043,0.09394774865135935,0.08038733065043879,0.17012363231395977,0.03575546799462162,0.03085712474674937,0.0004668989117011524,0.006200538079070256,0.0002539992691552584,0.007686494446758313,0.001092194555387005,2.6906365266082037,0.27539030429311306,0.21891135604779094,0.012766062577120652,0.035631415512292486,0.005478050238685528,0.0033581540257227593,0.000818894501474432,0.00040674729116418895,0.0002912959214710631,4.8175693141416787e-05,1.420712700328508e-05,5.3114238128204594e-05,4.172918203437792e-05,9.949454980257011e-06,1.7989876989199516e-06,2.9690217083766512e-06,0.0038931427174350164,0.0003931530981333281,0.0011782906353362266,0.0002531605510467383
H5,0.0,0.0,0.0,0.0,0.0,0.08296535563601415,0.004552037857885161,0.03406704167666397,0.009697482105008648,0.02350741030244996,0.0015328859922876248,8.470976117069817e-05,0.0016864293187404122,4.4294388778176597e-05,0.0011329432550383212,0.00011981391640603078,0.0954661009132367,0.02437085977373299,0.011208438613306226,0.005139436287889154,0.001579773937793405,0.00025635952654479155,0.00014440487655198453,3.180960493898155e-06,4.4664572437680405e-05,2.5456592234296416e-05,3.520307049309501e-05,2.9398708289996023e-07,6.144083485315477e-06,4.969102062379882e-06,8.181172926891023e-07,8.93343474750452e-08,2.386390764996804e-07,0.0001721643605059331,5.2645859971223175e-05,5.646568438155697e-05,2.0724783065251273e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9733286213164574,2.0841151076263804,2.8165586346017037,0.1889616980643894,0.24476619266174346,0.0037475541693945402,0.047163022378036906,0.0023533893187510646,0.04494809579361672,0.002319234315520724,0.1776997565037189,0.03507012302764742,0.0264597060688411,0.0009964763493023332,0.0031492225262707563,0.0002598426209767801,0.0008734362686200203,5.461010475849015e-05,8.581828129083924e-05,7.046168323744662e-05,2.4606140236915763e-05,4.8675842181378215e-06,1.3814842420134532e-05,8.955962704199072e-06,3.4971141004702666e-06,4.732841880628058e-07,1.2000425582137098e-06,0.0006751511394879894,8.816139126933964e-05,0.00020851452275774673,7.041148461361946e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02395021994078328,0.09818916552835377,0.01619391672516579,0.041114646267430555,0.00013276979883980466,0.005597468067929157,0.00010315194975185626,0.008284886956239301,4.814871967573353e-05,0.029407142462141378,0.004693576330510152,0.004342367614244447,0.00017734908515443237,0.0007246568573187062,4.99384898717814e-05,8.794326632843852e-05,1.6753206910635754e-07,7.171745930456552e-07,1.2230259787804343e-05,3.5835302460984764e-06,1.0179559071232802e-06,1.527164072978593e-06,8.500819876910981e-07,6.290972629496849e-07,1.1459872539809624e-07,2.5351830768016725e-07,0.00015570496509487164,1.781894195229672e-05,4.946541034456242e-05,1.4662402225695814e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10683433385117902,0.02178345399509274,0.015607702621547315,0.0012451025012663042,0.003770106201621326,0.0008107181830445676,0.0030013304086085046,7.708175186582622e-05,0.011310133338072514,0.004646392625222817,0.0010297779495473947,8.636072142698126e-05,0.00012378984125938075,1.4579905964540174e-05,1.9797851813496692e-05,4.449178989229807e-06,2.729811990231923e-06,4.142157182251971e-06,2.2589945674056366e-06,5.118457246933161e-07,3.4196951870235637e-07,1.7152448161805722e-07,5.5700311252238066e-08,2.6670446295895545e-08,1.542083305494657e-08,1.1346217187124807e-05,1.2693894558157837e-05,2.8284719574278583e-06,4.72575119925267e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4825151536637757,4.151356611229455,0.11817222366431102,0.5463667862667902,0.03619934892970189,0.49266695803595506,0.02893215281121153,0.012824220397018943,0.0037279215456128,0.01435572516693398,0.015639039505362606,0.001103680042895766,0.00016610223362367726,0.0004380283510321825,6.14823428304323e-05,9.104767348944165e-06,3.131965171901396e-05,1.755501557521022e-05,2.1110141301683427e-06,4.6269763522011065e-06,7.158571500368027e-06,6.700353453736874e-07,2.3881319211049856e-07,1.3471121917962847e-07,0.00033386657396455854,0.0007411311355775274,7.876282260672884e-05,1.2705057148898469e-05
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416002703521429,0.025989444508565995,4.169623662121331,0.11233251987790838,0.5336024375130122,0.0304505026232893,0.006203060929158899,0.001681972340785598,0.047145491662301656,0.14407285991265983,0.004706846566622597,0.0005382070407511375,0.0006909467423977106,0.00012398993403028857,9.01184649693132e-06,9.859990266077034e-05,1.5786904358217058e-05,4.491409560491988e-06,9.68526810912751e-06,1.1183858962746096e-05,1.597165711006432e-06,6.633867337679789e-07,1.1373724972951749e-07,0.001635889811567065,0.004868265959631107,0.0004340107001277044,4.4571579013941154e-05
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8723362662325498,0.6268936483438734,0.02971960017500397,3.408105547979088,0.10711961658112557,0.002359974094851419,0.000798578321163243,0.00231940893370719,0.0041557497930651,0.0002965497224371727,4.5652536905027574e-05,5.670686605127595e-05,1.9989089757421752e-05,4.368732949178167e-06,1.0603159288372077e-05,6.897067311717464e-06,4.951710823597466e-07,2.0517315357237997e-06,1.6855963074352553e-06,2.121618754152843e-07,3.731542386198328e-08,1.4085486665926794e-08,0.0004341753914560986,0.0010285944300905264,0.00012309646931171758,1.0945562954889354e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029996193468214694,0.0008515213259043808,0.0970143231335685,0.004558466208398393,2.955584134434197e-05,8.03879509658767e-06,7.493884907971982e-05,5.317800238890946e-05,7.2119318879071415e-06,1.9866124412182273e-06,1.3488348187262744e-06,1.8185110217672218e-07,1.0412677386995028e-08,2.0835911018757258e-07,1.6739917652053293e-07,2.5806158765462328e-08,2.5421466709474316e-08,2.5434663930568036e-08,2.9176675520048434e-09,4.050795254784134e-10,5.791342960748125e-10,3.438862593574399e-06,1.0560784082347396e-05,1.292924364348913e-06,1.8729784190263388e-07
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1350547311202046,3.5008846527143223,0.11872688723725888,0.001656249397928633,0.0006465291217953584,0.009790068023493609,0.01825068897059967,0.0011468434084479229,0.00018141682579797536,0.00022422334732916105,3.721696846836764e-05,3.1831322184761035e-06,2.436175138104124e-05,4.040837733754188e-06,3.931297967607605e-06,3.3621920784709936e-06,2.422867779017235e-06,3.8370374395857443e-07,2.0139566148102972e-07,2.0604066564011703e-08,0.0023495170367763274,0.013368578216892482,0.0007527332730769137,4.1870897394824524e-05
