,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29C,30O,31N,32H,33H,34C,35O,36O,37H
1N,0.0,1.0202666611353146,1.0223770713995923,1.464778054909885,2.089620543443763,2.445896218738083,2.5290635654448046,2.739321688660265,3.8090961285324485,4.328182521365446,5.024543029319226,5.463679099551764,5.610000481221632,6.4438591805189995,5.999041318077791,6.982909607219448,2.486784604204548,2.7830120156161122,3.6761347776255517,3.9679127410594837,4.903804977018528,4.927923752549096,5.56201722337543,6.537089991373179,5.09564335587089,6.027898482615245,5.318361617418949,6.61789805937277,7.161682268432013,7.968442745028363,7.4971153681799,7.016822932969217,8.344232375820697,6.050757176931371,6.278780468498486,7.117359752977448,7.849816212516499
2H,0.0,0.0,1.6129491021748112,2.034958985655965,2.2970605198371263,3.323877205261323,3.4159007879088104,3.705326613648123,4.553050662896242,4.8307586586851485,5.841612134647524,6.370105752442982,6.141677436179286,6.868263531731392,6.697542425296891,7.697355714045032,2.764293769171733,3.008515217679485,3.8248014186481947,4.17122533385549,4.981441530554331,5.087943229954475,5.354338016799159,6.3510332557738165,4.76636376611185,5.704652755577367,4.938973127292944,6.411354339242775,6.68174741301231,7.507114568901565,6.900311588459351,6.4018290472964505,7.688087645347001,6.242259811419328,6.522259659683902,7.30785977084799,8.079620737813327
3H,0.0,0.0,0.0,2.0135792394943697,2.8988386565303528,2.7915325601800216,3.0392079354101442,2.6795139333532183,4.1990688259229545,4.891726373779482,5.278750818812182,5.572207344055558,6.114680710729542,6.9978874881146105,6.358041735650793,7.302383253724243,2.508788839003651,2.342669509613362,3.850894676302107,4.343047023269807,4.879019317502403,4.677021079141151,5.5728872795982385,6.450701414565917,5.026696814383144,6.279131698613781,5.711602373453468,6.913408587647743,7.386666718916487,8.065112258742692,7.859029643642345,7.491394469841493,8.682074227928693,6.09580449677366,6.485616000281292,7.021899847983278,7.808838417746701
4C,0.0,0.0,0.0,0.0,1.0948463413422629,1.546809892629394,2.124871300844567,2.172044366243072,2.569209476572491,2.948420121665488,3.8641497841055594,4.480092483875161,4.222311994884121,5.041183106010766,4.693078505171024,5.685337801757122,1.5460567764628097,2.420650940556561,2.473445729971254,2.5901079296544096,3.837592819848069,4.032122349115361,4.714216114861037,5.7053429988744755,4.516652902412824,5.1146253851975505,4.44688742363902,5.5266845370630895,6.425160188128495,7.268491418853979,6.856548331862163,6.392182534400001,7.7866507722937905,4.790118560285728,4.889234813300842,5.943071549949993,6.594442720010516
5H,0.0,0.0,0.0,0.0,0.0,2.1482767306044317,2.4853189922681476,3.0559516909459856,2.7357259174140443,2.6197421153240157,4.109983875294742,4.902277039934178,3.931796111933943,4.597131203454708,4.676760586770696,5.6834869997381015,2.167608552079446,3.230909648440199,2.5930284872085574,2.391023012054349,4.032973082411676,4.491503641567846,4.732734870662655,5.7908554782938255,4.623851218090996,4.7935368999406425,3.9655802902808697,5.151499975796871,6.0745300939013465,7.046599821745859,6.328032484966959,5.743932889373117,7.2665055149087925,4.8737805813671,4.787133185929457,6.137523475146209,6.719606201284934
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0976574840516757,1.0982488573428648,1.5047746019988162,2.525709733998954,2.5957659196112832,3.0643355018148877,3.596738314059095,4.598031821648075,3.67512678942621,4.6245109280983066,2.556399768183605,3.3146482379078077,3.273046957799464,3.1443799004225435,4.549602036401378,4.647464894296902,5.7362664095923375,6.639751156325991,5.715540989914104,6.187841428400295,5.603703652394782,6.391380619276719,7.6119966908743635,8.428607883578522,8.114338990411426,7.650541530792875,9.082191813079502,5.146234439273287,5.056939849480764,6.256350467578307,6.770469164186769
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7578956354244046,2.1510639231198434,3.069570669003924,3.093865197002156,3.4563040491309147,4.104279752845932,5.080511046331106,4.1598502687546715,5.079431797424552,3.4629561701984075,4.173452128570916,4.232796860438571,4.024861111946985,5.574889537882352,5.7049644439579525,6.674176534376478,7.623183841810911,6.589730564225062,7.012867812784336,6.317753801521521,7.239027288854153,8.394721940916023,9.277132886331511,8.768138428031381,8.21235255945417,9.720966062809545,6.185118627482321,6.014841254823988,7.329772582401316,7.822916426634084
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1447051617544113,3.371847164943262,2.8000331182047637,2.9116391505322445,4.275285392359666,5.319722448631033,4.070190783375114,4.91673313054542,2.7600903015567027,3.1377981242636106,3.6512375080838884,3.749064879452383,4.71624502244478,4.558398249859339,5.9889332609717885,6.791891378725259,5.914557872383639,6.678923350154372,6.221774712979448,6.91678228679255,8.092512262618616,8.792310080043821,8.722609567640395,8.351496999048305,9.67540396891095,5.341430062739393,5.4187579001893385,6.285544611764591,6.837247980349267
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3857163318591077,1.374520601111866,2.247797480884522,2.159543846994109,3.212313660980371,2.197476823741204,3.177438480306656,3.1550878160391527,4.10947237220221,3.257459019568293,2.76304760032917,4.409488042887461,4.689731377415624,5.723195514706859,6.560597985195155,5.9837432949751195,6.019909064005429,5.520120582759298,5.9599238125199605,7.524767409309239,8.35366906426083,8.060143865223784,7.608789920286424,9.064045160924568,4.554445256801094,4.16537035267034,5.693474021388733,6.015690821061845
10N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25493228898939,3.31791312477017,1.3167831583058125,2.138044623584223,2.212129469611193,3.179693092634308,3.3902117878339966,4.544405185673147,3.009386378407722,2.1601067172426456,4.149931135292921,4.736792258991812,5.282680687111779,6.151028926869388,5.688333823193495,5.2508525576090355,4.697380860306406,5.055825747564915,6.7326433326891415,7.650455342914284,7.1539071490289246,6.65010387299839,8.16142822144577,4.1205340454972,3.4786618352385212,5.384821715474682,5.619032231048444
