 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,O27,O28,C29,O30,O31,H32
N1,0.0,1.9621855367234544,1.9315775966875992,2.992574689954904,0.081814987497551,0.18636623964856952,0.011318095039845044,0.029304966854286074,0.016519285505317838,0.0025718392782907995,0.054412371624883105,0.04402496109581644,0.0017396157121052774,0.00025289874479805796,0.006238247501807848,0.00015229096645019702,0.21381736046524033,0.0627769870038036,0.03361744783881952,0.002972749127538199,0.006599299369054859,0.0002983341895045344,0.0011911409220941166,0.00012025251026548389,7.1139316573543e-05,0.00021678180651360512,0.0001504461213764699,6.024972371315718e-05,0.0005748486939030351,0.00017954081261371824,6.963277360753917e-05,1.229994065277129e-05
H2,0.0,0.0,0.027478755906380492,0.10551084104202146,0.00823386478862953,0.03205964162316932,0.001321021497749042,0.0021977342305974368,0.0010103113588619816,0.0003702502313100986,0.0008525819883495878,0.0003705042771859901,0.00010966245818810894,1.2862634954924346e-06,0.0001337029466598194,2.2978035039145084e-06,0.007314048328683098,0.003195139610946196,0.0004718146211377672,4.403817633913398e-05,0.00015628742984108435,9.771451408013831e-07,1.2039992706935898e-05,1.5999573113045784e-06,9.101985316561922e-07,2.648373254254821e-06,3.2924069617301654e-06,1.2862187172002493e-06,3.228826823986619e-05,3.699990604877357e-05,7.555993389529725e-06,1.4723051771081686e-06
H3,0.0,0.0,0.0,0.10527490231019188,0.03489551321103468,0.008191450577759052,0.005305409431251906,0.00018547400328494668,0.000770365723832156,0.00017800467126904973,0.0006687419717238408,0.00040281945417475207,0.00012140858051989944,7.398802133407045e-06,0.00012088524403086609,2.2601282638756715e-06,0.029293560269066043,0.08520890411455329,0.0051534680064846405,0.0007493307483799061,0.0005035012273584272,4.850986007443048e-05,0.00010389515585973452,1.488110979086521e-05,7.098888795686875e-06,1.9841504797946108e-05,8.311630944946025e-06,3.138059355034528e-06,3.964407043732798e-05,1.6461934543965384e-05,4.3808102849762776e-06,1.399802043167142e-07
C4,0.0,0.0,0.0,0.0,1.9554209858833962,2.7074896825566315,0.0859460318409806,0.0887507815471984,0.17789061526240127,0.025865601908628355,0.03635062374968678,0.0029192217657292296,0.008060973919239933,0.0006333348054625709,0.006788479261563479,0.0001669320206821867,2.3694594971227807,0.28491628064278346,0.23191138617615495,0.018617320740184296,0.03682120452290233,0.0029107223839542895,0.003987336089452148,0.00038057826981252596,0.00029673992781020786,0.000910119866754544,0.00048256962589761365,0.0003212570239968099,0.0034202818344040153,0.0012520331107163801,0.0007418644074950603,0.00013522897891005137
H5,0.0,0.0,0.0,0.0,0.0,0.07906237800323224,0.035544511164737225,0.0027303232797439847,0.012588536729347677,0.0008992173777997436,0.003345689420101605,9.560812694364706e-05,0.0008575900909011391,2.989251975393792e-05,0.0005472204880674347,8.165436303775309e-06,0.0872974551481045,0.023575505738294145,0.01240577354154726,0.009024797770258886,0.0018858606784022403,0.00014967059744064315,7.749047220939609e-05,2.821250937401487e-05,1.2801334633216754e-05,1.1388510143373054e-05,1.0334574624293325e-05,3.884623926297959e-05,0.0004011884900951834,2.3834831377356203e-05,9.519247857059376e-05,2.647723917936773e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.936240847992908,2.0200553471861404,2.5904630495631875,0.19864076214506307,0.22882676335896676,0.003943662666438419,0.04390221653281984,0.002293978060008639,0.04403591603156895,0.0025765972716758068,0.18847935724598855,0.03801641920565531,0.030687600061083703,0.001647588562867397,0.0033525117743931077,0.000540366370873735,0.0003112209390251919,4.6925645589723786e-05,2.0497007105602094e-05,4.96227652170278e-05,3.109536122856971e-05,4.518124148186753e-05,0.001999600886049585,0.004176466305061993,0.0006330008010904387,0.00011352369247119576
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025242328079642107,0.09762369822061223,0.017345739779336067,0.03318508343520765,0.00022322430365728785,0.0044177294027205605,0.00023438087238769612,0.0073568371179821845,4.707112030621907e-05,0.00891144488037443,0.005992832595788755,0.0011193525836330487,4.2277429717296755e-05,0.0001067239845438106,5.577617061325313e-06,1.4853092304312199e-05,1.4730096762338718e-06,2.4667637186226443e-06,3.930539377305919e-06,2.1099439480032345e-06,1.3440949275800307e-06,2.988057331099192e-05,9.46995137122153e-05,8.751684766883372e-06,3.60641652097371e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11319988185753316,0.02247271247666871,0.023591289934042914,0.00039276884312600124,0.0030330239215703436,0.00016722064471230702,0.0038158918667438035,0.0007154150063908293,0.012974979955233445,0.0026694836539798983,0.005501343411700499,0.0014177953042380231,0.0006574793159257464,0.0002342314427137282,8.555049119240987e-05,3.131419502810928e-06,2.2302526145878687e-06,1.9658974888425718e-05,1.0873984501613698e-05,2.116753145897654e-05,0.0017774008181796752,0.01113108781767902,0.0008771170926262783,6.29295555079068e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2654070641702586,3.9082959994392565,0.11832812342366483,0.5353260687562138,0.037027710932577174,0.4846489050412633,0.02960309491456603,0.026826474115242166,0.007960693559806706,0.004405166229430865,0.0003028446739972157,0.0006722412578136772,8.9088591661457e-05,5.898235954074349e-05,8.46716424418581e-06,5.449919699751504e-06,9.025602841800096e-06,5.243519181102885e-06,8.533870864552151e-06,0.0003478351478087838,0.00044768307501026616,0.00011558595206370703,2.2710566697892176e-05
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39862634539949027,0.02479293019323703,3.9117521401249036,0.10985644793458738,0.5418385021059705,0.03216335197092535,0.004163934213873982,0.0015115545932194024,0.0007544789920466838,2.9276806646327813e-05,0.00012406230094194615,1.359003774181744e-05,1.0411006743260565e-05,2.279477163025234e-06,9.894281993716447e-07,1.99914620627184e-06,1.095686854316047e-06,1.7913324119739338e-06,5.671696610567989e-05,5.1898853929643884e-05,1.4560104168906407e-05,3.5643596080214834e-06
