,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27O,28O,29C,30O,31O,32H
1N,0.0,1.021688410140053,1.0247676877163752,1.472085782692876,2.0936571025922524,2.47652863739797,2.6620546346139844,3.415321855705962,3.0750704581123576,4.4392254747099145,3.0787386313310057,2.608282082996335,5.04910673516873,6.12594158817184,4.44510651798584,5.080234591342913,2.4829852467103177,2.7850024709185637,3.6366682046510896,3.887289713977738,4.9258401460040675,5.029989699427883,6.0614186790362865,5.80021604239462,6.782619079870626,7.041675168650896,8.135760232265017,6.784829927965748,5.55169361481451,5.394909131093364,6.7332358421139515,7.20581994724304
2H,0.0,0.0,1.6109971039855044,2.032373086277941,2.2986576378799572,3.3478810924998426,3.6287975619532853,4.178546858127502,3.9215074036110544,5.245826210583279,3.8155450612065622,3.2298702555679832,5.795885396665939,6.851765162606345,5.123192424963051,5.66858171411272,2.7396853248090465,3.0326195804860085,3.73092199207073,4.012433011227661,4.976367166568159,4.959117547238797,5.970841584471528,5.615229687272412,6.800860250512384,6.794286439516767,7.8616011914561446,6.480782084283162,5.8459767282852155,5.882474173502084,6.974168478953567,7.559002350841963
3H,0.0,0.0,0.0,1.996149700697037,2.8871223121798817,2.7818043763693896,2.5661525411671473,3.6774249783980224,3.6211707253496783,4.978802276669811,3.7297491128811338,3.2548197533115104,5.671897742188664,6.753911716284461,5.111379531264234,5.760765988819392,2.4656475212262365,2.291642864247199,3.7850490224461097,4.256502656674837,4.8803575131989305,4.831605494149178,6.174043561573129,6.083729468780258,6.9139752316489504,7.052052577612525,8.217330865969567,6.653118798059007,5.37743666265012,5.251887229229257,6.450538655481111,6.888368754910043
4C,0.0,0.0,0.0,0.0,1.0977989873136471,1.5465047481128298,2.147488604304682,2.175403937533055,2.5626282566833196,3.7346369877471495,3.1677109177721654,3.189281041304234,4.627222681639355,5.6612330817701615,4.417496725153961,5.240020832474527,1.5454892791688772,2.4072278685091177,2.4577347256268074,2.5435408013205865,3.8429469161838394,4.215149146188118,4.928522936507715,4.680796349857067,5.523435483995412,6.111797635194189,7.151681266436397,6.0648765395471536,4.390426725804808,4.15653123494013,5.6683014950954504,6.1158613389104906
5H,0.0,0.0,0.0,0.0,0.0,2.1641661316293255,3.0510790465836077,2.56260249649602,2.7423730341733066,3.7291854333624803,3.2472115089300413,3.3387301808268215,4.511346553080011,5.480003099636234,4.328330863595685,5.102575210731184,2.1832601408251056,3.2559718981506274,2.5708432089618913,2.2932100106976536,4.030870141988872,4.519356217856871,4.809239595876855,4.330175985627757,5.3846709998977165,6.036305462817268,6.956748396302981,6.14635136682355,4.770410439922039,4.6014573868951905,6.075867450189088,6.5833474610246965
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.099688976566339,1.095502764731261,1.503495571918665,2.517338842925595,2.6012947086264147,3.0500508248884364,3.5881995204768766,4.590999779707169,3.6763995253357518,4.625938265131877,2.5132868995883406,3.195101712972843,3.272831301494202,3.189753886826367,4.496416821994001,5.04920812232544,5.63687385397028,5.5158238198341785,5.986360147203558,6.987898832841702,7.990672046834129,7.049514229294134,4.549993490031136,3.9044483534909054,5.84607730549724,6.057222223394259
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.751374344306432,2.156899161884292,3.136350161164,3.05656572246964,3.3562935044614655,4.148091413972253,5.137008641566229,4.163809483577248,5.068669811027344,2.7500722762905263,3.0000821767316532,3.736568201959911,3.9015234758724797,4.773306506858817,5.179503811698642,6.09359332185473,6.136826371905518,6.459203247442564,7.34924058564639,8.427485403280858,7.269544332222925,4.629499156216265,3.9412838701031037,5.813141129343149,5.93735266030906
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1218909119762404,2.5826051906458796,3.431782439681981,4.040753243154814,3.84570778693113,4.711803224057897,4.27657278221446,5.273066068065812,2.6576166463276567,3.456987226608927,2.9996678845288094,2.7694506311760407,4.0550933023076245,4.789281541283702,5.095656853938057,5.0471752775841825,5.271767147558272,6.549462830272023,7.4769752829118445,6.7614804928252745,3.8983926507227693,3.1088634174995584,5.203083357336846,5.339612457750742
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3866432115301282,1.3768742241719185,2.235813994621821,2.1556451565602837,3.2110617759920363,2.198067517042635,3.1776341424873547,3.8824544553403753,4.604153905810277,4.553024703074968,4.249246063478476,5.857880152158285,6.462874526505295,6.847107001091705,6.57110945481024,7.140308047864006,8.251795436059977,9.181626318036978,8.39067760243987,5.943796353402371,5.217332879810124,7.258992911516483,7.428273285432093
10N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.261154712788823,3.31757920356216,1.314771536708109,2.138439976802199,2.218649751410176,3.186495808224796,4.902495119593077,5.705592741834066,5.317844488112076,4.832703019861519,6.521532523519295,7.277138293831293,7.364078761991197,7.082324478680129,7.466452371764429,8.871640004884672,9.695189157369619,9.16873277580272,6.4278582270833,5.547294338902683,7.72250239075008,7.776178517772195
