,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32C,33H,34H,35C,36H,37H,38H,39C,40H,41H,42H,43C,44O,45O,46H
1N,0.0,1.0204289710090566,1.0217407488832673,1.4612169633717385,2.0762449028874452,2.46418937416301,2.436537040471306,2.9129030156195186,3.776352538452269,4.931811236077363,5.2801329832128365,4.456100290001232,5.987699119354613,6.931525487221317,5.786035928050162,4.476232266833581,3.7432220136927623,6.8735643380631,7.868939987519948,5.784303265337681,6.15720812519391,6.849341612054427,7.842936195491316,2.4966393608912982,2.7587637874509228,3.7346449172001157,4.003190062806319,4.967473163025989,4.928739620365454,6.112696139418079,6.307954784249651,6.056147555530844,6.2693197740218425,5.151680674609515,7.453451707079335,8.26558710994772,7.808836625063928,7.549611488667733,7.285364985421786,7.459886654610884,7.367518155128556,8.208214607668022,5.654000275791942,5.89845134157072,6.40578344505925,6.981651757138364
2H,0.0,0.0,1.6037261206114506,2.025363223075073,2.3894058520716293,3.3484425042264863,3.4330660781990407,3.770643320847486,4.558595255286297,5.665498160417261,5.985507301300647,5.168093229053248,6.686308613489009,7.611127216103327,6.465723449828029,5.10903074924284,4.3546317310310645,7.500594449230925,8.488981513291707,6.34046098545021,6.63767072113778,7.423792658862093,8.379258375149044,2.6094054090468184,2.5642561029787156,3.894166706790089,4.343849879887197,4.996883296633889,4.776737488272554,6.0704630863135405,6.407502862870547,5.809572409782508,5.876147128178332,4.900001480625442,7.376257200938839,8.157106715010897,7.8492764378269335,7.362108138805708,7.04464996310432,7.1082572637116765,7.255633918133184,7.960256835657555,5.874365189550582,6.304616572036433,6.525468858204036,7.201074784617463
3H,0.0,0.0,0.0,2.0248289032287783,2.9187724121937464,2.6676343399771776,2.6331404775182228,2.72387875307599,4.136531773581659,5.158916602533344,5.329302443839992,5.037739931340448,6.348804987847016,7.250893419870218,6.3201137243855925,5.217818686159831,4.530172971211787,7.4998913511467915,8.462513570819235,6.5702277191578204,6.99470823972307,7.5842771143535055,8.608173378338218,2.682241659203388,2.664947616783909,3.978041954083363,4.332325205566891,5.0569514280753145,4.936831931214345,6.372751846288667,6.628732232579177,6.4921889101878385,6.630983360703398,5.693189964274021,7.597944109910562,8.496116283792903,7.857507037170571,7.621797644132111,7.826193323884716,8.0832076628647,7.956718701943414,8.678095651226663,5.525952759756491,5.7738344311191305,6.126812307136589,6.625157473907623
4C,0.0,0.0,0.0,0.0,1.0982025597826717,1.5592772378523085,2.1311665873026904,2.185747755607775,2.594098314821663,3.6449147236036628,4.0187715111875235,3.4020739659120154,4.684272789162929,5.59680050002396,4.6007131930972385,3.755772659973352,3.3429112807014585,5.763824358261093,6.694095266557422,5.083159687100531,5.663891832955737,5.940268908546516,6.974793560339585,1.5481961829334752,2.4277305900093835,2.4729983861498397,2.5750013074881273,3.8464991212694595,4.06493859273177,4.894855289943155,4.955457341020339,4.974109377800585,5.374345576843172,4.0989485438649345,6.296745550965741,7.072609566845927,6.614909929203616,6.545792154084997,6.158185343022371,6.461374458240745,6.1310881420505945,7.073783492527618,4.553064857090236,4.703659290774913,5.5044411353654406,6.083220789031867
5H,0.0,0.0,0.0,0.0,0.0,2.1667279488040525,2.622492804642534,3.050937251789015,2.6626031578810734,3.77694907645163,4.361618191758894,3.0144600013156038,4.54229157605815,5.473006645000456,4.207050375571707,3.1343046702227313,2.7562005262220377,5.201735463144704,6.1587347676987205,4.344798909767752,4.869674878403831,5.233896631906302,6.216769685770938,2.153534476645615,3.109654990966561,2.7176643167902754,2.6479596344144944,4.133526933777886,4.432642145492291,4.869659425872059,4.835876199760511,4.697245302877144,5.198558957179105,3.7026229759244793,6.3661433462937165,7.005436143641881,6.795935595588271,6.696475375647614,5.686954370283496,5.87458650599365,5.579853191147977,6.685290089740155,5.055659044809117,5.199420927542627,6.108215605992553,6.745341753438642
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.097048231763445,1.098051818699671,1.5037811933039094,2.5862717487568148,3.005962426257789,2.6286987871973078,3.722754703053798,4.644002623152002,3.7694896953081334,3.309422523775714,3.1243902441671,5.047115900382278,5.941579069553002,4.680302239360941,5.412583290905825,5.392922725731985,6.471755208665574,2.576022002248752,3.5271780461264806,3.0467346139446096,2.7248737534689274,4.366496106401812,4.8389188764840885,5.430772524414018,5.2421687451967,5.846706503969659,6.405457951974417,5.0842713390344985,6.768775089297718,7.562287419575231,6.859795921154661,7.169967024187675,6.94805807023465,7.404360899750985,6.7302570817627165,7.8131866030646435,4.618093031921592,4.368784289715715,5.667544869355554,6.02496980447868
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.759473047498527,2.133184411031169,3.333342522934758,3.850567001077955,2.848913087147564,4.311735310615511,5.264301571895394,4.1225153787586315,3.161181526917783,2.7476011962210065,5.267294851546326,6.228934189991578,4.5195824802375,5.113615768896401,5.40434927518802,6.446005598504435,3.4397601309288173,4.244755663138146,4.091192704273439,3.7883484151417908,5.43064321229287,5.831869259583825,6.498500918940532,6.3055124104829385,6.821322611493145,7.355124335678744,5.987568533362897,7.854890933590299,8.640828767118286,7.955920884773376,8.23383837787317,7.8904240023521455,8.268059602407254,7.653739918025209,8.798429320384525,5.6781653632510505,5.402016141799498,6.674406360641476,6.998084562313843
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.144412100178189,2.7378442472371747,2.7558376409535756,3.4906854065788653,4.059141907915349,4.854864224719895,4.424876517923079,4.332258997480969,4.190579999933982,5.777896316595473,6.57647212093089,5.67880852571781,6.451049948563434,6.2828229795519945,7.3677009244607525,2.67357733258219,3.415799137720015,3.125593760989525,2.9423144355015194,4.207105148562297,4.637269225898128,5.45356039158079,5.334522554562788,6.0970445597709535,6.580579505639066,5.477047309609324,6.633737797341412,7.5215431161892,6.589646120283728,6.9754948125535705,7.308453789295548,7.86768460247475,7.1552789960326715,8.074668163569685,4.136527423958223,3.8354072374360917,5.052242627020968,5.292899506769785
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3771074362466085,2.2277699939324704,1.4461559117986622,2.2596065345284457,3.225048971192714,2.310689927170843,2.6238544709172604,2.9601300447283445,3.651646094262899,4.4814609281168085,3.82091647173727,4.746918660947106,4.217042052503462,5.302192462960688,3.363557676099309,4.516053336919219,3.225470202532865,2.458867657416341,4.480402360929627,5.226489175813671,5.197723045195788,4.7142288418640454,5.6904828385516195,6.463346815850619,4.995384907710365,6.5454264073450625,7.199327990715842,6.57840833513685,7.157012966197729,6.540750708967822,7.068758977110911,6.101194223261952,7.391049593149575,4.679230597596972,4.176283632358742,5.917408156254951,6.217960398570979
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0819757632797034,2.2595155262174886,1.383376665050099,2.127935576629183,2.2562980707331084,3.651911348424483,4.213275596609915,3.6298871626147964,4.171971155801167,4.599253893679125,5.632643843470537,4.589617908057114,5.618011651101162,3.9426066555749077,5.067260529073079,3.3755151663908434,2.470894303680014,4.291153009491186,5.210915038274854,4.855816331260937,4.197902398506593,5.65086200226264,6.500280613069668,5.18686537196318,6.020921059573525,6.640672401079877,5.866386779057974,6.752924325455658,6.410285060581076,7.110319493183476,5.883896189345526,7.118040087126467,4.157723804244397,3.377381885438872,5.429156173231387,5.585578227370648
