 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,C32,H33,H34,C35,H36,H37,H38,C39,H40,H41,H42,C43,O44,O45,H46
N1,0.0,1.9112114031215848,1.8517932144068694,3.112623303619376,0.09477603251405764,0.18914469155306718,0.034576005606638094,0.003832839037436031,0.027895274042987278,0.006829979143931242,7.655301266429326e-05,0.0026815517071222678,0.0020181887774356477,0.0001337259478577657,0.0005831768343518007,0.0009166760245487432,0.0010571202621565412,0.0001234877834069975,1.379444538063268e-05,0.00022443340589545224,8.667415338114992e-06,0.00010785171050101128,2.3305537826256995e-06,0.22298283112047,0.04737762179081183,0.03336810735546551,0.002045346473092402,0.007342719735326048,0.00038790266862953615,0.0011011157707544739,3.273135343673239e-05,6.50444849811943e-05,1.0936108854053828e-06,1.1388841152815132e-05,0.00037379507715847027,9.183344692309525e-05,9.327001496250986e-06,6.890136126092017e-06,3.930827481790633e-06,3.6185597762639077e-07,3.0625147040552747e-07,1.0739652984703696e-06,0.0006543069838811366,0.0001609453017424045,0.00014661108426090863,2.7862564604963502e-05
H2,0.0,0.0,0.026663709709864314,0.10994784270216285,0.004953990809036579,0.035088348751576404,0.002339574924088872,0.00013004855359466383,0.004307847159515821,0.0013538411227910219,1.677273133893209e-05,0.00029458211346711227,0.0003372443437925643,4.8514822668321855e-05,7.924352118082734e-05,3.762974301624311e-05,2.5676593743417797e-05,1.600385386735237e-05,2.1134645116216433e-06,3.0786554001904776e-05,4.609165540347959e-07,1.5086525759433478e-05,8.952344066059936e-08,0.013791516514950586,0.025481092845812903,0.0022287332841030016,3.603017819786558e-05,0.00034994438729463173,2.66287699606238e-05,2.344072272364439e-05,7.466964402791376e-06,8.432408605041353e-06,1.8191372452847077e-07,2.4794673159078684e-06,4.744458390604223e-06,1.0474974823093675e-06,1.49256695669564e-07,7.174405489696056e-07,8.71930931567455e-07,1.4981853535545042e-08,1.5327067948156525e-07,4.49491534659785e-07,5.014083624410581e-05,1.0623201215476108e-05,7.446147818668258e-06,1.4506867120900324e-06
H3,0.0,0.0,0.0,0.10461392233450428,0.03830097003817179,0.01158791383411395,0.0015588962110080207,0.0025444334362116905,0.0012382626905464988,0.0001893707901560182,8.331415978224399e-06,0.00038056923745311,4.140453254275478e-05,5.95949930204398e-06,0.00010353022195763728,0.00011962430483702935,1.1266637206741592e-05,2.570185141759218e-05,3.2506792155828634e-06,3.162550209689918e-05,9.942419887387643e-08,2.5367501618855925e-05,3.0515295357247396e-07,0.010979192520761294,0.018986404207661622,0.0016967175522456523,0.00025501766658009295,0.0003014313373702615,2.379458053303196e-05,5.80071543813121e-05,3.834582318562596e-06,6.047184399449179e-06,4.853410839888994e-07,4.181689166715685e-06,1.0236545443742529e-05,1.9030351912086019e-06,5.876987452246851e-08,5.597975225590801e-07,4.705155692841245e-07,5.442170092351262e-08,8.805017603918941e-08,8.706274767789068e-08,1.9400969883398567e-05,6.72006674262704e-06,2.544523636016649e-06,9.330303014642993e-07
C4,0.0,0.0,0.0,0.0,1.9133642562801751,2.651518458100858,0.0905015666216189,0.07685118528469093,0.17248878498723705,0.046675202790734616,0.0003066438289880402,0.019275809896501794,0.012805629236537303,0.0002932236670533106,0.003826913685405914,0.0043187235344310515,0.0017531012206357666,0.000785487906861615,3.7615209970587316e-05,0.0018174430031147881,7.417227114059344e-06,0.0009219916751890267,1.937377719163358e-05,2.5660077943192494,0.27942111654058754,0.21532586466110193,0.012207851928385582,0.03531095243050891,0.005306019559148778,0.003792929956572072,0.00017349263350752153,0.0002832324527136665,8.82751892605782e-06,0.00010759355042266883,0.0013897882567328046,0.0002383253491873294,3.6267910535681125e-05,1.940212310902467e-05,2.8773029295686703e-05,2.9660268650033572e-06,2.2334798006617973e-06,8.657996667160717e-06,0.003449303734357506,0.000776168810258937,0.0007491569958035377,0.00013451095704386518
H5,0.0,0.0,0.0,0.0,0.0,0.07599844265336175,0.0016374181094693796,0.02861285451965845,0.015353213957526313,0.0015818202583401941,0.00011579264110483933,0.005580201562702003,0.0006839148958395214,2.3638430824979295e-05,0.00034186289386606283,0.0052268940825437316,0.0016133615846489757,0.00040887134906331113,7.002139483569536e-06,0.00031424974173366316,1.6625320362617657e-06,0.0004607155414684261,1.1687926136705329e-05,0.10326759393944185,0.0284330667336673,0.010529200195262933,0.0011564329978013266,0.001308405109591071,4.8487260803531385e-05,0.00020210970919265492,7.403405053452161e-06,9.761523675921868e-05,5.8112774861118766e-06,0.0001007873261535952,2.2817957212595275e-05,3.693899662815525e-06,1.2140488316880749e-06,3.8331841456518134e-07,1.7561254921694136e-05,1.5770047741003879e-06,4.5251383173905424e-07,8.44579769254672e-06,0.000579844358273629,9.064786398549352e-05,8.465976548088783e-05,2.6720857858375524e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.881019229795626,2.024790971294058,2.8041665952625174,0.253858220573409,0.006105869988430879,0.189725284885697,0.04763274157270131,0.002591813171924362,0.03422272336197002,0.014850727041398351,0.0025959977592101557,0.005188404826826656,0.0011002299070763666,0.003721846254843328,0.00015580830916817057,0.0023419462349105608,5.940950195304495e-05,0.17702101826870056,0.039340137757061966,0.026078765370559573,0.006097097920165773,0.0026784897901036275,0.0005390284952199176,0.0005831230112892521,1.3531435297586825e-05,0.00012435721630675578,8.664150844328589e-06,7.208065724206847e-05,8.136379643292058e-05,1.7950339737060617e-05,1.983954830198087e-06,4.646802167274089e-06,1.3744022039088866e-05,2.161872238115592e-06,8.474187485063567e-07,7.910490801288361e-06,0.0010203528354028046,0.0004581988280597249,0.0001883357656926321,4.183034752791581e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025098197670771816,0.10600584335247754,0.03913653026664066,0.0001251829725248399,0.01200301358893685,0.007839902096594353,0.0004654758724080832,0.001977574898737844,0.003337695865184065,0.002101026006539719,0.0005916869852744533,3.760669115560056e-05,0.0010125117013244367,3.149630392451641e-05,0.0007493279441090905,1.5722514073779337e-05,0.026131571878785342,0.0037416761034625434,0.004693673514398866,0.0011253381495166526,0.000482023161994638,0.00014996582817716764,9.150235321730982e-05,5.636527939723024e-06,2.6965659551625443e-05,3.382436368992714e-06,1.2001378477011215e-05,4.994408162706243e-06,4.827093875725552e-07,7.489260815951582e-07,1.4655091329363046e-06,3.1120242243165563e-06,6.289950156279644e-07,3.9906618698459795e-07,2.0037410086715113e-06,0.0002501727252945951,4.0752119758735716e-05,5.1329380520215295e-05,1.2951085812673568e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10596390290594049,0.01405857300444402,0.0025460833869370703,0.0235854969826772,0.0012624805568142161,0.00010055018735877219,0.0031387796285291536,0.0014008120709527727,6.689784475333305e-05,0.0007331270809709522,0.00011877772754109728,0.00035653054994377875,1.840976362443847e-05,0.00018108940820504849,5.1289148339517254e-06,0.016660392312852768,0.002551779004241639,0.0021779428555188662,0.00020415558275233003,0.0002008435866547309,5.4046339118096753e-05,6.282391621592609e-05,2.0358827179656203e-06,2.2002791535080668e-05,8.502096864315689e-07,2.7333139425378405e-05,1.0020918642883458e-05,2.2494680909090903e-06,6.666082110751148e-07,3.307887814774091e-07,2.25659482133711e-06,4.315991473102798e-07,6.828376575285233e-08,1.8459384210078866e-06,0.0002689464792968721,0.000426182876844039,6.421750559149064e-05,4.46564716738429e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0744144945031255,0.11936516389662688,3.25337778780116,0.49107839705531564,0.025524265743151475,0.3411041692207202,0.2275004803223723,0.008064141282505322,0.03956516523590348,0.0038410714983829752,0.07073944606000498,0.0029331459494699175,0.024637838559672,0.00035557108342954,0.01082199123100755,0.0035757669802709696,0.025104953571880778,0.06947364274406875,0.0029072022088310334,0.0007703052379330888,0.0001785397263457389,5.6607554877352584e-05,3.732236484682572e-05,9.200347905968798e-06,5.6329147457567785e-06,3.2615219130949225e-05,4.441674593014255e-06,8.747481243798205e-07,1.859772246781688e-05,4.750789178400994e-06,5.944530696577743e-07,3.690134164902048e-07,9.130255191891479e-07,0.000695163269962884,0.003009017552977916,0.0002737018261166485,2.8698447630093327e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9608926237023712,0.39092894354108704,3.307641415986492,0.1108279623323869,0.45209583880769644,0.10804098296479828,0.0007666024351329348,0.07387436063894956,0.0006673158715648775,0.03094366971028703,0.0009504983437971237,0.0757449976442981,0.0009168594063251323,0.004880282001087505,0.0022259038926059627,0.026626796486940024,0.0710338791421582,0.002655124775971157,0.0005680738827330556,0.00030936576119017234,0.00022902710082184363,5.894332184595841e-05,1.143912661016877e-05,1.2659248184387906e-05,4.2002543948177484e-05,3.4009053633266006e-06,2.993338719559091e-06,1.4717166423094952e-05,9.226047690769068e-06,2.470570554136131e-06,4.282978802727655e-07,2.011775090959844e-06,0.003701915282856738,0.019073104422054732,0.0013940609135805887,0.00010009096572272114
