,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29H,30H,31C,32O,33O,34C,35O,36O,37H
1N,0.0,1.029371931686673,1.0215597590223398,1.4781515890372705,2.0746986322177867,2.517540329304066,2.7973973991967958,2.9861866204976177,4.061473817916333,2.9828306380888314,3.854432381026155,4.16056547570351,4.686216212890303,4.158513396827261,3.1524998638031687,3.691027858246732,4.038505630098354,2.468059060744936,2.4494385159368246,3.199194164371772,3.113290260767274,2.8342428409842784,4.15492390659743,3.969811658825296,5.185564433418983,5.895953875812137,5.854836606888179,5.004323381753701,4.971467915774505,6.029947832003948,4.125985001863597,4.865352015551399,3.007239870997398,5.183870037519673,5.775121211430768,5.862459208886278,6.612132506931119
2H,0.0,0.0,1.6407776988530096,2.055155667633727,2.301960220985132,3.3929632791841744,3.741674213629036,3.8863041116217953,4.955388669235132,3.680103793025405,4.5675757402624075,4.731429778150846,5.496299734902464,4.758919668390402,4.0938673817934905,4.691037180676571,4.892496523154718,3.3235874080834575,2.668126550352017,3.578464505582075,2.859346817149433,2.299532141883017,3.7815746048735566,3.581523804547009,4.569597509982465,5.356326351333402,5.2149185771826545,4.181906652143476,4.211239882615405,5.157125200105616,3.166781936278027,3.8921201365985567,2.030566854340749,5.032163104803697,5.711873005707752,5.731155229038137,6.561341391546126
3H,0.0,0.0,0.0,2.0418554158387408,2.9126721538761,2.816027096812568,2.684169879956635,3.4305539553877304,4.461878280843171,3.69729689026672,4.201170266472513,4.72503463842609,4.937580059082252,4.378883849525327,3.307811575349,3.563332140720958,4.278594610197938,2.5742000854856886,2.5485341084230027,2.9219143843113047,3.3726034623070356,3.3023920098786883,4.142739185670709,3.7339997600912977,5.322251627996466,6.103916692092794,5.843112834907195,5.345192124210341,5.490864658997159,6.350138548967767,4.427089395384402,5.0009655491672556,3.49617963740838,5.057071571039844,5.768495111644257,5.514202765735936,6.263641117399859
4C,0.0,0.0,0.0,0.0,1.0983683723134012,1.5424909832211837,2.1417756233507985,2.5757529140538775,3.4583777712022927,2.654626670463257,2.522179329551744,2.809933685497386,3.4849365968486676,2.749911500202847,3.39458779082501,3.8548404088998303,4.336993920131556,3.1662948708001757,1.5426839604621274,2.4397482491525544,2.441120496822494,2.486823892240542,3.740767722884221,3.9027838945820768,4.876787441956323,5.349311962213527,5.700493492824359,4.925415176063163,4.694864484396612,6.015622237319217,4.495915776382518,5.469837964276615,3.4399317606080864,4.494589783757307,4.816033162725813,5.383397213757152,5.994442593461051
5H,0.0,0.0,0.0,0.0,0.0,2.157434941436596,3.044500164026088,2.8415866881062897,3.634373882826622,2.5080563807214458,2.725372696508344,2.559685073581841,3.7498452247596314,3.041743820186091,3.8888629675626913,4.546979411274584,4.661278254099861,3.706278959774282,2.1629606337703033,3.266308462230187,2.538673848980613,2.310360492088909,3.9790439358498384,4.345165478235409,4.836096977403886,5.196964644498244,5.779539836277512,4.649818621113826,4.197611584278307,5.710012704903972,4.343871317529934,5.435868266412049,3.2283264826019917,4.830447512102221,5.01594978841109,5.893489878832277,6.500485817238147
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0996766526670063,1.5482673142940955,2.1622263838225506,2.172845500349045,1.5397129653249642,2.18882164144874,2.184747262531614,2.189069559254916,2.604756129175849,2.8602038126791447,3.548386430209086,2.8811085880416414,2.5559051899254173,2.8974520262021555,3.7270581885045195,3.9668013350623346,4.959628947668949,5.121320459001997,6.222214059205951,6.58516487814572,7.03438838298144,6.409796215013583,6.123837165735205,7.504858523402396,6.036286170665703,6.987603260706989,4.970106887889669,5.375092850418093,5.503536400140404,6.187833995889672,6.6358943214411195
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1713585464774185,2.68110119262361,3.045614444047853,2.142372834265822,3.069707416809198,2.486463494955295,2.4886608431419273,2.6754104874005584,2.5111138788630254,3.7191851586225573,2.9279019073042813,2.717599380077904,2.5980818793973497,4.053699996342354,4.442210521079646,5.060249169178454,5.052170455057033,6.468965501667731,6.89530040062802,7.157829313374477,6.830054524123745,6.698396080541255,7.921181962366249,6.4014803803183336,7.241121350864962,5.428421798282436,5.327763588325331,5.552222065527384,5.924029463474064,6.334176779356413
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1008633236391603,1.0995170856089853,2.5363796320829888,2.798884796810412,2.7732907097352966,3.4986798980641045,1.5339181358325147,2.1831390821088847,2.1839525399023696,2.1671619768401786,3.9431269765223806,4.388327059870435,4.983372153942499,4.975331945112747,6.288473896495611,6.392736615060486,7.440605285534802,7.847948914763325,8.275941361638194,7.383382921735509,7.022838148802803,8.45368706536781,6.822939603680801,7.727515341713445,5.62078861296361,6.857445584522789,7.0022685846439305,7.675266041137007,8.163288951391387
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7580362132860798,2.5385181139249995,2.7454135267417152,2.355842912743819,3.5980687166085783,2.153415431048086,2.5267286391181356,2.4729382744234156,3.0626881373726973,4.691275907322451,5.018980486885926,5.756398941575469,5.837653215572873,7.071227447066659,7.254840780713847,8.242836955621577,8.550034132153332,9.11032696031662,8.25358654814795,7.822123499459138,9.327900727803282,7.806793568049394,8.757031203867504,6.6165094662312685,7.480494899640292,7.478711987906074,8.320365988113542,8.71075136996235
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.988753772626872,2.8558371206924202,3.413757629992199,3.9474939437006027,2.1606201346493585,3.0817356102262274,2.508700669766783,2.497989079283313,4.155572527015423,4.8638637473765405,4.950354154270486,4.741754342219486,6.339917385920059,6.520070002274729,7.3097339746783305,7.701443117764153,8.204105965146624,7.0435655199351235,6.580186733432738,8.074920789025656,6.472386409333621,7.413476189705578,5.2201255920702785,7.071782029309281,7.207620646623853,8.003533814263475,8.549228807827111
