 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,H30,C31,O32,O33,C34,O35,O36,H37
N1,0.0,1.566883128686994,1.7112224221072867,2.901429926915434,0.08880236021020738,0.17567601615986234,0.006164193544222485,0.025712886431711768,0.0027607159353981725,0.003455995792606692,0.03541390436627556,0.000828046438638097,0.0042632855381326,0.0011795489353613187,0.04110123402017369,0.0005600684573234815,0.0016380185963784655,0.06335481916022334,0.25934706195339635,0.058693769194037376,0.039730105123460396,0.006204912109256999,0.004978885989764981,0.0013441080484852819,0.0006681587263790145,9.03222214021504e-05,8.732970147096175e-05,0.0023632508131437996,6.597108676675845e-05,7.37147018313733e-05,0.009466530195010661,0.0027322774258497634,0.05691971721523612,0.001352416003340448,0.0002157351103031363,0.00015961930714779998,4.743705190435321e-06
H2,0.0,0.0,0.030125718790472877,0.10944213481267151,0.007595743732865756,0.027134379889901084,0.0003560271175082619,0.0008726158088971925,0.00010775054087597269,0.00017561077068806163,0.0034583912076852075,1.4967249743369493e-05,0.0008176381549931389,7.668246877789997e-05,0.001384281994867731,3.802214467163445e-05,0.00015769032968693253,0.0007501258373683317,0.0077458797636271726,0.0004750146678446088,0.005169355256504415,0.004966620103274311,0.00045517741036560366,8.090188891007877e-05,0.0005974784293437674,0.00022094502480607403,2.8830790377298854e-07,0.007407379711532047,6.501453393159551e-05,0.00015351906944904847,0.018880508694664067,0.0033565714987821016,0.18405222733759385,0.00010016247082911267,4.1734609056542915e-05,9.001094331217985e-06,2.015257007048632e-06
H3,0.0,0.0,0.0,0.0987850882775324,0.036305637587046746,0.006699064282657097,0.00368663939368874,0.0006221936866968036,0.00024317114235561377,0.0001324975925895977,0.0009414688877787958,0.00042111985265025353,0.0001384402194024581,4.794469864433104e-05,0.0022391332490130367,2.49394534461711e-05,0.0001476273735521172,0.003103713634121874,0.018324996787866366,0.0117680366527676,0.0012323128459105215,4.7614786525373987e-05,9.77303730486101e-05,6.689578922913775e-05,1.5197496369911967e-05,4.1088791113974565e-06,3.620723539654591e-06,3.428937172977875e-05,1.2683982397732052e-06,3.5806258606996266e-06,0.00025334945435140366,9.855816472903456e-05,0.0010953009844328898,5.7891987580549475e-05,7.907114626126699e-05,9.7376569153651e-06,1.1910552923932727e-06
C4,0.0,0.0,0.0,0.0,1.8583292778219909,2.3880485150494084,0.08373325793223896,0.16126838974193247,0.022886050652451972,0.018305072416236357,0.1773975936061927,0.0098536835775751,0.029207600297920244,0.008146513909242259,0.011573454185570875,0.0005560540041262829,0.0014242384653100348,0.0033398840977620914,2.7290526240608197,0.26462555141136934,0.23552303005030417,0.018608439941649846,0.03673984055583676,0.002140901169770615,0.0040270409736423984,0.0001531630622686464,0.0013107830719329971,0.0007052339044851114,8.703132819043446e-05,6.489120593000663e-05,0.0011729067379092628,0.00047416117696635895,0.0061762701509292806,0.008886678179110208,0.0018327864618857687,0.001330316471910481,7.819847558732107e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08030867719148294,0.036147085806308654,0.007849749675796769,0.00014929912369998632,0.005624603135934381,0.011045077887528842,0.005437048713335724,0.0006474987900109141,0.00016102878197132853,0.000559611668253357,0.00030637502168473496,9.666332990709847e-06,7.701536652704455e-05,0.09107753036728172,0.021902503449458877,0.0129820195326944,0.006561236950375804,0.0020774079269201273,0.00028526195255351716,8.534004705107456e-05,5.106602503301971e-06,1.9762485319541057e-05,4.394323748846407e-05,1.080600328773329e-05,1.1239453637124086e-05,0.0003275059624554544,0.00023513643883943391,0.0019381821726023318,0.0002476731683449529,9.51376876644483e-05,5.2992026110310064e-05,2.0128134808228282e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8550539008869755,2.79323006348608,0.08174707295891892,0.07962118710054877,2.756537786970866,0.07942542195935065,0.08442898049134318,0.08329942606180318,0.16043432629478332,0.010016872923776177,0.029442419533201925,0.005788262133796129,0.1663966949868043,0.03914170283006016,0.024448939927108893,0.0023348550828278247,0.005470510971144177,0.00019121340356553773,0.0009731094894635806,1.922977911061885e-05,0.00019791679513847527,0.00015036274029986418,1.6404972692507513e-05,1.3208621889360117e-05,0.0003148536106141464,0.00011299874901170293,0.0012961500102024598,0.0007833477638411468,0.0002309542595756997,0.00012795655656462623,2.2380091815432657e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07616924476230302,0.0010787650915085045,0.029328649501768167,0.08304205960092137,0.03501407741832607,0.004948420860944047,0.0043781304980687885,0.01771454138138695,0.006393857647058132,0.0013626635514984997,0.00028561689836137383,0.012669211580915274,0.024481132478841205,0.0021644745903566243,0.0004840969112649418,0.0001831351676773174,4.658255287948165e-06,4.657511687899962e-05,9.533014300178166e-07,4.311431016423839e-06,2.013001677991788e-05,2.404301473690751e-06,5.3733746732120835e-06,2.9200566202147726e-05,1.1931344428894874e-05,0.00011382844210949816,9.268918795291015e-05,7.62040129471675e-05,1.4702110298969728e-05,1.1174960738991047e-06
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.045365958425031,2.110005894592026,0.1758630389487194,0.009052012466507664,0.011328164571680066,0.031020697612068937,2.8947927283556503,0.07922811747372949,0.08890614477592385,0.0845480298179555,0.029822144286357016,0.005102641893969279,0.005124200577491897,0.0002784046987157618,0.001224570528779334,5.1585506488982524e-05,0.0002642224237602714,3.6054137482199877e-06,6.178225021591377e-05,2.2068360798946363e-05,1.579101528870197e-06,1.2748554227837161e-06,2.156111654416648e-05,9.678828067280487e-06,0.00010927737874583121,0.00015071411801734214,5.166674285353445e-05,2.811340985670041e-05,1.6086436518403247e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021865689573721703,0.025623972771670056,0.0007947377866430738,0.008553090140959618,0.0020494686828183006,0.08330622210255068,0.004589108352921256,0.005243957778195529,0.032226431866209104,0.003329141836341698,0.0002794796536325084,0.0008920225326931597,4.855428502992254e-05,0.0001895481853377845,7.603194605243502e-06,4.400585460273554e-05,4.5848331908793227e-07,1.1215314821955147e-05,3.721165361181278e-06,4.901750421115736e-07,1.1779112196741437e-07,6.479258740643701e-07,4.894351364193028e-07,4.60300183524609e-06,2.1809270632111577e-05,8.651368258005832e-06,5.782556008249173e-06,4.649570037873474e-07
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004045947801586847,0.0016541508801763971,0.00013442202574442952,5.86021063899711e-05,0.08281352882005477,0.03450870237783388,0.004016691461922184,0.005760617144215052,0.0015620830913263273,0.0008903058077776027,0.0003865758657191076,1.7932474273063548e-05,8.62391477665092e-05,7.724442497192285e-06,9.533051817278704e-06,4.788449288195551e-07,4.9372644757017525e-06,2.797888707606333e-06,4.784467246832236e-07,1.8469977192125953e-07,3.7557518455244576e-06,1.4437274702405745e-06,2.0606970841940964e-05,3.377572390927952e-05,1.2161731862470049e-05,6.4095569372035754e-06,3.524786735820129e-07
