,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26C,27O,28O,29C,30O,31O,32H
1N,0.0,1.0284360820261913,1.0212490375663026,1.4801650908687853,2.072319726498867,2.4451932654458237,2.784974636243944,2.6630366676970856,1.9737041997263,3.8114309266500843,4.583588413466498,4.229063297874489,4.049021580989998,2.525750340255059,3.4721139962760965,2.9804743605051125,2.692998032007038,4.251897445151287,4.423737092167158,4.889777102061726,5.075188286832112,5.921546033672943,4.584149040292058,5.599035662086867,4.5037678925711955,3.7892498301414315,3.0232828512008494,4.427267861279069,5.396133751110754,5.699439333946117,6.447377772729906,7.16439363007097
2H,0.0,0.0,1.6340485406027003,2.0786238092708476,2.3109134049371294,3.345448741333582,3.7538431204366334,3.555061209076228,2.813545115417427,4.575051660486639,5.437323696452538,4.918359295482059,4.653549048688101,2.817522129140634,3.9307414868568316,2.7795864872171516,2.1535888921152413,3.994045079200541,4.317423571022369,4.325765655361606,4.40503598525494,5.397418127299187,3.905034001871652,4.858926205624914,4.007859262976109,2.9075988487533024,2.061278076592731,3.55424934151673,5.227227469879802,5.538070756326476,6.323366410336228,7.061570794224394
3H,0.0,0.0,0.0,2.0559153616139323,2.9172357985715833,2.7866357732856284,2.7128433024917324,3.141080351998224,2.5047919015341793,4.232455733597211,4.924079477567651,4.523137659336978,4.684974835258051,2.6414259103005793,3.3488301221198573,3.1483061802368697,3.0119128105109416,4.189012647897001,4.109132722688039,4.855655200350396,5.252548434383786,5.807534507232572,4.401782738452048,5.4047967623339295,4.082935261895966,3.7885886169915723,3.3458717197462304,4.324153164345083,5.441370512190937,5.938532482698681,6.326657231665105,7.116828917987907
4C,0.0,0.0,0.0,0.0,1.0983285179526547,1.5438817410614343,2.153433492754866,2.408298418023373,2.2651842778698805,2.5629124599982287,3.5043872899488,2.8417066861985956,2.79923346343521,1.5452927366600901,2.4547564023620865,2.41858793524926,2.5539303658458747,3.7812068419836216,4.057984805124077,4.769375772085058,4.888298394253689,5.746305210992421,4.933860133822219,6.013610891375061,4.919880427244919,4.469993341743077,3.56568231120103,5.373351241345324,4.581150492696456,4.693873743786119,5.691314642106708,6.276271993735462
5H,0.0,0.0,0.0,0.0,0.0,2.1536218337199653,3.0481396616980647,2.716572889817993,2.607040031486827,2.7193393513588853,3.7187257938519016,3.083989220089849,2.5025180833352674,2.1568623638127,3.1686695148531174,2.641026866380398,2.575109080427432,4.0676077510530435,4.595904937464133,4.906836825751374,4.776959686721369,5.917326608130654,5.197924183421194,6.230617399346861,5.405307958377285,4.6086074997008835,3.49481798850673,5.5582532919128305,4.700605436855892,4.565529451286155,5.949060586349092,6.437550306820377
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1044028627619902,1.4236933373581309,1.8982811625856,1.5243452846413228,2.1590291389934015,2.1617805370848915,2.165306245670422,2.5793899941565916,2.8659447314167563,3.778405999331147,4.076889877867693,5.0127956313268145,5.107883265757213,6.174627209580385,6.357063192742038,7.0855045161558285,6.356040102493406,7.44606480646231,6.198153568441071,5.929924071657405,5.071310150861662,6.748292258532156,5.623738568359782,5.671009049148263,6.612552216675209,7.117831232151991
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.081864721316165,2.4530189900179953,2.1478043683559416,2.5037490943048115,2.4560323688145425,3.0656515884317805,2.729109115344714,2.645409385130062,4.0221895898294475,4.450521612800007,5.060346308375069,4.914966396420148,6.2981097430375685,6.660720108882585,7.129196645214872,6.406185450127324,7.491022114442495,6.061650393095941,6.136205166054398,5.471788934932758,6.899118619015071,5.725140418883835,5.957537043509697,6.533773437274149,7.091750431889056
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9836409874195496,2.396286885405465,2.618314634445102,3.3462469989850487,2.6818997861912663,3.795067380249514,4.248462976292619,4.825002461394091,4.866345261010726,6.157051861617111,6.295137411898753,7.145259955240726,7.249068036120644,8.13068900716138,7.125966828616955,8.180579710314534,7.0042347211742815,6.416792537954167,5.500581006386923,7.063871502680172,6.88555853943238,6.894840329734131,7.935909470660469,8.464169323707425
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1613058988913423,3.5485016168519854,4.00369534862231,3.3725820070194104,3.733622704885746,4.384554976686412,4.580941308701083,4.444616433577586,5.92889077783891,6.077912633133772,6.749509524257026,6.856607902918625,7.772614635559203,6.553018500688133,7.570361287615784,6.445595608743802,5.706633118119396,4.8318606857616375,6.251281836609015,6.83825088654553,6.939912862967413,7.910362333664074,8.518018412779364
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967088655420405,1.0933552010168237,1.097460611641035,3.182092343941571,3.1857227436499214,4.366084965776228,4.832547327712945,5.498666904962515,5.692385546284001,6.791430493480829,6.868181381588136,7.622639261634797,7.270363706608591,8.359059390360768,7.200023737598882,6.988862893971573,6.043121966294604,7.932809603808104,5.707653286609014,5.4929537885509685,6.682125718309438,6.991442341013709
