 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,O27,O28,C29,O30,O31,H32
N1,0.0,1.8429237021231613,2.0068936964126016,2.935268028245048,0.08676740366228852,0.19665359148029637,0.006395941436143193,0.11899071468894078,0.25780116408241105,0.030475683127397457,0.004190146195357736,0.0012731192897953436,0.0008755813931780043,0.20468542345185378,0.04435510598412164,0.03430553110480415,0.011157384736282139,0.003517605540132196,0.00038429026811659384,0.0006616725155950409,0.00010908254823505104,0.00013727942388208625,0.001840826703803991,4.070766686292693e-05,0.0003562279160531645,0.011737354344397627,0.05656377624173964,0.004368338292282975,0.0015707453830422768,0.00013817059441607882,0.0001933579129202584,2.9156497614146737e-05
H2,0.0,0.0,0.03050670424037527,0.10357787440578492,0.008486924562132403,0.026382424783601532,0.0003071994278693868,0.004549437820145497,0.0025353460032657704,0.0028135470779332428,0.0008592294706037951,0.00010967687976681795,1.0078798798662802e-05,0.0042816957218648755,0.0004316222908067324,0.0048127789880040295,0.009587680046690972,0.0004024848511277046,2.852006130149576e-06,0.00032819547486540035,0.00013009859249812905,1.8701596721681923e-05,0.0059941821894138325,3.5606928046494346e-05,0.0002926117663104577,0.02369846666091413,0.1721732700525075,0.006101221561701897,0.00022449956204528831,1.5404274632646597e-05,3.516105888590193e-05,1.3286674932277975e-05
H3,0.0,0.0,0.0,0.09472947227967887,0.03474080109778499,0.006903744605587958,0.0033872078421568474,0.001811036213661965,0.0023322030488792667,0.0008408950520345515,0.00016088729665808543,3.7457792676498514e-05,0.0004836637642302577,0.013809815913080947,0.002564366241232907,0.0026932619302809657,7.293030373611842e-06,0.00020987214508716434,3.705713038892888e-05,4.1361119193505935e-05,2.9465806050676946e-06,5.03465823098459e-06,7.243724940597662e-05,4.2636998820455574e-07,9.701966540376361e-06,0.0005545500839211348,0.0014081485885980571,9.212679173387084e-05,0.00010525400931182816,4.7448157611817976e-05,8.47512497570424e-06,1.8248439672685635e-06
C4,0.0,0.0,0.0,0.0,1.9172547264376383,2.675678193551131,0.0858107608779104,0.21139071738716905,0.042870235710471105,0.1667309164600829,0.030517084229741087,0.004681829161386597,0.011969609321260899,2.4047281107012477,0.26161837085693423,0.23622160980038553,0.013038031386358173,0.0379974190881078,0.0029610569417219956,0.003711555436291092,0.00018843919893929417,0.0013853230737239652,0.0003367789390049114,2.406237939966971e-05,3.642547339621771e-05,0.0012084537775290671,0.00418601837133073,0.00034201915270640204,0.005153370555897763,0.0009268548766853402,0.000941391379787257,0.0001238218582065853
H5,0.0,0.0,0.0,0.0,0.0,0.08204730226836565,0.03734211351539707,0.007272401254008742,0.0014798452255200267,0.013211030720242323,0.0006943958123892813,8.215193908056584e-05,0.007012867020439462,0.09573696216678074,0.024685134217849236,0.011577862421860319,0.0017340508047474223,0.0016379000602531057,0.0003849893424494599,0.00010614915572038086,1.329616409351253e-05,1.4801132494079994e-05,3.1345810286076414e-05,2.5073798544106296e-06,9.064702628513999e-07,0.00011040781875926164,0.0003791149362406543,6.0266629984262465e-05,0.0002386124578517279,8.113286056976587e-05,2.0051594594505673e-05,7.577275220604918e-07
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.977492488077,2.659164630032157,0.11424483104655003,2.727320322652674,0.09639406495369007,0.09729654592418102,0.08555432586804512,0.15714856415828013,0.04034377990110316,0.02204502883978518,0.0017583742239303257,0.0055641765388439735,0.00022099825039179066,0.0007565691116971363,3.0182949918300395e-05,0.0001967057025984431,8.653268145700221e-05,6.30610814211785e-06,1.3550890857860765e-05,0.00041259223063103145,0.0012895205018995382,0.00014317363098539926,0.00039043051750051183,7.529331477529322e-05,9.213258197450502e-05,2.7102042369331336e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10801727780878179,0.006699411341612782,0.08329772319054629,0.005204450281053319,0.004320956236664841,0.036989602644306396,0.010337316272880814,0.017473905717335203,0.0016053963043591857,0.0003073796208625801,0.00013471251241625737,1.3094156088300224e-05,2.2325843787474042e-05,1.9624511371496567e-06,2.236267206523479e-06,5.167732326283314e-06,8.598382004176841e-07,1.7520113959612615e-07,2.0761449962991563e-05,9.298605182594954e-05,1.2899544590272427e-05,2.3839856510443624e-05,1.895360852310901e-05,1.4279217765977847e-06,6.147636333331263e-08
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5559824082148819,0.19734280873033844,0.010283345179381675,0.029055674080426863,0.00940090966259377,0.033475707949688405,0.005825763669508786,0.007308390129016823,0.0006220539353017918,0.0016736547143154368,4.534743692607979e-05,0.0002504877518011428,9.667163777704602e-06,7.055666540145555e-05,3.152491375155164e-05,2.088951506773462e-06,9.752313801181245e-06,0.00016578722075358265,0.0005654396135805692,6.973609827126692e-05,0.00021033584644883363,4.2092275025155945e-05,5.121680128306744e-05,9.899841280747168e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028864355996990665,0.0006032834655216313,0.0019440758984268225,0.0006119794511565413,0.00653115991155695,0.00057639686402855,0.0018446038365725892,0.00011780141690342916,0.00024825759803293046,1.387618955073222e-05,3.129893196718303e-05,3.6486867047713645e-06,9.108502974752852e-06,1.365123990082484e-05,2.0144086345652568e-06,7.66786561490207e-06,0.00019853374421630043,0.0005589516844659581,0.00010856767234435072,8.553102535047152e-05,8.007967113421444e-06,1.1548451115617198e-05,2.666132279394162e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0977140420022367,1.6954044191022413,2.0077717551932546,0.01322802631708328,0.020918363743997928,0.002508766266226828,0.00015780685640698344,0.00042168010739301875,8.811812568443322e-05,6.870032244506163e-05,6.204677074461706e-06,6.807147314491502e-06,1.7282762526174555e-05,4.936100324037795e-07,3.7546820725875563e-06,7.769926373035752e-05,0.00024324594816377276,2.8613765444801542e-05,4.5106470846573155e-05,1.2772102475661073e-05,8.176866644976633e-06,1.767360175208843e-06
