,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27C,28H,29C,30H,31C,32H,33C,34H,35C,36O,37H,38C,39O,40O,41H
1N,0.0,1.020402679181415,1.022492989968993,1.4651718668059408,2.0858645011138433,2.4679594026509375,2.7087456478842133,3.417763127952988,2.9864608900910357,3.345284962152946,2.6322025575696393,4.407344602608664,5.134738053922358,5.146308917198949,4.921521572248278,6.0962944560313055,2.4870074617041276,2.8118267082528154,3.6607685616203627,3.950519151822607,4.9177939840063445,4.9316874246976035,5.709616028983302,6.028611615005678,6.677838490746711,5.319841993850789,5.742308795476693,6.27747746728088,5.045486361449492,5.100294481635967,5.9101784271201865,6.546918321031836,5.231305958677613,5.431222740037677,5.665427317725112,6.28407620886818,6.741927003038536,5.973294239775414,6.105227153302151,7.0751063823966245,7.7568674511980005
2H,0.0,0.0,1.6165601032771,2.0387034525847083,2.3061176007043613,3.347249222535035,3.6710713897871283,4.18846521459442,3.84950817448215,4.006049904209946,3.4804296234296594,5.328022565857522,6.061530987728235,6.040782606388884,5.757827279747195,7.014692411590158,2.7531515916420415,3.0443873270982755,3.783583649576847,4.1185441161261735,4.985967749128281,5.065786304781482,5.504214682213932,5.782519983861401,6.505737361364732,4.895581242311371,5.326992329277583,6.0053754137009046,4.412281387277251,4.4922182908581805,5.337717675085875,6.021022655728751,4.4188747675564475,4.513452580556933,4.902134355908633,5.43848096627301,5.967700635595849,6.182120617950279,6.3811512714655185,7.283416366452464,8.018295558717098
3H,0.0,0.0,0.0,2.010893699814346,2.8999123620612477,2.7751954122918683,2.605240393606353,3.719458570623984,3.506757293809288,4.090463458844776,3.125432184680688,4.753179713811833,5.395662861182674,5.4844172548776395,5.277983858473664,6.367700753059536,2.5228787103086394,2.3843263998425366,3.860619077159526,4.352660119067308,4.924562361850591,4.711291493143389,5.774286859664156,6.266555052096753,6.648187508391538,5.326868478186712,5.510883179308134,5.930920206890578,5.250364190350145,5.497485613109037,5.629287016544392,6.1255927047295,5.373653107786054,5.708862645226171,5.560212543087673,6.149615069176544,6.468772606995597,6.0433089802029025,6.3337023047742145,7.010601073670202,7.742981990806919
4C,0.0,0.0,0.0,0.0,1.0990894699963172,1.542810448460365,2.157061612887075,2.1824142136780313,2.5560214228309865,2.7908464677394496,2.783444888708232,3.9148048348701514,4.368391169022299,4.9620153695072915,5.015349617635383,5.861777627773503,1.54164618463006,2.417205717982986,2.4663277221095647,2.5923557062825875,3.8325028314434353,4.022667771771642,4.808711230098868,5.036511305523549,5.77531479258873,4.7846424281228845,5.438475819652188,5.883718282697342,4.684892631520711,4.582463895118661,5.941757735422943,6.689195297223098,5.25612972131038,5.58691791800847,5.858240119057487,6.738446510991165,7.238180602036675,4.6871549996400415,4.695601709548548,5.865043892841177,6.467297712169789
5H,0.0,0.0,0.0,0.0,0.0,2.1630176042916665,3.0602495733458817,2.531741672236416,2.771290903488438,2.5526897503400825,3.090879076365521,4.1787771826815705,4.653638193693194,5.1974341940838,5.245094873599525,6.123666641790868,2.1690629210158514,3.246510117000046,2.570836436490074,2.3546445332775656,4.017648846557817,4.472054982550112,4.793642379744593,4.782035640820347,5.8321162516405405,4.816192572534424,5.696976004688876,6.260573198161878,4.4854583780534965,4.140472753199851,6.215115005656625,7.077344691544311,5.119152117226203,5.303849371189217,5.957337187524406,6.846862443625102,7.4671084227114335,4.775413157172138,4.603904774341181,6.058283382939577,6.598398210892837
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.098164467429862,1.0956772513149706,1.5305974462300924,2.1655213385344583,2.164339154099016,2.53465621850896,2.866509983552045,3.719782572752796,3.990477899431577,4.523010383665249,2.509521348618005,3.226090048492416,3.2502183903231283,3.1718606173286714,4.478902125498929,4.58822104735577,5.746664521668712,5.973322065644183,6.603628858591507,5.999973018695048,6.61501131511985,6.880272443994604,6.083552692933538,5.940950765300503,7.238697102288336,7.913762157317627,6.753231653825277,7.121350295369306,7.302014086927114,8.203039166825096,8.640379503929893,4.937396451711579,4.746554724624361,6.056360499579063,6.4998061905405935
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7552270922908755,2.1660180701165754,3.0750220049079036,2.5202206922827037,2.7942901241664386,3.0316151686693047,3.8670782081135457,4.129559282277102,4.565418544559009,2.7315951360803488,3.0325014034383067,3.6807028131924775,3.841241642721182,4.704573560994516,4.556153765507173,6.056461795871997,6.457084238248254,6.817196671401248,6.259009512789884,6.659536197755148,6.800622726113089,6.503367850114405,6.527781865388152,7.24667705524131,7.792082447928561,7.102937213658272,7.563267127025749,7.454163094569735,8.318798011292934,8.641331179100613,5.205966148574611,5.191489543315957,6.1605699504755735,6.643225931204837
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.154802914515274,2.5145532030724245,3.0633441994088844,2.7263560897887276,2.607185213069264,4.070577896261613,4.557715450824476,4.741070334132351,2.7071065927240325,3.555195146353205,2.99945838874285,2.7203961217398684,4.094673348246877,4.32192759790393,5.455465565167537,5.602421598125207,6.241029921159134,5.981408677521618,6.702462937603138,6.882717521202425,6.190453344236892,5.9643272578831255,7.508702519582161,8.22472209153926,7.052344716473546,7.484645517902946,7.667996516813399,8.69111427816082,9.142078924119119,4.2352871524821385,3.8792275518781745,5.354935610576683,5.678821648964231
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1006680765459464,1.0950510569981713,1.5279390011484593,2.4230120663613772,2.443971932354261,2.612501678959952,3.37202564404786,3.892850333511557,4.622482437491407,4.586968869039588,4.318494152907288,5.902084263621378,6.09474692263534,7.086424316645009,7.1847315183613745,7.998705049759337,7.281324812414657,7.958018997123955,8.31162018910499,7.160327929754111,6.895738841880795,8.472745721894363,9.166872496367619,7.722794953301562,7.913404621050639,8.36213660836339,9.14145985780591,9.635831892421615,6.283949672400123,5.909544572627838,7.453505645131566,7.816757548728839
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7564850167342778,2.1297176667966755,2.9143483083584596,2.9065677038433355,3.0461869513555246,3.8201813532917734,4.1847867142129305,5.1085886874529045,4.645145919126015,4.181098470949079,6.023299832335705,6.399972525258797,7.0750396382132354,7.0071675691163815,8.037907578114545,7.302033034855076,8.137015883858716,8.58214643325944,7.032230626408055,6.6109172657724775,8.667618169641097,9.454860944838746,7.63189799602544,7.718396514644246,8.433555532188477,9.224007676950382,9.81119727076632,6.348109274131185,5.834834234092471,7.603851361507233,7.922377897213769
