 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,C27,H28,C29,H30,C31,H32,C33,H34,C35,O36,H37,C38,O39,O40,H41
N1,0.0,1.9480637882967757,1.8385517463326435,2.8798063542546077,0.08696180357640171,0.18691306377993588,0.00829146514368706,0.02811652176328827,0.037168450524124416,0.0006450791860679317,0.03185477807310044,0.0049817197792531576,0.0026946991318413313,0.0006345887896846286,0.00018309848716535626,6.754202707981438e-05,0.23022266264789237,0.05447268604551868,0.035422207500095934,0.002539284542822262,0.006863309628271752,0.0005654935003395201,0.0012521836491252575,2.6059089008989567e-05,0.00027082642195352946,9.407162295482774e-05,3.873379336943872e-05,2.313984976631822e-06,0.0001267355063200165,5.683305411396944e-06,1.107789692353367e-05,1.0184269272350832e-07,0.0001120881124022921,2.3577263456031616e-06,2.6539729730878925e-05,6.7907499139846506e-06,1.5793591212620584e-08,0.0006507384879961831,0.00011688260931060762,0.00018362423905401992,4.233059296898656e-05
H2,0.0,0.0,0.027431556794723866,0.10825005564124601,0.007991799669192279,0.03175756248232153,0.0008577186594000974,0.0021545468032102555,0.0016528975085328135,6.150161971296697e-05,0.0003147850468447899,0.0002201554379746007,0.00032142548621727496,2.6076644541905836e-05,4.827141286467551e-06,4.857980136163675e-06,0.007029979100999562,0.0028647951581636244,0.00044368630415381194,3.025022596281346e-05,0.00016899724501961977,9.253026301836442e-06,1.7433743299433146e-05,2.5153726794791e-06,4.485138947352141e-06,3.540586762407205e-05,5.029107945608846e-05,8.910122417660205e-09,0.0003948836257723354,3.2329004955311547e-06,2.441728156199474e-05,5.489128929170306e-09,0.0005085517894367619,7.385713201246702e-06,7.999951295434293e-05,2.328023534403645e-05,1.853262610040929e-08,2.196455411618281e-05,3.943810530593339e-06,5.652536641087558e-06,1.5650666904676314e-06
H3,0.0,0.0,0.0,0.10620495502168414,0.035601731495055855,0.008037538286049362,0.004406238168040533,0.0001965773062151399,0.0006237956405132916,0.0001566019304222177,0.0002181801305713993,0.00010171796359637053,9.691676261025517e-05,9.678190108997065e-06,1.7143309891665126e-06,9.185177096693309e-07,0.023568471654711542,0.05998366612028039,0.004016580881504694,0.0007279565425939438,0.0005759557320424991,9.27483063815071e-05,4.846898556931656e-05,1.0514038719655616e-05,4.244446765611087e-06,1.7907283842988342e-05,1.2014191608344937e-05,1.1877094807655197e-06,5.761372790957786e-06,4.5166445472588634e-08,3.573888290198113e-06,4.8418055564880547e-08,4.1177406696624175e-06,1.14878142332131e-07,1.0101182762456418e-06,2.7683798775601787e-07,8.032803533453148e-09,6.391996888421847e-05,3.792945126002145e-05,7.710332965871203e-06,1.0771319787217237e-06
C4,0.0,0.0,0.0,0.0,1.9866377224870044,2.744061379143416,0.08691244872846204,0.09092181574576097,0.16812035177330756,0.010244805803106383,0.008657359486768046,0.030702889168525288,0.006732718100843221,0.005471568400705937,0.00020101778063574827,0.0012862773148578643,2.55958048307026,0.2767831634050998,0.2266196100941649,0.014888613209442791,0.03522181949694719,0.005834454825387914,0.0035374496321226023,0.00012602887055557233,0.0009281962436646918,0.0004963592102215642,0.0002608664381524711,1.9859450521408917e-05,0.0001938146645104194,1.6544426340470153e-05,3.6967017199296404e-05,2.451612892695465e-07,4.923204325338326e-05,1.3088810988381994e-06,2.4023394501165862e-05,5.94007271327579e-06,6.079787795432168e-08,0.003368043170557583,0.00040273961923101287,0.001006984459897789,0.00021937789848147649
H5,0.0,0.0,0.0,0.0,0.0,0.0817506597967198,0.03634435795082469,0.003474311006191,0.01053382231242539,0.005270851936995724,0.0001769351466338609,0.0008568676509574935,0.00030649104019564444,0.000229917503903998,1.4481087754258937e-05,3.978822575989582e-05,0.09105846818455898,0.024063056078364897,0.01232844067364014,0.006902038195310656,0.0018821111612568053,0.0003505450993459558,8.511350244089222e-05,1.8571063058914206e-05,3.518359208420918e-06,6.456146020927811e-05,2.7319480469190083e-05,3.447959371127851e-06,8.880424328805425e-05,2.5388648232427258e-05,1.038962784161157e-05,6.276506092639522e-08,1.0691727984957211e-05,2.675314214606317e-07,7.638288252564962e-06,1.3250078623183725e-06,3.70501902491327e-08,0.00016302137151380514,7.692961361382977e-05,5.511556992843225e-05,1.813196209532464e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0220263922396384,1.8458674392617855,2.678457202501725,0.08207489738600249,0.08525089200812508,0.18132186691854937,0.051606689566760997,0.031451187528813374,0.0018708727149946425,0.00413934385729553,0.19359588057010826,0.03752379895081569,0.029233646762803697,0.002330207048564348,0.0034355450410584326,0.00022247044262402316,0.0009199509610649942,1.979813983099543e-05,8.080307430513578e-05,0.0002159209487742897,3.2512204493559405e-05,1.1521351974685956e-06,0.00011018134324285167,6.993612947647776e-06,1.4325365113088129e-05,5.819677073581886e-08,1.328592518057281e-05,4.366474937178566e-07,7.424678730133527e-06,1.4824889342651693e-06,2.677843213838571e-08,0.0008694313759110839,0.00024252597822616018,0.00023497366468609032,7.503859753987818e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02429081494028429,0.08279237029242426,0.034115020414996255,0.00500995038664942,0.007837273055957494,0.002069245967018407,0.000769825778042299,2.7165269901541222e-05,6.745585969891721e-05,0.010032551230263254,0.00497180520927476,0.0011308412639112753,3.458281845669653e-05,0.00011792251392361841,8.289526939764258e-06,2.960075648483773e-05,1.1158211461470557e-06,6.484870213263605e-06,8.473229256900083e-06,3.5823222223063667e-06,1.8103195875696088e-07,1.177619854042522e-05,2.1524132924888306e-06,5.252128861821248e-07,8.577710541857186e-09,1.3701279359956686e-06,1.9900523007265747e-08,1.3147122623902163e-06,2.802253621370099e-07,2.842253099544223e-10,5.4310735035922875e-06,5.7734030840528305e-06,8.394844444037375e-07,2.0679220447128444e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08757193093265203,0.004958084118849682,0.03328252465393988,0.011527835193404945,0.020691406000658996,0.0021791566174168553,0.0005841322060948784,5.645562015721417e-05,0.01032661709180438,0.001921340612389133,0.005620246125042305,0.0019324248241332498,0.0004331469804776944,5.627476877156923e-06,0.0002793399037404054,2.856615024304787e-06,2.5544937972687976e-05,3.210311282741962e-05,3.7610696821399614e-06,9.973744474756074e-08,9.373281938285238e-06,1.1643568138541838e-06,3.756304408519817e-06,7.892304365597624e-09,2.776123424697019e-06,8.813468799218072e-08,4.249780480858334e-07,3.767884892980078e-08,5.876263253767888e-09,0.00025352854486171417,0.0005901015946722099,8.228347976879657e-05,7.552368843644075e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9976285736929518,1.8507448634517996,2.7499177024327115,0.29237516169660366,0.2337289235016285,0.01707620495121165,0.04328436254522228,0.030452829134722526,0.008454696391791638,0.004865177315768049,0.0004707491287763155,0.0007521243732495075,8.006954120243215e-05,0.00010644389584774094,2.6922208393731495e-06,5.127505795066156e-06,2.50576178470463e-05,6.441022957173748e-06,2.4768725515045276e-07,1.6311286596001895e-05,1.5208122920995493e-06,2.2855848574171445e-06,6.512733907726442e-09,3.6358543535619514e-06,6.714688605136132e-08,1.1261158631981072e-06,2.2645377573127234e-07,9.096454478552118e-09,0.00020971574395436954,2.0716106279489166e-05,6.400586397385666e-05,1.9475601634955098e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02485423936483233,0.10786917828757336,0.028851688358128347,0.018167433928376053,0.00013107958108582451,3.888285425035498e-05,0.0011401968611470803,0.0005661515811934414,0.000172659086428828,1.688941727540083e-05,2.1435989476792372e-05,6.359310386949701e-06,6.7467869180326545e-06,1.2705531293732975e-07,5.774916713718881e-07,1.050930541701689e-06,6.732623583083353e-07,4.8517292405847456e-08,4.759974292500857e-07,3.7130825081277408e-09,1.7622629522318078e-07,3.3863756243590615e-10,1.4257306213405485e-07,4.403792441820542e-09,9.362999753292911e-08,1.8600044504601954e-08,1.6251400225542056e-10,8.021482906350741e-06,1.3807433996149143e-06,2.091076614751941e-06,6.125353622099539e-07
