 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,H7,H7,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,H9,H9,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,H11,H11,H12,H12,H13,H13,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,H17,H17,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,H19,H19,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,H21,H21,H22,H22,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,N24,N24,N24,N24,N24,N24,N24,N24,N24,N24,N24,N24,N24,N24,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,H26,H26,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,H28,H28,N29,N29,N29,N29,N29,N29,N29,N29,N29,N29,N29,N29,N29,N29,H30,H30,C31,C31,C31,C31,C31,C31,C31,C31,C31,C31,C31,C31,C31,C31,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O32,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,H34,H34
1N1S,N1,0.0,0.023775047163440366,7.702612729443281e-05,0.00128417409866044,0.00036765076050748746,8.705496713568017e-05,0.00011647391257874062,0.0020129441050442676,0.0013728178652563372,9.285896293551033e-05,1.2342057397030093e-05,2.39338812601797e-05,6.818129442365262e-06,4.914900400683486e-05,0.008079982928379525,0.0013963998939985345,0.007879819794266218,0.0013028856512191656,0.001145602245836208,0.0020465167634748926,0.000536472837272095,1.4986456517984692e-06,0.008336780203847427,0.0005829221517599237,6.456489026440693e-05,9.699664571094502e-06,0.0006886991804275766,0.00020413651673870103,1.7418413783554243e-07,0.00015629246926002205,0.000658661677984923,9.576662235039057e-05,0.00014662818128008404,2.0877107043792975e-05,2.139357132174835e-05,0.00017615403277626562,1.845199719108237e-05,0.00014207263657861624,0.0001497525642799591,3.3863764454800105e-06,2.5464419928233895e-07,2.8164630679894387e-06,0.00031069855938170576,3.056317042401946e-05,1.9040508120182764e-07,2.7318117112873352e-06,2.90830529867947e-05,6.412288050156034e-05,6.244829662716e-05,1.0714785032561736e-06,2.5322276507130925e-05,0.0001002135563124007,6.20678046003853e-06,0.00018876191796346475,0.00029459400001785596,6.381815649958433e-05,7.416022780315501e-07,4.5182519259334697e-07,3.303677733046406e-05,2.3118634860236353e-06,9.325187289022097e-09,2.17604225674628e-06,5.1935525400004234e-06,7.470629209915813e-06,4.475137535431273e-06,0.0011607018515989997,5.8628486829803705e-06,3.199853014401732e-05,5.539466272352911e-07,1.3388874448683197e-05,8.151275485324128e-05,1.2360837527758406e-05,3.7577360132434734e-06,7.239902581890334e-07,1.4522834043795285e-05,7.97311574540771e-08,2.731965933200353e-07,2.4602256424588465e-06,4.9335346363754695e-08,6.651907947241575e-06,5.981255779552441e-07,1.4318846774941107e-08,1.6160248865082494e-05,3.8860351092573353e-07,4.012776402495533e-06,3.491036629332811e-06,1.9479617829887275e-07,8.956963321926636e-06,5.459499519133715e-11,4.448784345356671e-06,2.054135706197613e-05,3.3200148686796105e-05,2.2724438126786595e-06,6.648076968340799e-05,0.00015513438246295141,5.201828528256236e-06,8.745739356608162e-07,7.810712136513409e-07,8.472321284036521e-06,2.9515251154799138e-05,3.9466023628170754e-06,6.821243803134536e-06,3.3336767222280628e-06,6.284433602110617e-05,8.411705626554244e-05,9.977625545776192e-07,2.69184976908754e-06,4.409653188597318e-06,2.8264065641714353e-05,2.466066738315842e-07,1.5667167024835393e-07,9.818597840466348e-07,8.510759747087926e-07,1.2129366386282037e-08,7.03492213371959e-08,3.7567237596292102e-06,6.530716074593101e-07,1.0177234799790824e-05,1.9071253243296837e-08,7.645453494742327e-07,4.964509987548382e-06,6.581855904741474e-07,5.165128961426291e-06,1.0853069196542497e-06,1.9810081552940062e-07,1.9898886452485165e-07,8.305281409826115e-08,5.498061948494559e-07,1.4604803231232921e-06,7.168293125747738e-08,1.8047039973545509e-09,6.209290159819858e-07,2.243474337415563e-07,7.312301901762908e-07,4.597561880093082e-07,5.149654804803561e-07,2.496430271392569e-07,1.1191678586097709e-06,1.2540382881010004e-06,4.310992141043357e-08,3.789947783383596e-08,1.4650457649811877e-07,1.5626247518163439e-10,6.925021112103025e-10,2.418998334974276e-10,1.1315615230378384e-06,1.8309199545374355e-08,5.5321973890798404e-08,2.0187553739781094e-07,1.1451454784427995e-07,5.4950100025763504e-08,4.473134884719343e-08,5.25202710210948e-08,8.068789392190467e-08,4.512338724893539e-09,3.14796338996004e-09,1.7234613736150095e-09,2.7205684371978123e-09,8.288551234247876e-10,3.1662172883528683e-12,1.0588891985463533e-08,1.4728925856744013e-09,6.8267613784200876e-12,4.255946484121864e-09,5.888446397150915e-10,1.1767731900036438e-08,1.8851431304867106e-08,3.4921754377137404e-10,2.663568920979742e-09,1.471861521551432e-09,1.0347611656413847e-08,2.223798922784681e-11,1.2142375105383962e-08,2.7433356142303467e-09,1.2126752935159857e-09,6.34967972645839e-09,2.204009474926494e-09,1.28054203352157e-09,2.575452212605356e-09,4.46709336188178e-12,7.669859858339123e-09,2.3615678301780463e-09,6.155564946652703e-10,6.554170539629922e-09,5.6550356175577576e-08,2.836103973891113e-08,3.432438844264141e-08,2.406388976972096e-11,1.0299511243871962e-11,1.5106590423030752e-09,1.3094797468582442e-10,1.8464590967326444e-11,5.41517136687375e-10,3.671115855752305e-09,3.0720364030401015e-09,1.0250520432464327e-09,1.2773367474849806e-08,8.355982572538778e-11,5.272106751164074e-09,1.9521506633424224e-09,7.926486134124389e-10,5.949675196958992e-10,8.126316286549695e-11,1.1159564383689258e-09,5.092973265341527e-11,1.057015586169996e-12,5.648126411017529e-11,3.8654857092979e-11,8.172856558186226e-10,6.955924725104978e-11,4.024136579516835e-10,4.5075054799781356e-14,1.126520654537444e-09,2.3435093865487033e-09,4.0711101156887253e-10,1.397219895338253e-09,9.136078560345595e-10,1.0560777252699438e-10,3.71222497186352e-12,1.769889790281809e-11,2.441958857346549e-10,9.41480227112379e-12,7.000511281773925e-11,5.064242358798765e-10,3.8516073663785733e-10,2.9534708012590727e-10,6.0087748110504435e-09,2.1276660433500183e-09,3.492600431087567e-09,3.1967761771056757e-12,3.2021918450197973e-09,1.9111667803883847e-10,1.0364489266834198e-09,1.98709271259645e-10,5.6695093064718094e-11,3.966618700168567e-11,2.8797456086415707e-10,3.871562515023186e-10,6.001839025771005e-10,2.0199764083628224e-10,3.172551388264111e-10,3.667470127588501e-08,5.027720462180696e-10,3.951790450429371e-09,1.8292980286105376e-07,4.159889566146546e-08,1.736054011658439e-08,7.56737317253453e-09,1.445513817532884e-07,3.650420132839116e-09,3.1919832887972177e-09,7.533321938479887e-09,4.022852606588856e-10,1.2898836998509466e-09,8.298817910645795e-09,2.5883899912315655e-08,5.743361342069875e-11,3.911144430546187e-08,4.8072786640318554e-08,1.2856382625159313e-13,2.743300919760827e-09,8.52520032346149e-09,5.922642598576999e-09,2.759937764440501e-09,1.4273399129294262e-10,2.5903822142847588e-09,1.5112411322348862e-11,1.158580562043987e-08,4.78344114318574e-10,2.4257462705179478e-09,1.2597667353730913e-09,6.834817156686768e-10,1.134310423367424e-10,9.133656053705863e-10,1.2721339981425217e-08,8.541332086053899e-10,1.0008966988550583e-09,1.1215596507074821e-10,2.963583128900993e-10,2.9401207857215894e-10,1.8665316792176867e-09,2.3080304611955427e-09,4.936577813197118e-10,9.86716264250731e-11
2N1S,N1,0.0,0.0,0.0015464257731960807,0.026564834008816707,0.004901730282395711,0.26586163315486955,0.0025981894397308913,0.04052237363047295,0.015731984315337844,0.002368632627583578,0.00042423973786842595,0.0004881291249991815,0.001021456066180093,0.0013763976514904463,0.10867238251257971,0.15988737092632332,0.10678176131900186,0.1580385268781086,0.0034035356727926125,0.005360007747685636,0.006935602952716113,6.162313621604909e-06,0.08416645152918445,0.039161944595807796,0.017061828361100595,0.0013023788705841532,0.19706095138630264,0.01132826951658017,8.630148295996065e-07,0.008799241749111397,0.03165872895089339,0.0045390091792651965,0.004849831441347874,9.182414851549581e-05,0.0001644123133233144,0.0027626905418234315,0.0001055343865448144,0.0034246099512182937,0.0062320351170179755,2.034330722500144e-05,0.0002458429743210644,1.2437156360789459e-05,0.0020010665582921305,0.0006569385171280029,1.4593154517683615e-05,3.473490839911442e-05,0.0002575396676844921,0.0006283168952789797,0.001504492756635667,0.0002639173700980102,2.56586070981335e-05,0.0006302269323144039,0.00032729511513807097,0.003986756601388919,0.005528284109090897,0.0006049768823017665,0.0002454977501127331,0.001283550629490815,0.001966136372080207,4.475347010757247e-07,1.1909415562616488e-06,3.063764493926868e-05,0.00036778413122795506,4.1422141974667426e-05,0.00014055882166319478,0.02112858737259371,4.385263209916168e-05,0.0006401848763064599,2.3901642740575824e-06,0.0005472439191289702,0.002534605405354995,0.0003746811073042089,9.282330459825516e-09,0.0002555316558257026,0.0009294027835817786,2.5688412079727385e-06,9.260629972196455e-06,0.00010802067219173317,9.512724630234004e-06,0.00017261567015203205,3.212499527283086e-06,5.8036483414625195e-06,0.0005435619933580327,7.099228131135504e-05,7.824392710809036e-05,0.00012502127632441074,4.759652954056115e-05,4.248785391069987e-06,2.377960646171573e-07,5.4263731368742185e-05,0.0016746692897653404,9.31971015099009e-05,1.716668052154091e-08,0.0014784038077535477,2.1121209992536194e-05,5.2641406722564454e-06,4.51676340773588e-07,9.29509842242382e-05,6.106747041378924e-08,7.213025430674591e-05,1.8410720343364773e-05,5.36605644620991e-05,2.725194187558344e-05,0.0015803927058297695,0.0030154811621958544,0.00012630490421683405,9.629518542553228e-07,0.001318630729528536,0.0034756356544858313,8.70047828227527e-07,2.3873111953509607e-05,8.553119100973561e-05,2.173194526466915e-05,0.00010610567313218411,2.9730737447497546e-06,1.597520065566016e-05,5.3309306262683265e-06,0.00039736921689614846,6.3607374225505e-06,3.22275241382286e-05,6.306376286158155e-05,0.00031411145763593495,9.14140186258905e-06,3.8906803043081695e-05,2.363666886506799e-05,6.367312925292801e-05,7.962409468653675e-06,1.7665277018963366e-08,5.9969942201920645e-05,7.875362505682659e-05,2.9576209201742643e-06,1.5237618972374634e-05,9.543526732436192e-06,6.156996527639791e-05,3.669685415808033e-05,1.5242965383244211e-06,1.6043087405215317e-06,8.366522896707806e-07,4.48285251364311e-06,1.0924151250479852e-05,2.0786274645967495e-06,6.642400267597992e-06,1.0168028683477104e-06,8.427603793048632e-06,7.514262247987347e-07,3.7039258731663693e-05,1.942577043667626e-07,2.459866395465582e-06,1.182563462842623e-05,1.0384614866243425e-05,4.282238161401608e-06,1.2377142866171198e-06,2.7984584298756943e-06,5.18383611503026e-06,6.964951819732335e-07,7.375924047092752e-07,5.538820861961113e-07,3.576497831225822e-08,9.357664199072246e-09,1.3835643741799686e-10,2.6170760629717904e-06,7.494549993936062e-07,3.8841256433386206e-08,4.739815473442377e-08,8.636769965875146e-09,3.957101406548702e-07,1.2074470396861159e-06,4.258319608041461e-08,1.2606545540805314e-07,2.407035593066098e-08,4.2821932222381065e-08,8.245624627534198e-09,3.7783140482972044e-07,5.349807636889636e-07,6.943681385429556e-08,7.775491157602232e-07,4.2238658704008003e-07,7.95423911181814e-08,6.546693409603677e-08,4.227090824038271e-07,1.058641946993788e-06,4.218192017901856e-09,1.0221694823897565e-07,7.022047885385518e-07,1.2417510668605303e-06,6.938112417920195e-07,6.178150973035201e-07,5.2776234493734364e-09,7.629764597893995e-09,1.3954731525878117e-07,5.745180109428816e-09,4.728678781873441e-09,4.576423240365557e-09,1.4770957834642218e-07,2.3498330170568238e-07,1.02077877262019e-07,8.103772608514248e-07,2.7709540439957436e-08,5.310577817496664e-07,8.805772866438133e-08,1.2731641696461793e-07,7.554529157793866e-08,1.9149147600927563e-08,1.171820758205655e-07,1.1326212634443777e-08,1.0523304450060778e-09,2.8237083782300942e-09,8.260614414723477e-10,8.16537082393154e-09,7.896575837662567e-09,9.520594534961901e-08,1.0011942386256578e-09,8.398396067477165e-08,4.3933658044892354e-08,2.4554363875495255e-08,8.557001329734248e-09,5.6552509786200744e-08,2.841972945866189e-08,5.711943806829822e-09,3.108627755210591e-08,1.0436119746159989e-08,1.4667529635303822e-08,3.4513707447558772e-09,2.1269939143309102e-08,3.0972262532458217e-09,5.3408315103808945e-08,2.517866302120808e-07,1.1323970872112454e-07,2.326964922971797e-07,7.589997519374947e-09,1.937929563489149e-07,2.1105099445861697e-08,5.771281497146674e-08,4.589753266337482e-08,1.763973744850489e-08,2.306088120462846e-08,4.1642232773142496e-08,4.6478547233164136e-08,5.53420229643109e-08,3.2259898308240054e-08,6.3418179596652635e-09,4.9197658835709035e-08,1.3058957248901493e-07,3.0681980067726045e-08,2.6217057884636574e-06,5.867312014018466e-07,2.2353889672643845e-07,2.9540614399081733e-07,5.675135392735342e-07,5.926259196709083e-07,1.358878107815542e-07,3.1197055783138694e-07,5.083733434219084e-11,7.267596247029218e-07,3.193628406172877e-08,3.192708719623738e-07,1.2725124332035875e-07,1.9921301648295753e-06,1.4881907643982117e-06,7.705824911496961e-08,7.301609539211995e-09,1.144284255794048e-06,3.896668769876044e-07,9.704156145318166e-09,4.6364120764863515e-08,6.644171879344185e-08,3.525629677092468e-08,1.917561280873059e-07,1.0947646122971832e-08,1.272931160478663e-07,1.2641534530288823e-07,2.5140717996308126e-07,5.4422244488705473e-11,2.1916897674501001e-07,5.008499925907017e-08,5.995619156706766e-08,1.6178520745313563e-09,5.295259786208817e-10,2.8546706776211295e-08,5.711850548095754e-09,6.380378270165465e-08,2.138806554086159e-08,5.431348704121319e-09,1.5881123083261173e-09
3N1P+1,N1,0.0,0.0,0.0,0.0012488439439275467,0.0001010535583865213,0.001823026133073391,0.26713675847240914,0.0022560499421522273,0.00016174418835079862,0.0025544777447825684,0.05027436873498892,0.012337725071284611,0.007925006584475813,0.0013174875448584977,0.2473263897270228,0.1387101377037232,0.2736436107481284,0.16275701606758197,0.0006357555437790374,0.004215929958479858,0.0002950497026459331,0.00013723934660880843,0.03361490204001294,0.0012346894157655441,0.01258008761348739,0.00021446458662266465,0.017559219676988924,0.007756903980161045,0.0006664555254169979,0.022987935483484323,0.0035613678230652646,0.00039661388810730003,0.007333431825555792,0.0007762643129147762,2.857240849385434e-05,0.002050023217614605,9.107582954470672e-08,0.001621337415498747,0.0003072614646799643,0.0005280151522923937,7.505290500642303e-06,0.00011798990364431106,0.0007184780906039911,2.4219984211981682e-05,5.902552193681743e-05,4.4527570300934016e-05,7.3339922861404006e-06,7.004010256217441e-07,0.0003146009926049409,0.00016227674731483788,2.4160644016557598e-06,9.373830347136902e-05,0.0001195979847401496,4.519451479723102e-10,0.0005695308950399713,0.00019908135162705065,2.8544738110536372e-05,4.881542161605523e-07,9.106774307454657e-05,2.7899105270456914e-07,4.390051657976457e-06,8.247480165479715e-08,9.432155174904366e-05,3.525835075524064e-05,3.0889255702604146e-05,0.0021010345466776492,1.2606336634579662e-06,9.545238059516237e-06,0.00011463463014127484,1.2074123705296813e-06,2.812104473282062e-06,4.297746344583686e-06,3.816240528031756e-06,2.0629305286234967e-07,1.7308154909301265e-10,3.6411346955311785e-06,3.802765588245549e-05,1.0433395039699533e-05,2.775547195632555e-06,7.153244892865729e-05,7.200770877524576e-05,2.073198654661823e-05,1.0381360049382948e-05,7.391590491678812e-06,1.0992513128194048e-05,7.595767894663652e-07,7.20059286263286e-06,1.0852896417112845e-06,0.00012996483119298574,1.8032818744906365e-05,1.968021587028801e-06,2.90970163874249e-05,6.337576369475073e-06,7.34452402451069e-07,8.988644160279335e-05,1.792806209022224e-05,0.0005830996097144769,0.00021889650687922924,0.0010795184525091983,6.347365157655105e-05,3.3385130217000736e-05,0.0005117745902003534,0.0010330416033963452,0.002121654201138412,0.002219000570317764,0.0001213140006934843,0.0005499392729162444,0.00043038984603827046,0.0002358220297788982,2.6354469315093e-05,1.1701230915317495e-05,4.600437793822465e-06,1.0500283202041771e-05,0.00020599981800617506,1.2262948985153344e-05,0.0004284738866591198,0.0002817135184862707,0.00036747132471104393,7.945872043890745e-06,5.714815831669995e-05,0.00014348488058191222,1.574451677033295e-06,0.00026177219866507784,3.004152641983282e-05,4.904954157058938e-06,1.5191456104179935e-05,5.235658472546589e-06,0.00013952544164785863,1.4902314315445864e-05,0.00034656911100094945,5.885252529758134e-08,5.423432606566081e-06,1.7813100843699914e-05,0.00015820844489988772,2.033547628066401e-07,3.4805954829408847e-06,3.6589011265242277e-06,4.102355085189302e-05,1.3680069002486306e-05,1.1149341425209514e-05,2.27808838260124e-06,1.220325253958876e-06,3.476247405753696e-05,1.2758474869922765e-06,1.8165385215596075e-05,1.6367406435513487e-05,6.862353685299638e-08,1.1781224711349125e-06,1.309890778067313e-06,2.3994451434639075e-06,1.2308294330409808e-06,3.027055535120837e-07,1.5702623481494982e-06,1.5470922889448957e-06,1.6620531533284577e-06,7.468878473915197e-06,6.03879846083899e-06,7.373627091133983e-07,4.494125686038686e-06,5.308648594493093e-06,1.072837481830291e-05,5.269966364629397e-06,4.3158978479951315e-07,5.2815652296089866e-08,4.512216023044857e-08,1.7625746280280907e-06,1.8035602429300468e-06,1.3387883437410153e-06,1.1371703005913503e-06,5.907343583189117e-07,2.110332051330488e-07,2.695216494430497e-09,1.2741536714599988e-07,7.426206538596603e-08,6.659025997279855e-08,1.6047504525218415e-07,3.19574616769458e-07,2.992893910480632e-08,5.94999114422734e-08,8.008604761577942e-07,2.5535645997720735e-07,1.7098365132639515e-06,2.1926812072692314e-06,1.135987655942472e-06,5.541899863459321e-07,1.949434231818259e-07,5.600169252772957e-07,3.5870455494801945e-09,6.336091451508707e-08,7.858852812958617e-08,4.188582036768196e-08,1.7041949185170324e-07,7.96759103138811e-10,3.179084995252879e-08,5.6886749977280715e-08,1.1514013298352666e-08,1.891277578991435e-08,6.709260702564279e-08,4.741433468069545e-08,1.2218202938285572e-07,2.9471536322489555e-11,8.094926329249574e-08,1.0247269699448225e-10,7.497955123447753e-08,2.6174165057568644e-09,1.0077514955852962e-07,1.6341394903918172e-09,7.319044792453155e-08,2.6935655927928792e-09,1.683063199919843e-08,4.326639047036451e-09,5.6211657106786106e-08,6.646008365862599e-08,5.834540806048949e-08,7.252277800517959e-08,6.962652676634207e-11,1.4180463470125915e-07,2.6417534826350675e-11,1.835053364818151e-07,2.2690997303342897e-08,1.940249672038874e-07,3.1067325889644337e-07,8.701678488876041e-08,5.0238803783742014e-08,5.37655386878555e-09,1.3137915955141466e-07,2.501968632273588e-08,1.044315167675336e-08,1.4113441304530738e-07,1.579638864157573e-08,3.429417860800754e-08,6.320233225665106e-10,1.324350407116981e-09,3.70656003667591e-08,6.559910392667234e-10,5.557839766190398e-08,1.018311095446478e-07,3.879485621638423e-10,8.705616449944387e-08,9.494783270724838e-08,1.581353523683049e-07,2.577032049533301e-06,4.322985904803289e-06,1.9839755616146704e-07,4.494860378567722e-06,2.896337087943124e-06,1.6932272561831496e-07,3.6874811204512525e-07,9.309937785140221e-07,1.76844756327732e-06,2.03451664693155e-06,3.176792162662423e-12,7.686964227371362e-07,2.7135058247029775e-06,1.6054910734197847e-09,3.759005640091573e-08,4.810817646472287e-07,1.0311969136367338e-06,4.402566760042248e-07,1.3426273426375701e-08,2.7666028445949564e-07,1.2872658938789527e-08,5.848311390721506e-07,2.676125698819476e-08,2.2342212657733285e-07,6.373319116903531e-08,1.6272515113158192e-08,3.6380338364061515e-07,3.51872908588291e-09,1.693335200947388e-07,3.3752152184263196e-09,7.933696455353356e-08,1.0179215292893673e-07,7.329218121299164e-09,5.18136009652892e-08,9.78763736725341e-11,4.0077287177808785e-07,8.534408513227731e-08,2.5411346360471043e-09,4.0866042860798757e-07,8.749973234856157e-08,1.5697764643718415e-08,1.306654762167625e-07,6.926557061248673e-08
4N1P-1,N1,0.0,0.0,0.0,0.0,0.009484156096245755,0.026882990513007687,0.0020089289522084997,0.11798233606774078,0.015553271757232867,0.0009765331644973063,0.0005263932837817897,0.0006299890324512614,0.005793680547402591,0.001422211532903006,0.09216399779376427,0.03631232056292655,0.15673595805803187,0.05591763275324135,4.121259859846127e-05,2.1951140501297317e-05,2.2303041872007157e-05,0.002415862764695298,0.0009277320710805448,0.00044924025415404856,0.00022354977145644384,0.037875801496362715,0.0005910392927099828,0.0009024083108424286,0.00014519835504644973,0.00025921277172846757,0.0003039999917748837,0.059673766897505365,0.0005006413624326633,1.7987568190491743e-06,9.353697339142819e-05,0.006294039320005496,0.003411193361530618,0.003800784675055624,0.002468234365760047,0.000593203482810889,0.0007314507171916063,0.00019451530891023694,0.0031080942216599183,0.0002458824433517748,0.00011018838518173091,1.618896658150959e-05,3.569463458141797e-07,0.0012047435632389636,9.025209133506351e-05,1.5207502404024353e-05,0.0001703424701708922,0.004433964663854706,6.28712797379194e-05,0.005831399228261702,0.01763004875252827,0.0025379993113565646,7.769115612177302e-06,0.0002947033281848199,0.0033553867224189737,8.812468496732784e-05,1.0416988925010529e-05,0.0003765250764782291,0.0003476770082415648,0.001017597778221857,0.0003335449160024595,0.05968059426824457,1.750576950065863e-08,4.1152084860662796e-05,1.2815304373248182e-10,3.194411452556167e-05,0.00013478097277141998,2.3010164535985922e-05,3.9564722208673686e-05,3.0865545349811896e-05,2.712845546959386e-05,4.229150232859524e-05,5.643671387778326e-06,0.00024231086358561527,8.442553896426119e-05,0.0006060445226374611,4.2135585406111176e-05,2.402312614169233e-06,0.0003219752991392433,1.7681750259512796e-05,0.0001244947049365841,8.027389841869237e-05,0.0003031498961867385,0.009994338826080362,0.0004917964632435989,0.012008148369192284,0.0038027313632276183,0.0006307290614069316,0.0008736878838018214,0.00065937331122079,0.008391866445133012,0.000211452215516994,3.3096748467187354e-05,8.013432250675301e-05,0.00047294222331561997,0.002610195952589711,8.047988189452404e-05,0.0013684717459252482,0.0005101485715170995,0.0004332893274017202,0.008493146125715167,0.0007663492095026925,0.00046012619416302414,1.3332653174824571e-05,0.0011213151862059512,6.191581128844881e-05,0.0002823056450376171,0.00011995019945154617,0.0010913922644868457,0.0003433459885489043,6.906380672910828e-06,0.0004759500536968275,0.0005823335498602589,0.0003079982647498092,1.5308574781158768e-06,2.8904968920606677e-06,8.487327864070693e-05,0.00017234355957684855,0.0007149916989974692,0.0009057860525529815,0.00028413819618955394,7.970535489398856e-07,1.8489597816140346e-05,0.0011876053594961355,0.00028274834421182504,1.3241117000628577e-05,7.260947784359928e-06,0.0002830009495857766,2.880638660940349e-07,0.0003964858630833845,0.0001095810515692186,1.95020536035706e-05,0.00016637401719110656,5.235579645379573e-06,4.0709315918263655e-09,7.242283781572212e-07,9.172477303387438e-05,5.077512493811831e-05,9.904140156002939e-06,7.684989669298758e-05,2.1369965703676996e-05,1.2721223630052236e-08,1.2955133721348489e-06,5.3307098079713455e-05,9.204831361975252e-05,3.0002045824595314e-05,1.1472963567626948e-05,8.524970534828924e-06,3.143991434395588e-05,6.9810134650794e-07,7.643555477443442e-08,1.2596850944346372e-05,1.6017561703218774e-05,7.418350707721899e-06,9.394957723563024e-06,1.5142887005437089e-05,2.3820439851718334e-05,1.848847908769713e-05,7.085304715825913e-06,4.589462063719907e-07,3.3214853090157703e-10,7.569572786358947e-07,8.519551997210328e-08,6.867899449147785e-08,7.667055745841367e-08,4.616630779885611e-07,3.815744564761303e-08,2.8280268349334392e-08,7.307273630630107e-08,3.9935941560376165e-06,2.4491698025208564e-07,1.1695435471192894e-06,2.9011711835114085e-06,1.1545511879873516e-08,1.6312749329117082e-07,3.0358931430995995e-06,3.7151302416660315e-06,6.568720967159436e-07,1.4329486281994264e-06,3.2916369852031835e-07,5.136471070699145e-07,1.332246313268115e-09,8.079825737361546e-07,2.7663855939330517e-07,1.714556225884678e-07,6.627617548105036e-07,7.1682133562234185e-09,4.421951094180088e-08,1.855335440836825e-08,3.1121719779036994e-07,1.658424145123405e-06,9.049754030598933e-07,1.327768803349727e-06,1.5223683647036523e-08,2.310996563004153e-06,4.871630818747974e-07,1.8244858956961707e-09,5.502672650870011e-08,2.7724156392849864e-07,1.3172663249072514e-07,4.312849277710029e-08,2.9283426350446007e-07,3.3613007444088794e-07,2.8097308923946684e-08,1.1100400154617773e-08,2.2719791914482812e-07,4.799259754051377e-07,1.1387665033169014e-08,1.0892830593078884e-07,5.275010206418074e-09,1.1439491220954778e-07,1.5182104462496682e-09,5.757739751643953e-08,5.4168363350370896e-08,3.57060467859327e-08,2.465449397970332e-07,1.7399983676114061e-09,2.515434815997253e-07,2.567279722143212e-12,2.5356605704018875e-11,1.253212866814124e-08,4.960526367447926e-07,3.6095447786266277e-07,4.183792490231042e-07,5.371435691792215e-07,1.6807836500376538e-07,1.9437006404388057e-07,5.664267277438739e-08,7.81455211651405e-09,3.806969681718897e-07,7.278993185977356e-08,1.1147529721533544e-07,4.012487719862179e-08,8.051392641483801e-08,1.620801648449799e-07,2.0083892238176304e-07,4.412595400182795e-08,7.453041805938199e-06,1.8785601518800377e-08,2.0185581739440295e-06,2.0583035632348867e-05,6.749359870994454e-08,8.752588054328214e-06,1.6381845222568359e-06,4.80230700894424e-06,3.601389830798496e-08,7.939313625637823e-06,5.8714326804931716e-06,3.064304757049996e-06,3.9653386112448175e-06,1.2280042316348272e-08,1.289859552500161e-08,4.340093955335078e-06,1.3982326407813161e-09,6.981121991600503e-08,3.3291151213532544e-07,4.7106504252880654e-07,1.9079381097242276e-07,5.814990480246252e-07,2.6339710190725896e-08,3.8686565062562295e-10,8.379267195657292e-07,2.6392648444506506e-07,9.885296592404558e-07,5.7533939834542025e-08,1.173059289705236e-06,6.106773016156808e-07,1.7186543832536927e-07,1.757793910428518e-11,8.484806279795976e-08,9.601059223207642e-07,5.868874408676561e-08,2.299104018277376e-09,2.3181292951868215e-07,3.317798256130544e-07,1.277433995028332e-06,6.464415669427126e-10,4.916292573042824e-08,5.816461170482512e-07,1.0478333241081828e-06
