,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24N,25C,26H,27C,28H,29N,30H,31C,32O,33O,34H
1N,0.0,1.0187120485196368,1.0225221640185431,1.4721000875799624,2.0960660055252025,2.4340839171247834,2.7104109566997616,2.68927313752301,2.055690475872407,3.815813209717585,4.089473410979267,4.573403047867835,4.238791338810052,2.4762018614226795,2.8113604453329493,3.6242264035671043,3.932041555843289,4.859300884577051,4.819965049974349,5.915459582522382,6.80451850593164,5.681820988876348,6.495567548103542,5.9641667717070055,7.832895585171491,8.675477903931089,7.0832999023328345,7.328166944184451,8.138800986638206,9.091800391630683,5.692076531149777,5.679100120158178,6.835467453920821,7.407139531058391
2H,0.0,0.0,1.6314526354270031,2.058297833747862,2.2952803588417625,3.3141141927988294,3.690284154426535,3.5104155957902132,2.828657710708134,4.566400047431391,4.667380532416196,5.408612548736973,4.940896694231347,2.835637375710061,3.2062470731332344,3.7854169913360276,4.056823163393793,4.9808595829376925,4.89023705515865,5.833988678345229,6.729470056490796,5.4165266728626555,6.461436095809945,5.9478973757223494,7.823908013352514,8.664235778131356,7.1008094160951805,7.365366646372,8.156572502410231,9.124132561099369,6.036095852102487,6.186125894836827,7.127192900912476,7.797338477695623
3H,0.0,0.0,0.0,2.020106773164603,2.899627316177827,2.807542993030335,2.674408964879083,3.267898753141585,2.6722794675578174,4.2221783943633255,4.7013774508576285,4.92422949541387,4.48194416828074,2.4713200300779175,2.3246631051400692,3.7785667173539563,4.315431947868755,4.8062391964683275,4.568156929595762,6.001179285573875,6.777354734404622,5.812808723402407,6.76621366183701,6.421734165053834,8.102542587334646,8.860731693069177,7.599562780448249,7.950210212947996,8.549644958164853,9.520443286214977,5.562394178897246,5.613567163985081,6.5917030162485295,7.146309592210543
4C,0.0,0.0,0.0,0.0,1.096919204463915,1.5572009966519345,2.153316949107237,2.4088562639926367,2.331000077258402,2.581796411443859,2.8223542073683046,3.515801624352756,2.8833682411803374,1.5331381002980984,2.4056407365336954,2.465178882592135,2.6312389235921247,3.821890954841871,4.06021428230358,4.89109576853299,5.833947745410291,4.847407464309541,5.282097973862335,4.6883607350181755,6.570574820659323,7.443752052936461,5.761087389210022,6.015140026495992,6.810008869934584,7.742959363142544,4.526171004271375,4.400915334034101,5.776561612718172,6.302530000647482
5H,0.0,0.0,0.0,0.0,0.0,2.160255932100527,3.048404471402689,2.687574967941633,2.679114063648374,2.757775752096026,2.5498280585687585,3.745302474106937,3.1518266399076826,2.1824751723081177,3.2718002013550507,2.5782210190813384,2.3471083502948984,4.02111539930753,4.441087446433201,4.788575330069749,5.8247963302985,4.652830446044239,4.947897974567731,4.136998457578648,6.2144233568342315,7.168111531836247,5.134698879288109,5.275950946300353,6.296091973121586,7.206548920650337,4.851958755509799,4.747376862062429,6.136028331595777,6.702534641878766
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1052676067243488,1.4157229851287698,1.9037887391089852,1.5230177186540685,2.162966919816498,2.149558099029406,2.180663650012845,2.55554629420707,3.2021191919476117,3.3924791114149904,3.440110420714662,4.628642105682357,4.977268676606819,5.828800991720852,6.727426414948747,6.014222711414304,6.022486433153151,5.344162982430926,7.1732822086226635,8.047375653085304,6.215394443638796,6.3329171207854404,7.26591588508781,8.112935389187335,4.861167049882689,4.349012015838228,6.149697296368717,6.456326405586433
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0788521253937393,2.3926148444870896,2.1557997607479638,3.070761981315485,2.505497562026229,2.4874299016539103,2.6938497210634345,2.907666819463323,3.7231663337139738,4.02343681533641,4.744495839684203,4.91996904657755,6.119691506431543,6.9028786550425005,6.373343608840288,6.490329650935637,6.006579977808431,7.628805294979489,8.412203737548424,6.9279583921404235,7.148602276713394,7.8605779368165205,8.71585251902079,4.802865070278572,4.279104082475495,5.982045431813785,6.216430866869315
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9796613622444933,2.384176924627074,2.6616334577435237,2.599495704415554,3.347836201013051,3.7678849264028442,4.389101753928225,4.620143120339369,4.531209799138753,5.9453613988600775,6.283359727160751,7.047047608563088,8.000569640599469,7.123576598768402,7.150054013939742,6.303140743616342,8.294786705379027,9.228317661028342,7.076405789164521,7.015175475621848,8.241618438557863,9.049390693616706,6.256718032494014,5.715941482946286,7.557698076202439,7.860409175669221
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1851060702253156,3.4322636711298404,3.5312452004656794,4.04163680859302,3.7595748591627265,4.263645098480593,4.763471586295792,4.7803140824824,6.105767679154114,6.307602771477121,7.200940131816118,8.152627536627623,7.146097753715468,7.451467172600609,6.656769244474812,8.675993474755503,9.601104460640887,7.535831582945029,7.528177855323942,8.709217087027811,9.56450423400623,6.5985193090916585,6.20927110787674,7.864717305431117,8.252147766938748
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0973018070928817,1.0951661406672946,1.0945712305056408,3.1612376427914657,3.985721364236658,3.4414429040513,3.2009593533553984,4.533522563210251,5.161093153972081,5.593295538178873,6.47779922917282,5.986698312462977,5.454827544849972,4.68425911078199,6.416330474157015,7.302826212077273,5.31641187656595,5.344997992216664,6.3307863596240175,7.080583410304283,4.448349422803147,3.673873045281072,5.767467358142449,5.937545575250868
