 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,N24,C25,H26,C27,H28,N29,H30,C31,O32,O33,H34
N1,0.0,2.0194636585949635,1.8624814205082323,2.6748636046300094,0.08229419046593489,0.20292507154053024,0.007392361353285581,0.09792287102919126,0.19744985690138128,0.031002560121498463,0.0009100590521611274,0.004063696823580543,0.0010263675136303885,0.22067605180561903,0.059642710336746355,0.03501490578446198,0.002183881297060153,0.006645393917437459,0.0003582445842649218,0.001499164299382627,0.0002920035800655363,3.804518621464137e-05,7.924967825720386e-05,7.238708486556611e-05,2.8163927211166673e-05,1.5351183875189633e-06,9.505016458688509e-06,6.287448721664646e-07,1.0961602709774754e-05,9.782374923439363e-07,0.0005361854172300229,8.915276808298123e-05,7.260911756568067e-05,1.2045347658751204e-05
H2,0.0,0.0,0.028712796905056237,0.10396253210023987,0.009095954676977991,0.02919154766696963,0.0005946191422265823,0.00376738192026449,0.0013429958038160272,0.0033701751402908098,1.88653424573193e-05,0.0010044791264254282,0.00010611518560343924,0.0057454441842769155,0.0014542626933444769,0.0004059483913572137,4.651151061096925e-05,0.00013196485950672798,1.5769241930030375e-06,1.9515421035287694e-05,2.849404377336384e-06,9.531525935191354e-07,1.9933136613525804e-06,1.1171682898769575e-06,1.1924074984070998e-06,1.8422391390160442e-08,2.1368571601065867e-07,1.0182863219299065e-08,5.350999489062147e-07,2.4109845231379268e-08,3.078951731982915e-05,7.065661343341745e-06,5.715241644277391e-06,1.5941834126120824e-06
H3,0.0,0.0,0.0,0.10454777445778307,0.03228213263935076,0.006255715570934961,0.0032603835611915155,0.0016986905013278708,0.0016294113464394577,0.0007644697740629702,0.0003806457060544499,0.000192125449563596,1.8944516362306985e-05,0.028605623668255253,0.07236918852871133,0.005035221774335463,0.0006494504766270115,0.0006238734266902357,6.700704049089623e-05,9.862894775014563e-05,1.4283902223022338e-05,1.7775790424057192e-06,3.3593904336770564e-05,3.895118579899659e-05,6.820185786460264e-06,1.6278625469823282e-07,4.324740108141434e-06,1.5729952962395544e-07,3.8065781595708614e-06,8.054292714998468e-07,3.934580952702493e-05,8.311515342418474e-06,5.724492229797207e-06,1.1448550862880325e-07
C4,0.0,0.0,0.0,0.0,1.734147857066097,2.7254235854236923,0.08428780212473774,0.2134105756965997,0.03462376580118243,0.161358476276167,0.011136208068516673,0.03173914743109285,0.004414150168634334,2.572603984486118,0.2798760311986127,0.2293831645605289,0.014134646951080798,0.03594922553232818,0.004764071614927312,0.004127453086082505,0.0012178066856258773,0.00012397578362022266,0.0003403344875420322,0.00046953609412764274,5.600083251258714e-05,5.0229166734805375e-06,6.146317097444065e-05,2.4443194823753345e-06,2.944455312614558e-05,2.045929786365086e-06,0.0033215262728585604,0.0005586106363699161,0.0008105740494779301,0.00016939133837923226
H5,0.0,0.0,0.0,0.0,0.0,0.07745732874141908,0.03600428800684963,0.009518632306756314,0.0014812777274708644,0.010909654094137577,0.0058981902997279345,0.0005824477382334603,5.501225407211763e-05,0.09235213432962541,0.022667446517516843,0.010973150485912742,0.008085340926118345,0.001840420872679438,0.00018405756306782983,5.490125188489792e-05,3.6267960523694853e-06,1.0016334968776519e-05,3.6031127126134876e-05,7.234721601556693e-05,1.2986675265169723e-05,1.3187151788329743e-06,1.150171829333857e-05,1.8718561569652792e-06,2.3231402763723707e-06,2.187795375974133e-07,0.0003020616806308496,1.6241868742161714e-05,7.663400806057208e-05,2.043992485956103e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7791613255556118,2.96016662375264,0.11423579351513957,2.6419169975769,0.09047664783696363,0.10165243579419414,0.09788712189806681,0.17584843770860611,0.036947917344833395,0.02685341615171455,0.0008931992144440848,0.0034060908961088265,0.00039728278842088294,0.00030544268672771935,4.2177922454866845e-05,3.964262494093873e-05,2.3051328871065424e-05,5.744339007920929e-05,7.856988349097538e-06,4.819463701455362e-07,1.296612836448885e-05,1.386158232863366e-06,6.2361155819812275e-06,4.867997717150629e-07,0.0014121346119621847,0.0008301747474038362,0.0002894792989925482,8.345122177944031e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11212663608163476,0.007013479433616077,0.08700627200281486,0.036993223589919966,0.005016094727435361,0.004034715616960005,0.01128432892540765,0.008264607352971964,0.001501307455903822,0.00032673567363206146,0.00015130928716433623,1.196298699102094e-05,3.1477009210245654e-05,4.293569056068591e-06,1.9122108210201105e-06,8.638861147547416e-06,2.1299333216484584e-05,2.5482933798670615e-06,2.6207336367711775e-07,2.6525159011470123e-06,7.991738104617951e-07,1.1802289248130649e-06,1.9646856674881974e-07,3.234226083970171e-05,1.143313522888878e-05,6.663591098021726e-06,9.663834983353325e-07
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5161667851645464,0.19468229394429365,0.009387944030006645,0.010667197756187408,0.028678402693443905,0.03888750009806309,0.009279755243428653,0.0060374176035059846,0.00018939353653735225,0.001037589439427472,0.00016097132465964226,6.878755646026746e-05,1.3435916237036771e-05,8.17958343035663e-06,8.016119256146204e-06,1.5680580668142596e-05,2.645556004904348e-06,1.0067892242116017e-07,4.2942266980788846e-06,4.1838181308317957e-07,2.2962248583946465e-06,1.624755102680453e-07,0.00044043327032294854,0.0003706296451719826,0.00010561370190373398,2.4399107341754878e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03252310066648845,0.000715618011298158,0.0006913656673646074,0.0023761863373723546,0.005493304156486412,0.001210943125899755,0.0008016800306270833,2.941129979339152e-05,0.00016488413793191992,1.0407435014680999e-05,1.5764215859026542e-05,3.5785345773309274e-06,1.1855414097095007e-06,9.616744379714603e-07,1.3372039812109549e-06,3.805528536737768e-07,1.665302717945849e-08,2.711061288795946e-07,2.2759726325816132e-08,1.4137063308883313e-07,1.4683918969637944e-08,4.019823810685885e-05,5.371916922825015e-05,1.3768261051705366e-05,4.242475255322731e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7886056777225807,2.111118183505376,2.0101569095837766,0.013728196558115302,0.003001443760409034,0.010446280869277083,0.0032800291280304927,0.0009519960603165678,0.00024577851048124266,0.00019337654789050585,2.5543495336677324e-05,1.5886986894697586e-05,5.4593443074679726e-05,0.0002481407269843555,2.4105313181060906e-05,1.8666497283437167e-06,4.4785148516385265e-05,5.1915778895850195e-06,8.726606723713504e-06,9.930061559693115e-07,0.002502679278577391,0.012539029300719207,0.0010958352475149147,0.00016500259476270873
