,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27O,28N,29H,30H,31C,32O,33O,34H
1N,0.0,1.0202811743756586,1.0215390427958637,1.4647181546819847,2.082318308036488,2.4440679270763876,2.5805271817023527,2.6973055887296735,3.8332157252562893,4.222902895697974,4.119153097350952,5.188385118872446,6.600105527352557,6.729959042640829,7.481946828224931,6.764306865418649,2.4840700622947187,2.8828481714659775,3.5923002235756383,3.8017421238583564,4.847802368668137,4.803905812076493,5.6229179394256175,5.12213210524277,6.0750267118319075,6.857059195684531,6.975813231682603,8.014326456881202,8.04979267918835,8.81515020462598,5.9133134274018335,6.981999589053867,5.811308149658866,6.694141870179208
2H,0.0,0.0,1.6236831507542835,2.0460669862422556,2.3388086981555944,3.3383902507140144,3.503311363088689,3.651353062816709,4.5986376325655955,4.89691143647033,4.743084215605808,6.087204756850491,7.391445936084779,7.437061025493372,8.321607844958237,7.509517705524262,2.7280709847548494,3.1454613830527403,3.6215818322625246,3.7998162748930744,4.786943728493066,4.772547631737365,5.294816634421314,4.629231192648877,5.752306716938121,6.5072662615229735,6.575694892467183,7.708902085096898,7.828374449255715,8.514130395442795,6.0267013124047475,7.0309654949654385,6.1431952840541015,7.061380535816455
3H,0.0,0.0,0.0,2.020347330453329,2.9128167074258777,2.7132363847096204,2.995323235643468,2.5397322895551495,4.146172707745304,4.394628973368764,4.65487006662702,5.370924207809921,6.8459515673646605,7.125082868935687,7.685606977898023,6.9225221871619205,2.569889858446697,2.503797416306193,3.865045970865836,4.304119614778094,4.939700398729247,4.669061476141638,5.817825950158169,5.340889868866351,6.421121557725388,6.895934150985355,6.870060918249723,8.10547167735565,8.209580505613916,8.826413250763252,6.010088129799144,7.1511192376822645,5.799054743649226,6.702981129932804
4C,0.0,0.0,0.0,0.0,1.0992738946752318,1.543363795911169,2.1371115400947236,2.1552548516151746,2.5794757749711974,2.8756797401858387,2.81200391949565,4.192122240020276,5.375148519335782,5.451553732616561,6.33542270809304,5.466657605016403,1.540527462903152,2.4138806089884985,2.4753179362788416,2.593671404772036,3.8535351598247467,4.008989975334413,4.811645394413121,4.557887982383911,5.144430867632854,6.139695204656498,6.469669633059229,7.156025434201372,7.043675935893627,7.997075595530235,4.699309328108565,5.740620271313158,4.549560483367906,5.381932494337647
5H,0.0,0.0,0.0,0.0,0.0,2.1646328114780116,2.487163167548702,3.059515910244709,2.7954043161368642,3.1988045046315396,2.5793462397432005,4.469928942668801,5.454561111795808,5.308372792622469,6.449120056227729,5.626984779773526,2.1782485796010187,3.2814248141245663,2.547026393532544,2.2335216235275186,3.9990867082458204,4.4175774813756785,4.729969932103248,4.461634367986982,4.842597584903293,6.185312442630343,6.66264240123648,7.109909691558555,6.926104309230625,8.023788829472661,4.803202236273124,5.689787649530906,4.846863299388065,5.614728181648146
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0953696550353,1.0971664967500525,1.532200188247378,2.180076670119822,2.174568720971922,2.761093418669344,4.19269847589669,4.442744378274368,5.045741497511566,4.423036967498117,2.525669320589422,3.115928998546846,3.42513739056695,3.517849549512476,4.697843679333533,4.809192941367546,5.90473887242588,5.848473914214433,6.188752113824484,7.178171967603453,7.554346385122148,8.082874916994676,7.851009962244304,8.889727249795571,5.145884073373897,6.1959204361811935,4.604526089433167,5.281870264736039
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7673488357235643,2.171911168059423,3.0851405062499015,2.5426465573818025,2.9095567650415814,4.501998634342113,4.674286057938689,5.235409240309147,4.963402289656668,3.4522652101604043,4.0546716591261855,4.337024867909343,4.283366035459231,5.685908904139479,5.836002787781524,6.795042776745737,6.6502441107494095,7.015762559003086,8.12719911222389,8.502776170664575,9.044967739186548,8.806568592439701,9.881713775851738,6.167717513539805,7.174075203003555,5.657028322269956,6.294012857746407
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.163123469526804,2.4996531710710115,3.077228967789546,2.959188370516495,4.497696063701891,4.978143125461773,5.248013972326307,4.611020303411087,2.725839281227138,2.8610744866595823,3.8415057122748135,4.183990881575632,4.925899158500217,4.798377420303264,6.240462190254324,6.195408341056081,6.678933057515733,7.363033286613549,7.601204250222303,8.319031422297533,8.15520058976207,9.043533481396514,5.368515505076562,6.501219108046427,4.665724684409505,5.356330716290449
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0960001743136047,1.0986904875454375,1.8373215024237524,2.7974801447154967,2.992486793147555,3.7650915757662236,2.9934153898534195,3.083334587905182,3.8033192766845976,3.4578990407581296,3.3734342023781925,4.569482502566236,4.882128879974741,5.850986087264458,6.055763876360594,5.955071799686275,7.1138564060144365,7.684830987018791,7.79456836942513,7.384668787894123,8.60612397141867,4.562669524258759,5.4658596136546995,3.8796752662169514,4.340422058574011
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7775730395192397,2.423864960240518,2.9109463772012036,3.2102314640154828,3.9281332618495157,2.687403430045479,2.788603172381247,3.384085834012514,2.9667082408853447,3.0664117557618464,3.8161067160080018,4.094581405825541,5.204103922447341,5.55636105864393,5.364208476436864,6.344781092467486,6.927085663725807,6.963725909039435,6.54167925208126,7.723462163374029,3.6197353282515383,4.55230066576636,2.811970581656948,3.275423170957402
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4237741240151722,2.9545850805658467,2.7308176531365116,3.9618061287970967,3.27608713846057,3.442734399279128,4.400759408877766,3.4991808328172658,3.095578833609282,4.677687209660408,5.208918730849889,5.768418256026584,5.970868929225286,5.680253541955113,7.135920448205709,7.831744551003807,7.732955275539799,7.252682554506899,8.61108769498921,4.651332896766494,5.392654263275895,4.207759660081952,4.608507401990978
12S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.825984208396919,2.448779626849793,2.3874118217900984,2.4471463737179,4.778125678401168,5.266007551151566,5.24309323975105,5.183704489888872,6.228629980106543,6.447079924123754,7.5858132666568485,7.854502149840985,7.678614851686444,8.7660748644934,9.321111414602347,9.367866896850307,8.894064414634569,10.123458720501096,5.982009252983061,6.810864744944228,5.0362794775119335,5.249318740546175
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095207537970129,1.093572230123199,1.095256779904141,5.667673782095428,6.239582143597069,5.724763840330663,5.545389935810577,6.460439737214349,6.841146460180954,7.7600429894618665,8.244046409270819,7.67733689767823,8.857846929083918,9.578081594407852,9.200366104585788,8.564145902691054,9.925793175267021,5.801096500308777,6.357506319819061,4.842017014420431,4.72011534330762
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.778069368982768,1.790201691604379,5.826278862714497,6.5761508128001624,5.703454997917339,5.336548630743213,6.490164910098145,7.030251657305921,7.64715687362484,8.128233756317574,7.4178914249554655,8.824281468844095,9.642778180493075,9.100519496549264,8.406983686205082,9.88274602802135,5.832175956039354,6.258932295902891,5.0776014706937,4.945426755379414
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7780164270978862,6.6783189189515895,7.178516880192436,6.797692811711798,6.636909339232904,7.507840746760315,7.842742429749211,8.828355689770804,9.324975894855848,8.749635533161403,9.889065654608403,10.594688923887821,10.200392970893072,9.546336857631283,10.8938922112345,6.795756510867478,7.316878993583602,5.771200207836069,5.563809988771922
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.453895199469373,5.924208640173076,5.399595625548471,5.334036505081195,5.912993079525287,6.252604062609016,7.247033745902327,7.8358663798310255,7.204326803633791,8.214170379037316,8.930889591575584,8.484296903321562,7.838157530080301,9.146737530981337,5.080719005889391,5.5968846166642905,4.031274857559298,3.7858780758507526
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2242417367173584,1.3743803907891552,2.0651805179735603,2.480253629134683,2.479609658786005,3.593025180825071,3.4706461069571732,4.131660661511141,4.775299045381761,5.05794187769475,5.824324335790093,5.782920717500323,6.602282029591296,3.465447000423763,4.58622072739395,3.427499004624226,4.36122880287404
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.281069708063353,3.1703375451120603,2.82140735379101,2.3060473778410127,3.9797513654735566,3.847619638062722,4.748741800439329,4.845321789691418,4.863101235937435,5.980178302649915,6.075309905264373,6.6188917562951906,3.8089020925424886,4.9967157646721105,3.6198561871083585,4.572882580652663
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011440314563862,1.4561393598259453,2.0371215843790074,2.4859407135583,2.6129151318932036,2.8427185829180166,3.826513265312603,4.3896269162331,4.72164173193411,4.570461219043988,5.582814030746729,2.44584344077765,3.419810343476406,2.841482140169517,3.722628300284984
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1329733447994994,2.954806216131199,2.788218594684857,2.910386346586614,2.759046500292733,4.271126369263718,4.999407452167835,5.008922717265414,4.7278221450572016,5.94933741230714,2.819660831448995,3.5515840229982016,3.3034964214759888,4.041292386944021
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0962924351469086,1.539125254892458,2.139386160337422,2.1750688479800004,2.5530371664999536,3.1885405779515916,3.403795211366642,3.322015017774114,4.1978448492077565,1.5331700863594329,2.4481459245034842,2.39129548545732,3.2262022220438036
