,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21C,22H,23C,24H,25C,26H,27C,28H,29C,30H,31C,32O,33O,34H
1N,0.0,1.019896547123093,1.018980307032771,1.471685995286151,2.1693287651560293,2.434240895687599,3.3826338175350488,2.726223705140852,2.817305509875108,2.277662466736486,2.493336879188475,3.6226945743399437,2.705976697204833,2.2724089150157307,4.13600668343595,4.603677126159965,5.08688942822364,6.078389030199757,5.047532348626669,5.295455765325579,4.841158796729111,4.215683939631229,6.386548437045006,6.979734792672791,5.609220165445862,5.659058230257084,6.988841632706843,7.93741870364352,6.648461077434557,7.396555922987048,4.674479919139868,4.318436788328712,6.005245282025527,6.445358476044521
2H,0.0,0.0,1.6323169247113243,2.054713193717414,2.462701275933584,2.6382376384609056,3.655214431658776,2.4953334401711142,3.1218764237743293,2.596278422772004,3.3767096169947894,4.413660369130278,3.719436366828331,3.2557369555209745,5.154138158156097,5.601590626009412,6.060544662243221,7.070918727095479,5.966358324777542,6.192144855456782,5.599052948233861,4.9200482891790065,7.277096212322074,7.921679030913351,6.23472140898241,6.13007285682693,7.778775930620244,8.726170817554717,7.313076451102614,7.974717743994585,5.663916551187985,5.224467742443439,7.00054768691314,7.402839113555154
3H,0.0,0.0,0.0,2.0655814667517522,2.4774980831955644,3.3404085273459083,4.186123492480646,3.64650288200919,3.7705917651021537,3.2020749798889887,2.721608594869777,3.8155810965701917,2.731732496520519,2.2880287428806456,4.035200631321368,4.406801005350116,5.231663914705924,6.127912753890979,5.33090567155025,5.562858036232364,5.334985350949886,4.84365002653384,6.548635736883818,7.013163270054325,6.144404847155001,6.321641074779488,7.22540460161384,8.106654973476322,7.04749589425397,7.821148931927099,4.342727883952696,3.8820761792807716,5.64362077462991,6.001616373529269
4C,0.0,0.0,0.0,0.0,1.1010844309873522,1.53922926910065,2.1637865475353135,2.1631880900214973,2.4483977133845998,2.445014777895515,1.5361713599085147,2.4042053231765954,2.456874846436387,2.5867747806450376,3.8233103494459484,4.069498865485807,4.616204663144585,5.581675228844328,4.293362532742687,5.1077761858696045,4.708162321371985,3.8891914034358597,6.37593532496399,6.932110837218771,5.7137442391975135,5.804416358768465,7.1525254352654954,8.166106680455249,6.869235624206164,7.719352585050804,4.792142686325728,4.806760127964695,6.018993968837653,6.646797301252814
5H,0.0,0.0,0.0,0.0,0.0,2.149299171483647,2.4792215706907035,2.439333223504321,3.369770699523605,3.4660815467666475,2.112542983357134,2.5598418696444574,3.2315051634582046,3.488455397551098,4.479147766287981,4.48127115797221,5.371725497007805,6.248558447153939,4.974496474656057,6.047183463197751,5.738188105204889,4.897310851042426,7.323185990042812,7.8004706216230195,6.790851116903292,6.8804227225545525,8.175790989344845,9.180565394472918,7.945107453139152,8.81110253707485,5.462700077739364,5.517022778224561,6.622088383993074,7.262853055365738
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.093105434277603,1.1049477516142214,1.4160007531307965,1.9256580967125831,2.513113037840707,3.091748830014477,3.3968529977092894,3.483733543156794,4.664749300366042,5.026268201331355,5.008216864424352,6.035149121670508,4.481049950852447,5.252947768755937,4.5078212713191395,3.502023937635309,6.586974621551249,7.3050433233461805,5.362805849491435,5.215728388768369,7.200861634071863,8.268608654692914,6.675279348336183,7.440167458207197,5.769025368566898,5.840087466367936,6.968131117830347,7.6424826557710706
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7793277410574162,2.035417267957222,2.805593060995492,2.681199003147084,2.8046589251130123,3.759764657197234,4.099713256126027,4.824984917699989,5.029859880968911,4.981059845943646,5.9276009094032895,4.248491234500724,5.39205795505169,4.728301460678791,3.6679435481997174,6.781622395523222,7.452066440656562,5.695923056656571,5.5934336671685205,7.489957629892666,8.5706818404557,7.0252777933385415,7.837241112630374,6.115398715859936,6.384633720892846,7.198493790740636,7.96622124313319
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.085419805659072,2.4388278079045285,3.460867515318664,4.028565279782953,4.347961637989562,4.30670409057265,5.684510435686553,6.030410750808065,6.0982796214048065,7.131746737826204,5.585569020233054,6.279232593455053,5.444016878773029,4.449302933720571,7.582146951120718,8.332901601391326,6.150983001338989,5.858088891154317,8.10633051359043,9.165996685496825,7.476668806539716,8.155294837861959,6.702820209333061,6.65082536494352,7.945510704628399,8.57324467195512
9O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9746216765198465,2.9965329528938227,3.7304908111581083,3.37866606602678,3.2609363956098707,4.526268681598333,5.150792274755074,4.580494600322171,5.659120134941474,4.170294246526176,4.431549137422041,3.4287790493383135,2.4513994157638646,5.691567334122509,6.5419355827052685,4.079244612070825,3.828764586036642,6.107616980994499,7.176124529355724,5.425632094117457,6.120886114299941,5.514577159768786,5.5378304116394315,6.702218568802809,7.328084054674632
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.071868558437964,4.047689525410883,3.15666070003699,2.7578862809861318,4.384662516721551,5.120670748786269,4.6272659749139935,5.722457487401739,4.4409948879486425,4.352219580476192,3.379904009300937,2.606704285751305,5.499647867432532,6.353604808499942,3.902978426142784,3.6828097245762934,5.8380666371254515,6.86785907334271,5.155968873694279,5.812679433396495,5.137728597454674,4.967729446805876,6.3952918944364505,6.917910444921481
