 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,C21,H22,C23,H24,C25,H26,C27,H28,C29,H30,C31,O32,O33,H34
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0115419879190206,0.3298723366785362,0.028451880007284602,3.7965456321942783,0.13043310521859008,0.3165180211214713,0.003582612830843601,0.32932189355032243,0.026931834180233816,0.0032613367118908276,0.0005356838876456466,0.0005837019715595332,6.81657159057325e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027122066164876335,0.0014976791126153355,0.12933010747272333,0.008485298615378278,0.0037275736135913284,0.0004737294641836698,0.02605645342851237,0.0011667465893516749,0.00019804699721559516,3.8522128690821056e-05,5.0406762960975016e-05,3.7952351001901974e-06
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9889805432416874,0.3135072840189073,0.003568011828111173,3.7956041640314395,0.12914710822017694,0.329694930975756,0.02716609793095115,0.011328176334024859,0.0015612441081835626,0.007880386986134316,0.0007795785430644298
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003833903320133558,0.0005209215272916623,0.1277903790964332,0.008222235440048076,0.027042195556830517,0.0012403731682593122,0.001877669511358926,0.0007164161307575689,0.009693876596929107,0.0004691463005510599
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9931531280270558,0.33789745843317043,0.02753519101163926,3.908363705232863,0.12670113780656367,0.00154742745541947,0.00036151494562046416,0.0004912305251264515,7.388904507132921e-05
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027646954526231005,0.0013847305487706407,0.1281682245590443,0.00800972820405077,7.550882908047285e-06,2.3459750692067516e-06,6.590440583154056e-06,4.714816585593695e-06
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.047597129353364,3.7305256770984303,0.12588391760488404,0.0012137434351090493,0.00042880115214877224,0.0012826331672826236,0.00016468085446885716
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12614464056050734,0.008013919647298584,8.253062222673968e-05,2.7702630174264442e-05,2.2206793612422615e-05,2.0138820273629676e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9573400436490813,0.0015492848978488072,0.00022726198198441683,0.0002601145672817551,6.183626473921233e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.359090812648517e-06,1.5178466332699259e-06,2.9697840238429585e-05,6.150256006032251e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.065932957952896,3.4260263292331037,0.1721233365353163
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5088769725044611,0.06876461799951927
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.757569143079376
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
