,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20H,21C,22O,23O,24C,25O,26O,27H
1N,0.0,1.0253665312215827,1.0233462550743142,1.481162654431204,2.100090759767046,2.4788969804395076,2.485817280966271,2.956586214447804,3.856699229318961,4.699901136480875,4.321013040154961,2.486900848389446,2.6921318521448625,3.71462179085313,3.959790089816629,4.9555420348762045,4.865723439727092,5.926197195904687,5.625009134841498,6.303930020485643,7.253429445382418,7.515212954433003,8.103568537980879,5.884947256993844,6.645895992524016,6.031168651134294,6.776056573002757
2H,0.0,0.0,1.599104024775196,2.0002778967873796,2.543700731308386,3.2765081211479603,3.4593533086193875,3.6060124760415353,4.616049803645161,5.571746528026519,4.884675772962734,2.363667150450369,2.112052389592206,3.6956667781666526,4.177154565180697,4.7205193205671545,4.431091264414916,5.657779059737765,5.282671706217464,6.197219549219633,6.8643540584317195,7.114458373782793,7.675934145135655,5.777237876968916,6.67385793050095,5.85757425737694,6.6876582817795125
3H,0.0,0.0,0.0,2.0205848011250094,2.901993352369659,2.4982460014146395,2.367744181274771,2.6399664655458897,4.04157700369393,4.751753289536226,4.695835858163153,2.847436950347983,2.9470074365436334,4.048732677025199,4.325841383222344,5.240494355967258,5.100050902967731,6.397083536459316,6.238427733193385,6.788483701384863,7.657867678978237,7.761035108578088,8.606368318347988,5.957582774213295,6.727912935161675,5.900502732100866,6.576382270229029
4C,0.0,0.0,0.0,0.0,1.0992143127696647,1.543667022741027,2.151213977094178,2.1784758498123784,2.6547207607799015,3.7148654448123883,2.906629818566745,1.5580227773248536,2.425559116301099,2.463514799948564,2.5176693411261555,3.8585630070806336,4.046217015950444,4.778500610200599,4.592377332111437,5.002701487857558,6.207474073174562,6.52550740232869,7.082239723304573,4.745011607890399,5.368935278747403,5.128676450095494,5.829535489781035
5H,0.0,0.0,0.0,0.0,0.0,2.1470110474061777,2.6521473043439165,3.0326146127184344,2.6928059398124007,3.76137691976731,2.6652920316202544,2.1434514355938905,3.051020410789825,2.740773287232615,2.5774091995475064,4.110433917412054,4.4239773817608254,4.696281735402709,4.3376577685186035,4.804958474625129,6.204803912358497,6.724807112661011,6.930186266283578,5.15182499966514,5.668110951670134,5.7651999589613006,6.474122483095516
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0973487625774634,1.1020617553360135,1.5694615225683615,2.3881886087519857,2.4169224167764987,2.6149192673633572,3.60284987450803,3.0375915338790196,2.705301730904311,4.458665809077663,4.851484505296902,5.48134992712093,5.534425701661561,5.478450115857893,6.91527979726972,7.112784333982681,7.879629987439544,4.909646737143307,5.27774769451815,5.250051669136586,5.735233287990605
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.762590914851354,2.1618939176184138,2.497135704245608,3.233568690975207,3.486689708723281,4.311976627753586,4.092776860451876,3.7767486432308743,5.51956641122409,5.838723777081591,6.53501369839011,6.5150444363525795,6.537940838359579,7.9792086914459714,8.18139042255143,8.923815663739283,5.980301745251994,6.347250289448537,6.232993728082418,6.697031378687549
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1811245828877657,2.8404981264592175,2.966811384125436,2.7131722053061043,3.5550007853595793,3.0512456975994393,2.8896572256432944,4.295704527923349,4.622268514240018,5.5279832774252045,5.757891745387897,5.587507804307017,6.829793856015454,6.829872492648125,7.902780606161309,4.467242681573535,4.865492341459297,4.574759433902598,4.976204861573342
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2504271475880335,1.2689867760287021,3.4903864544584744,4.677245733173021,3.333121433239995,2.535132036166715,4.672411832069006,5.362063975022183,5.408196587920533,5.542307314623093,5.091176404503567,6.886595275375287,7.198176935395998,7.769371942492722,4.968765442947118,4.985784049233748,5.609192808936976,5.953235326160582
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.267902653461695,4.678486220449289,5.825120405278502,4.544119182912841,3.7267819223158076,5.8374613628798935,6.54469628426759,6.570113759400858,6.7472630302099645,6.163562618084112,8.019952552800966,8.290273967414096,8.902661952420395,5.959982437527949,5.832082581391913,6.533663333340887,6.749452873906315
