 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,H13,C14,O15,O16,H17
N1,0.0,2.0552426493718006,2.0100072121606045,3.1805391890520713,0.09062780156405115,0.10184414083029225,0.2374984063661226,0.045083842892504694,0.03719656049701715,0.002584123554001061,0.007821557193067555,0.00023753374594837062,0.00027997400637436165,0.0014145435529760442,9.829212963737705e-05,0.0004426938709510414,0.00015045025945981116
H2,0.0,0.0,0.026638312802387043,0.10673487024558515,0.007325511627482628,0.03573054769484929,0.007942282397084721,0.006216168180859127,0.0008939593019955394,0.00013167087152177182,0.00021583453698814647,2.3338596008892765e-05,1.9826303560899206e-05,2.2107262847570475e-05,4.6467802367056166e-06,6.50179718797439e-06,1.7984765832146365e-06
H3,0.0,0.0,0.0,0.10757041143623192,0.03616225107194726,0.004387897178577571,0.017268824510088154,0.04011801041438412,0.0029821127594158447,0.0006767076511176029,0.0003891045171017238,2.9791263465472895e-05,8.169184606110491e-06,6.79727832777477e-05,3.2342117873729315e-05,9.577421914097606e-06,3.0574096152591324e-06
C4,0.0,0.0,0.0,0.0,2.104011400154615,2.1379638315169167,2.7688145147377945,0.28360544272130944,0.22553385004266896,0.013151608809587101,0.037928788474778416,0.0019219485254888813,0.0019467527394652073,0.004856974927827551,0.00045091294975330154,0.0013670642065511523,0.0002853687455263154
H5,0.0,0.0,0.0,0.0,0.0,0.02588011589360817,0.09695143879517398,0.02891719515017699,0.010510622644736456,0.004847375835749679,0.0013242633913694846,0.000378782069610617,0.00010109923475032367,6.693552422598614e-05,3.702526712123788e-05,2.130194789029538e-05,3.4009830462977675e-06
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.10652625514476277,0.02877879674069428,0.014977980452044015,0.0007237333343284025,0.001399425237702756,0.00033987312212802046,0.0005493492371713149,0.00012435242449249095,1.602415613299879e-05,4.134407674605267e-05,4.06704022615223e-06
C7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761044374949988,3.559371053764805,0.13489424657635019,0.27736990283090934,0.022479193770609696,0.021014718216425976,0.030817892267764962,0.006522173334369538,0.005974842986013473,0.0012265734176527543
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494444415596329,0.026863458745175595,0.07786360722420403,0.019837175841417087,0.01706508167955434,0.008346253419547103,0.004130238631769648,0.001091807595317587,0.00021668733504809357
N9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7052052608161623,2.9453555525655797,0.10443715367093342,0.10380875403271905,0.1922301026033864,0.054961775906550756,0.028474422774882227,0.005233125974846264
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0970331391647472,0.01336642259563492,0.012766203068297344,0.03355217256020615,0.07652418512361514,0.005378131080097437,0.00016711524692514246
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.070837874784576,2.033051036626994,2.8701117546759436,0.28262805650316725,0.2311519954054626,0.05461146217578616
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234651807767865,0.1177006054851808,0.03468369000327853,0.01155594719864017,0.0004377805785946709
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11796577160865307,0.03472665450300039,0.011743819473290396,0.0004167797341654289
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.925465493719983,3.606872749635773,0.17645306534205685
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.510810695844274,0.06487518513349644
O16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8393639941964093
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
