,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24C,25O,26N,27H,28H,29C,30O,31O,32H
1N,0.0,1.021841181394285,1.0232997164901125,1.4725280062468333,2.099490956387352,2.4609618739301897,2.6209468920477414,2.6619532921014852,3.8856338442744214,4.610588901385898,4.256801208882003,4.493133724202339,4.536408237738896,5.301182379457215,2.48798223426253,2.7919101082713667,3.6681276800155485,3.9495557199981453,4.867054415108247,5.014229605444091,6.089640757766967,6.018675232659752,6.354346198549361,7.44276051326132,8.424649114343596,7.704231651716342,7.183941062038516,8.700013697180982,5.273907172684489,5.453146363581453,6.022174322729316,6.46993235172339
2H,0.0,0.0,1.6057939297195087,2.03119246739715,2.3060118944388113,3.334113934925019,3.4953418794169044,3.6325703796710385,4.635166120489275,5.457811927378199,4.947217899655589,5.019959610440618,4.829268739008435,5.8526266996874945,2.7287649678194237,2.952616173111753,3.8074875877030383,4.161409701280127,4.918037815459553,4.859278973868649,6.141197570391911,5.984144869113042,6.56797224647253,7.402684820986094,8.376852115891218,7.605878359985965,7.1172317109993655,8.578424832275354,5.512809810275591,5.896241683305319,6.133359997440196,6.686241015919936
3H,0.0,0.0,0.0,2.0066910483194715,2.8970608238051465,2.7881425042364225,3.1479427970121203,2.5885680333144365,4.202708712787361,4.87496170658594,4.380286037485713,5.068254219374952,5.1290760764079275,5.956190294310699,2.4999873246001036,2.348984047524973,3.82931189897775,4.3245705090367235,4.828234957701798,4.932383788699842,6.194518088697522,6.296335476891945,6.458710814683314,7.47587470944721,8.540865829739339,7.5815864028310935,6.947485963684178,8.558912187569753,4.966561594486056,5.1182146884440805,5.5689482146310505,5.91377774236746
4C,0.0,0.0,0.0,0.0,1.0944180940187966,1.5474079264164198,2.130812918891282,2.1576686457671403,2.6324072613905454,3.537758882167897,2.944434605150979,3.1554634386121774,3.135190868161005,4.1178906750875015,1.542432898387031,2.437111158080228,2.4429324073510674,2.544010014029054,3.7913996282744735,4.178287942160979,4.844665159637485,4.754779906454355,5.002051982452735,6.283812424851413,7.199950307087025,6.71971269272198,6.30143844567543,7.730201229721037,4.316497745909565,4.433519793320718,5.300616688504355,5.7969940016335135
5H,0.0,0.0,0.0,0.0,0.0,2.14944742404922,2.434336645639962,3.047278248086659,2.8648369090202843,3.8130266504240677,3.322890151052766,2.8033176747073956,2.5730599702576584,3.6745895152678916,2.152185208556769,3.2259332145500648,2.564101785782697,2.328966906005447,3.9849738243568624,4.342042530535391,4.786560402326014,4.45087127004514,4.992860800323645,6.230154485398655,7.021889886155297,6.817274035558409,6.546963483116747,7.815302406450246,4.830165008342868,5.045351573416922,5.8596676846323525,6.465322111457437
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0970686633453202,1.1014408627403185,1.5442273437952638,2.1510473669482484,2.1715639549196597,2.5978729442278836,3.1876464663347397,3.3754342052277586,2.5566109818905023,3.3577889316298086,3.2054580623500297,3.0304432584189067,4.487162114897114,5.146569193510662,5.357122445563836,5.367327350856812,5.1912479979556245,6.856882426273581,7.70604555672627,7.402648935153953,6.988375046219957,8.402646505597875,4.688744138979527,4.393184656312397,5.831816014813736,6.13852852774204
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.763389968504843,2.172684133265344,2.444757055871613,3.0722397861082706,2.8773171104505466,3.6440534330325063,3.2897760597726617,3.4713838277935714,4.2627238930362665,4.134502602328447,3.827475457042531,5.487673574675316,6.100279981721125,6.294542680246539,6.182306272860852,6.1264719384713695,7.8123776888737995,8.606598265492547,8.412446741911022,8.030476806034448,9.415567846618517,5.776922190721401,5.48223628647918,6.908895775477915,7.2222961305315945
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17453916393191,2.4864379250289734,2.471383333124474,3.5378494696808964,4.140545882901434,4.29516090652505,2.818475516671691,3.2348958549032973,3.675071624758783,3.7497054423379423,4.760734212084258,5.396688167311938,5.785606149589655,5.980617069082668,5.592729537496931,7.219400022142765,8.153726019433474,7.612104817233846,7.074893211088103,8.596321455225837,4.621240358267837,4.189279124591597,5.6494953165602055,5.801058482616503
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096095048288074,1.097321769786296,1.5587218319517164,2.414821968884848,2.4032233532806697,3.1253084461240728,4.083618266339911,3.1421953683751744,2.62255013033946,4.265811179463034,5.160909188758192,4.7329365161763866,4.751352270937923,4.296621646400677,6.230319113023973,6.925444083413581,6.975698018561512,6.703394991699672,7.934185626397692,4.463529025888693,3.979522061085187,5.777615126556161,6.062982906029195
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7710746931474364,2.1646904446624466,3.2823463925723693,2.50264935030306,4.126622995872474,4.97210192890048,4.203165834360845,3.683259365029723,5.238731687945599,6.174251488700751,5.631986507410417,5.696881295915233,5.056030324993575,7.087004522880495,7.727449337792786,7.84769193457568,7.567855891533079,8.778086661023753,5.251055560090893,4.569902040513937,6.554168813092939,6.716146898463014
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.190969104861998,2.6315646201147374,3.1955396508736396,2.8636442611407817,3.689176502155059,2.6811458265991743,2.364612164103828,3.522411715650057,4.504037343640594,3.9815612207568165,4.2142537960767665,3.4695407069385107,5.418934411861337,6.166247265038166,6.10053946844087,5.7973268294677185,7.037932485003707,3.512959640980617,2.930836364628909,4.847485266277497,5.08571362174263
