,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29C,30H,31C,32N,33H,34C,35C,36H,37C,38H,39C,40H,41C,42H,43C,44O,45O,46H
1N,0.0,1.018226428114697,1.018986853513992,1.473886311259883,2.153182115817891,2.454209478266573,2.6542418084291697,2.6282223464761763,3.882840152859483,4.190216092768716,4.490571513004017,5.557267645133579,4.287895199123818,4.555858373138625,4.95629668673579,5.928897172795237,5.101902351139377,5.033325640093651,2.470786099817887,3.595910993210527,2.6669882946635597,2.1359304861856168,4.056813361956368,4.573420629174634,5.023937344589899,4.94731603583792,5.996602133252333,5.34690339794084,6.3334811135388955,6.9631601762444095,5.200542860930488,6.776012918914196,7.60107778536087,6.178886528559503,4.780269702584869,4.307884786744428,6.729282997106253,7.624560244669268,5.445793650902418,5.539376580484974,6.384741644612779,7.084166236709248,4.513296681698643,4.135352449522554,5.838212301944113,6.253936627598697
2H,0.0,0.0,1.6364660939406326,2.059167853940604,2.574760214971216,2.5206020081747367,2.2922638933444985,2.697410231600111,4.0240028913763695,4.555671148961945,4.610378889207713,5.688386340435825,4.588776293242793,4.456520665973876,4.875663431286457,5.909951243611726,4.8079108313074626,4.961649463524599,3.3463488553035967,4.418422537911954,3.6082412898669918,3.0193589106008694,5.017495894265367,5.5479863294135745,5.868266055567497,5.708927469331682,6.879789004397509,6.073951558854757,7.065188170375527,7.767538681525973,5.723667770491708,7.36384247976704,8.169070291246628,6.631031026545979,5.118538342496108,4.666741738960935,6.991853962697185,7.863543279136718,5.5520875451818625,5.479118883913933,6.485266247549051,7.053005529963993,5.488559175427501,5.044480672936004,6.825594201133275,7.217850274014934
3H,0.0,0.0,0.0,2.0644060619873565,2.3503579537529347,3.329752144217089,3.4744875707780594,3.622825355554909,4.653912927469505,4.923947194070538,5.028111831138244,6.101744740040495,4.6411458948751925,5.05205544644685,5.837537454678657,6.768785671471036,5.962881677913911,5.994694540721907,2.8302645044971277,3.846247948195274,2.995150378134653,2.4770694526227097,4.2293732669555295,4.709262568737341,5.389740997617191,5.3281225254202855,6.26295375735199,5.926109257083012,6.903589162205573,7.424386062547295,5.969531786742092,7.484767884570821,8.309054607544,6.999163531530106,5.625610089634677,5.068881219460647,7.646301911569901,8.543498693317744,6.388018341929332,6.4816976131808275,7.354467799068381,8.082438166137267,4.3743085868104,3.8204553083115416,5.663258528059989,5.952516387789491
4C,0.0,0.0,0.0,0.0,1.099204444444116,1.5454909891553297,2.1444170041778334,2.1528468123866085,2.6357107402914286,2.87934014288106,3.144562180778448,4.179081829796482,2.885296619879102,3.4195573692144965,3.9478799107102467,4.795167791946934,4.257900073161032,4.215343744795338,1.5385573921783937,2.420629971645208,2.4399858320569825,2.490505305389986,3.8080236548127906,4.0040751781177635,4.8247250987158745,5.048859432402481,5.781711274896089,4.866319665807118,5.5943090801435735,6.163767844034741,4.776611897986726,5.9418967406208045,6.655950803649532,5.505335692081813,4.68476550543859,4.525103160272308,6.0848593800774395,6.860709757589692,5.327882474395305,5.6543589863553665,5.987488090526044,6.713704415042073,4.629691187533618,4.6099608297849946,5.833717367506011,6.417422226113666
5H,0.0,0.0,0.0,0.0,0.0,2.166232253559257,2.481270604691364,3.0579292421618427,2.8719722843013593,3.228746330902697,2.7977025089742193,3.8443407283992643,2.3030612416735474,2.9394223942025652,4.273362918105349,5.006260863455125,4.476483085766807,4.780239381643466,2.111434689578179,2.553328842318315,3.2467347956134374,3.397728982859235,4.483313844292048,4.48250623805158,5.660102614308259,5.98321954344728,6.538770732048894,5.723141961396811,6.305209857473277,6.756926382139104,5.733974110191759,6.6566310273157505,7.279923244189343,6.348596796424463,5.742381198405473,5.619265535066131,6.919335210201022,7.606290986344762,6.345905870941083,6.679088748780571,6.902544684269298,7.58657134198113,5.19111135211207,5.1508954414174015,6.313467867315559,6.85625767495001
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1027186631785404,1.097959515890837,1.5421656969862376,2.1500987140019294,2.5638017539153544,3.5113663637390307,2.876273482325072,2.798562183664278,2.5122264818258553,3.4775897161066447,2.789261461230644,2.7496143341588244,2.5442835716346996,3.2017471627564644,3.3341083484431615,3.3822959833348345,4.657082746113968,4.8498661489810555,5.291312251580363,5.480403502304017,6.322248719377683,4.912262272994048,5.539964119257816,6.271766106094261,4.411524661935752,5.521300420565916,6.1610614727743656,4.868949470426856,4.194568033500916,4.304787653790357,5.126929511704511,5.82163415879404,4.464105475296923,4.766199731553706,4.922014258947678,5.5015030028600265,5.738451494630973,5.829739534136287,6.9177935756775195,7.59264539791943
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7649814266793142,2.160743169074952,3.0546792659208863,2.8215833665981616,3.7871701302928504,3.279230441666374,2.611726104403315,2.729988823018106,3.74752848427914,2.5493627647879373,3.06931412837811,3.4737418695620703,4.152909416358212,4.238586534315797,4.106437799374321,5.625610920698757,5.86952932046327,6.288557034494535,6.3772128694878285,7.337627936171546,5.951598936083101,6.615992096597805,7.368611415441378,5.347095737475557,6.530876024194718,7.14600837415974,5.784036955176051,4.93425204528861,4.974732069191891,5.8620681649652,6.517523328736929,5.001658965134584,5.095943962908947,5.474478334481563,5.8883995138991505,6.5841278732038075,6.521182307961265,7.818404089876492,8.428210858560165
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1680743653116834,2.482805403686738,3.501907304038732,4.327248351609543,3.860735859459644,3.802318446531965,2.7019711997573475,3.7110926566154485,3.0800339812311854,2.478648409012526,2.8115083347671948,3.6316734795924295,3.165541984727687,3.085264830317844,4.430443575935481,4.802265549982871,4.778331354076035,4.82262752967675,5.853927237425612,4.328646097994771,5.100747809857804,5.957957539463074,3.615112870498784,5.032098437835156,5.760512077159927,4.181356578846138,3.1860341317131793,3.306982678476091,4.3847359383107865,5.193906377999003,3.412763308974988,3.6899112563849963,4.017089202717254,4.637063430088414,5.5561561518480875,5.66255838536913,6.747416958494716,7.43392946916645
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971280935957868,1.5366775106665498,2.1791244473302425,2.1856775420599743,2.189588815143937,1.5373715486888557,2.1830788430719874,2.1880465282036083,2.19013573310536,3.110941509016965,3.197654596612178,4.11655188384288,4.477197376634426,5.193195892029777,5.097420774780734,5.727056451075071,6.141804525450331,6.666326130214415,5.037109035933759,5.2826638173543925,5.931608729921339,4.561024249688594,5.029161413781577,5.4498967225646116,4.577810604618364,4.698518469852673,5.115566681396075,4.746320533059995,5.195056571365873,4.840286853238863,5.350421744853759,4.862394169756823,5.385948847358962,6.4684199961377695,6.794282589845441,7.481271190383897,8.261762171808476
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1420078734472847,2.5233332939054347,2.4471986368107697,3.0690340693117095,2.1474306689655083,2.494994144188153,3.0730502811278,2.498024604464117,2.7688395711305596,2.6240305007179576,3.689623648555043,4.253519773953398,4.533135795300699,4.3202747507695465,4.967533351801684,5.517446867618237,5.83277527335828,4.1780794723108325,4.270822013013586,4.8689957966595845,3.8666504865742914,4.058485248427907,4.466854554383389,3.803966723405356,4.304103790588523,4.812867193938746,4.197986451744012,4.643843382965535,4.631821195043869,5.33191813676139,4.582492788019031,5.256625434380579,5.916375614588086,6.418650774246286,6.806517510428414,7.6501262450415215
