 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,C29,H30,C31,N32,H33,C34,C35,H36,C37,H38,C39,H40,C41,H42,C43,O44,O45,H46
N1,0.0,1.8309653656439155,1.7307462515629908,2.981252889672048,0.09425528496849034,0.18467988047954065,0.01254397517142758,0.012299948423384222,0.031051482074325495,0.0007437535482111013,0.005580952001610531,0.0008984488821643932,0.002467265728051782,0.00022706196103272624,0.004833413689611141,0.0011101629906808963,0.00010605503948468709,7.911069794386272e-05,0.18682808582535143,0.037063412832550324,0.08601645169275184,0.14187074823542234,0.010626665605193097,0.00238570497422419,0.0009277015519469772,0.0001223110992873977,0.000136236646701704,8.099084591925432e-05,2.259648097355238e-05,4.125548227262854e-06,7.916459437265488e-05,5.715349782900447e-06,2.686984534872039e-07,1.2359944983719728e-05,0.0001458610838520752,0.00013798959454369708,1.1311908449052055e-05,2.029085657273555e-07,3.804867391550559e-05,9.312431890062811e-07,1.0965245769045673e-05,4.025378095295906e-07,0.0009588354740158456,0.000659708049315269,0.0002063125795981613,1.996328991205054e-05
H2,0.0,0.0,0.028936820770776084,0.10298485267453439,0.002743622238053023,0.02522399500699113,0.01195243639006649,0.000918795640842518,0.002344139334850448,0.0008087344075886627,0.0002097279069336322,2.1582821176258093e-05,1.3304195191965462e-05,2.4288271039507592e-05,0.00020281866154781003,5.8651091673134204e-05,3.0576797836801006e-05,1.6830774509646318e-05,0.0292152701409637,0.005426102440876823,0.005140172753851924,0.0010425870802122095,0.000511145063130658,0.00045053361264812963,7.655388765137605e-05,1.586393676644704e-06,7.197628598243355e-06,5.529306094098629e-06,2.7444638062146254e-06,4.0029814529773944e-07,2.0003229058707106e-06,5.445044647389707e-07,4.780333018317151e-09,1.1378381986615338e-06,7.955141634319318e-07,3.7224214244346854e-07,8.075627612180725e-07,1.8051102390614915e-08,4.658540818658352e-07,1.4043318508072389e-08,1.4048847791769958e-06,3.2904543534328923e-09,0.00013559677290897465,1.537795508033124e-05,2.399938685315739e-05,5.747310157344643e-06
H3,0.0,0.0,0.0,0.10001423117091379,0.008664511208332337,0.029884235852396857,0.00045946418196995964,0.0013277597281351472,0.004492163946027694,4.607144838519872e-05,0.00027921151972132296,0.00010184422336134702,2.9462119538470333e-05,7.579234546417624e-06,0.0010730394648565955,0.0002426275881308726,3.068718775267598e-05,2.5241225230177022e-05,0.005206636388981334,0.000900799547786546,0.0030787428777167003,0.002801490513786531,0.0002748240771994759,2.841950159515605e-05,0.00013785575037805753,1.4689096983211414e-06,1.4380674150826778e-05,9.060234563484926e-06,1.3343676547039607e-06,4.1451120980084966e-08,3.529031886273515e-06,9.316319850016797e-07,2.270509957824629e-08,1.4611345662274289e-06,4.8007182181786234e-06,6.013046088826357e-06,5.427150819858895e-07,2.0650841037195278e-08,9.980572622803052e-07,5.192926777475293e-08,1.656917790304746e-06,2.166674173409433e-08,0.0002166736710623729,0.0007816789261523294,8.626204772055335e-05,9.685457724950552e-06
C4,0.0,0.0,0.0,0.0,1.862295992716875,2.470174975913056,0.09262730546190956,0.08571408254921997,0.14435046520879355,0.005751560625614882,0.020478940109280336,0.0025014324901777574,0.007914479128549035,0.0009151813471235393,0.032394829755334545,0.004705334633537506,0.0006599691037958433,0.0010187709537647915,2.400619354018173,0.27752303066071327,0.22182936635992062,0.021179485940154064,0.037137240534876825,0.006407376033970236,0.003668999770353759,0.0001237228754402686,0.0010692674729746443,0.0003384988430938374,0.00011697218152151301,6.502821725762331e-06,0.00015259393299055235,2.6226160893566552e-05,3.2281643680409644e-07,3.0383252993232412e-05,0.00036064463152343795,6.245697913254133e-05,3.0730462761502375e-05,5.750538794035975e-07,0.00022145771583501062,5.88114381394611e-06,5.187567833206397e-05,2.8672933205520224e-07,0.0033827787355840133,0.00037470069651607263,0.000997308080739806,0.00021784711654060374
H5,0.0,0.0,0.0,0.0,0.0,0.08335096468290004,0.00581886341060267,0.03465222477598684,0.0048714829836074,2.966010827853971e-05,0.011213081602270636,0.0007501383934691574,0.010266420772806484,0.0003610791346253528,0.0009163223981941693,8.855615251079918e-05,1.650325196878022e-05,0.00020794722789685416,0.10848128727946493,0.01727017074161874,0.02295562336218726,0.005486722520385845,0.002974145147975893,6.90965873968441e-05,0.00011666621089645446,3.916150923988226e-06,4.612366002465507e-06,6.72669584345087e-05,5.535849411986149e-06,2.9402389500887693e-07,7.084939028478843e-05,7.008660443119652e-07,1.1365875862701103e-07,7.438963846251312e-06,0.0001622325781522882,5.432672117056114e-05,1.541337193433634e-05,1.3858945413502965e-07,8.931587817639919e-05,2.569127049767417e-06,1.5718837307776568e-05,1.3029883594306568e-07,0.0011945157243051785,6.116799241395743e-05,0.00025352887086127485,9.04875603764399e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.6843279693088686,1.8183044744972534,2.850078249277386,0.0847907299886499,0.1548008368449921,0.030457923407678944,0.0049271405553510395,0.010680514578473632,0.18289871119724643,0.030523553949597604,0.010078265306805445,0.01040092157077388,0.18361300038959866,0.038408965273407106,0.025991660942231196,0.0009416305908597211,0.0031305167225977315,0.00031961373601896437,0.0012089484807651651,1.2741010570249678e-05,0.00015103742810484988,0.00019388116148673362,0.00013129043794718465,1.1553569090327898e-06,0.0012262526869474544,7.075967159433927e-05,5.126804223376524e-07,0.00014536229846723314,0.003652939732355878,0.00021254054987829285,0.0005087430168250473,6.281685112075053e-07,0.0025938910841721285,3.31630726024823e-05,0.0003076043030377923,8.249099106016899e-07,0.0005985564294128942,7.415872449380301e-05,0.00010331857032783165,2.4042199729623626e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022184689828026016,0.08046897984211232,0.03582679369013175,0.00856735680814813,0.0003062007859735427,0.00016239255154548715,0.0048538020151573935,0.010843731862124395,0.0006279873555021798,0.0054255688027580184,0.00024020378403788456,0.02931444643190173,0.004266888853442508,0.0045349937354433045,6.437988388996452e-05,0.0007926427545545955,0.00014942591044531106,0.00031929859037171937,4.6133714104446e-06,6.856563819890305e-05,2.828532152876484e-05,6.002806179017384e-06,6.327330033251144e-07,6.817779173373673e-05,1.1182534084941409e-05,1.0284687190775799e-07,1.67594716178332e-05,0.00013913529018183546,9.177778278024462e-06,1.1837564006578205e-05,1.4732652076077102e-07,5.995122340740622e-05,1.4351981287852311e-06,6.885229691500072e-06,2.1858549859032905e-08,4.952796812074389e-05,7.327659534706044e-06,4.039466759975241e-06,1.924299211086833e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08380274238823082,0.0044603192066434705,0.0291293244454226,0.0014261343360084666,0.00040121159445738463,0.0005301870449905266,0.011582398668995797,0.0008095044404197171,0.00022455971109902606,0.005069503102267836,0.008216456168127939,0.0008598835210646971,0.0033071085909479603,0.000531951143902365,0.00030163245711700704,3.0222880469388258e-05,9.102642663116889e-05,8.646602576156681e-07,9.97016095571901e-06,0.0002316218187201624,0.0001695115254316537,2.2734002236290962e-08,0.001602509098656446,0.00010906217283168651,1.681594508085027e-07,0.00019409845933981984,0.011123625694427597,0.0003384917715123503,0.0010439688775061295,1.2802252173926831e-06,0.006425239559739726,5.703263597323094e-05,0.0003300306380868978,2.2598594442424513e-06,0.00012108108932751271,9.06388351074039e-06,2.5727915053175288e-05,9.093176067676012e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6650372910990863,2.5935515555898463,0.08595467633666365,0.08592381807356975,0.08151161455551836,2.640187960200504,0.08421580993877376,0.08290160846134653,0.08281324419121638,0.02001713798330343,0.019105668605495563,0.0031577147675861394,0.00012728364276515247,0.0003988276743589758,3.315605495091134e-05,7.571527683525314e-05,8.469831579649423e-06,7.651606858116722e-06,0.00012385767472167242,7.784681721278996e-05,1.2376310072337304e-06,0.0005635203685501466,7.567801079211289e-05,1.6409711961484774e-06,0.0005878281608075187,0.0003392002249540116,2.559999152595971e-05,0.00029732718871988695,4.930395288926803e-06,0.00030779879780491737,6.937985378430156e-06,0.0003257556282831864,1.7856203290200767e-05,8.090576659636195e-05,1.5712442200416232e-05,1.2182736865068433e-05,2.682500870765381e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08447968081392387,0.003391029187483685,0.006032458254723538,0.03434139839581718,0.08342336321945232,0.004631305152911214,0.03460481539735616,0.004454193349751279,0.012831181052165963,0.018731644818337112,0.0010321653013414256,1.7581551266410145e-05,9.138849413448114e-05,9.15394577982731e-06,1.6531323611124193e-05,5.9062402848475415e-06,1.194078427468881e-06,0.00018505412353642114,5.959575891933966e-05,5.663336011041409e-06,0.0008642566189054346,0.00010969581989184185,9.414797130791186e-07,0.001229822569413841,5.0960855346726674e-05,2.1794013280729274e-06,0.00022077438142487082,2.1093653477244345e-06,0.00010319522806290227,1.824233248903795e-07,4.937476614896852e-05,1.1772198826864866e-06,1.7997287584892163e-05,2.591389084982687e-06,3.228301278856982e-06,4.0746721574613787e-07
