 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,C22,H23,H24,C25,H26,H27,H28,C29,H30,H31,H32,C33,O34,O35,H36
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07991468612578889,0.035619143145438015,0.00367008311748096,0.08300187630388556,0.03421138317194816,0.005830794189816357,0.003344396122538784,0.009704627833261759,0.00492783010663822,9.841553875178377e-05,0.00041523264877318944,0.010073336115479448,0.0016994096087964428,0.015770961165094355,0.000327633593210086
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0242391982783685,1.8153067351469843,0.15467976361134397,0.010547827167640245,0.005019530099734215,0.029859839812422795,2.6335459189725077,0.08083305473359714,0.08426707702340863,0.09177530701524783,0.02935223669721554,0.01001116741080553,0.003952964358517996,0.00033270607116808737
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02335522746495111,0.009851329926857444,0.005208268733885912,0.00012288838417440218,0.0004084724377482196,0.082239390807338,0.03421019221587618,0.005525261193952247,0.0036677743507091964,0.0011443965381683352,0.0001649094551696706,0.00040861675084835625,3.680375287196114e-05
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030489518076922018,0.0005420083900253836,0.0004887985552821661,0.0017833588383617816,0.08683871523170095,0.003925909481552026,0.032498313331526196,0.005907705275226771,0.02135800930422982,0.007969841685188772,0.0006405745076778491,0.00010451183600479474
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0399287854889687,1.8063388766860689,2.1058630485951895,0.022446920583268873,0.0006142683967758078,0.009368065569199224,0.002501181297270172,0.030919853268139202,0.0071669807978205075,0.005065307623732057,0.0005303757237934414
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023467217412104446,0.024242637500138553,0.0006824342880633605,0.0002109670092793614,7.331268951538128e-05,8.154322377373902e-05,0.0007766015956436334,0.00011541347450227946,0.00047936076205779,0.0001535277702238158
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02520568069574236,0.009884791702192253,8.956320079644975e-05,0.010009663338233832,0.0006359824452182306,0.004601504156474645,0.0017261984863117252,0.00037176391247517593,9.869633399750555e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024064981828564314,7.427013576499775e-05,0.0006351013861505272,7.067705058760865e-06,0.0010766265017372323,0.00042069677482503565,0.00016610121145210766,7.092985065071389e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.060932697053649,1.9379469678454082,2.0897538841189167,0.0035455467699135046,0.0009201712704843684,0.0004434430301341885,2.8527992960269977e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023119766212481352,0.023200050757309132,7.158548761543315e-05,2.9757034959665418e-05,1.8574986558439477e-05,3.92686448025259e-06
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023694252076124522,0.0010832396231750252,0.0004165905636634992,7.305170101334912e-05,6.101810358760673e-06
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002192450508802235,0.00018702685955185316,3.0510238211545193e-05,2.0324588692055556e-06
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333718307516866,3.414012168812714,0.1695086219818558
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5136199839274687,0.06978433916621296
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5660230168430451
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
