,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22C,23H,24H,25C,26H,27H,28H,29C,30H,31H,32H,33C,34O,35O,36H
1N,0.0,1.0181377000737195,1.4805587966166933,2.112423641222996,2.4607536416258857,3.1887900240718086,3.2271121622954357,2.4030229370752747,3.3617363826645628,2.827890478584713,1.4760008726658527,2.0986718060813594,2.121870242480618,2.5075039112246102,3.645961231940026,2.6813159450281945,2.169152894943209,4.114044624257384,4.650583225290646,4.960424668614587,5.96761029119419,4.950001014064042,4.127578214565205,5.124748112637287,5.183426150622619,4.460815169835389,6.11054803309859,5.516881202355412,6.278155484734797,7.116965399429226,6.435177574098646,6.5780960356062375,4.700038015432528,4.390270592073496,6.027400820677931,6.488282347008524
2H,0.0,0.0,2.051704549283171,2.218272471119387,2.9414659941629595,3.861825341829486,3.4392166774276585,2.7568629900704096,3.802426601768902,2.7797608487217365,2.0457566262715092,2.9218882923541742,2.306526436849162,3.293500305720158,4.381434338187903,3.5084749273007807,2.900811995648315,4.90751363683829,5.413664957720727,5.869901583202281,6.839596128156399,5.818490118877303,5.007515204255479,5.871091072996019,6.174664960276033,5.475344856015102,7.115546434289929,6.473625495631543,7.167600740996653,7.999448551337785,7.38149890574272,7.399351683564786,5.291568891883144,4.803198469108113,6.619891270937093,6.9768871632133385
3C,0.0,0.0,0.0,1.0963629103915318,1.5642280671399085,2.191822204949604,2.214764115252146,2.4571854198365126,3.371402104262561,3.0051976201486306,2.353298613010419,2.763317269667652,3.3040022650397853,1.5405262762089382,2.4175598253926127,2.441632237189395,2.495282735654063,3.811054965569021,4.002088586951002,4.804588944117403,5.750782839698864,5.239457268218879,4.5873511391619095,5.552119348001065,4.785700803872328,4.119512339216548,5.7965636347872715,4.830970243807229,6.592362464862592,7.321369762216957,6.649944805325161,7.108995024437093,4.656460850287698,4.647299915442612,5.858990438127565,6.449029002856192
4H,0.0,0.0,0.0,0.0,2.210070599207788,2.9360912243089454,2.3630034449003667,3.201009908391858,4.189153945432683,3.4492492133616017,3.2284541170659886,3.7953593015778,4.0352730697738854,2.111332896120011,2.764126279302082,3.0162937719049308,3.041015783344125,4.261941843492211,4.309657744655977,5.479955422728949,6.3278444124822215,6.011142854593719,5.451757977851334,6.194234525917567,5.583590197716508,5.039559140197941,6.639453256850111,5.5013966070970675,7.437094964214658,8.095087377197768,7.576575384839904,7.965301468442105,4.885378636531397,4.785299729647518,6.029917396638463,6.5365277822788395
5C,0.0,0.0,0.0,0.0,0.0,1.0938062372570814,1.093906280192466,1.5455259708612188,2.2144554344216396,2.189230208801494,2.4156642201543392,2.826979289624107,3.3935355973879964,2.5647636355655816,2.9515719080442557,3.645340992748381,3.82086198630148,4.9310778771891295,5.01657140553144,5.638127483881176,6.625277096237449,6.082935760521053,5.337589877198961,6.60060928506202,5.204830616879839,4.34877443632594,6.093260490171299,5.1911449598287085,7.246147990654471,8.040742143090746,7.073826896932379,7.775922848873233,6.0076254638243896,6.115551207778938,7.156133301484312,7.832662754075159
6H,0.0,0.0,0.0,0.0,0.0,0.0,1.756762150206644,2.2032544132533864,2.4227968879044446,3.049818880364778,2.9924288630891462,3.017311613075101,4.03459842552762,2.5314782728639105,2.567722218466518,3.6447983714907792,4.056206768218284,4.73313131136007,4.7098224313472326,5.236114894658941,6.1876120589838814,5.822692480154971,5.1605847114114525,6.485343661281062,4.543246355945645,3.68251940480565,5.3629395548606436,4.442365340359903,6.863702884653164,7.611899105781135,6.568159948551644,7.4914173017409835,6.003258440188872,6.315702059513857,7.043143916712972,7.815065084846433
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2046831448153554,2.8098935113032275,2.389452379444207,3.3193959754960516,3.875332963454898,4.175441846386108,3.2683682763265005,3.4265000705682587,4.477305571335867,4.676258331424999,5.7202468463510305,5.664149987115201,6.549019712659256,7.4844452448658645,7.09737090035169,6.392733382907381,7.580686789915727,6.096102810611093,5.298325977008068,7.001369220899378,5.942377449620445,8.290698817818754,9.04961995987484,8.119223650297247,8.847287198580384,6.74047174704549,6.832387190965841,7.8456934335762405,8.50295045383641
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0956048701796743,1.0980250090709631,1.5395911623125167,2.1799755352161934,2.2270573938133484,3.6100548228681633,4.265422162538987,4.318847114856736,4.195319877586015,5.686936929964417,6.019988471796523,6.193207700264994,7.262847757137552,6.269167232497173,5.335766071088752,6.775185608264667,5.811306989538863,4.818746733158836,6.577188549511993,6.051720758429761,7.310480714402554,8.239730829828908,7.107565016110207,7.646741335076459,6.673734780021842,6.608952237946047,7.921881748893699,8.537564812142465
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7685609421170887,2.2126390659510577,2.459080494306626,2.7446006350904812,4.279573317171146,4.781569825253706,4.9660140114959415,4.930739037401008,6.23460879401805,6.555535620507125,6.508292308183958,7.5806881754042985,6.545968060206648,5.594380279814466,7.180648175381282,5.912714992333214,4.850637335883495,6.538815246959128,6.182430962969337,7.40241604453549,8.35923451682979,7.0461532755404646,7.728487444205657,7.346247059139488,7.378897791037679,8.550248197123382,9.222841828595874
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.170931509385746,3.064968150834679,2.459646187369308,4.384979917992455,5.05526372910101,5.117739009187696,4.88284337032958,6.535321416414233,6.860224288159794,7.164068840010886,8.227024806117539,7.202255219038051,6.251437925401806,7.617198419681044,6.866787097165687,5.895110592821921,7.658516313864997,7.081113847530811,8.286433843788895,9.226147560809826,8.132799500576207,8.564192957643014,7.395951693257934,7.202451093439789,8.675763397177288,9.226181347375643
